TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp629	Ttbk2	0.99998	50.1975	0.696	rgb(225, 84, 85)	1.9997	2,2
Zfp367	Exo1	0.99996	50.1925	0.691	rgb(225, 85, 86)	1.9996	2,2
Zfp385a	Zmat3	0.99994	50.21	0.713	rgb(225, 81, 82)	2	2,2
Zfp473	Fkrp	-0.99993	50.1575	-6.6E-01	rgb( 74,130,242)	1.9989	2,2
Sgsm2	Tert	0.99991	50.14	0.64	rgb(224, 95, 96)	1.9986	2,2
Zfp429	Megf8	-0.99989	50.1525	-6.5E-01	rgb( 75,131,242)	1.9988	2,2
Zfp277	Tmem35	0.99987	50.12	0.618	rgb(224, 99,100)	1.9982	2,2
Zfp169	Inpp4a	0.99985	50.1225	0.623	rgb(224, 98, 99)	1.9982	2,2
Zfp787	Ocrl	-0.99983	50.1175	-6.2E-01	rgb( 83,135,240)	1.9981	2,2
Zfp367	Rpa2	0.99981	50.1225	0.621	rgb(224, 98,100)	1.9982	2,2
Zfp536	Tekt2	0.9998	50.16	0.66	rgb(224, 91, 92)	1.999	2,2
Mxd3	Cdc25b	0.99978	50.15	0.649	rgb(224, 93, 94)	1.9988	2,2
Zfp385a	Zfp365	0.99976	50.0875	0.589	rgb(223,104,106)	1.9975	2,2
Zfp385a	Eng	0.99974	50.145	0.644	rgb(224, 94, 95)	1.9987	2,2
Zfp750	Robo3	0.99972	50.09	0.591	rgb(224,104,105)	1.9976	2,2
Zfp429	Apold1	-0.9997	50.12	-6.2E-01	rgb( 82,135,241)	1.9982	2,2
Thap3	Dpm3	0.99968	50.075	0.576	rgb(223,107,108)	1.9973	2,2
Zfp329	A230072C01Rik	0.99966	50.0775	0.579	rgb(223,106,108)	1.9973	2,2
Zfp385a	Rnf169	0.99965	50.0775	0.576	rgb(223,107,108)	1.9973	2,2
Zfp367	Dtl	0.99963	50.18	0.683	rgb(225, 87, 88)	1.9994	2,2
Whsc1	D830031N03Rik	0.99961	50.085	0.585	rgb(223,105,106)	1.9975	2,2
Tigd2	Utf1	-0.99959	50.075	-5.8E-01	rgb( 92,141,239)	1.9973	2,2
Dpf1	Porcn	0.99957	50.06	0.559	rgb(223,110,111)	1.997	2,2
Trps1	Edn3	-0.99955	50.0575	-5.6E-01	rgb( 96,143,238)	1.9969	2,2
Zbed3	Zkscan17	0.99953	50.1	0.599	rgb(224,103,104)	1.9978	2,2
Tal2	Tmem38b	0.99952	50.0875	0.586	rgb(223,105,106)	1.9975	2,2
C030039L03Rik	Gapdhs	0.9995	50.06	0.558	rgb(223,110,112)	1.997	2,2
Gm14420	Gm2011	0.99948	50.0875	0.59	rgb(223,104,105)	1.9975	2,2
Tmf1	Pik3ca	0.99946	50.0425	0.542	rgb(223,113,114)	1.9966	2,2
Zfp808	Rfwd3	0.99944	50.0575	0.556	rgb(223,111,112)	1.9969	2,2
Zfp365	Psrc1	0.99942	50.055	0.557	rgb(223,111,112)	1.9969	2,2
C030039L03Rik	Ankzf1	0.9994	50.0775	0.576	rgb(223,107,108)	1.9973	2,2
Rorc	Ccdc63	0.99939	50.0625	0.561	rgb(223,110,111)	1.997	None
Ankzf1	Rgs11	0.99937	50.04	0.538	rgb(223,114,115)	1.9966	2,2
Zfp367	Fam111a	0.99935	50.0375	0.537	rgb(223,114,115)	1.9965	2,2
Zfp35	Zscan21	0.99933	50.0475	0.548	rgb(223,112,114)	1.9967	2,2
Zfp750	Ckmt1	0.99931	50.035	0.536	rgb(223,115,116)	1.9965	2,2
C030039L03Rik	Atp7b	0.99929	50.0325	0.534	rgb(223,115,116)	1.9964	2,2
Fbxl19	Fth1	-0.99927	50.0225	-5.3E-01	rgb(103,148,237)	1.9962	2,2
Litaf	Tfpi	-0.99925	50.0375	-5.4E-01	rgb(101,146,237)	1.9965	2,2
Zfp429	Snhg6	0.99924	50.0275	0.529	rgb(223,116,117)	1.9963	2,2
Zfp385a	Abhd4	0.99922	50.09	0.587	rgb(223,105,106)	1.9976	2,2
Zfp536	Rpl10a	0.9992	50.0425	0.545	rgb(223,113,114)	1.9966	2,2
Ankzf1	Rbfox2	0.99918	50.0375	0.537	rgb(223,114,115)	1.9965	2,2
Cxxc5	Nod1	0.99916	50.06	0.559	rgb(223,110,111)	1.997	2,2
Ncoa1	Tmem184b	0.99914	50.0225	0.522	rgb(223,117,118)	1.9962	2,2
Zfp951	Guca1b	0.99912	50.03	0.53	rgb(223,116,117)	1.9964	2,2
Eea1	Ctsw	-0.99911	50.0175	-5.2E-01	rgb(105,149,237)	1.9961	2,2
Mbnl2	Pak1	0.99909	50.01	0.51	rgb(223,120,121)	1.996	2,2
Sgsm2	Unc93b1	0.99907	50.0075	0.507	rgb(223,120,121)	1.9959	2,2
Zfp277	Amz2	0.99905	50.015	0.515	rgb(223,119,120)	1.9961	2,2
Zfp385a	Psrc1	0.99903	50.03	0.529	rgb(223,116,117)	1.9964	2,2
Zfp414	Rab4b	0.99901	50	0.502	rgb(223,121,122)	1.9958	2,2
Zfp771	Tmem158	0.99899	50.02	0.519	rgb(223,118,119)	1.9962	2,2
Zfp64	Fbxw2	-0.99898	49.9975	-5.0E-01	rgb(109,151,236)	1.9957	2,2
Zfp385a	Ptp4a3	0.99896	50.0175	0.517	rgb(223,118,119)	1.9961	2,2
Zfp429	Ankrd33b	0.99894	49.9925	0.493	rgb(222,123,124)	1.9956	2,2
Zfp358	Sorcs2	-0.99892	50.01	-5.1E-01	rgb(106,149,236)	1.996	2,2
Mxd3	Smtn	0.9989	50.0375	0.536	rgb(223,115,116)	1.9965	2,2
Foxp2	Sh2d4a	0.99888	50.01	0.508	rgb(223,120,121)	1.996	2,2
Zfp429	Trim12a	0.99886	49.985	0.485	rgb(222,124,125)	1.9955	2,2
Zbtb17	Cln5	-0.99884	49.995	-4.9E-01	rgb(110,152,236)	1.9957	2,2
Srebf1	Fads2	0.99883	50.165	0.663	rgb(224, 90, 92)	1.9991	2,2
Zfp329	Neat1	0.99881	50.015	0.515	rgb(223,119,120)	1.9961	2,2
Zfp750	Pik3r3	0.99879	50.005	0.503	rgb(223,121,122)	1.9959	2,2
Zfp960	F2rl1	-0.99877	49.9775	-4.8E-01	rgb(113,154,235)	1.9953	2,2
Zfp386	Spry1	-0.99875	50.0075	-5.1E-01	rgb(107,150,236)	1.9959	2,2
Zfp385a	Cox6b2	0.99873	49.98	0.48	rgb(222,125,126)	1.9954	2,2
Plscr1	Clic4	0.99871	50.0325	0.533	rgb(223,115,116)	1.9964	2,2
Drap1	Sepw1	0.9987	49.9825	0.483	rgb(222,125,126)	1.9954	2,2
Zik1	Mvp	-0.99868	49.9775	-4.8E-01	rgb(113,154,235)	1.9953	2,2
Zbtb44	Trove2	0.99866	49.965	0.463	rgb(222,129,129)	1.9951	2,2
Ski	Slc43a2	0.99864	50.04	0.54	rgb(223,114,115)	1.9966	2,2
Sgsm2	Plxnc1	0.99862	49.9975	0.497	rgb(222,122,123)	1.9957	2,2
Drap1	Anapc1	-0.9986	49.9775	-4.8E-01	rgb(113,154,235)	1.9953	2,2
Zfp956	Ppcdc	0.99858	49.97	0.47	rgb(222,127,128)	1.9952	2,2
Zfp750	1700007K13Rik	0.99857	49.96	0.46	rgb(222,129,130)	1.995	2,2
Zfp365	Eda2r	0.99855	49.965	0.466	rgb(222,128,129)	1.9951	2,2
Zfp608	Serpinb1a	0.99853	49.9825	0.484	rgb(222,124,125)	1.9954	2,2
Zfp407	Mpdu1	-0.99851	50	-5.0E-01	rgb(109,151,236)	1.9958	2,2
Mxd3	9530077C05Rik	0.99849	49.9675	0.465	rgb(222,128,129)	1.9951	2,2
Zfp354c	Acpp	0.99847	49.985	0.485	rgb(222,124,125)	1.9955	2,2
Zfp536	Itsn1	0.99845	50.01	0.514	rgb(223,119,120)	1.996	2,2
Drap1	Fth1	0.99843	49.9625	0.464	rgb(222,128,129)	1.995	2,2
Kdm5b	Pfkp	0.99842	50	0.499	rgb(222,122,123)	1.9958	2,2
C030039L03Rik	Kcnc3	0.9984	49.9825	0.482	rgb(222,125,126)	1.9954	2,2
Zfp568	Prodh	0.99838	49.9675	0.468	rgb(222,128,128)	1.9951	2,2
Zfp629	Tbc1d16	0.99836	49.96	0.464	rgb(222,128,129)	1.995	2,2
Zfp608	Gap43	0.99834	49.97	0.471	rgb(222,127,128)	1.9952	2,2
Zhx2	Sema6b	-0.99832	50.0025	-5.0E-01	rgb(108,151,236)	1.9958	2,2
Zfp385a	Phlda3	0.9983	49.97	0.47	rgb(222,127,128)	1.9952	2,2
Zfp385a	Zfp750	0.99829	49.99	0.493	rgb(222,123,124)	1.9956	2,2
Zfp449	Tcea3	0.99827	49.955	0.455	rgb(222,130,131)	1.9949	2,2
Zfp385a	Slc19a2	0.99825	49.96	0.459	rgb(222,129,130)	1.995	2,2
Zfp277	Fam120c	-0.99823	50.0125	-5.1E-01	rgb(106,150,236)	1.996	2,2
