TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Egln1	0.99994	50.4	0.897	rgb(227, 46, 48)	1.999	None
Rarg	Il17a	0.99994	50.45	0.946	rgb(227, 36, 38)	2	None
Tbx21	Tbkbp1	0.99994	50.42	0.916	rgb(227, 42, 44)	1.9994	2,2
Hif1a	Pgm2	0.99989	50.38	0.881	rgb(227, 49, 50)	1.9986	None
Irf7	Rtp4	0.99989	50.39	0.889	rgb(227, 47, 49)	1.9988	2,2
Relb	Pigr	0.99989	50.44	0.94	rgb(227, 37, 39)	1.9998	None
Hif1a	Ero1l	0.99981	50.35	0.845	rgb(226, 56, 57)	1.998	None
Irf1	Nlrc5	0.99981	50.36	0.865	rgb(227, 52, 54)	1.9982	None
Irf7	Rsad2	0.99981	50.37	0.865	rgb(227, 52, 53)	1.9984	None
Klf8	Fn1	-0.99981	50.43	-9.3E-01	rgb( 16, 95,252)	1.9996	None
E2f4	Mxd3	0.99978	50.33	0.828	rgb(226, 59, 61)	1.9976	None
Sp110	Cdkn2d	0.99978	50.33	0.834	rgb(226, 58, 59)	1.9976	2,2
Egr2	Fasl	-0.9997	50.38	-8.8E-01	rgb( 26,101,250)	1.9986	None
Hif1a	Bnip3	0.9997	50.32	0.82	rgb(226, 60, 62)	1.9974	None
Sp2	Brd3	0.9997	50.35	0.847	rgb(226, 55, 57)	1.998	None
Trerf1	Cd86	-0.9997	50.38	-8.8E-01	rgb( 26,101,251)	1.9986	None
Irf1	Tbx21	0.99966	50.33	0.825	rgb(226, 59, 61)	1.9976	2,2
Zfp182	Fyco1	0.99966	50.32	0.823	rgb(226, 60, 61)	1.9974	2,2
Hif1a	Ppme1	0.99957	50.31	0.812	rgb(226, 62, 64)	1.9972	None
Hif1a	Slc2a1	0.99957	50.31	0.808	rgb(226, 63, 64)	1.9972	None
Hsf2	Tnfsf11	0.99957	50.37	0.872	rgb(227, 50, 52)	1.9984	None
Ncoa3	Npas2	0.99957	50.37	0.872	rgb(227, 50, 52)	1.9984	None
Srebf2	Dhcr24	0.99957	50.32	0.822	rgb(226, 60, 62)	1.9974	2,2
Mxi1	Cxcr4	0.99952	50.32	0.821	rgb(226, 60, 62)	1.9974	None
Rorc	Lingo4	0.99952	50.36	0.862	rgb(226, 52, 54)	1.9982	2,2
Srebf1	Fads2	0.99952	50.3	0.801	rgb(226, 64, 66)	1.997	2,2
Hif1a	2310022B05Rik	0.99946	50.29	0.79	rgb(226, 66, 68)	1.9968	2,2
Hif1a	Jmjd6	0.99946	50.29	0.79	rgb(226, 66, 68)	1.9968	None
Stat4	Tbx21	0.99946	50.35	0.851	rgb(226, 55, 56)	1.998	None
Zfp385a	Zmat3	0.99944	50.29	0.795	rgb(226, 65, 67)	1.9968	2,2
Crem	Vps37b	0.99931	50.31	0.809	rgb(226, 62, 64)	1.9972	None
Hif1a	1190002N15Rik	0.99931	50.27	0.774	rgb(226, 69, 71)	1.9964	None
Hif1a	Aldoa	0.99931	50.27	0.773	rgb(225, 69, 71)	1.9964	None
Irf2	Cxcr4	-0.99931	50.34	-8.4E-01	rgb( 35,106,249)	1.9978	None
Irf7	Xaf1	0.99931	50.31	0.814	rgb(226, 61, 63)	1.9972	None
Irf9	Irf7	0.99931	50.31	0.813	rgb(226, 62, 63)	1.9972	2,2
Zfp382	Id1	-0.99931	50.34	-8.4E-01	rgb( 35,106,249)	1.9978	None
Zfp367	Dtl	0.99925	50.28	0.783	rgb(226, 68, 69)	1.9966	2,2
Zfp385a	Eng	0.99925	50.28	0.781	rgb(226, 68, 69)	1.9966	2,2
