TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.93	0.931	rgb(227, 39, 41)	2	2,2
Irf7	Rtp4	0.99686	50.89	0.886	rgb(227, 48, 50)	1.9992	2,2
Irf1	Nlrc5	0.99372	50.86	0.856	rgb(226, 53, 55)	1.9986	None
Srf	Adarb1	0.99372	50.86	0.857	rgb(226, 53, 55)	1.9986	None
Yy2	Smek1	0.99372	50.86	0.856	rgb(226, 53, 55)	1.9986	None
Irf1	Tbx21	0.99058	50.83	0.828	rgb(226, 59, 61)	1.998	2,2
Zfp536	Lpin3	0.99058	50.83	0.828	rgb(226, 59, 60)	1.998	2,2
Irf7	Rsad2	0.98744	50.81	0.813	rgb(226, 62, 63)	1.9976	None
Mxi1	Cxcr4	0.98744	50.81	0.81	rgb(226, 62, 64)	1.9976	None
Nfkb1	Emb	-0.98744	50.81	-8.1E-01	rgb( 41,110,248)	1.9976	None
Sp2	E2f7	0.98744	50.81	0.814	rgb(226, 61, 63)	1.9976	None
Sp2	Zfp592	0.98744	50.81	0.806	rgb(226, 63, 65)	1.9976	None
Srebf1	Sqle	0.98744	50.81	0.809	rgb(226, 62, 64)	1.9976	None
Ahctf1	Zcchc2	0.9843	50.79	0.787	rgb(226, 67, 68)	1.9972	None
Nfatc1	Foxp4	0.9843	50.79	0.788	rgb(226, 67, 68)	1.9972	None
Sp2	Smg5	0.9843	50.79	0.789	rgb(226, 66, 68)	1.9972	None
Irf7	Xaf1	0.98116	50.78	0.781	rgb(226, 68, 69)	1.997	None
Irf7	BC094916	0.97802	50.77	0.773	rgb(225, 69, 71)	1.9968	None
Rorc	Lingo4	0.97802	50.77	0.766	rgb(225, 71, 72)	1.9968	2,2
Sp2	Zfp318	0.97802	50.77	0.766	rgb(225, 71, 72)	1.9968	None
Zfp595	Zbed4	0.97802	50.77	0.767	rgb(225, 70, 72)	1.9968	2,2
Elf1	Arhgef6	0.97488	50.76	0.764	rgb(225, 71, 73)	1.9966	None
Irf7	Cmpk2	0.97488	50.76	0.759	rgb(225, 72, 74)	1.9966	2,2
Irf7	Ifit3	0.97488	50.76	0.759	rgb(225, 72, 74)	1.9966	2,2
Smad3	Cyr61	-0.97488	50.76	-7.6E-01	rgb( 51,116,246)	1.9966	None
Sp2	Ckmt1	-0.97488	50.76	-7.6E-01	rgb( 53,117,246)	1.9966	None
Mxd3	Smtn	0.97488	50.76	0.762	rgb(225, 72, 73)	1.9966	2,2
Zfp35	Zscan21	0.97488	50.76	0.759	rgb(225, 72, 74)	1.9966	2,2
Irf9	Irf7	0.97174	50.75	0.747	rgb(225, 74, 76)	1.9964	2,2
Zfp467	Wnt10a	0.97174	50.75	0.748	rgb(225, 74, 76)	1.9964	None
Epas1	Gata3	0.96861	50.74	0.739	rgb(225, 76, 77)	1.9962	2,2
Srebf2	Dhcr24	0.96861	50.74	0.74	rgb(225, 76, 77)	1.9962	2,2
Zfp263	Gpsm2	-0.96861	50.74	-7.4E-01	rgb( 55,119,245)	1.9962	None
Atf5	Slc3a2	0.96547	50.73	0.731	rgb(225, 77, 79)	1.996	None
E2f1	Exo1	0.96547	50.73	0.732	rgb(225, 77, 79)	1.996	None
Irf7	I830012O16Rik	0.96547	50.73	0.726	rgb(225, 78, 80)	1.996	2,2
Tcf3	Plekhg5	0.96547	50.73	0.725	rgb(225, 78, 80)	1.996	None
Atf5	Minpp1	-0.96233	50.72	-7.2E-01	rgb( 62,123,244)	1.9958	2,2
Ddit3	Stard5	0.96233	50.72	0.718	rgb(225, 80, 81)	1.9958	2,2
Ets1	Fam102a	0.96233	50.72	0.718	rgb(225, 80, 81)	1.9958	None
Hif1a	Hook2	0.96233	50.72	0.717	rgb(225, 80, 81)	1.9958	None
Hsf1	Smyd5	0.96233	50.72	0.718	rgb(225, 80, 81)	1.9958	None
Irf1	Gbp6	0.96233	50.72	0.723	rgb(225, 79, 80)	1.9958	2,2
Irf5	St14	0.96233	50.72	0.719	rgb(225, 80, 81)	1.9958	2,2
Lyl1	Kdelc2	0.96233	50.72	0.718	rgb(225, 80, 81)	1.9958	None
Sp2	Crtc1	0.96233	50.72	0.719	rgb(225, 80, 81)	1.9958	None
Sp2	Dach2	-0.96233	50.72	-7.2E-01	rgb( 60,121,245)	1.9958	None
Sp2	Lrrc28	-0.96233	50.72	-7.2E-01	rgb( 61,122,244)	1.9958	None
Srebf1	Fads2	0.96233	50.72	0.72	rgb(225, 80, 81)	1.9958	2,2
Zfp219	Stat4	0.96233	50.72	0.719	rgb(225, 80, 81)	1.9958	None
Cux1	Epb4.1l2	0.95919	50.71	0.71	rgb(225, 81, 83)	1.9956	2,2
Elf1	Pde7a	0.95919	50.71	0.706	rgb(225, 82, 84)	1.9956	None
Foxs1	Mylk2	0.95919	50.71	0.709	rgb(225, 82, 83)	1.9956	2,2
Irf1	Gbp5	0.95919	50.71	0.709	rgb(225, 82, 83)	1.9956	None
Irf1	Tgtp2	0.95919	50.71	0.707	rgb(225, 82, 83)	1.9956	None
Irf7	2010002M12Rik	0.95919	50.71	0.71	rgb(225, 81, 83)	1.9956	2,2
Irf7	Oasl2	0.95919	50.71	0.706	rgb(225, 82, 84)	1.9956	2,2
Junb	Hook2	0.95919	50.71	0.712	rgb(225, 81, 82)	1.9956	None
Maf	Emp1	0.95919	50.71	0.71	rgb(225, 81, 83)	1.9956	None
Rxra	Olfm2	0.95919	50.71	0.706	rgb(225, 82, 84)	1.9956	None
Smad3	Socs3	0.95919	50.71	0.708	rgb(225, 82, 83)	1.9956	None
Sp2	BC026585	-0.95919	50.71	-7.1E-01	rgb( 64,124,244)	1.9956	None
Sp2	Cdc25b	0.95919	50.71	0.709	rgb(225, 82, 83)	1.9956	None
Thra	Nr1d1	0.95919	50.71	0.713	rgb(225, 81, 82)	1.9956	2,2
Xbp1	9930014A18Rik	-0.95919	50.71	-7.1E-01	rgb( 63,123,244)	1.9956	None
Zfp429	Zfp874a	0.95919	50.71	0.711	rgb(225, 81, 83)	1.9956	2,2
Zfp629	Ttbk2	0.95919	50.71	0.713	rgb(225, 81, 82)	1.9956	2,2
Atf3	Hdc	0.95605	50.7	0.702	rgb(225, 83, 84)	1.9954	2,2
