TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	0.73527	50.41	0.907	rgb(227, 44, 46)	2	2,2
Irf7	Rtp4	0.73527	50.39	0.886	rgb(227, 48, 50)	1.9996	2,2
Irf9	Irf7	0.73527	50.36	0.859	rgb(226, 53, 55)	1.999	2,2
Srf	Adarb1	0.73527	50.36	0.864	rgb(227, 52, 54)	1.999	None
Irf1	Nlrc5	0.73527	50.35	0.855	rgb(226, 54, 55)	1.9988	None
Zfp536	Lpin3	0.73527	50.34	0.837	rgb(226, 57, 59)	1.9986	2,2
Irf1	Tbx21	0.73527	50.33	0.831	rgb(226, 58, 60)	1.9984	2,2
Nfkb1	Emb	-0.73527	50.32	-8.2E-01	rgb( 39,109,248)	1.9982	None
Smad3	Cyr61	-0.73527	50.32	-8.2E-01	rgb( 40,109,248)	1.9982	None
Sp2	E2f7	0.73527	50.32	0.819	rgb(226, 61, 62)	1.9982	None
Sp2	Zfp592	0.73527	50.31	0.81	rgb(226, 62, 64)	1.998	None
Mxi1	Cxcr4	0.73527	50.3	0.803	rgb(226, 64, 65)	1.9978	None
Ahctf1	Zcchc2	0.73527	50.29	0.786	rgb(226, 67, 68)	1.9976	None
Irf7	Ifit3	0.73527	50.29	0.792	rgb(226, 66, 67)	1.9976	2,2
Nfatc1	Foxp4	0.73527	50.29	0.788	rgb(226, 67, 68)	1.9976	None
E2f1	Rpa2	0.73527	50.28	0.782	rgb(226, 68, 69)	1.9974	None
Irf7	Rsad2	0.73527	50.28	0.782	rgb(226, 68, 69)	1.9974	None
Sp110	Gbp6	0.73527	50.27	0.769	rgb(225, 70, 72)	1.9972	2,2
Srebf1	Sqle	0.73527	50.27	0.769	rgb(225, 70, 72)	1.9972	None
Zfp35	Zscan21	0.73527	50.27	0.768	rgb(225, 70, 72)	1.9972	2,2
E2f1	Exo1	0.73527	50.26	0.761	rgb(225, 72, 73)	1.997	None
Elf1	Arhgef6	0.73527	50.26	0.763	rgb(225, 71, 73)	1.997	None
Sp2	Ckmt1	-0.73527	50.26	-7.6E-01	rgb( 53,117,246)	1.997	None
Thra	Nr1d1	0.73527	50.26	0.759	rgb(225, 72, 74)	1.997	2,2
Ahrr	Cyp1b1	0.73527	50.25	0.753	rgb(225, 73, 75)	1.9968	2,2
Irf1	Gm4841	0.73527	50.25	0.749	rgb(225, 74, 76)	1.9968	2,2
Rorc	Lingo4	0.73527	50.25	0.754	rgb(225, 73, 75)	1.9968	2,2
Sp2	Cdc25b	0.73527	50.25	0.754	rgb(225, 73, 74)	1.9968	None
Epas1	Gata3	0.73527	50.24	0.741	rgb(225, 76, 77)	1.9966	2,2
Irf7	Cmpk2	0.73527	50.24	0.737	rgb(225, 76, 78)	1.9966	2,2
Irf7	Xaf1	0.73527	50.24	0.744	rgb(225, 75, 76)	1.9966	None
Rfx1	Psme1	-0.73527	50.24	-7.4E-01	rgb( 56,119,245)	1.9966	None
