TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp629	Ttbk2	0.99998	50.205	0.702	rgb(225, 83, 84)	2	2,2
Zfp367	Exo1	0.99996	50.165	0.666	rgb(224, 90, 91)	1.9992	2,2
Mxd3	Cdc25b	0.99994	50.165	0.663	rgb(224, 90, 92)	1.9992	2,2
Zfp277	Tmem35	0.99993	50.15	0.648	rgb(224, 93, 94)	1.9989	2,2
Zfp536	Tekt2	0.99991	50.15	0.649	rgb(224, 93, 94)	1.9989	2,2
Zfp385a	Zmat3	0.99989	50.145	0.648	rgb(224, 93, 95)	1.9988	2,2
Sgsm2	Tert	0.99987	50.14	0.642	rgb(224, 94, 96)	1.9987	2,2
Zfp367	Rpa2	0.99985	50.125	0.621	rgb(224, 98,100)	1.9984	2,2
Zfp473	Fkrp	-0.99983	50.125	-6.3E-01	rgb( 81,134,241)	1.9984	2,2
Rorc	Ccdc63	0.99981	50.14	0.638	rgb(224, 95, 96)	1.9987	None
Zfp429	Megf8	-0.9998	50.135	-6.4E-01	rgb( 79,133,241)	1.9986	2,2
Zfp385a	Zfp365	0.99978	50.11	0.61	rgb(224,100,102)	1.9981	2,2
Zfp169	Inpp4a	0.99976	50.11	0.607	rgb(224,101,102)	1.9981	2,2
Zfp787	Ocrl	-0.99974	50.1	-6.0E-01	rgb( 87,138,240)	1.9979	2,2
Zfp385a	Eng	0.99972	50.14	0.64	rgb(224, 95, 96)	1.9987	2,2
Trps1	Sirpa	-0.9997	50.09	-5.9E-01	rgb( 89,139,239)	1.9977	2,2
Zscan29	Smarca2	0.99968	50.1	0.604	rgb(224,102,103)	1.9979	2,2
Zfp329	A230072C01Rik	0.99966	50.09	0.589	rgb(223,105,106)	1.9977	2,2
C030039L03Rik	Gapdhs	0.99965	50.085	0.583	rgb(223,106,107)	1.9976	2,2
Zfp277	Fam120c	-0.99963	50.125	-6.2E-01	rgb( 82,135,241)	1.9984	2,2
Thap3	Dpm3	0.99961	50.08	0.581	rgb(223,106,107)	1.9975	2,2
Dpf1	Porcn	0.99959	50.08	0.581	rgb(223,106,107)	1.9975	2,2
Whsc1	D830031N03Rik	0.99957	50.09	0.59	rgb(223,104,106)	1.9977	2,2
Tigd2	Utf1	-0.99955	50.1	-6.0E-01	rgb( 87,138,240)	1.9979	2,2
Trps1	Edn3	-0.99953	50.07	-5.7E-01	rgb( 93,142,239)	1.9973	2,2
Ncoa1	Tmem184b	0.99952	50.075	0.572	rgb(223,108,109)	1.9974	2,2
Zfp536	Rpl10a	0.9995	50.07	0.57	rgb(223,108,109)	1.9973	2,2
Zfp329	Neat1	0.99948	50.065	0.565	rgb(223,109,110)	1.9972	2,2
Plscr1	Clic4	0.99946	50.085	0.585	rgb(223,105,106)	1.9976	2,2
Foxp1	Dgat1	-0.99944	50.065	-5.6E-01	rgb( 95,143,238)	1.9972	2,2
Zfp750	Robo3	0.9994	50.06	0.559	rgb(223,110,111)	1.9971	2,2
Zfp960	Ifi204	0.9994	50.06	0.561	rgb(223,110,111)	1.9971	2,2
Lyl1	Lix1l	0.99939	50.055	0.556	rgb(223,111,112)	1.997	None
Zeb2	Srgap3	0.99937	50.055	0.557	rgb(223,111,112)	1.997	2,2
Zfp277	Amz2	0.99935	50.05	0.548	rgb(223,112,113)	1.9969	2,2
Ankzf1	Rbfox2	0.99933	50.085	0.586	rgb(223,105,106)	1.9976	2,2
Mxd3	Smtn	0.99931	50.095	0.594	rgb(224,103,105)	1.9978	2,2
Zfp385a	Rnf169	0.99929	50.05	0.549	rgb(223,112,113)	1.9969	2,2
Zfp429	Apold1	-0.99927	50.085	-5.9E-01	rgb( 90,140,239)	1.9976	2,2
Tet2	Gprin3	0.99925	50.045	0.544	rgb(223,113,114)	1.9968	2,2
Sgsm2	Unc93b1	0.99924	50.045	0.547	rgb(223,113,114)	1.9968	2,2
Zbed3	Zkscan17	0.99922	50.12	0.62	rgb(224, 99,100)	1.9983	2,2
Zbed6	Zfp445	0.9992	50.04	0.542	rgb(223,113,115)	1.9967	2,2
Patz1	Dusp6	0.99918	50.05	0.553	rgb(223,111,113)	1.9969	None
Zfp608	Gap43	0.99916	50.04	0.54	rgb(223,114,115)	1.9967	2,2
Ankzf1	Rgs11	0.99914	50.045	0.542	rgb(223,113,115)	1.9968	2,2
Skil	Slco4a1	-0.99912	50.05	-5.5E-01	rgb( 98,144,238)	1.9969	2,2
Zfp367	Apitd1	0.99911	50.065	0.564	rgb(223,109,110)	1.9972	2,2
Atmin	Gramd1b	0.99909	50.03	0.53	rgb(223,116,117)	1.9965	2,2
Eea1	Ctsw	-0.99907	50.03	-5.3E-01	rgb(102,147,237)	1.9965	2,2
Zfp367	Dtl	0.99905	50.105	0.608	rgb(224,101,102)	1.998	2,2
Tmf1	Pik3ca	0.99901	50.025	0.527	rgb(223,116,117)	1.9964	2,2
Zeb2	Ptger2	0.99901	50.025	0.521	rgb(223,117,118)	1.9964	2,2
Mybl1	Anln	0.99899	50.03	0.527	rgb(223,116,117)	1.9965	None
Tal2	Tmem38b	0.99898	50.08	0.577	rgb(223,107,108)	1.9975	2,2
Zfp429	Snhg6	0.99896	50.035	0.535	rgb(223,115,116)	1.9966	2,2
Zbtb17	Cln5	-0.99894	50.03	-5.3E-01	rgb(102,147,237)	1.9965	2,2
Mxi1	Mecr	0.99892	50.025	0.027	rgb(217,212,212)	1.9964	2,2
Zfp184	Maoa	0.9989	50.03	0.531	rgb(223,116,117)	1.9965	2,2
C030039L03Rik	Ankzf1	0.99888	50.085	0.585	rgb(223,105,106)	1.9976	2,2
Zfp429	Ankrd33b	0.99886	50.015	0.515	rgb(223,119,120)	1.9962	2,2
Zfp35	Zscan21	0.99884	50.04	0.539	rgb(223,114,115)	1.9967	2,2
Fbxl19	Fth1	-0.99881	50.01	-5.1E-01	rgb(106,149,236)	1.9961	2,2
Zfp367	Fam111a	0.99881	50.01	0.509	rgb(223,120,121)	1.9961	2,2
Zeb2	Spint1	0.99879	50.095	0.596	rgb(224,103,104)	1.9978	2,2
Zfp750	Ckmt1	0.99877	50.01	0.509	rgb(223,120,121)	1.9961	2,2
C030039L03Rik	Atp7b	0.99871	50.005	0.506	rgb(223,120,121)	1.996	2,2
Zfp365	Psrc1	0.99871	50.005	0.508	rgb(223,120,121)	1.996	2,2
Zfp808	Rfwd3	0.99871	50.005	0.503	rgb(223,121,122)	1.996	2,2
Eea1	Gigyf2	0.9987	50.015	0.512	rgb(223,119,120)	1.9962	2,2
Litaf	Tfpi	-0.99868	50.03	-5.3E-01	rgb(102,147,237)	1.9965	2,2
Gm14420	Gm2011	0.99866	50.02	0.522	rgb(223,117,118)	1.9963	2,2
Jazf1	Mid2	0.99864	50.01	0.509	rgb(223,120,121)	1.9961	2,2
Hmgb1	AI506816	0.99862	50.01	0.508	rgb(223,120,121)	1.9961	2,2
Cxxc5	Nod1	0.9986	50.07	0.568	rgb(223,108,110)	1.9973	2,2
E2f1	Phospho1	0.99858	50.055	0.556	rgb(223,111,112)	1.997	None
Crem	Vps37b	0.99857	50.12	0.621	rgb(224, 98,100)	1.9983	None
Zfp429	Fbxo44	0.99855	50	0.5	rgb(223,121,122)	1.9959	2,2
Sp6	Ell2	0.99853	49.995	0.495	rgb(222,122,123)	1.9958	None
Zeb2	Akr1b8	0.99849	49.995	0.496	rgb(222,122,123)	1.9958	2,2
Zeb2	Sytl3	0.99849	49.995	0.492	rgb(222,123,124)	1.9958	2,2
Zeb2	Serpine1	0.99847	50	0.5	rgb(223,121,122)	1.9959	2,2
Ankzf1	3110057O12Rik	0.99845	50.04	0.542	rgb(223,114,115)	1.9967	2,2
Zfp64	Fbxw2	-0.99843	50	-5.0E-01	rgb(109,151,236)	1.9959	2,2
