TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Egln1	0.80846	50.4	0.897	rgb(227, 46, 48)	2	None
Hif1a	Pgm2	0.80846	50.38	0.881	rgb(227, 49, 50)	1.9996	None
Hif1a	Ero1l	0.80846	50.35	0.845	rgb(226, 56, 57)	1.999	None
E2f4	Mxd3	0.80846	50.33	0.828	rgb(226, 59, 61)	1.9986	None
Hif1a	Bnip3	0.80846	50.32	0.82	rgb(226, 60, 62)	1.9984	None
Hif1a	Ppme1	0.80846	50.31	0.812	rgb(226, 62, 64)	1.9982	None
Hif1a	Slc2a1	0.80846	50.31	0.808	rgb(226, 63, 64)	1.9982	2,2
Hif1a	2310022B05Rik	0.80846	50.29	0.79	rgb(226, 66, 68)	1.9978	2,2
Hif1a	Jmjd6	0.80846	50.29	0.79	rgb(226, 66, 68)	1.9978	None
Hif1a	1190002N15Rik	0.80846	50.27	0.774	rgb(226, 69, 71)	1.9974	None
Hif1a	Aldoa	0.80846	50.27	0.773	rgb(225, 69, 71)	1.9974	2,2
Etv6	Rpp14	0.80846	50.26	0.759	rgb(225, 72, 74)	1.9972	None
Hif1a	3110057O12Rik	0.80846	50.26	0.758	rgb(225, 72, 74)	1.9972	2,2
Hif1a	Hk1	0.80846	50.26	0.755	rgb(225, 73, 74)	1.9972	None
Hif1a	Mboat2	0.80846	50.26	0.764	rgb(225, 71, 73)	1.9972	2,2
Zbtb7b	Decr1	-0.80846	50.26	-7.6E-01	rgb( 52,117,246)	1.9972	None
Hif1a	Arrb1	0.80846	50.25	0.754	rgb(225, 73, 75)	1.997	None
Hif1a	Slc2a3	0.80846	50.25	0.754	rgb(225, 73, 74)	1.997	2,2
E2f4	Rfwd3	0.80846	50.24	0.739	rgb(225, 76, 77)	1.9968	None
Zbed3	Zkscan17	0.80846	50.24	0.743	rgb(225, 75, 77)	1.9968	2,2
Bcl6	Fam131b	0.80846	50.23	0.728	rgb(225, 78, 79)	1.9966	None
Sall4	Foxp3	0.80846	50.23	0.732	rgb(225, 77, 79)	1.9966	None
Sp3	Stom	0.80846	50.23	0.728	rgb(225, 78, 79)	1.9966	None
Zeb2	Spint1	0.80846	50.23	0.73	rgb(225, 78, 79)	1.9966	2,2
Zfp367	Dtl	0.80846	50.23	0.734	rgb(225, 77, 78)	1.9966	2,2
Zfp629	Ttbk2	0.80846	50.23	0.729	rgb(225, 78, 79)	1.9966	2,2
Hif1a	H2-Ab1	0.80846	50.22	0.72	rgb(225, 79, 81)	1.9964	2,2
Hif1a	Narf	0.80846	50.22	0.721	rgb(225, 79, 81)	1.9964	None
Hif1a	Smtnl2	0.80846	50.22	0.725	rgb(225, 79, 80)	1.9964	2,2
Gm14420	Cdkn2d	0.80846	50.22	0.715	rgb(225, 80, 82)	1.9964	2,2
Hif1a	Pgam1	0.80846	50.21	0.715	rgb(225, 80, 82)	1.9962	None
Smad3	Olfm2	0.80846	50.21	0.709	rgb(225, 82, 83)	1.9962	None
Csrnp1	Mxd1	0.80846	50.21	0.707	rgb(225, 82, 83)	1.9962	2,2
Mbd6	Crtc1	0.80846	50.21	0.712	rgb(225, 81, 82)	1.9962	2,2
Zfp536	Itsn1	0.80846	50.21	0.715	rgb(225, 80, 82)	1.9962	2,2
C030039L03Rik	Ankzf1	0.80846	50.2	0.7	rgb(225, 83, 85)	1.996	2,2
