TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp536	Lpin3	0.99998	50.2625	0.763	rgb(225, 71, 73)	2	2,2
Zfp629	Ttbk2	0.99996	50.21	0.709	rgb(225, 82, 83)	1.999	2,2
Zfp385a	Zmat3	0.99994	50.22	0.721	rgb(225, 79, 81)	1.9992	2,2
Zfp367	Exo1	0.99993	50.185	0.682	rgb(225, 87, 88)	1.9985	2,2
Gm14420	Gm2011	0.99991	50.135	0.636	rgb(224, 95, 97)	1.9975	2,2
Zfp385a	Eng	0.99989	50.1725	0.67	rgb(224, 89, 90)	1.9982	2,2
Zfp536	Tekt2	0.99987	50.175	0.674	rgb(224, 88, 90)	1.9983	2,2
Zfp429	Megf8	-0.99985	50.1225	-6.2E-01	rgb( 82,135,241)	1.9972	2,2
Zfp367	Dtl	0.99983	50.215	0.718	rgb(225, 80, 81)	1.9991	2,2
Zfp385a	Abhd4	0.99981	50.15	0.65	rgb(224, 93, 94)	1.9978	2,2
Zfp948	Ankrd23	0.9998	50.1375	0.638	rgb(224, 95, 96)	1.9975	2,2
Mxd3	Cdc25b	0.99978	50.135	0.636	rgb(224, 96, 97)	1.9975	2,2
Sgsm2	Tert	0.99976	50.105	0.603	rgb(224,102,103)	1.9969	2,2
Zfp277	Tmem35	0.99974	50.0875	0.587	rgb(223,105,106)	1.9965	2,2
Zfp329	A230072C01Rik	0.99972	50.0875	0.592	rgb(224,104,105)	1.9965	2,2
Zfp385a	Ptp4a3	0.9997	50.0775	0.576	rgb(223,107,108)	1.9963	2,2
Rbck1	Dnajc21	-0.99968	50.0775	-5.8E-01	rgb( 92,141,239)	1.9963	2,2
Zfp787	Ocrl	-0.99966	50.0875	-5.9E-01	rgb( 90,139,239)	1.9965	2,2
Zfp169	Inpp4a	0.99965	50.085	0.587	rgb(223,105,106)	1.9965	2,2
Zfp385a	Zfp365	0.99963	50.0675	0.568	rgb(223,109,110)	1.9961	2,2
Zfp35	Zscan21	0.99961	50.0625	0.563	rgb(223,109,111)	1.996	2,2
Zfp386	Spry1	-0.99959	50.055	-5.6E-01	rgb( 97,144,238)	1.9959	2,2
Zfp385a	Rnf169	0.99957	50.0825	0.58	rgb(223,106,107)	1.9964	2,2
Zfp473	Fkrp	-0.99955	50.13	-6.3E-01	rgb( 80,134,241)	1.9974	2,2
Tal2	Tmem38b	0.99953	50.075	0.575	rgb(223,107,108)	1.9963	2,2
Tigd2	Utf1	-0.99952	50.0575	-5.6E-01	rgb( 96,143,238)	1.9959	2,2
Zfp429	Snhg6	0.9995	50.0825	0.584	rgb(223,105,107)	1.9964	2,2
Zfp367	Fam111a	0.99948	50.0425	0.542	rgb(223,113,115)	1.9956	2,2
C030039L03Rik	Atp7b	0.99946	50.0475	0.549	rgb(223,112,113)	1.9957	2,2
Thap3	Dpm3	0.99944	50.04	0.541	rgb(223,114,115)	1.9956	2,2
Zfp629	Trpv2	-0.99942	50.0525	-5.5E-01	rgb( 97,144,238)	1.9958	2,2
C030039L03Rik	Ankzf1	0.9994	50.075	0.576	rgb(223,107,108)	1.9963	2,2
Zfp429	Zfp874a	0.99939	50.04	0.539	rgb(223,114,115)	1.9956	2,2
Zfp358	Sorcs2	-0.99937	50.035	-5.4E-01	rgb(100,146,237)	1.9955	2,2
Zfp429	H60c	-0.99935	50.0425	-5.4E-01	rgb(100,146,238)	1.9956	2,2
Zfp429	Ubiad1	-0.99933	50.0225	-5.2E-01	rgb(104,148,237)	1.9952	2,2
Zfp536	Rpl10a	0.99931	50.0475	0.552	rgb(223,112,113)	1.9957	2,2
Sgsm2	Unc93b1	0.99929	50.0275	0.526	rgb(223,117,118)	1.9953	2,2
Zfp367	Rpa2	0.99927	50.065	0.566	rgb(223,109,110)	1.9961	2,2
Zfp429	Trim12a	0.99925	50.015	0.515	rgb(223,119,120)	1.9951	2,2
Zbed3	Zkscan17	0.99924	50.08	0.58	rgb(223,106,107)	1.9964	2,2
Zfp365	Psrc1	0.99922	50.0375	0.537	rgb(223,114,115)	1.9955	2,2
Zfp536	Itsn1	0.9992	50.0875	0.589	rgb(223,105,106)	1.9965	2,2
Foxp2	Sh2d4a	0.99918	50.01	0.508	rgb(223,120,121)	1.995	2,2
Mxd3	Smtn	0.99916	50.0425	0.541	rgb(223,114,115)	1.9956	2,2
Cux1	Epb4.1l2	0.99914	50.0825	0.585	rgb(223,105,106)	1.9964	2,2
Tigd2	Gprin3	0.99912	50.005	0.506	rgb(223,120,121)	1.9949	2,2
Mbnl2	Pak1	0.99911	50.025	0.526	rgb(223,117,118)	1.9953	2,2
Zfp385a	Zfp750	0.99909	50.03	0.531	rgb(223,116,117)	1.9954	2,2
Zfp385a	Dcxr	0.99907	50.0125	0.512	rgb(223,119,120)	1.995	2,2
Zfp771	Tmem158	0.99905	50.0175	0.519	rgb(223,118,119)	1.9951	2,2
Zfp787	Zfp668	0.99903	50.0175	0.519	rgb(223,118,119)	1.9951	2,2
Cxxc5	Nod1	0.99901	50.02	0.518	rgb(223,118,119)	1.9952	2,2
Zfp385a	Cox6b2	0.99899	50	0.498	rgb(222,122,123)	1.9948	2,2
Zbed6	Cnot1	0.99898	50.0075	0.508	rgb(223,120,121)	1.9949	2,2
Zbtb32	Trpv2	0.99896	50	0.5	rgb(223,121,122)	1.9948	2,2
C030039L03Rik	Muc2	0.99894	50.0375	0.536	rgb(223,115,116)	1.9955	2,2
Zfp951	Guca1b	0.99892	50.04	0.54	rgb(223,114,115)	1.9956	2,2
Zbtb17	Cln5	-0.9989	49.995	-4.9E-01	rgb(110,152,236)	1.9947	2,2
Zhx2	Sema6b	-0.99888	50.02	-5.2E-01	rgb(104,149,237)	1.9952	2,2
Zfp280c	Rfx7	0.99886	50.0425	0.542	rgb(223,113,115)	1.9956	2,2
Zfp629	Tbc1d16	0.99884	49.9975	0.498	rgb(222,122,123)	1.9947	2,2
Zfp429	Dixdc1	-0.99883	50	-5.0E-01	rgb(109,151,236)	1.9948	2,2
Zfp882	Proz	0.99881	50.0125	0.514	rgb(223,119,120)	1.995	2,2
Zfp750	Pik3r3	0.99879	50.0025	0.502	rgb(223,121,122)	1.9948	2,2
Lcorl	Cmtm4	0.99877	49.985	0.482	rgb(222,125,126)	1.9945	2,2
Casz1	Dusp8	0.99875	49.99	0.491	rgb(222,123,124)	1.9946	2,2
Zfp385a	Phlda3	0.99873	49.99	0.49	rgb(222,123,124)	1.9946	2,2
Mxd4	Ypel3	0.99871	50.025	0.527	rgb(223,116,117)	1.9953	2,2
C030039L03Rik	Gapdhs	0.9987	50.06	0.559	rgb(223,110,111)	1.996	2,2
Zkscan17	Icam2	-0.99868	49.9775	-4.8E-01	rgb(113,154,235)	1.9943	2,2
Dzip1	Uggt2	0.99866	50.015	0.516	rgb(223,118,119)	1.9951	2,2
Zfp516	Plag1	0.99864	49.9875	0.488	rgb(222,124,125)	1.9945	2,2
Terf1	2310033P09Rik	0.99862	49.985	0.484	rgb(222,125,125)	1.9945	2,2
Ncoa1	Tmem184b	0.9986	49.97	0.472	rgb(222,127,128)	1.9942	2,2
Zfp808	Rfwd3	0.99858	50.0275	0.528	rgb(223,116,117)	1.9953	2,2
Zfp64	Fbxw2	-0.99857	49.995	-4.9E-01	rgb(110,152,236)	1.9947	2,2
Ankzf1	Rgs11	0.99855	49.9875	0.488	rgb(222,124,125)	1.9945	2,2
Zfp329	Neat1	0.99853	49.995	0.494	rgb(222,123,124)	1.9947	2,2
