TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	0.99994	50.44	0.936	rgb(227, 38, 40)	1.9998	None
Rarg	Il17a	0.99994	50.45	0.946	rgb(227, 36, 38)	2	None
Tbx21	Tbkbp1	0.99994	50.42	0.916	rgb(227, 42, 44)	1.9994	2,2
E2f4	E2f7	0.99989	50.37	0.874	rgb(227, 50, 52)	1.9984	None
Hif1a	Egln1	0.99989	50.37	0.869	rgb(227, 51, 53)	1.9984	None
Relb	Pigr	0.99989	50.44	0.94	rgb(227, 37, 39)	1.9998	None
Irf1	Nlrc5	0.99983	50.36	0.865	rgb(227, 52, 54)	1.9982	2,2
Klf8	Fn1	-0.99983	50.43	-9.3E-01	rgb( 16, 95,252)	1.9996	None
Srebf1	Fads2	0.99983	50.37	0.868	rgb(227, 51, 53)	1.9984	2,2
E2f4	Wdr76	0.99976	50.36	0.857	rgb(226, 53, 55)	1.9982	None
Hif1a	Pgm2	0.99976	50.36	0.856	rgb(226, 54, 55)	1.9982	None
Sp110	Cdkn2d	0.99976	50.33	0.834	rgb(226, 58, 59)	1.9976	2,2
Srf	Adarb1	0.99976	50.31	0.808	rgb(226, 63, 64)	1.9972	None
Egr2	Fasl	-0.9997	50.38	-8.8E-01	rgb( 26,101,250)	1.9986	None
Irf7	Xaf1	0.9997	50.3	0.798	rgb(226, 65, 66)	1.997	None
Trerf1	Cd86	-0.9997	50.38	-8.8E-01	rgb( 26,101,251)	1.9986	None
Hif1a	Bnip3	0.99963	50.34	0.843	rgb(226, 56, 58)	1.9978	None
Hif1a	Ero1l	0.99963	50.34	0.843	rgb(226, 56, 58)	1.9978	None
Irf7	Rsad2	0.99963	50.32	0.82	rgb(226, 60, 62)	1.9974	None
Zfp182	Fyco1	0.99963	50.32	0.823	rgb(226, 60, 61)	1.9974	2,2
Hsf2	Tnfsf11	0.99955	50.37	0.872	rgb(227, 50, 52)	1.9984	None
Ncoa3	Npas2	0.99955	50.37	0.872	rgb(227, 50, 52)	1.9984	None
Srebf2	Dhcr24	0.99955	50.31	0.806	rgb(226, 63, 65)	1.9972	2,2
Zfp367	Dtl	0.99955	50.33	0.834	rgb(226, 58, 59)	1.9976	2,2
Elf1	Arhgef6	0.99948	50.29	0.793	rgb(226, 66, 67)	1.9968	None
Elf1	Pde7a	0.99948	50.29	0.792	rgb(226, 66, 67)	1.9968	None
Rorc	Lingo4	0.99948	50.36	0.862	rgb(226, 52, 54)	1.9982	2,2
Sp2	Brd3	0.99948	50.29	0.786	rgb(226, 67, 68)	1.9968	None
Stat4	Tbx21	0.99946	50.35	0.851	rgb(226, 55, 56)	1.998	None
Hey1	Ddx51	0.99939	50.31	0.809	rgb(226, 63, 64)	1.9972	None
Hif1a	H2-Ab1	0.99939	50.31	0.811	rgb(226, 62, 64)	1.9972	2,2
Hif1a	Hk1	0.99939	50.31	0.814	rgb(226, 62, 63)	1.9972	None
Zfp385a	Zmat3	0.99939	50.29	0.795	rgb(226, 65, 67)	1.9968	2,2
Irf2	Cxcr4	-0.99935	50.34	-8.4E-01	rgb( 35,106,249)	1.9978	None
Zfp382	Id1	-0.99935	50.34	-8.4E-01	rgb( 35,106,249)	1.9978	None
Zfp385a	Eng	0.99931	50.28	0.781	rgb(226, 68, 69)	1.9966	2,2
Zfp536	Lpin3	0.99931	50.33	0.832	rgb(226, 58, 60)	1.9976	2,2
Atf3	Nfil3	0.9992	50.28	0.781	rgb(226, 68, 69)	1.9966	None
Fosl1	Mapkbp1	0.9992	50.3	0.796	rgb(226, 65, 67)	1.997	None
Hic1	Itga4	0.9992	50.28	0.78	rgb(226, 68, 70)	1.9966	None
Hif1a	Ppme1	0.9992	50.3	0.796	rgb(226, 65, 67)	1.997	None
Irf7	Ifit3	0.9992	50.28	0.775	rgb(226, 69, 70)	1.9966	None
Zeb2	Akr1b8	0.9992	50.3	0.802	rgb(226, 64, 65)	1.997	2,2
Hif1a	Jmjd6	0.99911	50.29	0.785	rgb(226, 67, 69)	1.9968	None
Mxd3	Cdc25b	0.99911	50.27	0.771	rgb(225, 70, 71)	1.9964	2,2
Nr4a1	Nr4a3	0.99911	50.27	0.774	rgb(226, 69, 71)	1.9964	2,2
Zfp191	Pdgfrb	-0.99911	50.32	-8.2E-01	rgb( 40,109,248)	1.9974	None
Zfp536	Tekt2	0.99911	50.32	0.818	rgb(226, 61, 62)	1.9974	2,2
