TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.92	0.917	rgb(227, 42, 44)	2	2,2
Irf7	Rtp4	0.99815	50.89	0.886	rgb(227, 48, 50)	1.9994	None
Irf1	Nlrc5	0.9963	50.87	0.869	rgb(227, 51, 53)	1.999	2,2
Irf1	Tbx21	0.99445	50.83	0.829	rgb(226, 59, 60)	1.9982	2,2
Irf7	Rsad2	0.9926	50.82	0.82	rgb(226, 60, 62)	1.998	None
Nfkb2	Psd	0.9926	50.82	0.818	rgb(226, 61, 62)	1.998	None
Zfp182	Fyco1	0.9926	50.82	0.823	rgb(226, 60, 61)	1.998	2,2
Rorc	Lingo4	0.99075	50.81	0.811	rgb(226, 62, 64)	1.9978	2,2
Sp110	Cdkn2d	0.99075	50.81	0.814	rgb(226, 62, 63)	1.9978	2,2
Srebf2	Dhcr24	0.99075	50.81	0.806	rgb(226, 63, 65)	1.9978	2,2
Srebf1	Fads2	0.9889	50.8	0.801	rgb(226, 64, 66)	1.9976	2,2
Zfp385a	Zmat3	0.98705	50.79	0.795	rgb(226, 65, 67)	1.9974	2,2
Nr4a1	Nr4a3	0.9852	50.78	0.775	rgb(226, 69, 70)	1.9972	2,2
Zfp367	Dtl	0.9852	50.78	0.776	rgb(226, 69, 70)	1.9972	2,2
Irf9	Irf7	0.98335	50.77	0.774	rgb(226, 69, 71)	1.997	None
Irf1	Igtp	0.9815	50.76	0.758	rgb(225, 72, 74)	1.9968	None
Irf7	Ifit1	0.9815	50.76	0.764	rgb(225, 71, 73)	1.9968	None
Irf7	Xaf1	0.9815	50.76	0.763	rgb(225, 71, 73)	1.9968	None
Sp110	Gbp6	0.9815	50.76	0.761	rgb(225, 72, 73)	1.9968	2,2
Zfp467	Sspo	0.9815	50.76	0.76	rgb(225, 72, 73)	1.9968	2,2
Zfp367	Rpa2	0.9815	50.76	0.762	rgb(225, 71, 73)	1.9968	2,2
Foxo1	Icam5	-0.97965	50.75	-7.5E-01	rgb( 55,118,245)	1.9966	2,2
Irf1	Fam26f	0.97965	50.75	0.75	rgb(225, 74, 75)	1.9966	None
Irf7	Cmpk2	0.97965	50.75	0.749	rgb(225, 74, 75)	1.9966	None
Irf7	I830012O16Rik	0.97965	50.75	0.75	rgb(225, 74, 75)	1.9966	2,2
Whsc1	Fancm	0.97965	50.75	0.751	rgb(225, 73, 75)	1.9966	2,2
Egr1	Egr2	0.9778	50.73	0.73	rgb(225, 78, 79)	1.9962	None
Irf7	Ifit3	0.9778	50.73	0.733	rgb(225, 77, 78)	1.9962	None
Srebf1	Insig1	0.9778	50.73	0.726	rgb(225, 78, 80)	1.9962	2,2
Zfp473	Fkrp	-0.9778	50.73	-7.3E-01	rgb( 58,120,245)	1.9962	2,2
Elk3	Capg	0.97595	50.72	0.722	rgb(225, 79, 81)	1.996	2,2
Foxs1	Mylk2	0.97595	50.72	0.721	rgb(225, 79, 81)	1.996	2,2
Tcf12	Mycbp2	0.97595	50.72	0.722	rgb(225, 79, 81)	1.996	None
Tead1	Nupr1	0.97595	50.72	0.716	rgb(225, 80, 82)	1.996	2,2
Mxd3	Cdc25b	0.97595	50.72	0.723	rgb(225, 79, 80)	1.996	2,2
Zfp329	Neat1	0.97595	50.72	0.72	rgb(225, 80, 81)	1.996	2,2
