TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	0.68349	50.39	0.891	rgb(227, 47, 49)	2	None
Irf1	Tbx21	0.68349	50.35	0.851	rgb(226, 55, 56)	1.9992	2,2
Gm14420	Gm2011	0.68349	50.35	0.852	rgb(226, 54, 56)	1.9992	2,2
Elf1	Pde7a	0.68349	50.33	0.826	rgb(226, 59, 61)	1.9988	None
Irf7	Rsad2	0.68349	50.33	0.825	rgb(226, 59, 61)	1.9988	None
Rela	Ifit2	-0.68349	50.33	-8.3E-01	rgb( 36,107,249)	1.9988	None
Irf7	Ifit3	0.68349	50.32	0.824	rgb(226, 60, 61)	1.9986	None
E2f1	Ddx51	0.68349	50.31	0.807	rgb(226, 63, 65)	1.9984	None
Rxra	Fgf2	0.68349	50.31	0.809	rgb(226, 63, 64)	1.9984	None
Elf1	Arhgef6	0.68349	50.3	0.803	rgb(226, 64, 65)	1.9982	None
Irf7	Mx1	0.68349	50.3	0.804	rgb(226, 63, 65)	1.9982	None
Rel	Dusp1	0.68349	50.29	0.79	rgb(226, 66, 68)	1.998	None
Sp110	Bcl2a1b	0.68349	50.29	0.79	rgb(226, 66, 68)	1.998	2,2
Srebf1	Sqle	0.68349	50.29	0.791	rgb(226, 66, 67)	1.998	None
Tbx21	Tbkbp1	0.68349	50.29	0.788	rgb(226, 66, 68)	1.998	2,2
Gm14295	Gm3696	0.68349	50.29	0.787	rgb(226, 67, 68)	1.998	2,2
Ahrr	Cyp1b1	0.68349	50.28	0.783	rgb(226, 67, 69)	1.9978	2,2
E2f1	Exo1	0.68349	50.28	0.785	rgb(226, 67, 69)	1.9978	None
E2f1	Rpa2	0.68349	50.28	0.785	rgb(226, 67, 69)	1.9978	None
E2f4	Dcxr	-0.68349	50.28	-7.8E-01	rgb( 49,115,246)	1.9978	None
Srebf2	Flot2	0.68349	50.28	0.776	rgb(226, 69, 70)	1.9978	None
Egr1	Egr3	0.68349	50.27	0.774	rgb(226, 69, 71)	1.9976	None
Hsf2	Pde6d	0.68349	50.27	0.773	rgb(226, 69, 71)	1.9976	None
Irf8	Tbx21	0.68349	50.27	0.769	rgb(225, 70, 72)	1.9976	2,2
Srf	Smg5	0.68349	50.27	0.774	rgb(226, 69, 71)	1.9976	None
Zfp536	Tmem37	0.68349	50.27	0.773	rgb(226, 69, 71)	1.9976	2,2
Ahctf1	Zcchc2	0.68349	50.26	0.762	rgb(225, 71, 73)	1.9974	None
Irf4	Nrgn	-0.68349	50.26	-7.6E-01	rgb( 52,116,246)	1.9974	None
Tcf3	Slc9a3r1	0.68349	50.26	0.757	rgb(225, 72, 74)	1.9974	None
Zfp367	Fam111a	0.68349	50.26	0.756	rgb(225, 73, 74)	1.9974	2,2
Elf1	Dars2	0.68349	50.25	0.748	rgb(225, 74, 76)	1.9972	None
Irf5	Gna15	0.68349	50.25	0.749	rgb(225, 74, 75)	1.9972	None
Irf7	Cmpk2	0.68349	50.25	0.746	rgb(225, 74, 76)	1.9972	None
Irf7	Xaf1	0.68349	50.25	0.747	rgb(225, 74, 76)	1.9972	None
Rxra	Zfp280b	0.68349	50.25	0.749	rgb(225, 74, 75)	1.9972	None
Sox5	Serpinf1	0.68349	50.25	0.746	rgb(225, 74, 76)	1.9972	2,2
Arid5a	Hps6	0.68349	50.24	0.744	rgb(225, 75, 76)	1.997	None
Bcl6	Tle4	0.68349	50.24	0.743	rgb(225, 75, 77)	1.997	None
Foxs1	Mylk2	0.68349	50.24	0.738	rgb(225, 76, 77)	1.997	2,2
Irf1	Tgtp2	0.68349	50.24	0.739	rgb(225, 76, 77)	1.997	None
Irf7	2010002M12Rik	0.68349	50.24	0.738	rgb(225, 76, 77)	1.997	2,2
Irf9	Irf7	0.68349	50.24	0.738	rgb(225, 76, 78)	1.997	None
Klf2	Gpr146	0.68349	50.24	0.742	rgb(225, 75, 77)	1.997	None
Mxi1	P4ha2	0.68349	50.24	0.738	rgb(225, 76, 78)	1.997	None
Sp110	Ly6c1	0.68349	50.24	0.736	rgb(225, 76, 78)	1.997	2,2
Tead1	Fut7	0.68349	50.24	0.738	rgb(225, 76, 77)	1.997	2,2
Zfp369	Zfpm1	-0.68349	50.24	-7.4E-01	rgb( 56,119,245)	1.997	None
Hsf1	Rwdd2a	-0.68349	50.23	-7.3E-01	rgb( 59,121,245)	1.9968	None
Rxra	Trib1	0.68349	50.23	0.728	rgb(225, 78, 79)	1.9968	None
Sox5	Mab21l2	0.68349	50.23	0.727	rgb(225, 78, 80)	1.9968	2,2
Zfp182	Neat1	0.68349	50.23	0.732	rgb(225, 77, 79)	1.9968	None
Cux1	Epb4.1l2	0.68349	50.23	0.728	rgb(225, 78, 79)	1.9968	2,2
Mxd3	Cdc25b	0.68349	50.23	0.73	rgb(225, 78, 79)	1.9968	2,2
Crem	Pde4d	0.68349	50.22	0.723	rgb(225, 79, 80)	1.9966	None
Egr1	Egr2	0.68349	50.22	0.716	rgb(225, 80, 82)	1.9966	None
Irf1	Gbp6	0.68349	50.22	0.72	rgb(225, 80, 81)	1.9966	None
Irf1	Gm4841	0.68349	50.22	0.72	rgb(225, 80, 81)	1.9966	2,2
Irf4	Chst15	0.68349	50.22	0.715	rgb(225, 80, 82)	1.9966	None
Irf7	Gm6548	0.68349	50.22	0.717	rgb(225, 80, 82)	1.9966	2,2
Junb	Hook2	0.68349	50.22	0.719	rgb(225, 80, 81)	1.9966	None
