TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Zfp629	Ttbk2	0.99998	50.23	0.729	rgb(225, 78, 79)	1.9999	2,2
Zfp536	Lpin3	0.99996	50.235	0.736	rgb(225, 77, 78)	2	2,2
Zfp536	Itsn1	0.99994	50.215	0.714	rgb(225, 81, 82)	1.9996	2,2
Zfp385a	Eng	0.99993	50.195	0.692	rgb(225, 85, 86)	1.9992	2,2
Zfp385a	Zmat3	0.99991	50.165	0.664	rgb(224, 90, 91)	1.9986	2,2
Zfp367	Exo1	0.99989	50.15	0.648	rgb(224, 93, 95)	1.9983	2,2
Zfp536	Tekt2	0.99987	50.18	0.678	rgb(224, 88, 89)	1.9989	2,2
Mxd3	Cdc25b	0.99985	50.135	0.638	rgb(224, 95, 96)	1.998	2,2
Gm14420	Gm2011	0.99983	50.115	0.614	rgb(224,100,101)	1.9976	2,2
Irf9	Irf7	0.99981	50.15	0.649	rgb(224, 93, 94)	1.9983	None
Mxd3	Smtn	0.9998	50.105	0.604	rgb(224,102,103)	1.9974	2,2
Lyl1	Lix1l	0.99978	50.095	0.595	rgb(224,103,105)	1.9972	None
Zfp329	A230072C01Rik	0.99976	50.11	0.614	rgb(224,100,101)	1.9975	2,2
Rbck1	Dnajc21	-0.99974	50.09	-5.9E-01	rgb( 89,139,239)	1.9971	2,2
Zfp429	Snhg6	0.99972	50.145	0.646	rgb(224, 94, 95)	1.9982	2,2
Sgsm2	Unc93b1	0.9997	50.085	0.585	rgb(223,105,106)	1.997	2,2
Zfp536	Rpl10a	0.99968	50.08	0.584	rgb(223,105,107)	1.9969	2,2
Zfp385a	Ptp4a3	0.99966	50.08	0.578	rgb(223,107,108)	1.9969	2,2
Zfp277	Tmem35	0.99965	50.085	0.587	rgb(223,105,106)	1.997	2,2
Zfp429	Megf8	-0.99963	50.075	-5.8E-01	rgb( 92,141,239)	1.9968	2,2
Zfp35	Zscan21	0.99961	50.07	0.571	rgb(223,108,109)	1.9967	2,2
Zfp429	H60c	-0.99959	50.085	-5.8E-01	rgb( 90,140,239)	1.997	2,2
Stat1	Dtx3l	0.99957	50.135	0.633	rgb(224, 96, 97)	1.998	None
Zfp385a	Robo3	0.99955	50.065	0.562	rgb(223,110,111)	1.9966	2,2
Zfp367	Dtl	0.99953	50.175	0.679	rgb(224, 87, 89)	1.9988	2,2
Zfp358	Sorcs2	-0.99952	50.06	-5.6E-01	rgb( 95,143,238)	1.9965	2,2
Myc	Tmem43	-0.99948	50.07	-5.7E-01	rgb( 93,142,239)	1.9967	None
Zfp429	Zfp874a	0.99948	50.07	0.568	rgb(223,109,110)	1.9967	2,2
Zfp386	Spry1	-0.99946	50.06	-5.6E-01	rgb( 96,143,238)	1.9965	2,2
Sgsm2	Tert	0.99942	50.07	0.568	rgb(223,108,110)	1.9967	2,2
Zfp385a	Zfp365	0.99942	50.07	0.567	rgb(223,109,110)	1.9967	2,2
Zfp948	Ankrd23	0.9994	50.085	0.588	rgb(223,105,106)	1.997	2,2
C030039L03Rik	Muc2	0.99939	50.09	0.586	rgb(223,105,106)	1.9971	2,2
Zfp385a	Abhd4	0.99937	50.085	0.586	rgb(223,105,106)	1.997	2,2
Zeb2	Serpine1	0.99935	50.05	0.551	rgb(223,112,113)	1.9963	2,2
Zfp882	Proz	0.99933	50.07	0.572	rgb(223,108,109)	1.9967	2,2
Elf1	Themis	-0.99929	50.04	-4.1E-03	rgb(216,216,217)	1.9961	None
Zfp787	Ocrl	-0.99929	50.04	-5.4E-01	rgb(100,146,237)	1.9961	2,2
Tigd2	Utf1	-0.99927	50.065	-5.6E-01	rgb( 94,142,238)	1.9966	2,2
Zfp429	Trim12a	0.99925	50.04	0.541	rgb(223,114,115)	1.9961	2,2
Zfp169	Inpp4a	0.99924	50.035	0.536	rgb(223,115,116)	1.996	2,2
Nr3c1	Tsr2	0.99922	50.035	0.016	rgb(217,214,214)	1.996	None
Zbtb17	Cln5	-0.9992	50.03	-5.3E-01	rgb(102,147,237)	1.9959	2,2
Ncoa3	Id3	-0.99918	50.03	-5.3E-01	rgb(102,147,237)	1.9959	2,2
Smad3	Pim1	0.99916	50.035	0.052	rgb(218,207,207)	1.996	None
Zfp385a	Phlda3	0.99914	50.04	0.54	rgb(223,114,115)	1.9961	2,2
Tal2	Tmem38b	0.99912	50.055	0.555	rgb(223,111,112)	1.9964	2,2
Zbed6	Cnot1	0.99911	50.05	0.549	rgb(223,112,113)	1.9963	2,2
Zfp385a	Cox6b2	0.99909	50.035	0.531	rgb(223,116,117)	1.996	2,2
Zfp385a	Rnf169	0.99907	50.06	0.557	rgb(223,111,112)	1.9965	2,2
Zeb2	Srxn1	0.99905	50.03	0.53	rgb(223,116,117)	1.9959	2,2
Casz1	Dusp8	0.99903	50.04	0.542	rgb(223,113,115)	1.9961	2,2
Zfp280b	Zfp467	0.99901	50.06	0.558	rgb(223,110,111)	1.9965	2,2
Fosl1	Adarb1	0.99898	50.02	0.52	rgb(223,118,119)	1.9957	None
Zfp367	Fam111a	0.99898	50.02	0.519	rgb(223,118,119)	1.9957	2,2
Pou6f1	Mxd1	0.99896	50.015	0.005	rgb(217,216,216)	1.9956	None
Lcorl	Cmtm4	0.99892	50.025	0.523	rgb(223,117,118)	1.9958	2,2
Zfp329	Neat1	0.99892	50.025	0.524	rgb(223,117,118)	1.9958	2,2
Prdm2	Gstt1	-0.9989	50.045	-5.4E-01	rgb( 99,145,238)	1.9962	2,2
Hif1a	Hk1	0.99888	50.14	0.643	rgb(224, 94, 95)	1.9981	None
C030039L03Rik	Atp7b	0.99886	50.035	0.536	rgb(223,115,116)	1.996	2,2
Csrnp1	1110057K04Rik	-0.99883	50.01	-5.1E-01	rgb(107,150,236)	1.9955	2,2
Stat1	Parp9	0.99883	50.01	0.508	rgb(223,120,121)	1.9955	None
Zfp473	Fkrp	-0.99881	50.07	-5.7E-01	rgb( 93,142,239)	1.9967	2,2
Zfp420	Scarf2	-0.99879	50.04	-5.4E-01	rgb(100,146,237)	1.9961	2,2
Foxp2	Sh2d4a	0.99877	50.025	0.522	rgb(223,117,118)	1.9958	2,2
Mxi1	Utp20	-0.99875	50.03	-8.3E-02	rgb(199,206,220)	1.9959	None
Gata3	Itgb3	0.99871	50.005	0.507	rgb(223,120,121)	1.9954	None
