TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	0.99998	50.44	0.936	rgb(227, 38, 40)	2	None
E2f4	E2f7	0.99993	50.37	0.874	rgb(227, 50, 52)	1.9986	None
Hif1a	Egln1	0.99993	50.37	0.869	rgb(227, 51, 53)	1.9986	None
Tbx21	Tbkbp1	0.99993	50.38	0.879	rgb(227, 49, 51)	1.9988	2,2
Srebf1	Fads2	0.99991	50.37	0.868	rgb(227, 51, 53)	1.9986	2,2
E2f4	Wdr76	0.99985	50.36	0.857	rgb(226, 53, 55)	1.9984	None
Hif1a	Pgm2	0.99985	50.36	0.856	rgb(226, 54, 55)	1.9984	None
Srf	Adarb1	0.99985	50.31	0.808	rgb(226, 63, 64)	1.9974	None
Irf7	Xaf1	0.99983	50.3	0.798	rgb(226, 65, 66)	1.9972	None
Hif1a	Bnip3	0.9998	50.34	0.843	rgb(226, 56, 58)	1.998	None
Hif1a	Ero1l	0.9998	50.34	0.843	rgb(226, 56, 58)	1.998	None
Zfp367	Dtl	0.99978	50.33	0.834	rgb(226, 58, 59)	1.9978	2,2
Elf1	Arhgef6	0.99972	50.29	0.793	rgb(226, 66, 67)	1.997	None
Elf1	Pde7a	0.99972	50.29	0.792	rgb(226, 66, 67)	1.997	None
Sp2	Brd3	0.99972	50.29	0.786	rgb(226, 67, 68)	1.997	None
Hey1	Ddx51	0.99966	50.31	0.809	rgb(226, 63, 64)	1.9974	None
Hif1a	H2-Ab1	0.99966	50.31	0.811	rgb(226, 62, 64)	1.9974	2,2
Hif1a	Hk1	0.99966	50.31	0.814	rgb(226, 62, 63)	1.9974	None
Atf3	Nfil3	0.99952	50.28	0.781	rgb(226, 68, 69)	1.9968	None
Fosl1	Mapkbp1	0.99952	50.3	0.796	rgb(226, 65, 67)	1.9972	None
Hic1	Itga4	0.99952	50.28	0.78	rgb(226, 68, 70)	1.9968	None
Hif1a	Ppme1	0.99952	50.3	0.796	rgb(226, 65, 67)	1.9972	None
Irf7	Ifit3	0.99952	50.28	0.775	rgb(226, 69, 70)	1.9968	None
Irf7	Rsad2	0.99952	50.28	0.777	rgb(226, 69, 70)	1.9968	None
Rorc	Lingo4	0.99952	50.28	0.776	rgb(226, 69, 70)	1.9968	2,2
Zeb2	Akr1b8	0.99952	50.3	0.802	rgb(226, 64, 65)	1.9972	2,2
Hif1a	Jmjd6	0.9995	50.29	0.785	rgb(226, 67, 69)	1.997	None
Ahrr	Cyp1b1	0.99942	50.27	0.766	rgb(225, 71, 72)	1.9966	2,2
Irf1	Tbx21	0.99942	50.27	0.765	rgb(225, 71, 72)	1.9966	2,2
Nfkb2	Psd	0.99942	50.27	0.769	rgb(225, 70, 72)	1.9966	None
