TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Egln1	1	50.88	0.876	rgb(227, 50, 51)	2	None
Hif1a	Ero1l	1	50.88	0.88	rgb(227, 49, 51)	2	None
E2f4	E2f7	0.99754	50.87	0.873	rgb(227, 50, 52)	1.9998	None
Hif1a	H2-Ab1	0.99754	50.87	0.866	rgb(227, 52, 53)	1.9998	2,2
Hif1a	Ppme1	0.99508	50.86	0.858	rgb(226, 53, 55)	1.9996	None
Hif1a	P4ha2	0.99262	50.84	0.844	rgb(226, 56, 58)	1.9992	None
Hif1a	Pgm2	0.99262	50.84	0.845	rgb(226, 56, 57)	1.9992	None
Cebpb	Psph	0.99016	50.83	0.829	rgb(226, 59, 60)	1.999	None
E2f4	Wdr76	0.99016	50.83	0.834	rgb(226, 58, 59)	1.999	None
Hey1	4931406P16Rik	0.98771	50.79	0.791	rgb(226, 66, 68)	1.9982	None
Hif1a	Arrb1	0.98771	50.79	0.789	rgb(226, 66, 68)	1.9982	None
Hif1a	Bcar1	0.98771	50.79	0.786	rgb(226, 67, 68)	1.9982	2,2
Hif1a	Bnip3	0.98771	50.79	0.791	rgb(226, 66, 67)	1.9982	None
Rbck1	Txndc17	-0.98771	50.79	-7.9E-01	rgb( 45,112,247)	1.9982	2,2
Rora	Galnt12	0.98525	50.78	0.777	rgb(226, 69, 70)	1.998	None
Egr3	Rnh1	-0.98279	50.76	-7.6E-01	rgb( 52,117,246)	1.9976	None
Hif1a	Hk1	0.98279	50.76	0.763	rgb(225, 71, 73)	1.9976	None
Nr1d2	Sphk1	0.98279	50.76	0.764	rgb(225, 71, 73)	1.9976	2,2
E2f1	Slfn3	0.98033	50.75	0.748	rgb(225, 74, 76)	1.9974	None
Six1	Col15a1	0.98033	50.75	0.745	rgb(225, 75, 76)	1.9974	None
Zfp629	Ttbk2	0.98033	50.75	0.751	rgb(225, 74, 75)	1.9974	2,2
