TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Aldoc	0.84207	50.34	0.843	rgb(226, 56, 58)	2	None
Hif1a	Bnip3	0.84207	50.33	0.83	rgb(226, 58, 60)	1.9998	None
Zfp367	Dtl	0.84207	50.33	0.829	rgb(226, 59, 60)	1.9998	2,2
Zfp629	Ttbk2	0.84207	50.31	0.806	rgb(226, 63, 65)	1.9994	2,2
Hif1a	Egln1	0.84207	50.3	0.8	rgb(226, 64, 66)	1.9992	None
Hif1a	Smtnl2	0.84207	50.3	0.798	rgb(226, 65, 66)	1.9992	None
Hif1a	Ppme1	0.84207	50.29	0.786	rgb(226, 67, 68)	1.999	None
Atf6b	Atp1a1	0.84207	50.29	0.794	rgb(226, 65, 67)	1.999	2,2
Zfp536	Lpin3	0.84207	50.29	0.792	rgb(226, 66, 67)	1.999	2,2
Hif1a	Jmjd6	0.84207	50.28	0.783	rgb(226, 67, 69)	1.9988	None
Zfp280c	Pigb	0.84207	50.28	0.778	rgb(226, 68, 70)	1.9988	2,2
Hif1a	Pgam1	0.84207	50.27	0.766	rgb(225, 71, 72)	1.9986	None
Stat3	Efemp2	0.84207	50.27	0.771	rgb(225, 70, 71)	1.9986	None
Stat3	Timp1	0.84207	50.27	0.775	rgb(226, 69, 71)	1.9986	None
Mxd3	Cdc25b	0.84207	50.27	0.766	rgb(225, 71, 72)	1.9986	2,2
Zfp385a	Eng	0.84207	50.27	0.771	rgb(225, 70, 71)	1.9986	2,2
Hif1a	Aldoa	0.84207	50.26	0.764	rgb(225, 71, 73)	1.9984	None
Hif1a	Pgm2	0.84207	50.26	0.761	rgb(225, 72, 73)	1.9984	None
Irf4	Fam160a1	-0.84207	50.26	-7.6E-01	rgb( 53,117,246)	1.9984	2,2
C030039L03Rik	Ankzf1	0.84207	50.25	0.751	rgb(225, 74, 75)	1.9982	2,2
Hif1a	Arrb1	0.84207	50.24	0.743	rgb(225, 75, 77)	1.998	None
Hif1a	Higd1a	0.84207	50.24	0.74	rgb(225, 76, 77)	1.998	None
Hif1a	Sertad1	0.84207	50.24	0.745	rgb(225, 75, 76)	1.998	None
Stat3	Tspan5	0.84207	50.24	0.739	rgb(225, 76, 77)	1.998	None
Zfp146	Mpv17l	-0.84207	50.24	-7.4E-01	rgb( 57,120,245)	1.998	2,2
Gm14420	Cdkn2d	0.84207	50.23	0.727	rgb(225, 78, 80)	1.9978	2,2
Ikzf3	Gart	-0.84207	50.22	-7.2E-01	rgb( 60,121,245)	1.9976	None
Irf9	Ifit3	0.84207	50.22	0.719	rgb(225, 80, 81)	1.9976	2,2
Irf9	Parp9	0.84207	50.22	0.722	rgb(225, 79, 81)	1.9976	None
Stat3	Flot1	0.84207	50.22	0.72	rgb(225, 80, 81)	1.9976	None
Stat3	Klhl6	0.84207	50.22	0.719	rgb(225, 80, 81)	1.9976	None
Stat3	Tnip2	0.84207	50.22	0.722	rgb(225, 79, 80)	1.9976	None
Whsc1	Fancm	0.84207	50.22	0.718	rgb(225, 80, 81)	1.9976	2,2
Six1	Tgfbr1	0.84207	50.21	0.714	rgb(225, 81, 82)	1.9974	2,2
Mxd1	Aim1	0.84207	50.21	0.712	rgb(225, 81, 82)	1.9974	2,2
Zfp367	Rpa2	0.84207	50.21	0.714	rgb(225, 81, 82)	1.9974	2,2
Hif1a	H2-Ab1	0.84207	50.2	0.702	rgb(225, 83, 84)	1.9972	None
Hif1a	P4ha2	0.84207	50.2	0.702	rgb(225, 83, 84)	1.9972	None
Hif1a	P4hb	0.84207	50.2	0.699	rgb(225, 84, 85)	1.9972	None
Hif1a	Ppp1r3g	0.84207	50.2	0.695	rgb(225, 84, 86)	1.9972	2,2
Sp4	Adarb1	0.84207	50.2	0.702	rgb(225, 83, 84)	1.9972	None
Thap3	Dpm3	0.84207	50.2	0.702	rgb(225, 83, 84)	1.9972	2,2
