TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	1	50.89	0.891	rgb(227, 47, 49)	2	None
Irf7	Ifit3	0.99648	50.84	0.837	rgb(226, 57, 59)	1.999	None
Maf	Aqp3	0.99648	50.84	0.838	rgb(226, 57, 59)	1.999	None
Sp2	Ckmt1	-0.99296	50.83	-8.3E-01	rgb( 36,107,249)	1.9988	None
Irf7	Rsad2	0.98945	50.81	0.814	rgb(226, 62, 63)	1.9984	None
Sp110	Ly6c1	0.98945	50.81	0.811	rgb(226, 62, 64)	1.9984	2,2
Elf1	Arhgef6	0.98593	50.8	0.8	rgb(226, 64, 66)	1.9982	None
Irf1	Gbp6	0.98593	50.8	0.797	rgb(226, 65, 66)	1.9982	None
Irf7	Cmpk2	0.98593	50.8	0.803	rgb(226, 64, 65)	1.9982	None
Srebf2	Flot2	0.98593	50.8	0.804	rgb(226, 63, 65)	1.9982	None
Tcf3	Plekhg5	0.98593	50.8	0.796	rgb(226, 65, 67)	1.9982	None
E2f1	Exo1	0.98241	50.79	0.787	rgb(226, 67, 68)	1.998	None
Irf1	Nlrc5	0.98241	50.79	0.785	rgb(226, 67, 69)	1.998	None
Rxra	Fgf2	0.98241	50.79	0.788	rgb(226, 66, 68)	1.998	None
Srebf1	Sqle	0.98241	50.79	0.794	rgb(226, 65, 67)	1.998	None
Srf	Smg5	0.98241	50.79	0.788	rgb(226, 67, 68)	1.998	None
Elf1	Pde7a	0.97889	50.78	0.781	rgb(226, 68, 69)	1.9978	None
Mxi1	Cxcr4	0.97889	50.78	0.784	rgb(226, 67, 69)	1.9978	None
Rel	Dusp1	0.97889	50.78	0.784	rgb(226, 67, 69)	1.9978	None
Rela	Ifit2	-0.97889	50.78	-7.8E-01	rgb( 49,115,246)	1.9978	None
Rorc	C2cd4d	0.97889	50.78	0.78	rgb(226, 68, 70)	1.9978	None
Rxra	Trib1	0.97889	50.78	0.782	rgb(226, 68, 69)	1.9978	None
Egr1	Egr2	0.97538	50.77	0.766	rgb(225, 71, 72)	1.9976	None
Elf1	Slain1	0.97538	50.77	0.769	rgb(225, 70, 72)	1.9976	None
Foxp4	Syf2	-0.97538	50.77	-7.7E-01	rgb( 51,116,246)	1.9976	None
Irf1	Tbx21	0.97538	50.77	0.767	rgb(225, 71, 72)	1.9976	2,2
Irf7	Ifit1	0.97538	50.77	0.77	rgb(225, 70, 72)	1.9976	None
Zeb1	Pcyox1l	-0.97538	50.77	-7.7E-01	rgb( 51,116,246)	1.9976	None
Zfp148	Zfp609	0.97538	50.77	0.768	rgb(225, 70, 72)	1.9976	None
Atf3	Npas4	-0.97186	50.76	-7.6E-01	rgb( 53,117,246)	1.9974	None
Irf7	I830012O16Rik	0.97186	50.76	0.756	rgb(225, 73, 74)	1.9974	2,2
Runx2	Galnt3	0.97186	50.76	0.765	rgb(225, 71, 72)	1.9974	None
Atf5	Minpp1	-0.96834	50.75	-7.5E-01	rgb( 54,118,246)	1.9972	2,2
Cux1	Epb4.1l2	0.96834	50.75	0.748	rgb(225, 74, 76)	1.9972	2,2
Ddit3	Soat2	0.96834	50.75	0.747	rgb(225, 74, 76)	1.9972	None
E2f1	Wdr76	0.96834	50.75	0.75	rgb(225, 74, 75)	1.9972	None
Irf5	Gna15	0.96834	50.75	0.749	rgb(225, 74, 75)	1.9972	None
Irf7	Xaf1	0.96834	50.75	0.749	rgb(225, 74, 75)	1.9972	None
Sp4	Dhrs4	-0.96834	50.75	-7.5E-01	rgb( 54,118,245)	1.9972	None
Stat4	Psme2	0.96834	50.75	0.749	rgb(225, 74, 75)	1.9972	None
Tcf12	Parp16	-0.96834	50.75	-7.5E-01	rgb( 54,118,245)	1.9972	None
Zfp369	Zfpm1	-0.96834	50.75	-7.5E-01	rgb( 54,118,246)	1.9972	None
Mxd3	Cdc25b	0.96834	50.75	0.746	rgb(225, 75, 76)	1.9972	2,2
Bhlhe40	Papss2	0.96482	50.74	0.744	rgb(225, 75, 76)	1.997	None
Elf1	Dars2	0.96482	50.74	0.742	rgb(225, 75, 77)	1.997	None
Etv6	Il12rb1	0.96482	50.74	0.737	rgb(225, 76, 78)	1.997	None
Irf4	Chst15	0.96482	50.74	0.736	rgb(225, 76, 78)	1.997	None
Irf4	Nrgn	-0.96482	50.74	-7.4E-01	rgb( 56,119,245)	1.997	None
Nfkb1	Nme4	-0.96482	50.74	-7.4E-01	rgb( 57,120,245)	1.997	None
Nr2f6	Tyw1	0.96482	50.74	0.744	rgb(225, 75, 76)	1.997	None
Sp110	Bcl2a1b	0.96482	50.74	0.741	rgb(225, 76, 77)	1.997	2,2
Zfp429	Snhg6	0.96482	50.74	0.737	rgb(225, 76, 78)	1.997	2,2
Zfp629	Ttbk2	0.96482	50.74	0.736	rgb(225, 76, 78)	1.997	2,2
Arid5a	Hps6	0.96131	50.73	0.731	rgb(225, 77, 79)	1.9968	None
Egr1	Egr3	0.96131	50.73	0.729	rgb(225, 78, 79)	1.9968	None
Foxs1	Mylk2	0.96131	50.73	0.731	rgb(225, 77, 79)	1.9968	2,2
Irf9	Irf7	0.96131	50.73	0.734	rgb(225, 77, 78)	1.9968	None
Rest	Rbm15	0.96131	50.73	0.734	rgb(225, 77, 78)	1.9968	None
Tcf3	Slc9a3r1	0.96131	50.73	0.729	rgb(225, 78, 79)	1.9968	None
Tcf3	Tnfrsf10b	-0.96131	50.73	-7.3E-01	rgb( 59,121,245)	1.9968	None
Zbtb7a	Tmem184b	0.96131	50.73	0.73	rgb(225, 78, 79)	1.9968	None
Zfp182	Neat1	0.96131	50.73	0.732	rgb(225, 77, 79)	1.9968	None
C030039L03Rik	Atp7b	0.96131	50.73	0.726	rgb(225, 78, 80)	1.9968	2,2
Hsf1	Rwdd2a	-0.95779	50.72	-7.2E-01	rgb( 61,122,244)	1.9966	None
Irf7	Gm6548	0.95779	50.72	0.724	rgb(225, 79, 80)	1.9966	2,2
Irf7	Mx2	0.95779	50.72	0.721	rgb(225, 79, 81)	1.9966	None
Mxi1	Ndufv3	0.95779	50.72	0.721	rgb(225, 79, 81)	1.9966	None
Mxi1	Ppp1r13l	0.95779	50.72	0.721	rgb(225, 79, 81)	1.9966	None
Rara	Nsmaf	-0.95779	50.72	-7.2E-01	rgb( 61,122,244)	1.9966	None
Rela	C330018D20Rik	-0.95779	50.72	-7.2E-01	rgb( 60,122,244)	1.9966	None
Rorc	Utf1	-0.95779	50.72	-7.2E-01	rgb( 61,122,244)	1.9966	None
Tead1	Fut7	0.95779	50.72	0.72	rgb(225, 79, 81)	1.9966	2,2
Vax2	Avpi1	0.95779	50.72	0.717	rgb(225, 80, 81)	1.9966	None
