TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	0.68699	50.4	0.898	rgb(227, 46, 47)	2	None
Irf7	Ifit3	0.68699	50.36	0.856	rgb(226, 54, 55)	1.9992	None
Maf	Aqp3	0.68699	50.35	0.851	rgb(226, 54, 56)	1.999	None
Gm14420	Gm2011	0.68699	50.33	0.831	rgb(226, 58, 60)	1.9986	2,2
Srebf2	Flot2	0.68699	50.32	0.82	rgb(226, 60, 62)	1.9984	None
Irf1	Gbp6	0.68699	50.31	0.811	rgb(226, 62, 64)	1.9982	None
Irf7	Rsad2	0.68699	50.31	0.814	rgb(226, 62, 63)	1.9982	None
Egr1	Egr2	0.68699	50.3	0.797	rgb(226, 65, 66)	1.998	None
Elf1	Arhgef6	0.68699	50.3	0.799	rgb(226, 64, 66)	1.998	None
Elf1	Pde7a	0.68699	50.29	0.786	rgb(226, 67, 69)	1.9978	None
Rxra	Fgf2	0.68699	50.29	0.792	rgb(226, 66, 67)	1.9978	None
Srebf1	Sqle	0.68699	50.29	0.791	rgb(226, 66, 67)	1.9978	None
Zfp148	Zfp609	0.68699	50.29	0.793	rgb(226, 65, 67)	1.9978	None
Gfi1	Rgmb	-0.68699	50.28	-7.8E-01	rgb( 47,114,247)	1.9976	None
Irf1	Nlrc5	0.68699	50.28	0.778	rgb(226, 68, 70)	1.9976	None
Mxi1	Cxcr4	0.68699	50.28	0.776	rgb(226, 69, 70)	1.9976	None
Srf	Smg5	0.68699	50.28	0.785	rgb(226, 67, 69)	1.9976	None
Zfp182	Neat1	0.68699	50.28	0.785	rgb(226, 67, 69)	1.9976	None
E2f1	Exo1	0.68699	50.27	0.774	rgb(226, 69, 71)	1.9974	None
Elf1	Slain1	0.68699	50.27	0.774	rgb(226, 69, 71)	1.9974	None
Irf1	Tbx21	0.68699	50.27	0.767	rgb(225, 71, 72)	1.9974	2,2
Irf7	Ifit1	0.68699	50.27	0.77	rgb(225, 70, 72)	1.9974	None
Nfkb1	Emb	-0.68699	50.27	-7.7E-01	rgb( 49,115,246)	1.9974	None
Zfp467	Wnt10a	0.68699	50.27	0.767	rgb(225, 71, 72)	1.9974	None
Ddit3	Soat2	0.68699	50.26	0.762	rgb(225, 71, 73)	1.9972	None
Irf7	I830012O16Rik	0.68699	50.26	0.756	rgb(225, 73, 74)	1.9972	2,2
Mga	Fyco1	0.68699	50.26	0.758	rgb(225, 72, 74)	1.9972	None
Runx2	Galnt3	0.68699	50.26	0.762	rgb(225, 71, 73)	1.9972	None
Sp110	Cdkn2d	0.68699	50.26	0.756	rgb(225, 73, 74)	1.9972	2,2
Tead1	Fut7	0.68699	50.26	0.763	rgb(225, 71, 73)	1.9972	2,2
Yy2	Mtx3	0.68699	50.26	0.76	rgb(225, 72, 73)	1.9972	None
Zfp629	Ttbk2	0.68699	50.26	0.755	rgb(225, 73, 74)	1.9972	2,2
Cux1	Epb4.1l2	0.68699	50.25	0.746	rgb(225, 75, 76)	1.997	2,2
Foxs1	Mylk2	0.68699	50.25	0.751	rgb(225, 74, 75)	1.997	2,2
Irf5	Gna15	0.68699	50.25	0.749	rgb(225, 74, 75)	1.997	None
Rorc	Utf1	-0.68699	50.25	-7.5E-01	rgb( 54,118,246)	1.997	None
Stat4	Psme2	0.68699	50.25	0.75	rgb(225, 74, 75)	1.997	None
Zfp369	Zfpm1	-0.68699	50.25	-7.5E-01	rgb( 54,118,246)	1.997	None
Mxd3	Cdc25b	0.68699	50.25	0.749	rgb(225, 74, 75)	1.997	2,2
Atf5	Minpp1	-0.68699	50.24	-7.4E-01	rgb( 56,119,245)	1.9968	2,2
E2f4	Txndc17	-0.68699	50.24	-7.4E-01	rgb( 55,119,245)	1.9968	None
Ets1	4932438H23Rik	0.68699	50.24	0.739	rgb(225, 76, 77)	1.9968	None
Etv6	Il12rb1	0.68699	50.24	0.737	rgb(225, 76, 78)	1.9968	None
Irf4	Nrgn	-0.68699	50.24	-7.4E-01	rgb( 57,120,245)	1.9968	None
Rxra	Trib1	0.68699	50.24	0.737	rgb(225, 76, 78)	1.9968	None
Sp110	Bcl2a1b	0.68699	50.24	0.741	rgb(225, 76, 77)	1.9968	2,2
Sp2	Ckmt1	-0.68699	50.24	-7.4E-01	rgb( 56,119,245)	1.9968	None
Zfp536	Tmem37	0.68699	50.24	0.743	rgb(225, 75, 77)	1.9968	2,2
Ahrr	Cyp1b1	0.68699	50.23	0.734	rgb(225, 77, 78)	1.9966	2,2
Egr1	Egr3	0.68699	50.23	0.729	rgb(225, 78, 79)	1.9966	None
Elf1	Dars2	0.68699	50.23	0.732	rgb(225, 77, 79)	1.9966	None
Irf7	2010002M12Rik	0.68699	50.23	0.734	rgb(225, 77, 78)	1.9966	2,2
Irf7	Xaf1	0.68699	50.23	0.726	rgb(225, 78, 80)	1.9966	None
Mxi1	Ndufv3	0.68699	50.23	0.734	rgb(225, 77, 78)	1.9966	None
Nfkb1	Nme4	-0.68699	50.23	-7.3E-01	rgb( 59,121,245)	1.9966	None
Nr3c1	Dnajc21	-0.68699	50.23	-7.3E-01	rgb( 58,120,245)	1.9966	None
Rara	Nsmaf	-0.68699	50.23	-7.3E-01	rgb( 58,120,245)	1.9966	None
Rela	Ifit2	-0.68699	50.23	-7.3E-01	rgb( 58,120,245)	1.9966	None
Yy2	B3gnt8	-0.68699	50.23	-7.3E-01	rgb( 59,121,245)	1.9966	None
Arid5a	Hps6	0.68699	50.22	0.717	rgb(225, 80, 81)	1.9964	None
Bhlhe40	Papss2	0.68699	50.22	0.719	rgb(225, 80, 81)	1.9964	None
E2f4	Aebp1	0.68699	50.22	0.723	rgb(225, 79, 80)	1.9964	None
Elf1	Tle4	0.68699	50.22	0.724	rgb(225, 79, 80)	1.9964	None
Fosl2	Slc39a1	0.68699	50.22	0.717	rgb(225, 80, 82)	1.9964	None
Prrx1	Fat1	0.68699	50.22	0.715	rgb(225, 80, 82)	1.9964	2,2
Rorc	C2cd4d	0.68699	50.22	0.717	rgb(225, 80, 82)	1.9964	None
Rorc	St3gal5	-0.68699	50.22	-7.2E-01	rgb( 61,122,244)	1.9964	None
Sp2	Sav1	0.68699	50.22	0.717	rgb(225, 80, 81)	1.9964	None
Sp4	Ptpn2	0.68699	50.22	0.721	rgb(225, 79, 81)	1.9964	None
Srebf2	Mtmr7	-0.68699	50.22	-7.2E-01	rgb( 62,122,244)	1.9964	None
Arid3a	Erc1	0.68699	50.21	0.706	rgb(225, 82, 84)	1.9962	None
Irf7	Cmpk2	0.68699	50.21	0.705	rgb(225, 82, 84)	1.9962	None
Mxi1	Ppp1r13l	0.68699	50.21	0.711	rgb(225, 81, 83)	1.9962	None
Rorc	Lingo4	0.68699	50.21	0.706	rgb(225, 82, 84)	1.9962	2,2
Tcf3	Slc9a3r1	0.68699	50.21	0.707	rgb(225, 82, 83)	1.9962	None
Vax2	Avpi1	0.68699	50.21	0.709	rgb(225, 82, 83)	1.9962	None
Zfp369	Cnot1	0.68699	50.21	0.707	rgb(225, 82, 83)	1.9962	None
E2f1	Ddx51	0.68699	50.2	0.702	rgb(225, 83, 84)	1.996	None
E2f1	Rpa2	0.68699	50.2	0.697	rgb(225, 84, 85)	1.996	None
E2f4	Cox6b2	-0.68699	50.2	-7.0E-01	rgb( 65,124,244)	1.996	None
E2f4	Hspb11	-0.68699	50.2	-7.0E-01	rgb( 65,124,244)	1.996	None
Ets2	Flt3l	-0.68699	50.2	-7.0E-01	rgb( 65,125,244)	1.996	None
Fosl2	Sema6b	0.68699	50.2	0.7	rgb(225, 83, 85)	1.996	None
Foxp4	Syf2	-0.68699	50.2	-7.0E-01	rgb( 65,125,244)	1.996	None
Irf1	Fam26f	0.68699	50.2	0.7	rgb(225, 83, 85)	1.996	None
Irf7	Mx2	0.68699	50.2	0.7	rgb(225, 83, 85)	1.996	None
Irf8	Satb1	-0.68699	50.2	-7.0E-01	rgb( 66,125,243)	1.996	None
Irf9	Irf7	0.68699	50.2	0.701	rgb(225, 83, 84)	1.996	None
Mybl1	Anln	0.68699	50.2	0.703	rgb(225, 83, 84)	1.996	None
Rxra	Ptger4	0.68699	50.2	0.703	rgb(225, 83, 84)	1.996	None
Rxra	Ubash3a	0.68699	50.2	0.699	rgb(225, 83, 85)	1.996	None
Sox5	Serpinf1	0.68699	50.2	0.701	rgb(225, 83, 85)	1.996	2,2
Sp4	Dhrs4	-0.68699	50.2	-7.0E-01	rgb( 65,124,244)	1.996	None
