TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	0.99996	50.94	0.937	rgb(227, 38, 40)	2	None
Stat3	Timp1	0.99996	50.94	0.944	rgb(227, 37, 39)	2	None
E2f4	Wdr76	0.99993	50.92	0.919	rgb(227, 41, 43)	1.9996	None
Irf9	Irf7	0.99993	50.89	0.89	rgb(227, 47, 49)	1.999	None
Hif1a	Mfsd2a	0.99989	50.86	0.861	rgb(226, 53, 54)	1.9984	None
Stat3	Klhl6	0.99989	50.89	0.887	rgb(227, 48, 49)	1.999	None
Srebf1	Fads2	0.99985	50.85	0.846	rgb(226, 55, 57)	1.9982	2,2
Stat3	Ncs1	0.99985	50.88	0.879	rgb(227, 49, 51)	1.9988	None
Irf1	Nlrc5	0.99983	50.83	0.829	rgb(226, 59, 60)	1.9978	None
Irf7	Rsad2	0.99981	50.82	0.815	rgb(226, 61, 63)	1.9976	None
E2f4	E2f7	0.99976	50.87	0.873	rgb(227, 50, 52)	1.9986	None
Irf4	Irf4	0.99976	50.87	0.869	rgb(227, 51, 53)	1.9986	None
Stat3	Nsf	0.99976	50.87	0.871	rgb(227, 51, 52)	1.9986	None
Hif1a	Egln1	0.99972	50.86	0.862	rgb(226, 52, 54)	1.9984	None
Hif1a	Slc2a1	0.99972	50.86	0.863	rgb(226, 52, 54)	1.9984	None
Hic1	Itga4	0.99965	50.8	0.802	rgb(226, 64, 65)	1.9972	None
Hsf1	Sf3b3	0.99965	50.8	0.796	rgb(226, 65, 67)	1.9972	None
Srf	Adarb1	0.99965	50.8	0.796	rgb(226, 65, 67)	1.9972	None
Tbx21	Tbkbp1	0.99965	50.8	0.804	rgb(226, 63, 65)	1.9972	2,2
Hif1a	H2-Ab1	0.99961	50.85	0.85	rgb(226, 55, 56)	1.9982	None
Hif1a	Smtnl2	0.99961	50.85	0.845	rgb(226, 56, 57)	1.9982	None
Ahrr	Cyp1b1	0.99948	50.79	0.793	rgb(226, 66, 67)	1.997	2,2
Elf1	Pde7a	0.99948	50.79	0.793	rgb(226, 66, 67)	1.997	None
Irf4	Exoc2	-0.99948	50.84	-8.4E-01	rgb( 34,106,249)	1.998	None
Irf7	Xaf1	0.99948	50.79	0.791	rgb(226, 66, 67)	1.997	None
Rorc	C2cd4d	0.99948	50.79	0.794	rgb(226, 65, 67)	1.997	None
Stat3	Gem	0.99948	50.84	0.84	rgb(226, 57, 58)	1.998	None
Stat3	Sbno2	0.99948	50.84	0.84	rgb(226, 57, 58)	1.998	None
Irf4	Neto1	-0.99946	50.83	-8.3E-01	rgb( 37,107,249)	1.9978	None
Irf1	Tbx21	0.9994	50.78	0.778	rgb(226, 68, 70)	1.9968	2,2
Sp110	Cdkn2d	0.9994	50.78	0.777	rgb(226, 69, 70)	1.9968	2,2
Sp2	Brd3	0.9994	50.78	0.785	rgb(226, 67, 69)	1.9968	None
Irf1	Gbp6	0.99935	50.77	0.772	rgb(225, 70, 71)	1.9966	None
Rxra	Slain1	0.99935	50.77	0.774	rgb(226, 69, 71)	1.9966	None
Tcf12	Mycbp2	0.99935	50.77	0.77	rgb(225, 70, 71)	1.9966	None
Hif1a	Aldoc	0.99922	50.82	0.823	rgb(226, 60, 61)	1.9976	None
Hif1a	Bnip3	0.99922	50.82	0.821	rgb(226, 60, 62)	1.9976	None
Hif1a	Ppme1	0.99922	50.82	0.821	rgb(226, 60, 62)	1.9976	None
Ikzf3	Sumf2	-0.99922	50.82	-8.2E-01	rgb( 40,109,248)	1.9976	None
Irf4	Myo1e	-0.99922	50.82	-8.2E-01	rgb( 38,108,248)	1.9976	None
Stat3	Bcl3	0.99922	50.82	0.816	rgb(226, 61, 63)	1.9976	None
Stat3	Rorc	0.99922	50.82	0.818	rgb(226, 61, 62)	1.9976	None
Hif1a	Ccr5	0.99914	50.76	0.757	rgb(225, 72, 74)	1.9964	None
Hsf1	Smyd5	0.99914	50.76	0.756	rgb(225, 73, 74)	1.9964	None
Rorc	Lingo4	0.99914	50.76	0.756	rgb(225, 73, 74)	1.9964	2,2
Zfp629	Ttbk2	0.99914	50.76	0.756	rgb(225, 73, 74)	1.9964	2,2
Hif1a	Mboat2	0.99909	50.81	0.806	rgb(226, 63, 65)	1.9974	None
Irf4	C2cd4b	-0.99909	50.81	-8.1E-01	rgb( 42,111,248)	1.9974	None
Stat3	Tnip2	0.99909	50.81	0.811	rgb(226, 62, 64)	1.9974	None
Irf4	Chst15	0.99899	50.75	0.752	rgb(225, 73, 75)	1.9962	None
Irf7	I830012O16Rik	0.99899	50.75	0.75	rgb(225, 74, 75)	1.9962	2,2
Irf7	Ifit3	0.99899	50.75	0.754	rgb(225, 73, 75)	1.9962	None
Nfkb2	Psd	0.99899	50.75	0.755	rgb(225, 73, 74)	1.9962	None
Rara	Nsmaf	-0.99899	50.75	-7.5E-01	rgb( 54,118,245)	1.9962	None
Hif1a	Bcar1	0.9989	50.8	0.801	rgb(226, 64, 66)	1.9972	None
Irf4	Wnt1	-0.9989	50.8	-8.0E-01	rgb( 43,111,248)	1.9972	None
Maf	Ifih1	-0.9989	50.8	-8.0E-01	rgb( 43,111,247)	1.9972	None
Stat3	Il21	0.9989	50.8	0.801	rgb(226, 64, 66)	1.9972	None
Stat3	Pccb	-0.9989	50.8	-8.0E-01	rgb( 44,112,247)	1.9972	None
Hif1a	P4ha2	0.99884	50.79	0.786	rgb(226, 67, 69)	1.997	None
Irf4	Fam160a1	-0.99884	50.79	-7.9E-01	rgb( 45,113,247)	1.997	2,2
Stat3	Ubash3a	-0.99884	50.79	-7.9E-01	rgb( 45,112,247)	1.997	None
Elf1	Arhgef6	0.99875	50.74	0.744	rgb(225, 75, 76)	1.996	None
Irf5	Gna15	0.99875	50.74	0.741	rgb(225, 76, 77)	1.996	None
Mxi1	Ndufv3	0.99875	50.74	0.736	rgb(225, 76, 78)	1.996	None
Sp2	Psmd8	-0.99875	50.74	-7.4E-01	rgb( 57,120,245)	1.996	None
Yy2	Smek1	0.99875	50.74	0.737	rgb(225, 76, 78)	1.996	None
Atf6	Xpnpep1	-0.99866	50.78	-7.8E-01	rgb( 49,115,246)	1.9968	None
Hif1a	Jmjd6	0.99866	50.78	0.777	rgb(226, 69, 70)	1.9968	None
Hif1a	Pafah1b3	0.99866	50.78	0.78	rgb(226, 68, 70)	1.9968	None
Irf4	Pgrmc1	-0.99866	50.78	-7.8E-01	rgb( 49,115,246)	1.9968	None
Zfp385a	Eng	0.99866	50.78	0.776	rgb(226, 69, 70)	1.9968	2,2
Atf5	Minpp1	-0.99857	50.73	-7.3E-01	rgb( 60,121,245)	1.9958	2,2
Irf1	Fam26f	0.99857	50.73	0.734	rgb(225, 77, 78)	1.9958	None
Smad4	Itpr3	0.99857	50.73	0.727	rgb(225, 78, 80)	1.9958	None
