TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	0.71112	50.43	0.926	rgb(227, 40, 42)	2	2,2
Irf9	Irf7	0.71112	50.38	0.882	rgb(227, 49, 50)	1.999	2,2
Sp2	Zfp592	0.71112	50.37	0.872	rgb(227, 50, 52)	1.9988	None
Maf	Aqp3	0.71112	50.36	0.857	rgb(226, 53, 55)	1.9986	None
Zfp536	Lpin3	0.71112	50.35	0.847	rgb(226, 55, 57)	1.9984	2,2
Gm14420	Gm2011	0.71112	50.34	0.84	rgb(226, 57, 58)	1.9982	2,2
Irf1	Nlrc5	0.71112	50.33	0.826	rgb(226, 59, 61)	1.998	None
Sp2	Rreb1	0.71112	50.33	0.826	rgb(226, 59, 61)	1.998	None
Srf	Adarb1	0.71112	50.33	0.832	rgb(226, 58, 60)	1.998	None
E2f4	Ccdc122	-0.71112	50.32	-8.2E-01	rgb( 40,109,248)	1.9978	None
Irf7	Oasl2	0.71112	50.32	0.824	rgb(226, 60, 61)	1.9978	2,2
Irf7	Rsad2	0.71112	50.32	0.824	rgb(226, 60, 61)	1.9978	None
Nfkb1	Emb	-0.71112	50.31	-8.1E-01	rgb( 40,110,248)	1.9976	None
Srf	Zfp646	0.71112	50.31	0.812	rgb(226, 62, 64)	1.9976	None
Tbx21	Tbkbp1	0.71112	50.31	0.809	rgb(226, 62, 64)	1.9976	2,2
Irf1	Tbx21	0.71112	50.3	0.8	rgb(226, 64, 66)	1.9974	2,2
Pou2af1	Il10ra	-0.71112	50.3	-8.0E-01	rgb( 43,111,247)	1.9974	None
Sp2	Hist3h2a	-0.71112	50.3	-8.0E-01	rgb( 44,112,247)	1.9974	None
Sp2	Lrrc28	-0.71112	50.3	-8.0E-01	rgb( 42,111,248)	1.9974	None
Sp2	Rpl14	-0.71112	50.29	-7.9E-01	rgb( 46,113,247)	1.9972	None
Srebf2	Dhcr24	0.71112	50.29	0.795	rgb(226, 65, 67)	1.9972	2,2
Irf7	Ifit3	0.71112	50.28	0.782	rgb(226, 68, 69)	1.997	2,2
Rxra	Trpm6	0.71112	50.28	0.777	rgb(226, 69, 70)	1.997	None
Vax2	Il17re	0.71112	50.28	0.78	rgb(226, 68, 70)	1.997	2,2
Elf1	Arhgef6	0.71112	50.27	0.775	rgb(226, 69, 71)	1.9968	None
Irf7	Ifit1	0.71112	50.27	0.77	rgb(225, 70, 72)	1.9968	None
Irf7	Xaf1	0.71112	50.27	0.771	rgb(225, 70, 71)	1.9968	None
Sp2	E2f7	0.71112	50.27	0.769	rgb(225, 70, 72)	1.9968	None
Yy2	Smek1	0.71112	50.27	0.766	rgb(225, 71, 72)	1.9968	None
Zfp365	Slc19a2	0.71112	50.27	0.771	rgb(225, 70, 71)	1.9968	2,2
Ahctf1	Zcchc2	0.71112	50.26	0.764	rgb(225, 71, 73)	1.9966	None
Ddit3	Soat2	0.71112	50.26	0.765	rgb(225, 71, 72)	1.9966	None
Hsf1	Mtrf1	-0.71112	50.26	-7.6E-01	rgb( 52,116,246)	1.9966	None
Irf7	Mx1	0.71112	50.26	0.763	rgb(225, 71, 73)	1.9966	2,2
Nfatc1	Foxp4	0.71112	50.26	0.762	rgb(225, 72, 73)	1.9966	None
Hsf1	Guca1a	-0.71112	50.25	-7.5E-01	rgb( 54,118,246)	1.9964	None
Irf7	BC094916	0.71112	50.25	0.755	rgb(225, 73, 74)	1.9964	None
Mxi1	Ppp1r13l	0.71112	50.25	0.745	rgb(225, 75, 76)	1.9964	None
Rorc	Lingo4	0.71112	50.25	0.747	rgb(225, 74, 76)	1.9964	2,2
Sp2	Ckmt1	-0.71112	50.25	-7.5E-01	rgb( 55,118,245)	1.9964	None
Sp2	Pml	0.71112	50.25	0.746	rgb(225, 75, 76)	1.9964	None
Srebf1	Aacs	0.71112	50.25	0.745	rgb(225, 75, 76)	1.9964	2,2
Srebf1	Sqle	0.71112	50.25	0.746	rgb(225, 75, 76)	1.9964	None
Zfp429	Zfp874a	0.71112	50.25	0.746	rgb(225, 75, 76)	1.9964	2,2
Ddit3	Stard5	0.71112	50.24	0.742	rgb(225, 75, 77)	1.9962	2,2
Hsf1	Ascc1	-0.71112	50.24	-7.4E-01	rgb( 56,119,245)	1.9962	None
Mxi1	Thra	0.71112	50.24	0.737	rgb(225, 76, 78)	1.9962	None
Rorc	C2cd4d	0.71112	50.24	0.74	rgb(225, 76, 77)	1.9962	None
Sp110	Cdkn2d	0.71112	50.24	0.74	rgb(225, 76, 77)	1.9962	2,2
Sp2	Crtc1	0.71112	50.24	0.737	rgb(225, 76, 78)	1.9962	None
Sp2	Smg5	0.71112	50.24	0.741	rgb(225, 75, 77)	1.9962	None
Sp4	Smg5	-0.71112	50.24	-7.4E-01	rgb( 56,119,245)	1.9962	None
C030039L03Rik	Atp7b	0.71112	50.24	0.742	rgb(225, 75, 77)	1.9962	2,2
Zfp629	Ttbk2	0.71112	50.24	0.737	rgb(225, 76, 78)	1.9962	2,2
Fosl2	Tbc1d30	0.71112	50.23	0.726	rgb(225, 78, 80)	1.996	None
Hif1a	Satb1	0.71112	50.23	0.728	rgb(225, 78, 79)	1.996	None
Irf7	I830012O16Rik	0.71112	50.23	0.726	rgb(225, 78, 80)	1.996	2,2
Jund	Socs1	0.71112	50.23	0.731	rgb(225, 77, 79)	1.996	None
Nfatc2	Pdhx	-0.71112	50.23	-7.3E-01	rgb( 59,121,245)	1.996	2,2
Sp4	Nrf1	-0.71112	50.23	-7.3E-01	rgb( 59,121,245)	1.996	None
Tcf3	Wrnip1	0.71112	50.23	0.73	rgb(225, 78, 79)	1.996	None
Zfp182	Tlcd2	-0.71112	50.23	-7.3E-01	rgb( 59,121,245)	1.996	None
Mxd4	Lgals3	0.71112	50.23	0.728	rgb(225, 78, 79)	1.996	2,2
E2f1	Exo1	0.71112	50.22	0.721	rgb(225, 79, 81)	1.9958	None
Epas1	Gata3	0.71112	50.22	0.718	rgb(225, 80, 81)	1.9958	2,2
Mxi1	Utp20	-0.71112	50.22	-7.2E-01	rgb( 61,122,244)	1.9958	None
Rest	Rbm15	0.71112	50.22	0.72	rgb(225, 79, 81)	1.9958	None
Zfp35	Mmachc	0.71112	50.22	0.718	rgb(225, 80, 81)	1.9958	2,2
Crem	Vps37b	0.71112	50.21	0.715	rgb(225, 80, 82)	1.9955	None
Etv6	Skap2	0.71112	50.21	0.71	rgb(225, 81, 83)	1.9955	None
Foxs1	Mylk2	0.71112	50.21	0.712	rgb(225, 81, 82)	1.9955	2,2
Irf4	Slfn2	0.71112	50.21	0.714	rgb(225, 81, 82)	1.9955	None
Irf7	2010002M12Rik	0.71112	50.21	0.714	rgb(225, 81, 82)	1.9955	2,2
Irf7	Mx2	0.71112	50.21	0.706	rgb(225, 82, 84)	1.9955	None
Mxi1	Kcnj14	-0.71112	50.21	-7.1E-01	rgb( 63,123,244)	1.9955	None
Smad3	Cyr61	-0.71112	50.21	-7.1E-01	rgb( 63,123,244)	1.9955	None
Sp2	BC026585	-0.71112	50.21	-7.1E-01	rgb( 63,123,244)	1.9955	None
Srebf2	Kdm2b	0.71112	50.21	0.714	rgb(225, 81, 82)	1.9955	None
Zfp146	AA467197	-0.71112	50.21	-7.1E-01	rgb( 62,123,244)	1.9955	2,2
Cux1	Epb4.1l2	0.71112	50.2	0.698	rgb(225, 84, 85)	1.9953	2,2
E2f1	Ddx51	0.71112	50.2	0.704	rgb(225, 83, 84)	1.9953	None
Foxo3	Map3k1	0.71112	50.2	0.704	rgb(225, 82, 84)	1.9953	None
Hsf1	Sbno2	0.71112	50.2	0.7	rgb(225, 83, 85)	1.9953	None
Irf1	Tgtp2	0.71112	50.2	0.699	rgb(225, 83, 85)	1.9953	None
Jun	Stat5b	0.71112	50.2	0.698	rgb(225, 84, 85)	1.9953	None
