TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Sp2	Brd3	1	50.91	0.909	rgb(227, 43, 45)	2	None
Gm14420	Gm2011	0.99779	50.9	0.903	rgb(227, 45, 46)	1.9998	2,2
Irf7	Rtp4	0.99559	50.88	0.882	rgb(227, 48, 50)	1.9994	2,2
Irf1	Nlrc5	0.99338	50.86	0.857	rgb(226, 53, 55)	1.999	None
Srebf2	Dhcr24	0.99117	50.85	0.846	rgb(226, 55, 57)	1.9988	2,2
Irf7	Rsad2	0.98896	50.84	0.844	rgb(226, 56, 58)	1.9986	None
Tbx21	Tbkbp1	0.98896	50.84	0.843	rgb(226, 56, 58)	1.9986	2,2
Srf	Adarb1	0.98676	50.82	0.823	rgb(226, 60, 62)	1.9982	None
Crem	Vps37b	0.98455	50.81	0.806	rgb(226, 63, 65)	1.998	None
Irf1	Tbx21	0.98234	50.8	0.797	rgb(226, 65, 66)	1.9978	2,2
Irf7	Xaf1	0.98234	50.8	0.804	rgb(226, 63, 65)	1.9978	None
Irf9	Irf7	0.98234	50.8	0.8	rgb(226, 64, 66)	1.9978	2,2
Ahctf1	Zcchc2	0.98013	50.79	0.789	rgb(226, 66, 68)	1.9976	None
Ahrr	Cyp1b1	0.98013	50.79	0.787	rgb(226, 67, 68)	1.9976	2,2
Srf	Notch1	0.98013	50.79	0.791	rgb(226, 66, 68)	1.9976	None
Nr4a1	Nr4a3	0.97793	50.78	0.783	rgb(226, 67, 69)	1.9974	2,2
Rorc	C2cd4d	0.97793	50.78	0.778	rgb(226, 68, 70)	1.9974	None
Hsf1	Smyd5	0.97572	50.77	0.773	rgb(226, 69, 71)	1.9972	None
Smad4	Itpr3	0.97572	50.77	0.773	rgb(226, 69, 71)	1.9972	None
Srebf1	Fads2	0.97572	50.77	0.769	rgb(225, 70, 72)	1.9972	2,2
Mxd3	Cdc25b	0.97572	50.77	0.772	rgb(225, 69, 71)	1.9972	2,2
Egr1	Egr2	0.97351	50.76	0.761	rgb(225, 72, 73)	1.997	None
Smad3	Cyr61	-0.97351	50.76	-7.6E-01	rgb( 53,117,246)	1.997	None
Zfp536	Lpin3	0.97351	50.76	0.758	rgb(225, 72, 74)	1.997	2,2
Irf1	Erap1	0.9713	50.75	0.747	rgb(225, 74, 76)	1.9968	None
Irf1	Gbp10	0.9713	50.75	0.751	rgb(225, 74, 75)	1.9968	2,2
Irf7	Cmpk2	0.9713	50.75	0.753	rgb(225, 73, 75)	1.9968	2,2
E2f1	Wee1	0.9691	50.74	0.741	rgb(225, 75, 77)	1.9966	None
Elf1	Arhgef6	0.9691	50.74	0.74	rgb(225, 76, 77)	1.9966	None
Elf1	Pde7a	0.9691	50.74	0.739	rgb(225, 76, 77)	1.9966	None
Irf1	Fam26f	0.9691	50.74	0.74	rgb(225, 76, 77)	1.9966	None
Irf7	I830012O16Rik	0.9691	50.74	0.74	rgb(225, 76, 77)	1.9966	2,2
Irf7	Mx1	0.9691	50.74	0.74	rgb(225, 76, 77)	1.9966	2,2
Nfatc1	Foxp4	0.9691	50.74	0.738	rgb(225, 76, 78)	1.9966	None
Rorc	Lingo4	0.9691	50.74	0.742	rgb(225, 75, 77)	1.9966	2,2
Sp2	Slc39a9	0.9691	50.74	0.743	rgb(225, 75, 77)	1.9966	None
Srebf1	Sqle	0.9691	50.74	0.739	rgb(225, 76, 77)	1.9966	None
Tcf12	Mycbp2	0.9691	50.74	0.741	rgb(225, 75, 77)	1.9966	2,2
Pou2af1	Il10ra	-0.96689	50.73	-7.3E-01	rgb( 58,121,245)	1.9964	None
Sp110	Cdkn2d	0.96689	50.73	0.728	rgb(225, 78, 79)	1.9964	2,2
Zfp385a	Zmat3	0.96689	50.73	0.731	rgb(225, 77, 79)	1.9964	2,2
Cebpg	Chac1	0.96468	50.72	0.724	rgb(225, 79, 80)	1.9962	2,2
Irf7	Ifit1	0.96468	50.72	0.721	rgb(225, 79, 81)	1.9962	None
Nfic	Klf13	0.96468	50.72	0.724	rgb(225, 79, 80)	1.9962	None
Rxra	Myo18a	0.96468	50.72	0.724	rgb(225, 79, 80)	1.9962	None
Sp110	Bcl2a1b	0.96468	50.72	0.715	rgb(225, 80, 82)	1.9962	2,2
Zfp277	Fam120c	-0.96468	50.72	-7.2E-01	rgb( 61,122,244)	1.9962	2,2
Zfp35	Mmachc	0.96468	50.72	0.717	rgb(225, 80, 81)	1.9962	2,2
Ets2	Ifit2	0.96247	50.71	0.715	rgb(225, 81, 82)	1.996	2,2
Mxi1	Ppp1r13l	0.96247	50.71	0.71	rgb(225, 81, 83)	1.996	None
Mxi1	Ypel5	0.96247	50.71	0.708	rgb(225, 82, 83)	1.996	None
Sp2	Zfp592	0.96247	50.71	0.71	rgb(225, 81, 83)	1.996	None
Srebf1	Abcg1	0.96247	50.71	0.713	rgb(225, 81, 82)	1.996	2,2
Zfp385a	Eng	0.96247	50.71	0.705	rgb(225, 82, 84)	1.996	2,2
Cebpg	Psph	0.96027	50.7	0.705	rgb(225, 82, 84)	1.9958	2,2
Elk3	Capg	0.96027	50.7	0.696	rgb(225, 84, 85)	1.9958	2,2
Foxs1	Vax2	0.96027	50.7	0.696	rgb(225, 84, 85)	1.9958	2,2
Hsf1	Mtrf1	-0.96027	50.7	-7.0E-01	rgb( 66,125,243)	1.9958	None
Irf1	Gbp2	0.96027	50.7	0.7	rgb(225, 83, 85)	1.9958	None
Irf5	Gna15	0.96027	50.7	0.696	rgb(225, 84, 86)	1.9958	2,2
Irf7	2010002M12Rik	0.96027	50.7	0.695	rgb(225, 84, 86)	1.9958	2,2
Mxi1	Aen	-0.96027	50.7	-7.0E-01	rgb( 65,125,244)	1.9958	None
Mybl1	Gen1	0.96027	50.7	0.7	rgb(225, 83, 85)	1.9958	2,2
Rreb1	Tacc2	0.96027	50.7	0.699	rgb(225, 83, 85)	1.9958	None
Srf	Ccdc107	-0.96027	50.7	-7.0E-01	rgb( 66,125,244)	1.9958	None
Tead1	Nupr1	0.96027	50.7	0.702	rgb(225, 83, 84)	1.9958	2,2
