TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Sp2	Brd3	0.99998	50.4	0.902	rgb(227, 45, 47)	2	None
Hif1a	Slc2a1	0.99993	50.39	0.886	rgb(227, 48, 50)	1.9998	None
Irf7	Rtp4	0.99993	50.39	0.886	rgb(227, 48, 50)	1.9998	2,2
Satb1	Kctd17	0.99993	50.39	0.892	rgb(227, 47, 48)	1.9998	None
Irf7	Rsad2	0.99991	50.37	0.867	rgb(227, 51, 53)	1.9994	None
Hif1a	Egln1	0.99985	50.38	0.884	rgb(227, 48, 50)	1.9996	None
Irf1	Nlrc5	0.99985	50.36	0.857	rgb(226, 53, 55)	1.9992	None
Stat3	Timp1	0.99985	50.38	0.877	rgb(227, 49, 51)	1.9996	None
Stat3	Ppm1j	0.99981	50.37	0.868	rgb(227, 51, 53)	1.9994	None
Tbx21	Tbkbp1	0.99981	50.34	0.843	rgb(226, 56, 58)	1.9988	2,2
Irf7	Xaf1	0.99978	50.33	0.83	rgb(226, 58, 60)	1.9986	None
Srebf2	Dhcr24	0.99978	50.33	0.832	rgb(226, 58, 60)	1.9986	2,2
Atf6	Rps14	0.9997	50.36	0.856	rgb(226, 54, 55)	1.9992	None
Rorc	C2cd4d	0.9997	50.32	0.818	rgb(226, 61, 62)	1.9984	None
Stat3	Sbno2	0.9997	50.36	0.863	rgb(226, 52, 54)	1.9992	None
Stat3	Tnip2	0.9997	50.36	0.861	rgb(226, 53, 54)	1.9992	None
Crem	Vps37b	0.99966	50.31	0.807	rgb(226, 63, 64)	1.9982	None
Irf1	Tbx21	0.99966	50.31	0.808	rgb(226, 63, 64)	1.9982	2,2
Atf6	Fau	0.99959	50.34	0.84	rgb(226, 57, 58)	1.9988	None
Fosl2	Tgm1	0.99959	50.34	0.841	rgb(226, 56, 58)	1.9988	None
Irf9	Irf7	0.99959	50.3	0.8	rgb(226, 64, 66)	1.998	2,2
Stat3	Plekho2	0.99959	50.34	0.844	rgb(226, 56, 58)	1.9988	None
Ahctf1	Zcchc2	0.99957	50.29	0.788	rgb(226, 67, 68)	1.9978	None
Hif1a	Aldoc	0.9995	50.33	0.827	rgb(226, 59, 61)	1.9986	None
Hif1a	Mboat2	0.9995	50.33	0.832	rgb(226, 58, 60)	1.9986	None
Hif1a	Ppme1	0.9995	50.33	0.829	rgb(226, 59, 60)	1.9986	None
Maf	Ifih1	-0.9995	50.33	-8.3E-01	rgb( 37,108,248)	1.9986	None
Hsf1	Smyd5	0.9994	50.28	0.784	rgb(226, 67, 69)	1.9976	None
