TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Zfp329	Neat1	0.84878	50.33	0.827	rgb(226, 59, 61)	2	2,2
Zfp367	Dtl	0.84878	50.33	0.833	rgb(226, 58, 59)	2	2,2
Stat3	Sbno2	0.84878	50.32	0.821	rgb(226, 60, 62)	1.9998	2,2
Hif1a	Jmjd6	0.84878	50.31	0.813	rgb(226, 62, 63)	1.9996	None
Zfp536	Tekt2	0.84878	50.3	0.795	rgb(226, 65, 67)	1.9994	2,2
Stat3	Tnip2	0.84878	50.27	0.773	rgb(226, 69, 71)	1.9988	None
Zfp169	Inpp4a	0.84878	50.26	0.756	rgb(225, 73, 74)	1.9986	2,2
Zfp629	Ttbk2	0.84878	50.26	0.763	rgb(225, 71, 73)	1.9986	2,2
Zfp367	Rpa2	0.84878	50.25	0.749	rgb(225, 74, 75)	1.9984	2,2
Stat3	Bcl3	0.84878	50.24	0.736	rgb(225, 76, 78)	1.9982	None
Zfp367	Exo1	0.84878	50.24	0.74	rgb(225, 76, 77)	1.9982	2,2
Hif1a	Slc2a1	0.84878	50.23	0.732	rgb(225, 77, 79)	1.998	None
Hif1a	Rassf1	0.84878	50.22	0.716	rgb(225, 80, 82)	1.9978	None
Zeb2	Sntb1	-0.84878	50.22	-7.2E-01	rgb( 60,121,245)	1.9978	2,2
Hif1a	Pgm2	0.84878	50.21	0.713	rgb(225, 81, 82)	1.9976	2,2
Six4	Pgrmc1	-0.84878	50.21	-7.1E-01	rgb( 62,123,244)	1.9976	2,2
Zbed6	Cnot1	0.84878	50.21	0.708	rgb(225, 82, 83)	1.9976	2,2
Zfp385a	Zmat3	0.84878	50.21	0.714	rgb(225, 81, 82)	1.9976	2,2
E2f4	Wdr76	0.84878	50.2	0.705	rgb(225, 82, 84)	1.9974	2,2
Hif1a	Ppme1	0.84878	50.2	0.703	rgb(225, 83, 84)	1.9974	None
Zbtb34	Pogz	0.84878	50.2	0.698	rgb(225, 84, 85)	1.9974	2,2
Zfp932	1700019G17Rik	0.84878	50.2	0.699	rgb(225, 84, 85)	1.9974	2,2
Zfp948	Ankrd23	0.84878	50.2	0.705	rgb(225, 82, 84)	1.9974	2,2
Stat2	Gbp7	0.84878	50.19	0.687	rgb(225, 86, 87)	1.9972	None
Zbtb32	Trpv2	0.84878	50.19	0.687	rgb(225, 86, 87)	1.9972	2,2
Zfp385a	Eng	0.84878	50.19	0.691	rgb(225, 85, 86)	1.9972	2,2
Hif1a	Higd1a	0.84878	50.18	0.677	rgb(224, 88, 89)	1.997	None
Hif1a	Rnf113a1	0.84878	50.18	0.676	rgb(224, 88, 89)	1.997	None
Nfia	Dapl1	0.84878	50.18	0.681	rgb(224, 87, 88)	1.997	None
Stat2	Erap1	0.84878	50.18	0.683	rgb(225, 86, 88)	1.997	None
Foxp1	Dgat1	-0.84878	50.18	-6.8E-01	rgb( 70,127,243)	1.997	2,2
Rlf	3110057O12Rik	0.84878	50.18	0.68	rgb(224, 87, 88)	1.997	2,2
Cebpb	Tor3a	0.84878	50.17	0.67	rgb(224, 89, 90)	1.9968	2,2
Foxf2	Ctla2a	-0.84878	50.17	-6.7E-01	rgb( 72,129,242)	1.9968	2,2
Hif1a	Bend5	0.84878	50.17	0.672	rgb(224, 89, 90)	1.9968	None
Hif1a	Smtnl2	0.84878	50.17	0.665	rgb(224, 90, 91)	1.9968	None
Stat3	Arid5a	0.84878	50.17	0.666	rgb(224, 90, 91)	1.9968	None
C030039L03Rik	Atp7b	0.84878	50.17	0.67	rgb(224, 89, 90)	1.9968	2,2
Sgsm2	Tert	0.84878	50.17	0.673	rgb(224, 88, 90)	1.9968	2,2
Bhlhe40	Dlg3	-0.84878	50.16	-6.6E-01	rgb( 75,131,242)	1.9966	2,2
Hif1a	Ndufv3	0.84878	50.16	0.656	rgb(224, 92, 93)	1.9966	None
Hif1a	P4hb	0.84878	50.16	0.662	rgb(224, 90, 92)	1.9966	None
Hif1a	Ppp1r3g	0.84878	50.16	0.661	rgb(224, 91, 92)	1.9966	2,2
Hif1a	Sertad1	0.84878	50.16	0.657	rgb(224, 92, 93)	1.9966	None
Rxrb	Crybg3	-0.84878	50.16	-6.6E-01	rgb( 73,129,242)	1.9966	2,2
Klf10	Ms4a6c	-0.84878	50.16	-6.6E-01	rgb( 74,130,242)	1.9966	2,2
Plscr1	Asns	0.84878	50.16	0.658	rgb(224, 91, 93)	1.9966	2,2
Zfp26	Ept1	0.84878	50.16	0.659	rgb(224, 91, 92)	1.9966	2,2
Zfp536	Itsn1	0.84878	50.16	0.661	rgb(224, 91, 92)	1.9966	2,2
Hif1a	Bnip3	0.84878	50.15	0.65	rgb(224, 93, 94)	1.9964	None
Ikzf4	Utp20	0.84878	50.15	0.653	rgb(224, 92, 94)	1.9964	2,2
Stat2	Gbp4	0.84878	50.15	0.649	rgb(224, 93, 94)	1.9964	None
Atf6b	Atp1a1	0.84878	50.15	0.651	rgb(224, 93, 94)	1.9964	2,2
Dpf1	Gipr	0.84878	50.15	0.649	rgb(224, 93, 94)	1.9964	2,2
Scmh1	Rbms2	0.84878	50.15	0.649	rgb(224, 93, 94)	1.9964	2,2
Zfp266	Cdk6	0.84878	50.15	0.648	rgb(224, 93, 94)	1.9964	2,2
Zfp536	Gykl1	0.84878	50.15	0.651	rgb(224, 93, 94)	1.9964	2,2
Zfp629	Qprt	-0.84878	50.15	-6.5E-01	rgb( 77,132,242)	1.9964	2,2
Zfp956	Ankrd23	0.84878	50.15	0.651	rgb(224, 93, 94)	1.9964	2,2
Stat2	Nlrc5	0.84878	50.14	0.639	rgb(224, 95, 96)	1.9961	2,2
C030039L03Rik	Kcnc3	0.84878	50.14	0.641	rgb(224, 95, 96)	1.9961	2,2
Csrnp1	Crem	0.84878	50.14	0.635	rgb(224, 96, 97)	1.9961	2,2
Hmgb1	AI506816	0.84878	50.14	0.64	rgb(224, 95, 96)	1.9961	2,2
Zbed3	Zkscan17	0.84878	50.14	0.641	rgb(224, 95, 96)	1.9961	2,2
Zfp385a	Abhd4	0.84878	50.14	0.644	rgb(224, 94, 95)	1.9961	2,2
Zfp385a	Rnf169	0.84878	50.14	0.645	rgb(224, 94, 95)	1.9961	2,2
E2f4	Zranb3	0.84878	50.13	0.631	rgb(224, 96, 98)	1.9959	2,2
Hes1	Cmas	-0.84878	50.13	-6.3E-01	rgb( 79,133,241)	1.9959	2,2
Hif1a	Ero1l	0.84878	50.13	0.632	rgb(224, 96, 98)	1.9959	None
Hif1a	Sap30	0.84878	50.13	0.633	rgb(224, 96, 97)	1.9959	None
Stat3	Abi3	0.84878	50.13	0.628	rgb(224, 97, 98)	1.9959	None
Zeb1	Ccr7	0.84878	50.13	0.632	rgb(224, 96, 98)	1.9959	None
Atmin	Scyl2	0.84878	50.13	0.626	rgb(224, 97, 99)	1.9959	2,2
Mxd3	Smtn	0.84878	50.13	0.628	rgb(224, 97, 98)	1.9959	2,2
Tal2	Tmem38b	0.84878	50.13	0.626	rgb(224, 97, 99)	1.9959	2,2
Zfp385a	Ptp4a3	0.84878	50.13	0.633	rgb(224, 96, 97)	1.9959	2,2
Zfp536	Lpin3	0.84878	50.13	0.628	rgb(224, 97, 98)	1.9959	2,2
Zfp64	Fbxw2	-0.84878	50.13	-6.3E-01	rgb( 80,134,241)	1.9959	2,2
Zfp90	Kcnd1	-0.84878	50.13	-6.3E-01	rgb( 80,133,241)	1.9959	2,2
Hif1a	Aldoa	0.84878	50.12	0.617	rgb(224, 99,100)	1.9957	None
Hif1a	Egln1	0.84878	50.12	0.624	rgb(224, 98, 99)	1.9957	None
Stat3	Klhl6	0.84878	50.12	0.616	rgb(224, 99,101)	1.9957	None
Zfp652	Elovl7	0.84878	50.12	0.619	rgb(224, 99,100)	1.9957	2,2
Foxp2	Sh2d4a	0.84878	50.12	0.615	rgb(224, 99,101)	1.9957	2,2
Tigd2	Mcm9	-0.84878	50.12	-6.2E-01	rgb( 82,135,241)	1.9957	2,2
Zfp277	Amz2	0.84878	50.12	0.624	rgb(224, 98, 99)	1.9957	2,2
Zfp280b	Zfp467	0.84878	50.12	0.62	rgb(224, 99,100)	1.9957	2,2
Zfp329	St7	-0.84878	50.12	-6.2E-01	rgb( 82,135,241)	1.9957	2,2
Zfp385a	Zfp365	0.84878	50.12	0.623	rgb(224, 98, 99)	1.9957	2,2
Zfpm1	Fgr	0.84878	50.12	0.617	rgb(224, 99,100)	1.9957	2,2
E2f4	Mxd3	0.84878	50.11	0.613	rgb(224,100,101)	1.9955	None
E4f1	Lyl1	-0.84878	50.11	-6.1E-01	rgb( 85,137,240)	1.9955	2,2
Glis3	Ldlrap1	0.84878	50.11	0.608	rgb(224,101,102)	1.9955	2,2
Hif1a	2310022B05Rik	0.84878	50.11	0.612	rgb(224,100,101)	1.9955	2,2
Smad3	Casp3	-0.84878	50.11	-6.1E-01	rgb( 84,136,240)	1.9955	2,2
Stat2	Gbp9	0.84878	50.11	0.606	rgb(224,101,102)	1.9955	2,2
Dpf1	Porcn	0.84878	50.11	0.607	rgb(224,101,102)	1.9955	2,2
Drap1	Pknox1	-0.84878	50.11	-6.1E-01	rgb( 84,136,240)	1.9955	2,2
Fbxl19	Fth1	-0.84878	50.11	-6.1E-01	rgb( 85,137,240)	1.9955	2,2
Gm14420	Cdkn2d	0.84878	50.11	0.605	rgb(224,101,103)	1.9955	2,2
