TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	0.72256	50.42	0.919	rgb(227, 41, 43)	2	2,2
Sp2	Rreb1	0.72256	50.37	0.872	rgb(227, 50, 52)	1.999	None
Srf	Adarb1	0.72256	50.36	0.863	rgb(226, 52, 54)	1.9988	None
Tbx21	Tbkbp1	0.72256	50.36	0.858	rgb(226, 53, 55)	1.9988	2,2
Sp2	Zfp592	0.72256	50.35	0.855	rgb(226, 54, 55)	1.9986	None
Yy2	Smek1	0.72256	50.35	0.85	rgb(226, 55, 56)	1.9986	None
Zfp536	Lpin3	0.72256	50.35	0.846	rgb(226, 55, 57)	1.9986	2,2
Irf1	Nlrc5	0.72256	50.34	0.838	rgb(226, 57, 59)	1.9984	None
Srebf2	Dhcr24	0.72256	50.33	0.829	rgb(226, 59, 60)	1.9982	2,2
Mxi1	Cxcr4	0.72256	50.32	0.82	rgb(226, 60, 62)	1.998	None
Sp2	E2f7	0.72256	50.31	0.813	rgb(226, 62, 63)	1.9978	None
Irf1	Tbx21	0.72256	50.29	0.786	rgb(226, 67, 69)	1.9974	2,2
Nfkb2	Psd	0.72256	50.29	0.785	rgb(226, 67, 69)	1.9974	None
Vax2	Il17re	0.72256	50.29	0.785	rgb(226, 67, 69)	1.9974	2,2
Crem	Galc	0.72256	50.28	0.779	rgb(226, 68, 70)	1.9972	None
Irf7	Rsad2	0.72256	50.28	0.782	rgb(226, 68, 69)	1.9972	None
Nfkb1	Emb	-0.72256	50.28	-7.8E-01	rgb( 47,114,247)	1.9972	None
Rorc	C2cd4d	0.72256	50.28	0.778	rgb(226, 68, 70)	1.9972	None
Stat4	Tnnt1	0.72256	50.28	0.78	rgb(226, 68, 70)	1.9972	None
Elf1	Arhgef6	0.72256	50.27	0.773	rgb(226, 69, 71)	1.997	None
Rorc	Lingo4	0.72256	50.27	0.767	rgb(225, 70, 72)	1.997	2,2
Srebf1	Sqle	0.72256	50.27	0.774	rgb(226, 69, 71)	1.997	None
Ahctf1	Zcchc2	0.72256	50.26	0.756	rgb(225, 73, 74)	1.9968	None
Irf7	Ifit3	0.72256	50.26	0.76	rgb(225, 72, 73)	1.9968	2,2
Nfatc1	Foxp4	0.72256	50.26	0.757	rgb(225, 72, 74)	1.9968	None
Smad3	Cyr61	-0.72256	50.26	-7.6E-01	rgb( 52,116,246)	1.9968	None
Sp2	Ckmt1	-0.72256	50.26	-7.6E-01	rgb( 52,116,246)	1.9968	None
Zfp182	Tlcd2	-0.72256	50.26	-7.6E-01	rgb( 52,116,246)	1.9968	None
E2f1	Exo1	0.72256	50.25	0.75	rgb(225, 74, 75)	1.9966	None
E2f1	Rpa2	0.72256	50.25	0.747	rgb(225, 74, 76)	1.9966	None
Epas1	Gata3	0.72256	50.25	0.752	rgb(225, 73, 75)	1.9966	2,2
Hif1a	Satb1	0.72256	50.25	0.752	rgb(225, 73, 75)	1.9966	None
Zfp787	Ocrl	-0.72256	50.25	-7.5E-01	rgb( 55,118,245)	1.9966	2,2
Ddit3	Stard5	0.72256	50.24	0.741	rgb(225, 75, 77)	1.9964	2,2
Irf7	I830012O16Rik	0.72256	50.24	0.739	rgb(225, 76, 77)	1.9964	2,2
Rxra	Trpm6	0.72256	50.24	0.74	rgb(225, 76, 77)	1.9964	None
