TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.89	0.895	rgb(227, 46, 48)	2	2,2
Irf7	Rtp4	0.99773	50.88	0.88	rgb(227, 49, 51)	1.9998	2,2
Irf1	Nlrc5	0.99545	50.87	0.867	rgb(227, 51, 53)	1.9996	None
Irf7	Rsad2	0.99318	50.84	0.845	rgb(226, 56, 57)	1.999	None
Mxi1	Cxcr4	0.9909	50.83	0.825	rgb(226, 59, 61)	1.9988	None
Nr4a1	Nr4a3	0.9909	50.83	0.83	rgb(226, 58, 60)	1.9988	2,2
Srebf2	Dhcr24	0.9909	50.83	0.832	rgb(226, 58, 60)	1.9988	2,2
Crem	Vps37b	0.98863	50.81	0.806	rgb(226, 63, 65)	1.9984	None
Sp2	Brd3	0.98863	50.81	0.807	rgb(226, 63, 65)	1.9984	None
Srebf1	Fads2	0.98863	50.81	0.814	rgb(226, 62, 63)	1.9984	2,2
Irf7	Xaf1	0.98636	50.79	0.791	rgb(226, 66, 67)	1.998	None
Rorc	C2cd4d	0.98636	50.79	0.794	rgb(226, 65, 67)	1.998	None
Hsf1	Smyd5	0.98408	50.78	0.784	rgb(226, 67, 69)	1.9978	None
Rorc	Lingo4	0.98408	50.78	0.784	rgb(226, 67, 69)	1.9978	2,2
Smad4	Itpr3	0.98408	50.78	0.781	rgb(226, 68, 69)	1.9978	None
Sp110	Cdkn2d	0.98408	50.78	0.777	rgb(226, 69, 70)	1.9978	2,2
Srf	Adarb1	0.98408	50.78	0.781	rgb(226, 68, 69)	1.9978	None
Srf	Notch1	0.98408	50.78	0.78	rgb(226, 68, 70)	1.9978	None
Irf1	Tbx21	0.98181	50.77	0.766	rgb(225, 71, 72)	1.9976	2,2
Zfp182	Fyco1	0.98181	50.77	0.772	rgb(225, 69, 71)	1.9976	2,2
Zfp385a	Eng	0.98181	50.77	0.772	rgb(225, 70, 71)	1.9976	2,2
Ahctf1	Zcchc2	0.97953	50.76	0.761	rgb(225, 72, 73)	1.9974	None
Irf1	Erap1	0.97953	50.76	0.763	rgb(225, 71, 73)	1.9974	None
Irf7	Cmpk2	0.97953	50.76	0.762	rgb(225, 72, 73)	1.9974	2,2
Nfatc1	Foxp4	0.97953	50.76	0.764	rgb(225, 71, 73)	1.9974	None
Mxd3	Cdc25b	0.97953	50.76	0.762	rgb(225, 71, 73)	1.9974	2,2
Egr1	Egr2	0.97726	50.75	0.751	rgb(225, 74, 75)	1.9972	None
