TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.91	0.914	rgb(227, 43, 44)	2	2,2
Irf7	Rtp4	0.99822	50.9	0.897	rgb(227, 46, 47)	1.9998	2,2
Irf1	Nlrc5	0.99645	50.86	0.864	rgb(226, 52, 54)	1.999	2,2
Irf1	Tbx21	0.99467	50.83	0.831	rgb(226, 58, 60)	1.9984	2,2
Zfp182	Fyco1	0.99467	50.83	0.832	rgb(226, 58, 60)	1.9984	2,2
Irf7	Rsad2	0.99289	50.82	0.82	rgb(226, 60, 62)	1.9982	2,2
Irf9	Irf7	0.99111	50.81	0.806	rgb(226, 63, 65)	1.998	2,2
Srebf1	Fads2	0.99111	50.81	0.808	rgb(226, 63, 64)	1.998	2,2
Rorc	Lingo4	0.98934	50.8	0.801	rgb(226, 64, 66)	1.9978	2,2
Nfkb2	Psd	0.98934	50.8	0.805	rgb(226, 63, 65)	1.9978	2,2
Srebf2	Dhcr24	0.98934	50.8	0.799	rgb(226, 64, 66)	1.9978	2,2
Irf7	Xaf1	0.98756	50.79	0.789	rgb(226, 66, 68)	1.9976	2,2
Nr4a1	Nr4a3	0.98756	50.79	0.785	rgb(226, 67, 69)	1.9976	2,2
Sp110	Cdkn2d	0.98756	50.79	0.788	rgb(226, 67, 68)	1.9976	2,2
Zfp367	Dtl	0.98578	50.77	0.771	rgb(225, 70, 71)	1.9972	2,2
Ahrr	Cyp1b1	0.98401	50.76	0.763	rgb(225, 71, 73)	1.997	2,2
Irf1	Igtp	0.98401	50.76	0.758	rgb(225, 72, 74)	1.997	2,2
Irf7	I830012O16Rik	0.98401	50.76	0.763	rgb(225, 71, 73)	1.997	2,2
Irf7	Ifit1	0.98401	50.76	0.763	rgb(225, 71, 73)	1.997	2,2
Elk3	Capg	0.98223	50.75	0.748	rgb(225, 74, 76)	1.9968	2,2
Irf7	Cmpk2	0.98223	50.75	0.752	rgb(225, 73, 75)	1.9968	2,2
Irf7	Ifit3	0.98223	50.75	0.749	rgb(225, 74, 75)	1.9968	2,2
Zfp367	Rpa2	0.98223	50.75	0.75	rgb(225, 74, 75)	1.9968	2,2
Zfp385a	Zmat3	0.98223	50.75	0.748	rgb(225, 74, 76)	1.9968	2,2
Zfp536	Lpin3	0.98223	50.75	0.747	rgb(225, 74, 76)	1.9968	2,2
Zfp385a	Abhd4	0.98045	50.74	0.738	rgb(225, 76, 78)	1.9966	2,2
Foxs1	Mylk2	0.97868	50.73	0.73	rgb(225, 78, 79)	1.9964	2,2
Mxd3	Cdc25b	0.97868	50.73	0.725	rgb(225, 78, 80)	1.9964	2,2
Nr4a3	Nr4a1	0.97868	50.73	0.726	rgb(225, 78, 80)	1.9964	2,2
