TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	0.83393	50.41	0.914	rgb(227, 42, 44)	2	2,2
Tbx21	Tbkbp1	0.83393	50.41	0.91	rgb(227, 43, 45)	2	2,2
Irf1	Nlrc5	0.83393	50.37	0.867	rgb(227, 51, 53)	1.9992	2,2
Zfp182	Fyco1	0.83393	50.33	0.828	rgb(226, 59, 61)	1.9984	2,2
Irf1	Tbx21	0.83393	50.32	0.821	rgb(226, 60, 62)	1.9982	2,2
Sp110	Cdkn2d	0.83393	50.32	0.82	rgb(226, 60, 62)	1.9982	2,2
Srebf2	Dhcr24	0.83393	50.32	0.815	rgb(226, 61, 63)	1.9982	2,2
Rorc	C2cd4d	0.83393	50.3	0.804	rgb(226, 63, 65)	1.9978	None
Irf7	Rsad2	0.83393	50.3	0.804	rgb(226, 63, 65)	1.9978	2,2
Zfp385a	Zmat3	0.83393	50.3	0.798	rgb(226, 65, 66)	1.9978	2,2
Rorc	Lingo4	0.83393	50.29	0.788	rgb(226, 66, 68)	1.9976	2,2
Ddit3	Sars	0.83393	50.29	0.786	rgb(226, 67, 68)	1.9976	2,2
Srebf1	Fads2	0.83393	50.29	0.788	rgb(226, 66, 68)	1.9976	2,2
Zfp367	Dtl	0.83393	50.29	0.793	rgb(226, 65, 67)	1.9976	2,2
Irf7	Ifit3	0.83393	50.28	0.778	rgb(226, 68, 70)	1.9974	2,2
Irf9	Irf7	0.83393	50.28	0.778	rgb(226, 68, 70)	1.9974	2,2
Mxd3	Cdc25b	0.83393	50.28	0.783	rgb(226, 67, 69)	1.9974	2,2
Nr4a1	Nr4a3	0.83393	50.28	0.777	rgb(226, 69, 70)	1.9974	2,2
Elk3	Capg	0.83393	50.27	0.767	rgb(225, 70, 72)	1.9972	2,2
Irf7	Ifit1	0.83393	50.27	0.765	rgb(225, 71, 72)	1.9972	2,2
Foxs1	Mylk2	0.83393	50.25	0.746	rgb(225, 75, 76)	1.9968	2,2
Irf7	I830012O16Rik	0.83393	50.25	0.754	rgb(225, 73, 75)	1.9968	2,2
Irf7	Xaf1	0.83393	50.25	0.746	rgb(225, 75, 76)	1.9968	2,2
