TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.92	0.918	rgb(227, 42, 44)	2	2,2
Irf7	Rtp4	0.99811	50.89	0.888	rgb(227, 47, 49)	1.9994	2,2
Stat3	Tnip2	0.99621	50.87	0.868	rgb(227, 51, 53)	1.999	None
Stat3	Bcl3	0.99432	50.86	0.859	rgb(226, 53, 55)	1.9988	None
Irf1	Nlrc5	0.99432	50.86	0.865	rgb(227, 52, 54)	1.9988	2,2
Etv6	Hist2h4	0.99243	50.84	0.845	rgb(226, 56, 57)	1.9984	None
Hif1a	Ralb	0.99243	50.84	0.835	rgb(226, 58, 59)	1.9984	None
Irf4	Glcci1	0.99243	50.84	0.844	rgb(226, 56, 57)	1.9984	None
Stat3	Flot1	0.99243	50.84	0.842	rgb(226, 56, 58)	1.9984	None
Srebf1	Fads2	0.99243	50.84	0.845	rgb(226, 56, 57)	1.9984	2,2
Maf	Bend3	-0.99053	50.83	-8.3E-01	rgb( 36,107,249)	1.9982	None
Hif1a	Galk1	0.98864	50.82	0.817	rgb(226, 61, 63)	1.998	None
Hif1a	Jmjd6	0.98864	50.82	0.823	rgb(226, 60, 61)	1.998	None
Hif1a	Sertad1	0.98864	50.82	0.822	rgb(226, 60, 62)	1.998	None
Stat3	Chmp4b	0.98864	50.82	0.817	rgb(226, 61, 63)	1.998	None
Stat3	Timp1	0.98864	50.82	0.82	rgb(226, 60, 62)	1.998	None
Irf7	Rsad2	0.98864	50.82	0.82	rgb(226, 60, 62)	1.998	2,2
Zfp182	Fyco1	0.98864	50.82	0.823	rgb(226, 60, 61)	1.998	2,2
Maf	Cdk5	0.98675	50.81	0.814	rgb(226, 62, 63)	1.9978	None
Maf	Ddx51	-0.98675	50.81	-8.1E-01	rgb( 42,111,248)	1.9978	None
Stat3	Arid5a	0.98675	50.81	0.812	rgb(226, 62, 64)	1.9978	None
Stat3	Gngt2	0.98675	50.81	0.811	rgb(226, 62, 64)	1.9978	None
Hif1a	Higd1a	0.98485	50.8	0.796	rgb(226, 65, 67)	1.9976	None
Maf	Upb1	0.98485	50.8	0.801	rgb(226, 64, 66)	1.9976	None
Stat3	Frmd4b	0.98485	50.8	0.797	rgb(226, 65, 66)	1.9976	None
Etv6	Pomc	0.98296	50.79	0.786	rgb(226, 67, 69)	1.9974	None
Hif1a	Scrt1	0.98296	50.79	0.785	rgb(226, 67, 69)	1.9974	None
Stat3	Efemp2	0.98296	50.79	0.789	rgb(226, 66, 68)	1.9974	None
Nfkb2	Psd	0.98296	50.79	0.792	rgb(226, 66, 67)	1.9974	2,2
Zfp367	Dtl	0.98296	50.79	0.792	rgb(226, 66, 67)	1.9974	2,2
Zfp385a	Eng	0.98296	50.79	0.792	rgb(226, 66, 67)	1.9974	2,2
Hif1a	Aldoc	0.98107	50.78	0.785	rgb(226, 67, 69)	1.9972	None
Hif1a	Ppme1	0.98107	50.78	0.785	rgb(226, 67, 69)	1.9972	None
Stat3	Zfp36	0.98107	50.78	0.78	rgb(226, 68, 70)	1.9972	None
Nr4a1	Nr4a3	0.98107	50.78	0.785	rgb(226, 67, 69)	1.9972	2,2
Etv6	Atp7b	-0.97917	50.77	-7.7E-01	rgb( 49,115,246)	1.997	None
Stat3	Ly6a	0.97728	50.76	0.763	rgb(225, 71, 73)	1.9968	None
Irf1	Fam26f	0.97728	50.76	0.765	rgb(225, 71, 72)	1.9968	2,2
Irf1	Tbx21	0.97728	50.76	0.759	rgb(225, 72, 74)	1.9968	2,2
Irf7	I830012O16Rik	0.97728	50.76	0.761	rgb(225, 72, 73)	1.9968	2,2
Etv6	Hist1h1a	0.97539	50.75	0.749	rgb(225, 74, 75)	1.9966	None
