TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	0.99996	50.43	0.926	rgb(227, 40, 42)	2	None
Lef1	Ncdn	0.99996	50.42	0.917	rgb(227, 42, 44)	1.9998	None
Srebf1	Fads2	0.99993	50.37	0.866	rgb(227, 52, 53)	1.9988	2,2
Stat3	Nsf	0.99993	50.41	0.907	rgb(227, 44, 46)	1.9996	None
Irf1	Nlrc5	0.99991	50.33	0.833	rgb(226, 58, 60)	1.998	None
Atf6	Dpm3	0.99985	50.4	0.903	rgb(227, 45, 46)	1.9994	None
Hif1a	Pgm2	0.99985	50.4	0.904	rgb(227, 44, 46)	1.9994	None
Srebf1	Uqcrq	-0.99985	50.31	-8.1E-01	rgb( 41,110,248)	1.9976	None
Stat3	Gem	0.99983	50.39	0.891	rgb(227, 47, 49)	1.9992	None
Hif1a	H2-Ab1	0.99981	50.37	0.866	rgb(227, 52, 53)	1.9988	2,2
Elf1	Pde7a	0.99976	50.3	0.802	rgb(226, 64, 65)	1.9974	None
Hsf1	Smyd5	0.99976	50.3	0.804	rgb(226, 63, 65)	1.9974	None
Yy2	Pwwp2a	0.99976	50.3	0.801	rgb(226, 64, 66)	1.9974	None
Rorc	C2cd4d	0.99972	50.29	0.794	rgb(226, 65, 67)	1.9972	None
Zfp369	Zfpm1	-0.99972	50.29	-7.9E-01	rgb( 47,113,247)	1.9972	None
E2f4	E2f7	0.99965	50.36	0.861	rgb(226, 52, 54)	1.9986	None
Hif1a	Egln1	0.99965	50.36	0.856	rgb(226, 54, 55)	1.9986	None
Hif1a	Smtnl2	0.99965	50.36	0.863	rgb(226, 52, 54)	1.9986	None
Lef1	Rps6ka4	0.99965	50.36	0.865	rgb(227, 52, 54)	1.9986	None
Elf1	Arhgef6	0.99952	50.28	0.782	rgb(226, 68, 69)	1.997	None
Hif1a	Bnip3	0.99952	50.35	0.851	rgb(226, 55, 56)	1.9984	None
Irf1	Tbx21	0.99952	50.28	0.783	rgb(226, 68, 69)	1.997	2,2
Ski	Tnk2	-0.99952	50.35	-8.5E-01	rgb( 33,105,249)	1.9984	None
Sp110	Cdkn2d	0.99952	50.28	0.777	rgb(226, 69, 70)	1.997	2,2
Stat3	Tlr7	-0.99952	50.35	-8.5E-01	rgb( 32,105,249)	1.9984	None
Tbx21	Tbkbp1	0.99952	50.28	0.779	rgb(226, 68, 70)	1.997	2,2
Dbp	Ramp3	0.99933	50.34	0.843	rgb(226, 56, 58)	1.9982	None
Hif1a	Hk1	0.99933	50.34	0.837	rgb(226, 57, 59)	1.9982	None
Hif1a	Ppme1	0.99933	50.34	0.84	rgb(226, 57, 58)	1.9982	None
Irf1	Gbp6	0.99933	50.27	0.769	rgb(225, 70, 72)	1.9968	None
Irf5	Gna15	0.99933	50.27	0.766	rgb(225, 71, 72)	1.9968	None
Irf7	Rsad2	0.99933	50.27	0.771	rgb(225, 70, 71)	1.9968	None
Stat3	Itga3	0.99933	50.34	0.839	rgb(226, 57, 58)	1.9982	None
Stat3	Ncs1	0.99933	50.34	0.842	rgb(226, 56, 58)	1.9982	None
Zfp467	Wnt10a	0.99933	50.27	0.77	rgb(225, 70, 72)	1.9968	None
Zfp629	Ttbk2	0.99933	50.27	0.771	rgb(225, 70, 71)	1.9968	2,2
Hic1	Itga4	0.99925	50.26	0.758	rgb(225, 72, 74)	1.9966	None
Maf	Aqp3	0.99925	50.26	0.759	rgb(225, 72, 74)	1.9966	None
Rela	Dyx1c1	-0.99925	50.26	-7.6E-01	rgb( 52,117,246)	1.9966	None
Tcf12	Mycbp2	0.99925	50.26	0.764	rgb(225, 71, 73)	1.9966	None
Ikzf3	Rpp14	-0.99916	50.32	-8.2E-01	rgb( 39,109,248)	1.9978	None
Lin54	Hist1h1b	0.99916	50.32	0.82	rgb(226, 60, 62)	1.9978	None
Stat3	Ctla2b	0.99916	50.32	0.824	rgb(226, 60, 61)	1.9978	None
Stat3	Sbno2	0.99916	50.32	0.821	rgb(226, 60, 62)	1.9978	None
Stat3	Tnip2	0.99916	50.32	0.817	rgb(226, 61, 63)	1.9978	None
Etv6	Il12rb1	0.99907	50.25	0.753	rgb(225, 73, 75)	1.9964	None
Etv6	Rasgrp1	-0.99907	50.25	-7.5E-01	rgb( 55,118,245)	1.9964	None
Hif1a	Ccr5	0.99907	50.25	0.746	rgb(225, 74, 76)	1.9964	None
Irf7	Ifit3	0.99907	50.25	0.754	rgb(225, 73, 75)	1.9964	None
Irf7	Xaf1	0.99907	50.25	0.746	rgb(225, 75, 76)	1.9964	None
Atf6	Rps14	0.99898	50.31	0.814	rgb(226, 62, 63)	1.9976	None
Atf6	Xpnpep1	-0.99898	50.31	-8.1E-01	rgb( 42,110,248)	1.9976	None
Bcl11b	Trpv2	-0.99898	50.31	-8.1E-01	rgb( 42,110,248)	1.9976	None
E2f4	Wdr76	0.99898	50.31	0.813	rgb(226, 62, 63)	1.9976	None
Fosl2	Pla2g12a	0.99898	50.31	0.814	rgb(226, 62, 63)	1.9976	None
E2f4	Zranb3	0.99888	50.3	0.804	rgb(226, 63, 65)	1.9974	2,2
Hif1a	Aldoc	0.99888	50.3	0.805	rgb(226, 63, 65)	1.9974	None
Hif1a	Mboat2	0.99888	50.3	0.795	rgb(226, 65, 67)	1.9974	None
Hif1a	Slc2a1	0.99888	50.3	0.8	rgb(226, 64, 66)	1.9974	None
Stat3	Timp1	0.99888	50.3	0.805	rgb(226, 63, 65)	1.9974	None
Hif1a	Arrb1	0.99884	50.29	0.787	rgb(226, 67, 68)	1.9972	None
Irf4	Irf4	0.99884	50.29	0.789	rgb(226, 66, 68)	1.9972	None
Atf5	Minpp1	-0.99868	50.24	-7.4E-01	rgb( 55,119,245)	1.9962	2,2
Hif1a	Mfsd2a	0.99868	50.24	0.736	rgb(225, 76, 78)	1.9962	None
Irf7	Cmpk2	0.99868	50.24	0.736	rgb(225, 76, 78)	1.9962	None
Irf7	I830012O16Rik	0.99868	50.24	0.74	rgb(225, 76, 77)	1.9962	2,2
Irf9	Irf7	0.99868	50.24	0.741	rgb(225, 75, 77)	1.9962	None
Nfkb2	Psd	0.99868	50.24	0.736	rgb(225, 76, 78)	1.9962	None
Sp2	Brd3	0.99868	50.24	0.743	rgb(225, 75, 76)	1.9962	None
Sp2	Psmd8	-0.99868	50.24	-7.4E-01	rgb( 57,120,245)	1.9962	None
Yy2	Smek1	0.99868	50.24	0.741	rgb(225, 75, 77)	1.9962	None
Fosl2	Gm12942	0.99855	50.28	0.78	rgb(226, 68, 70)	1.997	None
Hif1a	Bcar1	0.99855	50.28	0.784	rgb(226, 67, 69)	1.997	None
Hif1a	Jmjd6	0.99855	50.28	0.783	rgb(226, 68, 69)	1.997	None
Hif1a	Pygl	0.99855	50.28	0.777	rgb(226, 69, 70)	1.997	None
Irf4	Trpm1	-0.99855	50.28	-7.8E-01	rgb( 47,114,247)	1.997	None
Stat3	Il21	0.99855	50.28	0.783	rgb(226, 67, 69)	1.997	None
Stat3	Inhba	0.99855	50.28	0.779	rgb(226, 68, 70)	1.997	None
Cux1	Epb4.1l2	0.99842	50.23	0.731	rgb(225, 77, 79)	1.996	2,2
Irf4	Chst15	0.99842	50.23	0.734	rgb(225, 77, 78)	1.996	None
Irf7	Pydc4	0.99842	50.23	0.734	rgb(225, 77, 78)	1.996	None
Mxi1	Ndufv3	0.99842	50.23	0.732	rgb(225, 77, 79)	1.996	None
Rxra	Myo18a	0.99842	50.23	0.726	rgb(225, 78, 80)	1.996	None
Srebf1	Flna	0.99842	50.23	0.729	rgb(225, 78, 79)	1.996	None
Zbtb26	2310015A10Rik	0.99842	50.23	0.728	rgb(225, 78, 79)	1.996	2,2
Egr2	Asns	0.99832	50.27	0.77	rgb(225, 70, 71)	1.9968	None
Hif1a	Higd1a	0.99832	50.27	0.77	rgb(225, 70, 72)	1.9968	None
Hif1a	Rgs11	0.99832	50.27	0.773	rgb(225, 69, 71)	1.9968	None
Irf4	Wnt1	-0.99832	50.27	-7.7E-01	rgb( 50,115,246)	1.9968	None
Stat3	Cyth4	0.99832	50.27	0.771	rgb(225, 70, 71)	1.9968	None
Ahrr	Cyp1b1	0.99817	50.22	0.723	rgb(225, 79, 80)	1.9958	2,2
E2f4	Hspb11	-0.99817	50.22	-7.2E-01	rgb( 61,122,244)	1.9958	None
Foxs1	Mylk2	0.99817	50.22	0.719	rgb(225, 80, 81)	1.9958	2,2
Irf4	Abcd3	-0.99817	50.22	-7.2E-01	rgb( 60,121,244)	1.9958	None
Irf7	Ifit1	0.99817	50.22	0.721	rgb(225, 79, 81)	1.9958	None
Jun	Kdelc2	-0.99817	50.22	-7.2E-01	rgb( 62,123,244)	1.9958	None
Sp4	Dclre1a	-0.99817	50.22	-7.2E-01	rgb( 62,123,244)	1.9958	None
Srebf1	Sqle	0.99817	50.22	0.716	rgb(225, 80, 82)	1.9958	None
Hif1a	Pafah1b3	0.99806	50.26	0.76	rgb(225, 72, 73)	1.9966	None
Irf4	Cd5l	0.99806	50.26	0.763	rgb(225, 71, 73)	1.9966	None
Irf4	Exoc2	-0.99806	50.26	-7.6E-01	rgb( 51,116,246)	1.9966	None
Irf4	Ppp3ca	-0.99806	50.26	-7.6E-01	rgb( 52,117,246)	1.9966	None
Maf	Dusp3	-0.99806	50.26	-7.6E-01	rgb( 52,116,246)	1.9966	None
Stat3	Akr1b8	0.99806	50.26	0.758	rgb(225, 72, 74)	1.9966	None
Atf6	Cox7a2l	0.99797	50.25	0.752	rgb(225, 73, 75)	1.9964	None
Hif1a	P4ha2	0.99797	50.25	0.751	rgb(225, 74, 75)	1.9964	None
Stat3	Padi2	0.99797	50.25	0.748	rgb(225, 74, 76)	1.9964	None
Stat3	Plekho2	0.99797	50.25	0.752	rgb(225, 73, 75)	1.9964	None
Stat3	Serpinf1	0.99797	50.25	0.751	rgb(225, 74, 75)	1.9964	None
Hsf1	Npc2	-0.99771	50.21	-7.1E-01	rgb( 63,123,244)	1.9955	None
Irf7	2010002M12Rik	0.99771	50.21	0.711	rgb(225, 81, 83)	1.9955	2,2
Junb	Hook2	0.99771	50.21	0.712	rgb(225, 81, 82)	1.9955	None
Maf	Fam20a	0.99771	50.21	0.708	rgb(225, 82, 83)	1.9955	None
Mxd3	Cdc25b	0.99771	50.21	0.706	rgb(225, 82, 84)	1.9955	2,2
Rest	Rbm15	0.99771	50.21	0.708	rgb(225, 82, 83)	1.9955	None
Runx2	Galnt3	0.99771	50.21	0.711	rgb(225, 81, 83)	1.9955	None
Rxra	Ptger4	0.99771	50.21	0.714	rgb(225, 81, 82)	1.9955	None
Rxra	Slain1	0.99771	50.21	0.706	rgb(225, 82, 83)	1.9955	None
Smad4	Itpr3	0.99771	50.21	0.713	rgb(225, 81, 82)	1.9955	None
Sox5	Tbc1d30	-0.99771	50.21	-7.1E-01	rgb( 64,124,244)	1.9955	None
