TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Rorc	Lingo4	0.99998	50.3325	0.832	rgb(226, 58, 60)	2	2,2
Zfp182	Fyco1	0.99996	50.315	0.817	rgb(226, 61, 63)	1.9997	2,2
Sp110	Cdkn2d	0.99994	50.32	0.822	rgb(226, 60, 62)	1.9998	2,2
Zfp536	Lpin3	0.99993	50.2775	0.777	rgb(226, 69, 70)	1.9989	2,2
Zfp367	Dtl	0.99991	50.2425	0.742	rgb(225, 75, 77)	1.9982	2,2
Foxs1	Mylk2	0.99989	50.1925	0.692	rgb(225, 85, 86)	1.9972	2,2
Gm14420	Gm2011	0.99987	50.1575	0.661	rgb(224, 91, 92)	1.9965	2,2
Zfp629	Ttbk2	0.99985	50.17	0.668	rgb(224, 89, 91)	1.9968	2,2
Zfp429	Megf8	-0.99983	50.16	-6.6E-01	rgb( 74,130,242)	1.9966	2,2
Sgsm2	Tert	0.99981	50.15	0.649	rgb(224, 93, 94)	1.9964	2,2
Sp110	Bcl2a1b	0.9998	50.1175	0.616	rgb(224, 99,101)	1.9957	2,2
Zfp385a	Zmat3	0.99978	50.195	0.699	rgb(225, 84, 85)	1.9973	2,2
Zfp787	Ocrl	-0.99976	50.1225	-6.2E-01	rgb( 82,135,241)	1.9958	2,2
Zfp536	Tekt2	0.99974	50.1775	0.678	rgb(224, 88, 89)	1.9969	2,2
Zfp948	Ankrd23	0.99972	50.1325	0.632	rgb(224, 96, 98)	1.996	2,2
Foxs1	Vax2	0.9997	50.1325	0.633	rgb(224, 96, 97)	1.996	2,2
Sp110	Ly6c1	0.99968	50.115	0.614	rgb(224,100,101)	1.9957	2,2
Zfp277	Tmem35	0.99966	50.0975	0.596	rgb(224,103,104)	1.9953	2,2
Zfp385a	Ptp4a3	0.99965	50.1025	0.602	rgb(224,102,103)	1.9954	2,2
Zfp385a	Zfp365	0.99963	50.105	0.605	rgb(224,101,103)	1.9955	2,2
Mxd3	Cdc25b	0.99961	50.1725	0.672	rgb(224, 89, 90)	1.9968	2,2
Zfp367	Rpa2	0.99959	50.1125	0.612	rgb(224,100,101)	1.9956	2,2
Zfp467	Wisp1	0.99957	50.0875	0.589	rgb(223,104,106)	1.9951	2,2
Zfp329	A230072C01Rik	0.99955	50.0825	0.585	rgb(223,105,107)	1.995	2,2
Zfp467	Sspo	0.99953	50.1975	0.697	rgb(225, 84, 85)	1.9973	2,2
Zfp750	Robo3	0.99952	50.0975	0.6	rgb(224,102,104)	1.9953	2,2
Zfp956	Ankrd23	0.9995	50.09	0.59	rgb(223,104,106)	1.9952	2,2
Zfp385a	Abhd4	0.99948	50.1425	0.643	rgb(224, 94, 95)	1.9962	2,2
C030039L03Rik	Atp7b	0.99946	50.0675	0.569	rgb(223,108,109)	1.9947	2,2
C030039L03Rik	Ankzf1	0.99944	50.105	0.604	rgb(224,102,103)	1.9955	2,2
Zfp367	Exo1	0.99942	50.14	0.639	rgb(224, 95, 96)	1.9962	2,2
Klf2	Sell	0.9994	50.11	0.611	rgb(224,100,101)	1.9956	None
Mxd4	Ypel3	0.99939	50.0775	0.577	rgb(223,107,108)	1.9949	2,2
Nr4a3	Nr4a1	0.99937	50.1175	0.617	rgb(224, 99,100)	1.9957	2,2
E2f1	Tyms	0.99935	50.1275	0.625	rgb(224, 98, 99)	1.9959	None
Litaf	Tfpi	-0.99933	50.06	-5.6E-01	rgb( 96,143,238)	1.9946	2,2
C030039L03Rik	Gapdhs	0.99931	50.1075	0.607	rgb(224,101,102)	1.9955	2,2
Zfp956	Ppcdc	0.99929	50.0475	0.546	rgb(223,113,114)	1.9943	2,2
Trps1	Edn3	-0.99927	50.045	-5.5E-01	rgb( 98,145,238)	1.9943	2,2
Scrt1	Cyp2s1	0.99925	50.055	0.554	rgb(223,111,112)	1.9945	2,2
Cxxc5	Nod1	0.99924	50.075	0.574	rgb(223,107,109)	1.9949	2,2
Rorc	Il17f	0.99922	50.0775	0.579	rgb(223,106,108)	1.9949	2,2
Zfp429	Zfp874a	0.9992	50.04	0.538	rgb(223,114,115)	1.9942	2,2
Zfp429	H60c	-0.99918	50.0575	-5.6E-01	rgb( 96,144,238)	1.9945	2,2
Zfp367	Wdr76	0.99916	50.0625	0.559	rgb(223,110,111)	1.9946	2,2
Zfp385a	Psrc1	0.99914	50.03	0.531	rgb(223,116,117)	1.994	2,2
Sp110	Max	0.99912	50.0775	0.578	rgb(223,107,108)	1.9949	2,2
Zfp386	Spry1	-0.99911	50.03	-5.3E-01	rgb(102,147,237)	1.994	2,2
Plscr1	Ubash3a	-0.99909	50.02	-5.2E-01	rgb(105,149,237)	1.9938	2,2
Batf	Slamf9	-0.99907	50.0275	-5.3E-01	rgb(102,147,237)	1.9939	2,2
Ahrr	Cyp1b1	0.99905	50.135	0.637	rgb(224, 95, 97)	1.9961	None
Zfp385a	Eng	0.99903	50.1025	0.601	rgb(224,102,103)	1.9954	2,2
Zfp750	Pik3r3	0.99901	50.0325	0.531	rgb(223,116,117)	1.994	2,2
Zfp365	Psrc1	0.99899	50.0575	0.556	rgb(223,111,112)	1.9945	2,2
Kdm2b	Tapbpl	0.99898	50.0275	0.525	rgb(223,117,118)	1.9939	2,2
Creb3l2	Gatsl2	0.99896	50.0275	0.526	rgb(223,116,118)	1.9939	2,2
Zfp429	Apold1	-0.99894	50.0825	-5.8E-01	rgb( 91,140,239)	1.995	2,2
Foxs1	S100a4	0.99892	50.0625	0.563	rgb(223,109,111)	1.9946	2,2
Zfp787	Zfp668	0.9989	50.0425	0.542	rgb(223,114,115)	1.9942	2,2
Zfp385a	Zfp750	0.99888	50.025	0.525	rgb(223,117,118)	1.9939	2,2
Foxp2	Sh2d4a	0.99886	50.01	0.509	rgb(223,120,121)	1.9936	2,2
Mxd1	Socs3	0.99884	50.0425	0.542	rgb(223,113,115)	1.9942	None
Zfp429	Trim12a	0.99883	50.01	0.509	rgb(223,120,121)	1.9936	2,2
Zfp948	Mtx3	0.99881	50.01	0.509	rgb(223,120,121)	1.9936	2,2
Mbnl2	Pak1	0.99879	50.0125	0.514	rgb(223,119,120)	1.9936	2,2
Rorc	C2cd4d	0.99877	50.075	0.574	rgb(223,107,109)	1.9949	2,2
Zfp367	Fam111a	0.99875	50.035	0.537	rgb(223,114,116)	1.9941	2,2
Terf1	Rftn1	-0.99873	50.015	-5.1E-01	rgb(105,149,237)	1.9937	2,2
Mxi1	Clybl	0.99871	50.065	0.563	rgb(223,109,111)	1.9947	2,2
Ahrr	Gpr15	0.9987	50.005	0.504	rgb(223,121,122)	1.9935	2,2
Tigd2	Utf1	-0.99868	50.0125	-5.1E-01	rgb(105,149,237)	1.9936	2,2
Thap3	Cox7a2l	0.99866	50.0025	0.502	rgb(223,121,122)	1.9934	2,2
Zfp750	Ckmt1	0.99864	50.0275	0.529	rgb(223,116,117)	1.9939	2,2
Ccdc17	Impg2	0.99862	50	0.502	rgb(223,121,122)	1.9934	2,2
Zfp429	Snhg6	0.9986	50.0025	0.502	rgb(223,121,122)	1.9934	2,2
Kdm5b	Utrn	0.99858	50.0125	0.513	rgb(223,119,120)	1.9936	2,2
Casz1	Dusp8	0.99857	50.0125	0.513	rgb(223,119,120)	1.9936	2,2
Tal2	Tmem38b	0.99855	50.0275	0.528	rgb(223,116,117)	1.9939	2,2
Zfp35	Zscan21	0.99853	50.0225	0.521	rgb(223,118,119)	1.9938	2,2
C030039L03Rik	Muc2	0.99851	50.025	0.527	rgb(223,116,117)	1.9939	2,2
Zfp385a	Cox6b2	0.99849	49.9875	0.487	rgb(222,124,125)	1.9931	2,2
Ahrr	Pdpn	0.99847	50.0375	0.536	rgb(223,115,116)	1.9941	2,2
Arntl2	Clec2g	0.99845	50	0.502	rgb(223,121,122)	1.9934	2,2
Lin54	Icam2	-0.99843	49.995	-5.0E-01	rgb(109,152,236)	1.9933	2,2
Zfp771	Tmem158	0.99842	50.01	0.509	rgb(223,120,121)	1.9936	2,2
Zfp750	Exoc4	0.9984	50.015	0.513	rgb(223,119,120)	1.9937	2,2
Zbtb17	Cln5	-0.99838	49.9925	-4.9E-01	rgb(111,152,236)	1.9932	2,2
Zbtb7c	Mylk	0.99836	49.985	0.486	rgb(222,124,125)	1.9931	2,2
Zscan22	Mmachc	0.99834	49.99	0.49	rgb(222,123,124)	1.9932	2,2
Zfp280c	Rfx7	0.99832	50.0175	0.517	rgb(223,118,119)	1.9937	2,2
Zfp868	Orm2	0.9983	49.9875	0.486	rgb(222,124,125)	1.9931	2,2
Plscr1	Plod2	0.99829	49.98	0.477	rgb(222,126,127)	1.993	2,2
Zfp473	Fkrp	-0.99827	50.0675	-5.7E-01	rgb( 94,142,239)	1.9947	2,2
Foxs1	Sh2d7	0.99825	49.98	0.481	rgb(222,125,126)	1.993	2,2
Zfp52	Eml1	0.99823	49.99	0.49	rgb(222,123,124)	1.9932	2,2
Zfp329	Neat1	0.99821	50.0125	0.514	rgb(223,119,120)	1.9936	2,2
Zfp365	4632434I11Rik	0.99819	49.985	0.484	rgb(222,125,125)	1.9931	2,2
Pou2af1	Kcna3	0.99817	50.025	0.528	rgb(223,116,117)	1.9939	2,2
Kdm5b	Ccng2	0.99816	49.9925	0.494	rgb(222,123,124)	1.9932	2,2
Zfp365	9030617O03Rik	0.99814	49.985	0.485	rgb(222,124,125)	1.9931	2,2
Zfp365	4930429B21Rik	0.99812	49.975	0.475	rgb(222,126,127)	1.9929	2,2
Stat2	Gbp5	0.9981	49.9925	0.494	rgb(222,123,124)	1.9932	None
Mxi1	Urb1	-0.99808	49.9775	-4.8E-01	rgb(113,154,235)	1.9929	2,2
Scml4	Ipcef1	0.99806	49.9925	0.492	rgb(222,123,124)	1.9932	2,2
Foxp2	Nebl	0.99804	49.985	0.485	rgb(222,124,125)	1.9931	2,2
Zfp750	Ttll9	0.99802	49.975	0.475	rgb(222,126,127)	1.9929	2,2
Kdm5b	Pfkp	0.99801	50.0275	0.528	rgb(223,116,117)	1.9939	2,2
Batf	Tal2	-0.99799	49.9725	-4.7E-01	rgb(115,155,235)	1.9928	2,2
Zfp277	Amz2	0.99797	49.985	0.485	rgb(222,124,125)	1.9931	2,2
Ncoa2	Phlpp1	0.99795	49.975	0.475	rgb(222,126,127)	1.9929	2,2
Mxd3	Smtn	0.99793	49.9825	0.481	rgb(222,125,126)	1.993	2,2
Creb3l2	Syn1	0.99791	50	0.501	rgb(223,121,122)	1.9934	2,2
Atmin	Scyl2	0.99789	49.975	0.474	rgb(222,126,127)	1.9929	2,2
Whsc1	Fancm	0.99788	50.0675	0.567	rgb(223,109,110)	1.9947	2,2
Drap1	Sepw1	0.99786	49.98	0.479	rgb(222,126,127)	1.993	2,2
Zfp536	Itsn1	0.99784	50.0175	0.521	rgb(223,117,118)	1.9937	2,2
Pou5f2	Arg2	0.99782	49.9725	0.475	rgb(222,126,127)	1.9928	2,2
Zfp414	Rab4b	0.9978	49.975	0.477	rgb(222,126,127)	1.9929	2,2
Zfp629	Trpv2	-0.99778	50.025	-5.2E-01	rgb(103,148,237)	1.9939	2,2
Pou2af1	Mmd	0.99776	49.9625	0.464	rgb(222,128,129)	1.9926	2,2
Pou2af1	Crtam	0.99775	49.96	0.463	rgb(222,129,130)	1.9926	2,2
L3mbtl3	Src	0.99773	49.9775	0.478	rgb(222,126,127)	1.9929	2,2
Hif3a	Rasl12	0.99771	49.9875	0.487	rgb(222,124,125)	1.9931	2,2
Zfp750	Urm1	0.99769	49.9675	0.471	rgb(222,127,128)	1.9927	2,2
Zfp629	Tbc1d16	0.99767	49.97	0.472	rgb(222,127,128)	1.9928	2,2
Zfp385a	Dcxr	0.99765	49.99	0.491	rgb(222,123,124)	1.9932	2,2
Zfp516	Ica1l	0.99763	49.99	0.49	rgb(222,123,124)	1.9932	2,2
Fosb	Neat1	0.99762	49.9825	0.485	rgb(222,124,125)	1.993	2,2
Ikzf4	Treml2	0.9976	50.045	0.547	rgb(223,113,114)	1.9943	2,2
Kdm5b	Rasgef1b	-0.99758	49.9975	-5.0E-01	rgb(109,151,236)	1.9933	2,2
Zfp516	Plag1	0.99756	49.97	0.47	rgb(222,127,128)	1.9928	2,2
Creb3l2	Cdh23	0.99754	49.955	0.454	rgb(222,130,131)	1.9925	2,2
Ncoa2	Tcf12	0.99752	49.975	0.473	rgb(222,127,128)	1.9929	2,2
Zfp169	Inpp4a	0.9975	50.0525	0.555	rgb(223,111,112)	1.9944	2,2
Zfp750	Dnm3os	0.99748	49.975	0.476	rgb(222,126,127)	1.9929	2,2
Kdm2b	Plekhf2	-0.99747	49.9525	-4.5E-01	rgb(119,157,234)	1.9924	2,2
Zfp365	Zmat3	0.99745	49.9625	0.464	rgb(222,128,129)	1.9926	2,2
Zfp429	Ankrd33b	0.99743	49.955	0.454	rgb(222,130,131)	1.9925	2,2
Ahrr	Cpox	0.99741	49.9575	0.459	rgb(222,129,130)	1.9925	2,2
Zfp629	Zfp108	0.99739	49.9525	0.453	rgb(222,131,131)	1.9924	2,2
Tigd2	Gprin3	0.99737	50	0.501	rgb(223,121,122)	1.9934	2,2
