TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Srebf2	Dhcr24	0.69974	50.41	0.915	rgb(227, 42, 44)	2	None
Gm14420	Gm2011	0.69974	50.4	0.898	rgb(227, 45, 47)	1.9998	2,2
Irf1	Nlrc5	0.69974	50.37	0.871	rgb(227, 51, 52)	1.9992	2,2
Ddit3	Aldh1l2	0.69974	50.35	0.852	rgb(226, 54, 56)	1.9988	None
Egr1	Egr3	0.69974	50.35	0.849	rgb(226, 55, 57)	1.9988	None
Nr1h2	Gen1	-0.69974	50.35	-8.5E-01	rgb( 32,105,249)	1.9988	None
Tcf3	Pdcd1lg2	-0.69974	50.35	-8.5E-01	rgb( 33,105,249)	1.9988	None
Ahrr	Cyp1b1	0.69974	50.34	0.841	rgb(226, 56, 58)	1.9986	None
C030039L03Rik	Ankzf1	0.69974	50.34	0.841	rgb(226, 56, 58)	1.9986	2,2
Irf1	Tbx21	0.69974	50.33	0.829	rgb(226, 59, 60)	1.9984	2,2
Tbx21	Tbkbp1	0.69974	50.33	0.829	rgb(226, 59, 60)	1.9984	2,2
Sox5	Serpinf1	0.69974	50.32	0.824	rgb(226, 60, 61)	1.9982	None
Sp2	Arhgap33	0.69974	50.32	0.825	rgb(226, 60, 61)	1.9982	None
Cebpg	Slc7a3	0.69974	50.31	0.81	rgb(226, 62, 64)	1.998	None
Sp2	Apbb1ip	0.69974	50.31	0.81	rgb(226, 62, 64)	1.998	None
Sp2	Pla2g4c	0.69974	50.31	0.808	rgb(226, 63, 64)	1.998	None
Egr2	Pten	-0.69974	50.3	-8.0E-01	rgb( 44,112,247)	1.9978	None
Rorc	Lingo4	0.69974	50.3	0.796	rgb(226, 65, 67)	1.9978	2,2
Cebpg	Chac1	0.69974	50.29	0.794	rgb(226, 65, 67)	1.9976	None
Irf9	Irf7	0.69974	50.29	0.785	rgb(226, 67, 69)	1.9976	None
Sp2	Synj1	0.69974	50.29	0.791	rgb(226, 66, 68)	1.9976	None
Zbed6	Tnrc6a	0.69974	50.29	0.791	rgb(226, 66, 67)	1.9976	None
Ahr	Ahrr	0.69974	50.28	0.78	rgb(226, 68, 70)	1.9974	None
Ebf1	Qtrtd1	-0.69974	50.28	-7.8E-01	rgb( 47,114,247)	1.9974	None
Zbed6	Zfp445	0.69974	50.28	0.779	rgb(226, 68, 70)	1.9974	None
Gm14295	Gm3696	0.69974	50.28	0.784	rgb(226, 67, 69)	1.9974	2,2
Bhlhe40	Fam129a	0.69974	50.27	0.766	rgb(225, 71, 72)	1.9972	None
Zfp536	Lpin3	0.69974	50.26	0.759	rgb(225, 72, 73)	1.997	2,2
Irf7	Ifit1	0.69974	50.25	0.746	rgb(225, 74, 76)	1.9968	None
Irf7	Rsad2	0.69974	50.25	0.75	rgb(225, 74, 75)	1.9968	None
Rxra	Ptger4	0.69974	50.25	0.751	rgb(225, 74, 75)	1.9968	None
