TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Gm14420	Gm2011	1	50.92	0.915	rgb(227, 42, 44)	2	2,2
Tbx21	Tbkbp1	1	50.92	0.924	rgb(227, 40, 42)	2	2,2
Hif1a	2310022B05Rik	0.99651	50.84	0.838	rgb(226, 57, 59)	1.9984	None
Hif1a	H2-Ab1	0.99301	50.82	0.822	rgb(226, 60, 62)	1.998	None
Hif1a	Rab33a	0.99301	50.82	0.817	rgb(226, 61, 63)	1.998	None
Rorc	Lingo4	0.99301	50.82	0.824	rgb(226, 60, 61)	1.998	2,2
Zfp467	Sspo	0.99301	50.82	0.82	rgb(226, 60, 62)	1.998	2,2
Hif1a	Muc2	0.98952	50.8	0.798	rgb(226, 65, 66)	1.9976	None
Hif1a	Slc2a3	0.98952	50.8	0.798	rgb(226, 65, 66)	1.9976	None
Hif1a	Smtnl2	0.98952	50.8	0.805	rgb(226, 63, 65)	1.9976	None
Hif1a	P4hb	0.98603	50.79	0.793	rgb(226, 66, 67)	1.9974	None
Epas1	Bcar1	0.98253	50.78	0.781	rgb(226, 68, 69)	1.9972	None
Hif1a	Ero1l	0.98253	50.78	0.777	rgb(226, 69, 70)	1.9972	None
Hsf2	Serpine2	0.97904	50.77	0.771	rgb(225, 70, 71)	1.997	None
Sp110	Cdkn2d	0.97554	50.76	0.757	rgb(225, 72, 74)	1.9968	2,2
Zfp367	Dtl	0.97554	50.76	0.757	rgb(225, 72, 74)	1.9968	2,2
Hif1a	Egln1	0.97205	50.75	0.751	rgb(225, 74, 75)	1.9966	None
Ahrr	Cyp1b1	0.97205	50.75	0.75	rgb(225, 74, 75)	1.9966	2,2
Cebpb	Retsat	0.96856	50.74	0.741	rgb(225, 76, 77)	1.9964	None
Deaf1	Polr3b	0.96856	50.74	0.735	rgb(225, 77, 78)	1.9964	None
Epas1	Hk1	0.96856	50.74	0.743	rgb(225, 75, 77)	1.9964	2,2
Insm1	Fbxo18	-0.96856	50.74	-7.4E-01	rgb( 57,120,245)	1.9964	None
Klf4	Fbxo18	0.96856	50.74	0.739	rgb(225, 76, 77)	1.9964	None
Twist1	Fam160a1	0.96856	50.74	0.74	rgb(225, 76, 77)	1.9964	2,2
Whsc1	5830416P10Rik	-0.96856	50.74	-7.4E-01	rgb( 56,119,245)	1.9964	2,2
Zfp536	Lpin3	0.96856	50.74	0.74	rgb(225, 76, 77)	1.9964	2,2
Hic1	Ulk2	0.96506	50.73	0.726	rgb(225, 78, 80)	1.9962	None
Mafb	Bmpr1a	0.96157	50.72	0.721	rgb(225, 79, 81)	1.996	None
Fos	Lamc2	0.96157	50.72	0.707	rgb(225, 82, 83)	1.996	None
Fosb	Lamc2	0.96157	50.72	0.707	rgb(225, 82, 83)	1.996	None
Fosl1	Lamc2	0.96157	50.72	0.707	rgb(225, 82, 83)	1.996	None
Fosl2	Lamc2	0.96157	50.72	0.707	rgb(225, 82, 83)	1.996	None
Jun	Lamc2	0.96157	50.72	0.707	rgb(225, 82, 83)	1.996	None
Junb	Lamc2	0.96157	50.72	0.707	rgb(225, 82, 83)	1.996	None
Jund	Lamc2	0.96157	50.72	0.707	rgb(225, 82, 83)	1.996	None
Hif1a	1700001L05Rik	0.95808	50.71	0.709	rgb(225, 82, 83)	1.9958	2,2
Hif1a	Bnip3	0.95808	50.71	0.707	rgb(225, 82, 83)	1.9958	None
Hif1a	Sap30	0.95808	50.71	0.711	rgb(225, 81, 83)	1.9958	None
Myc	Tsr2	0.95808	50.71	0.706	rgb(225, 82, 84)	1.9958	None
Tcf3	Pex19	0.95808	50.71	0.71	rgb(225, 81, 83)	1.9958	None
Bach1	E430016F16Rik	0.95458	50.7	0.701	rgb(225, 83, 85)	1.9956	2,2
Hbp1	Pknox1	0.95458	50.7	0.697	rgb(225, 84, 85)	1.9956	None
Hif1a	Ddit4	0.95458	50.7	0.7	rgb(225, 83, 85)	1.9956	None
Irf9	2010002M12Rik	0.95458	50.7	0.701	rgb(225, 83, 85)	1.9956	None
Vdr	Tnfsf11	-0.95458	50.7	-7.0E-01	rgb( 65,124,244)	1.9956	None
Zfhx3	Ptgfrn	0.95458	50.7	0.696	rgb(225, 84, 85)	1.9956	None
Foxs1	Mylk2	0.95458	50.7	0.7	rgb(225, 83, 85)	1.9956	2,2
Scml4	4930481A15Rik	0.95458	50.7	0.702	rgb(225, 83, 84)	1.9956	2,2
Zeb2	Ptger2	0.95458	50.7	0.704	rgb(225, 82, 84)	1.9956	2,2
Zfp467	Wnt10a	0.95458	50.7	0.703	rgb(225, 83, 84)	1.9956	2,2
Zfp808	Tyms	0.95458	50.7	0.701	rgb(225, 83, 84)	1.9956	2,2
Zfp956	Ppcdc	0.95458	50.7	0.702	rgb(225, 83, 84)	1.9956	2,2
Crem	Hk2	-0.95109	50.69	-6.9E-01	rgb( 68,127,243)	1.9954	None
Foxh1	Ubash3a	-0.95109	50.69	-6.9E-01	rgb( 68,126,243)	1.9954	None
Hif1a	Rnf113a1	0.95109	50.69	0.693	rgb(225, 85, 86)	1.9954	2,2
Hif1a	Slc41a2	0.95109	50.69	0.685	rgb(225, 86, 88)	1.9954	None
Hmx2	Anxa4	-0.95109	50.69	-6.9E-01	rgb( 66,125,243)	1.9954	2,2
Kdm5b	Ccng2	0.95109	50.69	0.686	rgb(225, 86, 87)	1.9954	2,2
Zfp329	A230072C01Rik	0.95109	50.69	0.695	rgb(225, 84, 86)	1.9954	2,2
Fos	Twsg1	0.95109	50.69	0.707	rgb(225, 82, 83)	1.9954	None
Fosb	Twsg1	0.95109	50.69	0.707	rgb(225, 82, 83)	1.9954	None
Fosl1	Twsg1	0.95109	50.69	0.707	rgb(225, 82, 83)	1.9954	None
Fosl2	Twsg1	0.95109	50.69	0.707	rgb(225, 82, 83)	1.9954	None
Jun	Twsg1	0.95109	50.69	0.707	rgb(225, 82, 83)	1.9954	None
Junb	Twsg1	0.95109	50.69	0.707	rgb(225, 82, 83)	1.9954	None
Jund	Twsg1	0.95109	50.69	0.707	rgb(225, 82, 83)	1.9954	None
Deaf1	Yy2	0.9476	50.68	0.679	rgb(224, 87, 89)	1.9952	None
Hif1a	Rab39	0.9476	50.68	0.684	rgb(225, 86, 88)	1.9952	None
Hsf2	Nrn1	0.9476	50.68	0.682	rgb(225, 87, 88)	1.9952	None
Irf9	Rtp4	0.9476	50.68	0.682	rgb(225, 87, 88)	1.9952	None
Jdp2	Klf11	0.9476	50.68	0.678	rgb(224, 87, 89)	1.9952	None
Nfe2l2	Serpinb5	0.9476	50.68	0.679	rgb(224, 87, 89)	1.9952	2,2
Zfhx3	Bmp2k	0.9476	50.68	0.682	rgb(225, 87, 88)	1.9952	None
Zfp367	Pknox1	-0.9476	50.68	-6.8E-01	rgb( 69,127,243)	1.9952	2,2
E2f4	Zranb3	0.9476	50.68	0.707	rgb(225, 82, 83)	1.9952	None
Fos	Hif1a	0.9476	50.68	0.707	rgb(225, 82, 83)	1.9952	None
Fosb	Hif1a	0.9476	50.68	0.707	rgb(225, 82, 83)	1.9952	None
Fosl1	Hif1a	0.9476	50.68	0.707	rgb(225, 82, 83)	1.9952	None
Fosl2	Hif1a	0.9476	50.68	0.707	rgb(225, 82, 83)	1.9952	None
Jun	Hif1a	0.9476	50.68	0.707	rgb(225, 82, 83)	1.9952	None
Junb	Hif1a	0.9476	50.68	0.707	rgb(225, 82, 83)	1.9952	None
Jund	Hif1a	0.9476	50.68	0.707	rgb(225, 82, 83)	1.9952	None
Cebpb	Agpat9	0.9441	50.67	0.673	rgb(224, 88, 90)	1.995	None
Epas1	Arrb1	0.9441	50.67	0.674	rgb(224, 88, 90)	1.995	None
Epas1	Egln1	0.9441	50.67	0.673	rgb(224, 88, 90)	1.995	None
Esr1	Sra1	-0.9441	50.67	-6.7E-01	rgb( 71,128,243)	1.995	None
Hif1a	Fzd7	0.9441	50.67	0.667	rgb(224, 90, 91)	1.995	None
Hif1a	Pgam1	0.9441	50.67	0.675	rgb(224, 88, 89)	1.995	None
Hif1a	Sncb	0.9441	50.67	0.67	rgb(224, 89, 90)	1.995	None
Klf4	Tst	0.9441	50.67	0.671	rgb(224, 89, 90)	1.995	None
Osr2	Nlrc3	0.9441	50.67	0.669	rgb(224, 89, 91)	1.995	None
Atf6	Ston2	0.9441	50.67	0.673	rgb(224, 88, 90)	1.995	2,2
Tbx21	Ly6a	0.9441	50.67	0.675	rgb(224, 88, 89)	1.995	2,2
