TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Irf7	Rtp4	1	50.93	0.928	rgb(227, 40, 42)	2	None
Irf1	Nlrc5	0.99765	50.89	0.886	rgb(227, 48, 50)	1.9992	2,2
Tbx21	Tbkbp1	0.99765	50.89	0.892	rgb(227, 47, 48)	1.9992	2,2
Irf9	Irf7	0.99531	50.88	0.879	rgb(227, 49, 51)	1.999	None
Srebf2	Dhcr24	0.99531	50.88	0.883	rgb(227, 48, 50)	1.999	None
Sp110	Cdkn2d	0.99296	50.86	0.862	rgb(226, 52, 54)	1.9986	2,2
Zfp536	Lpin3	0.99061	50.84	0.841	rgb(226, 56, 58)	1.9982	2,2
Hsf1	Sra1	-0.98826	50.83	-8.3E-01	rgb( 36,107,249)	1.998	None
Zfp182	Fyco1	0.98826	50.83	0.835	rgb(226, 58, 59)	1.998	2,2
Cebpg	Slc7a3	0.98592	50.82	0.815	rgb(226, 61, 63)	1.9978	None
Sp4	Fbxw2	0.98357	50.81	0.808	rgb(226, 63, 64)	1.9976	None
Irf1	Tbx21	0.98122	50.8	0.802	rgb(226, 64, 65)	1.9974	2,2
Irf7	Rsad2	0.98122	50.8	0.803	rgb(226, 64, 65)	1.9974	None
Zbed6	Zfp445	0.98122	50.8	0.802	rgb(226, 64, 66)	1.9974	None
Rorc	Lingo4	0.98122	50.8	0.802	rgb(226, 64, 65)	1.9974	2,2
Sp2	Brd3	0.97887	50.79	0.794	rgb(226, 65, 67)	1.9972	None
Ahrr	Cyp1b1	0.97653	50.78	0.782	rgb(226, 68, 69)	1.997	None
Elk3	Capg	0.97418	50.77	0.767	rgb(225, 71, 72)	1.9968	2,2
Irf1	Gbp5	0.97418	50.77	0.775	rgb(226, 69, 71)	1.9968	None
Irf1	Igtp	0.97418	50.77	0.767	rgb(225, 70, 72)	1.9968	None
Irf7	I830012O16Rik	0.97418	50.77	0.768	rgb(225, 70, 72)	1.9968	2,2
Irf7	Ifit1	0.97418	50.77	0.772	rgb(225, 70, 71)	1.9968	None
C030039L03Rik	Ankzf1	0.97418	50.77	0.768	rgb(225, 70, 72)	1.9968	2,2
Nfkb2	Psd	0.97183	50.76	0.759	rgb(225, 72, 74)	1.9966	2,2
Tulp3	Il2ra	0.97183	50.76	0.761	rgb(225, 72, 73)	1.9966	2,2
