TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	0.99998	50.42	0.917	rgb(227, 42, 44)	2	2,2
Rorc	Lingo4	0.99996	50.34	0.839	rgb(226, 57, 58)	1.9984	2,2
Zfp182	Fyco1	0.99994	50.315	0.816	rgb(226, 61, 63)	1.9979	2,2
Sp110	Cdkn2d	0.99993	50.32	0.819	rgb(226, 60, 62)	1.998	2,2
Zfp536	Lpin3	0.99991	50.265	0.765	rgb(225, 71, 72)	1.9969	2,2
Ahrr	Cyp1b1	0.99989	50.23	0.733	rgb(225, 77, 79)	1.9962	None
Foxs1	Mylk2	0.99987	50.19	0.689	rgb(225, 85, 87)	1.9954	2,2
Zfp367	Dtl	0.99985	50.23	0.728	rgb(225, 78, 79)	1.9962	2,2
Mxd3	Cdc25b	0.99983	50.21	0.709	rgb(225, 81, 83)	1.9958	2,2
Gm14420	Gm2011	0.99981	50.16	0.664	rgb(224, 90, 92)	1.9948	2,2
Zfp536	Tekt2	0.9998	50.185	0.685	rgb(225, 86, 88)	1.9953	2,2
Foxs1	Vax2	0.99978	50.145	0.643	rgb(224, 94, 95)	1.9945	2,2
Irf9	Irf7	0.99976	50.235	0.731	rgb(225, 77, 79)	1.9963	None
Sgsm2	Tert	0.99974	50.16	0.659	rgb(224, 91, 92)	1.9948	2,2
Mxd1	Socs3	0.99972	50.135	0.633	rgb(224, 96, 97)	1.9943	None
Zfp429	Megf8	-0.9997	50.15	-6.5E-01	rgb( 76,131,242)	1.9946	2,2
Jun	Kdelc2	-0.99968	50.135	-6.4E-01	rgb( 79,133,241)	1.9943	None
Zfp385a	Zfp365	0.99966	50.145	0.643	rgb(224, 94, 96)	1.9945	2,2
Zfp629	Ttbk2	0.99965	50.15	0.646	rgb(224, 94, 95)	1.9946	2,2
Sp110	Bcl2a1b	0.99963	50.13	0.631	rgb(224, 96, 98)	1.9942	2,2
E2f1	Tyms	0.99961	50.135	0.634	rgb(224, 96, 97)	1.9943	None
Zfp385a	Ptp4a3	0.99959	50.13	0.63	rgb(224, 97, 98)	1.9942	2,2
C030039L03Rik	Gapdhs	0.99957	50.18	0.681	rgb(224, 87, 88)	1.9952	2,2
Zfp787	Ocrl	-0.99955	50.11	-6.1E-01	rgb( 84,136,240)	1.9938	2,2
Zfp277	Tmem35	0.99953	50.105	0.604	rgb(224,102,103)	1.9937	2,2
Zfp329	A230072C01Rik	0.99952	50.1	0.6	rgb(224,102,104)	1.9936	2,2
Junb	Hook2	0.9995	50.15	0.649	rgb(224, 93, 94)	1.9946	None
Zfp467	Wisp1	0.99948	50.1	0.6	rgb(224,102,104)	1.9936	2,2
Zfp429	H60c	-0.99946	50.115	-6.2E-01	rgb( 84,136,240)	1.9939	2,2
Zfp367	Rpa2	0.99944	50.105	0.603	rgb(224,102,103)	1.9937	2,2
Scrt1	Cyp2s1	0.9994	50.085	0.583	rgb(223,106,107)	1.9933	2,2
Zfp536	Gykl1	0.9994	50.085	0.585	rgb(223,105,106)	1.9933	2,2
Zfp956	Ppcdc	0.99939	50.085	0.584	rgb(223,105,107)	1.9933	2,2
Zfp367	Wdr76	0.99937	50.095	0.591	rgb(224,104,105)	1.9935	2,2
Zfp385a	Zmat3	0.99935	50.115	0.619	rgb(224, 99,100)	1.9939	2,2
Zfp467	Acsbg1	-0.99933	50.08	-5.8E-01	rgb( 91,141,239)	1.9932	2,2
Sp110	Ly6c1	0.99931	50.075	0.577	rgb(223,107,108)	1.9931	2,2
Zfp429	Zfp874a	0.99929	50.07	0.566	rgb(223,109,110)	1.993	2,2
C030039L03Rik	Atp7b	0.99925	50.075	0.576	rgb(223,107,108)	1.9931	2,2
Zfp948	Ankrd23	0.99925	50.075	0.575	rgb(223,107,108)	1.9931	2,2
Rorc	Il17f	0.99924	50.135	0.637	rgb(224, 95, 97)	1.9943	2,2
Mxd1	Sema7a	0.99922	50.09	0.589	rgb(223,105,106)	1.9934	None
Litaf	Tfpi	-0.9992	50.075	-5.8E-01	rgb( 92,141,239)	1.9931	2,2
Scml4	Ipcef1	0.99918	50.065	0.564	rgb(223,109,110)	1.9929	2,2
Zfp516	Ica1l	0.99916	50.07	0.57	rgb(223,108,109)	1.993	2,2
Zeb2	Aff3	-0.99914	50.06	-5.6E-01	rgb( 95,143,238)	1.9928	2,2
Casz1	Dusp8	0.99912	50.085	0.587	rgb(223,105,106)	1.9933	2,2
Fosl2	Tbc1d30	0.99911	50.065	0.565	rgb(223,109,110)	1.9929	None
Zfp956	Ankrd23	0.99909	50.075	0.577	rgb(223,107,108)	1.9931	2,2
Thap3	Cox7a2l	0.99907	50.055	0.554	rgb(223,111,112)	1.9927	2,2
C030039L03Rik	Ankzf1	0.99905	50.14	0.64	rgb(224, 95, 96)	1.9944	2,2
Zfp367	Helb	0.99903	50.055	0.554	rgb(223,111,112)	1.9927	2,2
Jun	Pcyt1b	-0.99901	50.055	-5.6E-01	rgb( 96,144,238)	1.9927	2,2
C030039L03Rik	Muc2	0.99899	50.065	0.568	rgb(223,109,110)	1.9929	2,2
Nr4a3	Nr4a1	0.99898	50.11	0.609	rgb(224,101,102)	1.9938	2,2
Zfp750	Ccdc159	0.99896	50.05	0.549	rgb(223,112,113)	1.9926	2,2
Cxxc5	Nod1	0.99892	50.1	0.598	rgb(224,103,104)	1.9936	2,2
Zfp329	Neat1	0.99892	50.06	0.563	rgb(223,109,111)	1.9928	2,2
Zfp750	Robo3	0.9989	50.075	0.576	rgb(223,107,108)	1.9931	2,2
Irf9	Il6	0.99888	50.05	0.555	rgb(223,111,112)	1.9926	None
Jun	Stat5b	0.99886	50.05	0.549	rgb(223,112,113)	1.9926	None
Nfkb2	Rab11fip1	0.99884	50.04	0.541	rgb(223,114,115)	1.9924	None
Zfp365	4632434I11Rik	0.99883	50.045	0.542	rgb(223,113,115)	1.9925	2,2
E2f1	Exo1	0.99879	50.045	0.547	rgb(223,113,114)	1.9925	None
Trps1	Edn3	-0.99879	50.045	-5.5E-01	rgb( 99,145,238)	1.9925	2,2
Zfp467	Sspo	0.99877	50.16	0.661	rgb(224, 91, 92)	1.9948	2,2
Jun	Ninj1	0.99875	50.055	0.552	rgb(223,112,113)	1.9927	None
Zeb2	Ptger2	0.99873	50.04	0.544	rgb(223,113,114)	1.9924	2,2
Tbx21	Icam1	0.99871	50.06	0.561	rgb(223,110,111)	1.9928	2,2
Mxd4	Ypel3	0.9987	50.04	0.54	rgb(223,114,115)	1.9924	2,2
Plscr1	Ubash3a	-0.99868	50.03	-5.3E-01	rgb(102,147,237)	1.9922	2,2
Zfp429	Trim12a	0.99866	50.03	0.528	rgb(223,116,117)	1.9922	2,2
Terf1	Rftn1	-0.99864	50.05	-5.5E-01	rgb( 97,144,238)	1.9926	2,2
Zfp385a	Abhd4	0.99862	50.07	0.573	rgb(223,108,109)	1.993	2,2
Gata3	Adam10	0.99858	50.03	0.534	rgb(223,115,116)	1.9922	None
Irf9	Lgals3bp	0.99858	50.045	0.545	rgb(223,113,114)	1.9925	None
Foxp2	Sh2d4a	0.99857	50.025	0.526	rgb(223,117,118)	1.9921	2,2
Trps1	Tspan2	0.99855	50.07	0.57	rgb(223,108,109)	1.993	2,2
Zfp367	Exo1	0.99853	50.06	0.562	rgb(223,110,111)	1.9928	2,2
Klf2	Sell	0.99851	50.02	0.522	rgb(223,117,118)	1.992	2,2
Ahrr	Gpr15	0.99847	50.025	0.526	rgb(223,116,118)	1.9921	2,2
L3mbtl3	Src	0.99847	50.025	0.525	rgb(223,117,118)	1.9921	2,2
Zfp367	Cenpm	0.99845	50.02	0.52	rgb(223,118,119)	1.992	2,2
Jun	Furin	0.99843	50.025	0.527	rgb(223,116,117)	1.9921	None
Zbtb17	Cln5	-0.99842	50.025	-5.2E-01	rgb(103,148,237)	1.9921	2,2
Trerf1	Syt11	0.99838	50.04	0.54	rgb(223,114,115)	1.9924	2,2
Zfp870	1700030K09Rik	0.99838	50.04	0.539	rgb(223,114,115)	1.9924	2,2
Zfp385a	Psrc1	0.99836	50.02	0.523	rgb(223,117,118)	1.992	2,2
Batf	Gbp5	-0.99834	50.035	-5.4E-01	rgb(101,146,237)	1.9923	2,2
Lin54	Rpp14	-0.99832	50.07	-5.7E-01	rgb( 93,142,239)	1.993	2,2
Plscr1	Plod2	0.9983	50.015	0.513	rgb(223,119,120)	1.9919	2,2
Zfp870	Tbccd1	0.99829	50.065	0.566	rgb(223,109,110)	1.9929	2,2
