TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	0.99998	50.45	0.947	rgb(227, 36, 38)	2	2,2
Rorc	Lingo4	0.99996	50.38	0.881	rgb(227, 49, 50)	1.9986	2,2
Irf1	Nlrc5	0.99993	50.39	0.888	rgb(227, 47, 49)	1.9988	2,2
Irf9	Irf7	0.99993	50.39	0.885	rgb(227, 48, 50)	1.9988	None
Gm14295	Gm3696	0.99987	50.32	0.822	rgb(226, 60, 62)	1.9974	2,2
Srebf2	Dhcr24	0.99987	50.38	0.883	rgb(227, 48, 50)	1.9986	None
Zfp467	Sspo	0.99987	50.32	0.819	rgb(226, 61, 62)	1.9974	2,2
Irf7	Rtp4	0.99985	50.37	0.866	rgb(227, 52, 53)	1.9984	None
Sp110	Cdkn2d	0.99983	50.36	0.862	rgb(226, 52, 54)	1.9982	2,2
Epas1	Hk1	0.99976	50.31	0.808	rgb(226, 63, 64)	1.9972	2,2
Myc	Ncdn	0.99976	50.31	0.812	rgb(226, 62, 64)	1.9972	None
Zfp182	Fyco1	0.99976	50.33	0.835	rgb(226, 58, 59)	1.9976	2,2
Zfp367	Dtl	0.99976	50.31	0.807	rgb(226, 63, 64)	1.9972	2,2
Zfp536	Lpin3	0.99974	50.32	0.819	rgb(226, 61, 62)	1.9974	2,2
Hif1a	P4hb	0.9997	50.29	0.788	rgb(226, 66, 68)	1.9968	None
Hsf1	Sra1	-0.9997	50.31	-8.1E-01	rgb( 41,110,248)	1.9972	None
C030039L03Rik	Gapdhs	0.99963	50.28	0.78	rgb(226, 68, 70)	1.9966	2,2
Irf1	Tbx21	0.99963	50.3	0.803	rgb(226, 64, 65)	1.997	2,2
Mxd3	Cdc25b	0.99963	50.28	0.78	rgb(226, 68, 70)	1.9966	2,2
Sp2	Brd3	0.99963	50.3	0.803	rgb(226, 64, 65)	1.997	None
Epas1	Bcar1	0.99961	50.27	0.767	rgb(225, 71, 72)	1.9964	None
Epas1	Slc2a1	0.99957	50.25	0.749	rgb(225, 74, 75)	1.996	None
Myc	Heatr1	0.99957	50.25	0.754	rgb(225, 73, 74)	1.996	None
Ahrr	Cyp1b1	0.99944	50.29	0.794	rgb(226, 65, 67)	1.9968	None
C030039L03Rik	Ankzf1	0.99944	50.29	0.79	rgb(226, 66, 68)	1.9968	2,2
Cebpg	Slc7a3	0.99944	50.29	0.788	rgb(226, 67, 68)	1.9968	None
Epas1	Egln1	0.99944	50.24	0.743	rgb(225, 75, 77)	1.9958	None
Hif1a	1700001L05Rik	0.99944	50.24	0.739	rgb(225, 76, 77)	1.9958	2,2
Irf1	Erap1	0.99944	50.29	0.795	rgb(226, 65, 67)	1.9968	None
Irf7	Rsad2	0.99944	50.29	0.79	rgb(226, 66, 68)	1.9968	None
Irf7	Ifit3	0.9994	50.28	0.775	rgb(226, 69, 70)	1.9966	2,2
Srebf2	Dhcr7	0.9994	50.28	0.777	rgb(226, 69, 70)	1.9966	2,2
Elf1	Arhgef6	0.99929	50.27	0.767	rgb(225, 70, 72)	1.9964	None
Junb	Hook2	0.99929	50.27	0.767	rgb(225, 70, 72)	1.9964	None
Rorc	Il17f	0.99929	50.23	0.732	rgb(225, 77, 79)	1.9956	2,2
Whsc1	E2f7	0.99929	50.23	0.73	rgb(225, 78, 79)	1.9956	2,2
Zfhx3	Ptgfrn	0.99929	50.23	0.732	rgb(225, 77, 79)	1.9956	None
Zfp536	Tekt2	0.99929	50.23	0.726	rgb(225, 78, 80)	1.9956	2,2
Foxs1	Mylk2	0.99914	50.22	0.719	rgb(225, 80, 81)	1.9953	2,2
Hsf2	Nrn1	0.99914	50.22	0.716	rgb(225, 80, 82)	1.9953	None
Irf1	Igtp	0.99914	50.26	0.762	rgb(225, 72, 73)	1.9962	None
Myc	Usp54	0.99914	50.22	0.722	rgb(225, 79, 81)	1.9953	None
Sp2	Slc39a9	0.99914	50.26	0.761	rgb(225, 72, 73)	1.9962	None
Tbx21	Nlrc5	0.99914	50.22	0.72	rgb(225, 79, 81)	1.9953	2,2
Zbed6	Cnot1	0.99914	50.26	0.757	rgb(225, 72, 74)	1.9962	None
Zbed6	Tsc1	0.99914	50.26	0.765	rgb(225, 71, 72)	1.9962	None
Atf6	Lamc1	0.99894	50.21	0.712	rgb(225, 81, 82)	1.9951	2,2
Crem	Vps37b	0.99894	50.25	0.745	rgb(225, 75, 76)	1.996	None
Epas1	Arrb1	0.99894	50.21	0.713	rgb(225, 81, 82)	1.9951	None
Hes1	Efnb1	0.99894	50.21	0.707	rgb(225, 82, 83)	1.9951	None
Irf1	Gbp5	0.99894	50.25	0.747	rgb(225, 74, 76)	1.996	None
Irf5	Cd44	0.99894	50.25	0.745	rgb(225, 75, 76)	1.996	None
Irf7	Isg20	0.99894	50.25	0.755	rgb(225, 73, 74)	1.996	None
Myc	Gpatch4	0.99894	50.21	0.709	rgb(225, 82, 83)	1.9951	None
Srebf1	Fads2	0.99894	50.25	0.745	rgb(225, 75, 76)	1.996	None
Zbed6	Tnrc6a	0.99894	50.25	0.747	rgb(225, 74, 76)	1.996	None
Zfp536	Itsn1	0.99894	50.21	0.715	rgb(225, 80, 82)	1.9951	2,2
Nr4a3	Nr4a1	0.99888	50.2	0.7	rgb(225, 83, 85)	1.9949	2,2
Zeb2	Lsp1	-0.99888	50.2	-7.0E-01	rgb( 66,125,244)	1.9949	2,2
Zfp385a	Lrrc28	0.99888	50.2	0.695	rgb(225, 84, 86)	1.9949	2,2
Bhlhe40	Fam129a	0.99879	50.24	0.745	rgb(225, 75, 76)	1.9958	None
Cebpg	Chac1	0.99879	50.24	0.745	rgb(225, 75, 76)	1.9958	None
Srebf1	Abcg1	0.99879	50.24	0.74	rgb(225, 76, 77)	1.9958	None
Srebf2	Cyfip2	0.99879	50.24	0.739	rgb(225, 76, 77)	1.9958	None
Tulp3	Il2ra	0.99879	50.24	0.745	rgb(225, 75, 76)	1.9958	2,2
Bhlhe40	Clip3	0.9987	50.23	0.726	rgb(225, 78, 80)	1.9956	None
Egr1	Egr3	0.9987	50.23	0.728	rgb(225, 78, 79)	1.9956	None
Maf	Ctla2a	0.9987	50.23	0.734	rgb(225, 77, 78)	1.9956	None
Zbed6	Zfp445	0.9987	50.23	0.733	rgb(225, 77, 78)	1.9956	None
Zfp629	Ttbk2	0.9987	50.23	0.725	rgb(225, 78, 80)	1.9956	2,2
Epas1	Bnip3	0.99847	50.19	0.693	rgb(225, 85, 86)	1.9947	None
Gabpa	Gpatch4	0.99847	50.19	0.69	rgb(225, 85, 87)	1.9947	None
Hbp1	Zc3h7b	0.99847	50.19	0.693	rgb(225, 85, 86)	1.9947	None
Hic1	Atad2b	0.99847	50.19	0.687	rgb(225, 86, 87)	1.9947	None
Hif1a	Egln1	0.99847	50.19	0.692	rgb(225, 85, 86)	1.9947	None
Irf9	Pyhin1	0.99847	50.19	0.69	rgb(225, 85, 87)	1.9947	2,2
Klf4	Pip5kl1	0.99847	50.19	0.687	rgb(225, 86, 87)	1.9947	None
Meis1	Itgb7	0.99847	50.19	0.689	rgb(225, 85, 87)	1.9947	None
Pparg	Rilpl2	0.99847	50.19	0.686	rgb(225, 86, 87)	1.9947	None
Sgsm2	Tert	0.99847	50.19	0.686	rgb(225, 86, 87)	1.9947	2,2
Stat1	Zbp1	0.99847	50.19	0.686	rgb(225, 86, 87)	1.9947	None
Zfp467	Wnt10a	0.99847	50.19	0.69	rgb(225, 85, 87)	1.9947	2,2
Bhlhe40	Anxa2	0.99834	50.22	0.724	rgb(225, 79, 80)	1.9953	None
Irf7	Ifit1	0.99834	50.22	0.724	rgb(225, 79, 80)	1.9953	None
Irf7	Xaf1	0.99834	50.22	0.722	rgb(225, 79, 81)	1.9953	None
Mybl1	Gtse1	0.99834	50.22	0.716	rgb(225, 80, 82)	1.9953	None
Nfil3	Epn2	0.99834	50.22	0.719	rgb(225, 80, 81)	1.9953	None
Smad3	Tmem19	-0.99834	50.22	-7.2E-01	rgb( 61,122,244)	1.9953	None
Sp2	Psmd8	-0.99834	50.22	-7.2E-01	rgb( 60,122,244)	1.9953	None
Cxxc5	Nod1	0.99821	50.18	0.679	rgb(224, 87, 89)	1.9945	2,2
Gabpa	Prpsap2	0.99821	50.18	0.684	rgb(225, 86, 88)	1.9945	None
Irf9	Rtp4	0.99821	50.18	0.678	rgb(224, 88, 89)	1.9945	None
