Regulator	Target	Weight	stroke
Irf4	0610007P14Rik	1.9195	rgb(222,125,126)
Stat3	0610007P14Rik	1.2535	rgb(220,157,158)
Nfe2l2	0610009B22Rik	-1.4361	rgb(139,170,231)
Batf	0610012G03Rik	1.6925	rgb(222,136,137)
Hif1a	0610012G03Rik	1.7	rgb(222,136,137)
Hif1a	1110008F13Rik	1.5955	rgb(221,141,142)
Batf	1110032F04Rik	-1.4378	rgb(139,170,231)
Irf4	1110032F04Rik	-1.22	rgb(151,177,229)
Stat3	1110032F04Rik	-1.3918	rgb(141,171,230)
Hif1a	1110059E24Rik	1.5036	rgb(221,145,146)
Batf	1190002N15Rik	1.7341	rgb(222,134,135)
Irf4	1190002N15Rik	1.7189	rgb(222,135,136)
Maf	1190002N15Rik	-1.6868	rgb(125,161,233)
Stat3	1190002N15Rik	1.4655	rgb(221,147,148)
Hif1a	1190002N15Rik	1.7629	rgb(222,133,134)
Nfe2l2	1500011K16Rik	1.3703	rgb(221,152,152)
Maf	1600012H06Rik	-1.1472	rgb(155,179,228)
Batf	1600014C10Rik	1.6866	rgb(222,136,137)
Hif1a	1600014C10Rik	1.4145	rgb(221,149,150)
Etv6	1600014C10Rik	-1.585	rgb(131,165,232)
Batf	1700017B05Rik	-1.3157	rgb(146,174,230)
Irf4	1700017B05Rik	1.1833	rgb(220,160,161)
Batf	1700021F05Rik	-1.7866	rgb(120,158,234)
Batf	1700025G04Rik	1.9608	rgb(222,123,124)
Irf4	1700025G04Rik	1.8939	rgb(222,126,127)
Stat3	1700025G04Rik	1.7416	rgb(222,134,135)
Fosl2	1700025G04Rik	1.8635	rgb(222,128,129)
Etv6	1700037C18Rik	1.5483	rgb(221,143,144)
Hif1a	1810037I17Rik	1.6826	rgb(222,137,137)
Stat3	2010016I18Rik	1.3902	rgb(221,151,151)
Batf	2010111I01Rik	-1.909	rgb(113,154,235)
Hif1a	2010204K13Rik	1.4421	rgb(221,148,149)
Etv6	2010320M18Rik	-1.484	rgb(136,168,231)
Hif1a	2310011J03Rik	1.4129	rgb(221,149,150)
Batf	2310022A10Rik	-1.5775	rgb(131,165,232)
Hif1a	2310022B05Rik	1.7166	rgb(222,135,136)
Fosl2	2310039H08Rik	1.5977	rgb(221,141,141)
Fosl2	2410004B18Rik	-1.3034	rgb(146,174,229)
Fosl2	2410006H16Rik	1.7889	rgb(222,131,132)
Nfe2l2	2610005L07Rik	-1.7484	rgb(122,159,234)
Rorc	2700029M09Rik	-1.1224	rgb(156,180,228)
Hif1a	2700097O09Rik	1.6514	rgb(222,138,139)
Nfe2l2	2810002D19Rik	1.713	rgb(222,135,136)
Nfe2l2	2810006K23Rik	1.6914	rgb(222,136,137)
Batf	2810417H13Rik	-1.2417	rgb(150,176,229)
Batf	2810474O19Rik	-1.3051	rgb(146,174,229)
Irf4	2810474O19Rik	-1.7186	rgb(124,160,233)
Rorc	2810474O19Rik	-1.3734	rgb(142,172,230)
Irf4	2900026A02Rik	-1.0172	rgb(162,183,227)
Maf	2900026A02Rik	-1.0728	rgb(159,182,227)
Stat3	2900026A02Rik	-1.2298	rgb(150,176,229)
Nfe2l2	3110009E18Rik	-1.0886	rgb(158,181,227)
Irf4	3110043O21Rik	1.3315	rgb(221,153,154)
Maf	3110043O21Rik	-1.1394	rgb(155,179,228)
Irf4	3110052M02Rik	-1.5026	rgb(135,167,231)
Fosl2	3110082I17Rik	-1.3397	rgb(144,173,230)
Fosl2	4833439L19Rik	-1.4699	rgb(137,168,231)
Nfe2l2	4930404N11Rik	1.7472	rgb(222,133,134)
Maf	4930417O13Rik	-1.6195	rgb(129,164,232)
Stat3	4930417O13Rik	1.7273	rgb(222,134,135)
Hif1a	4930417O13Rik	1.8441	rgb(222,129,130)
Batf	4930452B06Rik	1.024	rgb(220,168,169)
Batf	4930503L19Rik	1.7384	rgb(222,134,135)
Maf	4930503L19Rik	-1.7499	rgb(122,159,234)
Maf	4931406C07Rik	-1.1148	rgb(156,180,228)
Batf	4932438H23Rik	1.9125	rgb(222,126,127)
Stat3	4932438H23Rik	1.8532	rgb(222,128,129)
Rorc	4932438H23Rik	-1.8523	rgb(116,156,235)
Fosl2	4932438H23Rik	1.9397	rgb(222,124,125)
Nfe2l2	4932438H23Rik	1.7028	rgb(222,136,136)
Hif1a	4932438H23Rik	1.8202	rgb(222,130,131)
Batf	4933404O12Rik	-1.0076	rgb(162,184,227)
Rorc	5730508B09Rik	-1.1663	rgb(154,178,228)
Fosl2	5730508B09Rik	-1.7855	rgb(120,158,234)
Maf	6530402F18Rik	-1.0895	rgb(158,181,227)
Maf	9030617O03Rik	-1.4706	rgb(137,168,231)
Hif1a	9030617O03Rik	-1.1461	rgb(155,179,228)
Batf	9230114K14Rik	-1.0168	rgb(162,183,227)
Hif1a	9330151L19Rik	1.6848	rgb(222,136,137)
Batf	9430020K01Rik	1.5191	rgb(221,144,145)
Irf4	9430020K01Rik	1.0428	rgb(220,167,168)
Fosl2	9530082P21Rik	1.367	rgb(221,152,152)
Hif1a	9530082P21Rik	1.7016	rgb(222,136,137)
Hif1a	A230046K03Rik	1.3099	rgb(221,154,155)
Batf	A230050P20Rik	1.3848	rgb(221,151,152)
Etv6	A230050P20Rik	-1.4877	rgb(136,168,231)
