TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Lef1	Jak3	0.83356	50.44	0.937	rgb(227, 38, 40)	2	None
Lef1	Rps6ka4	0.83356	50.42	0.915	rgb(227, 42, 44)	1.9996	None
Tbx21	Tbkbp1	0.83356	50.41	0.907	rgb(227, 44, 46)	1.9994	2,2
Lef1	Notch1	0.83356	50.4	0.898	rgb(227, 45, 47)	1.9992	None
Hif1a	Aldoc	0.83356	50.38	0.884	rgb(227, 48, 50)	1.9988	None
Irf7	Rtp4	0.83356	50.38	0.88	rgb(227, 49, 51)	1.9988	2,2
Srebf1	Fads2	0.83356	50.38	0.878	rgb(227, 49, 51)	1.9988	2,2
Ddit3	Cox17	-0.83356	50.37	-8.7E-01	rgb( 28,102,250)	1.9986	None
Atf6	Dpm3	0.83356	50.36	0.861	rgb(226, 53, 54)	1.9984	None
Irf4	Exoc2	-0.83356	50.36	-8.6E-01	rgb( 31,104,250)	1.9984	None
Maf	Abhd4	-0.83356	50.36	-8.6E-01	rgb( 30,103,250)	1.9984	None
Irf1	Nlrc5	0.83356	50.36	0.86	rgb(226, 53, 55)	1.9984	2,2
Fosl2	Ypel5	0.83356	50.35	0.851	rgb(226, 55, 56)	1.9982	None
Irf4	Ppp3ca	-0.83356	50.35	-8.5E-01	rgb( 33,105,249)	1.9982	None
Maf	Ifih1	-0.83356	50.35	-8.5E-01	rgb( 32,105,249)	1.9982	None
Maf	Nedd9	-0.83356	50.35	-8.5E-01	rgb( 32,105,249)	1.9982	None
Atf6	Krtcap2	0.83356	50.34	0.843	rgb(226, 56, 58)	1.998	2,2
Lef1	Sbno2	0.83356	50.34	0.837	rgb(226, 57, 59)	1.998	None
Hif1a	Aldoa	0.83356	50.33	0.832	rgb(226, 58, 60)	1.9978	None
Ikzf3	Urm1	-0.83356	50.33	-8.3E-01	rgb( 37,107,249)	1.9978	None
Lef1	Mllt6	0.83356	50.33	0.829	rgb(226, 59, 60)	1.9978	None
Zfp367	Rpa2	0.83356	50.33	0.834	rgb(226, 58, 59)	1.9978	2,2
Atf6	Rpl14	0.83356	50.32	0.825	rgb(226, 59, 61)	1.9976	None
Ikzf3	Rpp14	-0.83356	50.32	-8.2E-01	rgb( 39,109,248)	1.9976	None
Maf	2900026A02Rik	-0.83356	50.32	-8.2E-01	rgb( 39,109,248)	1.9976	None
Maf	Dusp3	-0.83356	50.32	-8.2E-01	rgb( 39,109,248)	1.9976	None
Irf1	Tbx21	0.83356	50.32	0.818	rgb(226, 61, 62)	1.9976	2,2
Irf7	Rsad2	0.83356	50.32	0.82	rgb(226, 60, 62)	1.9976	2,2
Fosl2	Serpinb1a	0.83356	50.31	0.809	rgb(226, 62, 64)	1.9974	None
Hif1a	Bnip3	0.83356	50.31	0.811	rgb(226, 62, 64)	1.9974	None
Hif1a	Slc2a1	0.83356	50.31	0.807	rgb(226, 63, 65)	1.9974	None
Hif1a	Tpd52	0.83356	50.31	0.809	rgb(226, 63, 64)	1.9974	None
Maf	Nrn1	-0.83356	50.31	-8.1E-01	rgb( 41,110,248)	1.9974	None
Sp110	Cdkn2d	0.83356	50.31	0.811	rgb(226, 62, 64)	1.9974	2,2
Zbtb32	Trpv2	0.83356	50.31	0.813	rgb(226, 62, 63)	1.9974	2,2
Atf6	Atp6v1g1	0.83356	50.3	0.796	rgb(226, 65, 67)	1.9972	None
Bcl11b	Dgat1	-0.83356	50.3	-8.0E-01	rgb( 44,112,247)	1.9972	None
Etv6	Pgs1	-0.83356	50.3	-8.0E-01	rgb( 42,111,248)	1.9972	None
Lef1	Ncdn	0.83356	50.3	0.803	rgb(226, 64, 65)	1.9972	None
Maf	Epsti1	-0.83356	50.3	-8.0E-01	rgb( 44,112,247)	1.9972	None
Irf9	Irf7	0.83356	50.3	0.801	rgb(226, 64, 66)	1.9972	2,2
Hif1a	Ppme1	0.83356	50.29	0.788	rgb(226, 67, 68)	1.997	None
Stat3	Chm	0.83356	50.29	0.793	rgb(226, 66, 67)	1.997	None
Zfp367	Dtl	0.83356	50.29	0.786	rgb(226, 67, 68)	1.997	2,2
Ddit3	Lgals1	-0.83356	50.28	-7.8E-01	rgb( 48,114,247)	1.9968	None
Lef1	Cnnm3	0.83356	50.28	0.778	rgb(226, 68, 70)	1.9968	None
Lef1	Urb1	0.83356	50.28	0.778	rgb(226, 68, 70)	1.9968	None
Sp4	Pik3ip1	-0.83356	50.28	-7.8E-01	rgb( 48,114,247)	1.9968	None
Mga	Utp20	0.83356	50.28	0.783	rgb(226, 67, 69)	1.9968	2,2
Zfp367	Exo1	0.83356	50.28	0.781	rgb(226, 68, 69)	1.9968	2,2
Batf	S1pr1	0.83356	50.27	0.767	rgb(225, 70, 72)	1.9966	None
Fosl2	Tgfb3	0.83356	50.27	0.772	rgb(225, 70, 71)	1.9966	None
Hif1a	Egln3	0.83356	50.27	0.767	rgb(225, 71, 72)	1.9966	None
Hif1a	H2-Ab1	0.83356	50.27	0.771	rgb(225, 70, 71)	1.9966	None
Hif1a	Hk1	0.83356	50.27	0.773	rgb(225, 69, 71)	1.9966	None
Hif1a	Pygl	0.83356	50.27	0.768	rgb(225, 70, 72)	1.9966	None
Hif1a	Smtnl2	0.83356	50.27	0.767	rgb(225, 71, 72)	1.9966	None
Maf	Tnfaip8	-0.83356	50.27	-7.7E-01	rgb( 50,115,246)	1.9966	None
Stat3	Ncs1	0.83356	50.27	0.771	rgb(225, 70, 71)	1.9966	None
Stat3	Tlr7	-0.83356	50.27	-7.7E-01	rgb( 50,115,246)	1.9966	None
Atf6	Chchd7	0.83356	50.26	0.765	rgb(225, 71, 72)	1.9964	None
Hif1a	Pafah1b3	0.83356	50.26	0.758	rgb(225, 72, 74)	1.9964	None
Irf4	Atxn1	0.83356	50.26	0.761	rgb(225, 72, 73)	1.9964	None
Irf4	Cyr61	0.83356	50.26	0.762	rgb(225, 71, 73)	1.9964	None
Irf4	Gprc5a	0.83356	50.26	0.758	rgb(225, 72, 74)	1.9964	None
Satb1	Kctd17	0.83356	50.26	0.755	rgb(225, 73, 74)	1.9964	None
Stat3	Sec14l1	0.83356	50.26	0.763	rgb(225, 71, 73)	1.9964	None
Elk3	Capg	0.83356	50.26	0.763	rgb(225, 71, 73)	1.9964	2,2
Atf6	Rpl36al	0.83356	50.25	0.747	rgb(225, 74, 76)	1.9962	2,2
Etv6	Pygl	0.83356	50.25	0.75	rgb(225, 74, 75)	1.9962	None
Fosl2	Dram2	0.83356	50.25	0.75	rgb(225, 74, 75)	1.9962	None
Hif1a	P4hb	0.83356	50.25	0.753	rgb(225, 73, 75)	1.9962	None
Hif1a	Pgm2	0.83356	50.25	0.754	rgb(225, 73, 75)	1.9962	None
Ikzf3	Pde4d	0.83356	50.25	0.75	rgb(225, 74, 75)	1.9962	None
Irf4	Aff3	0.83356	50.25	0.754	rgb(225, 73, 75)	1.9962	None
Stat3	Cyth4	0.83356	50.25	0.751	rgb(225, 74, 75)	1.9962	None
Stat3	Nsf	0.83356	50.25	0.754	rgb(225, 73, 75)	1.9962	None
Cebpg	Pck2	0.83356	50.25	0.746	rgb(225, 74, 76)	1.9962	2,2
Irf7	Cmpk2	0.83356	50.25	0.752	rgb(225, 73, 75)	1.9962	2,2
Irf7	Xaf1	0.83356	50.25	0.746	rgb(225, 75, 76)	1.9962	2,2
Sp110	Gbp6	0.83356	50.25	0.749	rgb(225, 74, 76)	1.9962	2,2
Zfp385a	Zmat3	0.83356	50.25	0.746	rgb(225, 74, 76)	1.9962	2,2
Atf6	Exosc8	0.83356	50.24	0.739	rgb(225, 76, 77)	1.996	None
Atf6	Rps14	0.83356	50.24	0.739	rgb(225, 76, 77)	1.996	None
Etv6	Mapk7	-0.83356	50.24	-7.4E-01	rgb( 55,119,245)	1.996	None
Hif1a	P4ha2	0.83356	50.24	0.74	rgb(225, 76, 77)	1.996	None
Irf4	Ndrg2	0.83356	50.24	0.739	rgb(225, 76, 77)	1.996	None
Pou2af1	Klf3	0.83356	50.24	0.743	rgb(225, 75, 77)	1.996	None
Stat3	Serpinb9	-0.83356	50.24	-7.4E-01	rgb( 56,119,245)	1.996	None
Irf1	Igtp	0.83356	50.24	0.737	rgb(225, 76, 78)	1.996	2,2
Irf7	I830012O16Rik	0.83356	50.24	0.742	rgb(225, 75, 77)	1.996	2,2
Irf7	Ifit1	0.83356	50.24	0.739	rgb(225, 76, 77)	1.996	2,2
Stat4	Rnf149	-0.83356	50.24	-7.4E-01	rgb( 57,120,245)	1.996	2,2
Bcl11b	Irf5	-0.83356	50.23	-7.3E-01	rgb( 58,120,245)	1.9958	None
Fosl2	Utp20	-0.83356	50.23	-7.3E-01	rgb( 59,121,245)	1.9958	None
Hif1a	Slc2a3	0.83356	50.23	0.728	rgb(225, 78, 79)	1.9958	None
Irf4	Arid3a	0.83356	50.23	0.727	rgb(225, 78, 80)	1.9958	None
Irf4	Atp1a1	-0.83356	50.23	-7.3E-01	rgb( 58,121,245)	1.9958	None
Irf4	Crat	0.83356	50.23	0.729	rgb(225, 78, 79)	1.9958	None
Irf4	Galc	0.83356	50.23	0.732	rgb(225, 77, 79)	1.9958	None
Maf	Tapbpl	-0.83356	50.23	-7.3E-01	rgb( 58,120,245)	1.9958	None
Stat3	Hlcs	-0.83356	50.23	-7.3E-01	rgb( 60,121,245)	1.9958	None
Ahrr	Cyp1b1	0.83356	50.23	0.729	rgb(225, 78, 79)	1.9958	2,2
