TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	0.84772	50.42	0.923	rgb(227, 41, 43)	2	2,2
Irf7	Rtp4	0.84772	50.39	0.886	rgb(227, 48, 50)	1.9994	2,2
Irf1	Nlrc5	0.84772	50.36	0.865	rgb(227, 52, 54)	1.9988	2,2
Irf7	Rsad2	0.84772	50.32	0.817	rgb(226, 61, 63)	1.998	2,2
Zfp385a	Zmat3	0.84772	50.32	0.816	rgb(226, 61, 63)	1.998	2,2
Rorc	Lingo4	0.84772	50.3	0.796	rgb(226, 65, 67)	1.9976	2,2
Srebf1	Fads2	0.84772	50.29	0.787	rgb(226, 67, 68)	1.9974	2,2
Sp110	Cdkn2d	0.84772	50.29	0.788	rgb(226, 66, 68)	1.9974	2,2
Nr4a1	Nr4a3	0.84772	50.28	0.78	rgb(226, 68, 70)	1.9972	2,2
Ahrr	Cyp1b1	0.84772	50.28	0.782	rgb(226, 68, 69)	1.9972	2,2
Zfp367	Dtl	0.84772	50.28	0.776	rgb(226, 69, 70)	1.9972	2,2
Ddit3	Asns	0.84772	50.27	0.769	rgb(225, 70, 72)	1.997	None
Irf7	Ifit1	0.84772	50.27	0.77	rgb(225, 70, 72)	1.997	2,2
Irf1	Igtp	0.84772	50.26	0.758	rgb(225, 72, 74)	1.9968	2,2
Irf7	Cmpk2	0.84772	50.26	0.757	rgb(225, 72, 74)	1.9968	2,2
Foxs1	Mylk2	0.84772	50.26	0.759	rgb(225, 72, 73)	1.9968	2,2
Zfp385a	Abhd4	0.84772	50.26	0.763	rgb(225, 71, 73)	1.9968	2,2
Irf1	Fam26f	0.84772	50.25	0.75	rgb(225, 74, 75)	1.9966	2,2
Irf7	Ccl5	0.84772	50.25	0.753	rgb(225, 73, 75)	1.9966	None
Irf7	I830012O16Rik	0.84772	50.25	0.754	rgb(225, 73, 75)	1.9966	2,2
Irf7	Xaf1	0.84772	50.25	0.75	rgb(225, 74, 75)	1.9966	2,2
Bhlhe40	Tnip3	0.84772	50.25	0.751	rgb(225, 74, 75)	1.9966	2,2
Zfp367	Exo1	0.84772	50.25	0.751	rgb(225, 73, 75)	1.9966	2,2
Klf2	Sell	0.84772	50.24	0.74	rgb(225, 76, 77)	1.9964	None
Mxd3	Cdc25b	0.84772	50.24	0.741	rgb(225, 76, 77)	1.9964	2,2
Ahr	Ahrr	0.84772	50.23	0.727	rgb(225, 78, 80)	1.9962	None
Elk3	Capg	0.84772	50.23	0.727	rgb(225, 78, 80)	1.9962	2,2
Hsf1	Nfkb1	0.84772	50.23	0.731	rgb(225, 77, 79)	1.9962	None
Srebf1	Insig1	0.84772	50.23	0.729	rgb(225, 78, 79)	1.9962	2,2
Srebf2	Dhcr24	0.84772	50.23	0.732	rgb(225, 77, 79)	1.9962	2,2
Irf1	Erap1	0.84772	50.22	0.722	rgb(225, 79, 81)	1.996	2,2
Srebf2	Hmgcr	0.84772	50.22	0.722	rgb(225, 79, 81)	1.996	None
Adnp	Dcxr	-0.84772	50.22	-7.2E-01	rgb( 61,122,244)	1.996	2,2
C030039L03Rik	Ankzf1	0.84772	50.22	0.722	rgb(225, 79, 80)	1.996	2,2
Zfp329	Neat1	0.84772	50.22	0.72	rgb(225, 80, 81)	1.996	2,2
Zfp750	Exoc4	0.84772	50.22	0.721	rgb(225, 79, 81)	1.996	2,2
Irf1	Gbp4	0.84772	50.21	0.712	rgb(225, 81, 82)	1.9958	2,2
Nfkb2	Psd	0.84772	50.21	0.71	rgb(225, 81, 83)	1.9958	2,2
Tcf12	Mycbp2	0.84772	50.21	0.709	rgb(225, 82, 83)	1.9958	2,2
Tulp3	Tbc1d14	0.84772	50.21	0.708	rgb(225, 82, 83)	1.9958	2,2
Hes1	Spink2	0.84772	50.2	0.701	rgb(225, 83, 85)	1.9955	2,2
Irf1	Gbp10	0.84772	50.2	0.704	rgb(225, 82, 84)	1.9955	2,2
Irf1	Tbx21	0.84772	50.2	0.698	rgb(225, 84, 85)	1.9955	2,2
Cux1	Epb4.1l2	0.84772	50.2	0.701	rgb(225, 83, 84)	1.9955	2,2
Ikzf4	Treml2	0.84772	50.2	0.7	rgb(225, 83, 85)	1.9955	2,2
Tead1	Nupr1	0.84772	50.2	0.696	rgb(225, 84, 85)	1.9955	2,2
Zfp280c	Rfx7	0.84772	50.2	0.705	rgb(225, 82, 84)	1.9955	2,2
Zfp467	Sspo	0.84772	50.2	0.701	rgb(225, 83, 85)	1.9955	2,2
Zfp629	Ttbk2	0.84772	50.2	0.705	rgb(225, 82, 84)	1.9955	2,2
Irf7	2010002M12Rik	0.84772	50.19	0.689	rgb(225, 85, 87)	1.9953	2,2
Nr4a3	Nr4a1	0.84772	50.19	0.689	rgb(225, 85, 87)	1.9953	2,2
Xbp1	Rap1gds1	0.84772	50.19	0.685	rgb(225, 86, 87)	1.9953	2,2
Arid5a	Sbno2	0.84772	50.19	0.687	rgb(225, 86, 87)	1.9953	2,2
Pou2af1	Kcna3	0.84772	50.19	0.691	rgb(225, 85, 86)	1.9953	2,2
Zfp385a	Eng	0.84772	50.19	0.694	rgb(225, 84, 86)	1.9953	2,2
Irf1	Gbp5	0.84772	50.18	0.681	rgb(224, 87, 88)	1.9951	2,2
Irf1	Gbp6	0.84772	50.18	0.68	rgb(224, 87, 88)	1.9951	2,2
Maf	Fam20a	0.84772	50.18	0.681	rgb(224, 87, 88)	1.9951	2,2
Foxs1	S100a4	0.84772	50.18	0.684	rgb(225, 86, 88)	1.9951	2,2
Patz1	Mboat7	0.84772	50.18	0.675	rgb(224, 88, 89)	1.9951	2,2
Prrx1	Cav1	0.84772	50.18	0.682	rgb(225, 87, 88)	1.9951	2,2
Tfdp2	Oxct1	0.84772	50.18	0.682	rgb(225, 87, 88)	1.9951	2,2
Cebpg	Gpt2	0.84772	50.17	0.668	rgb(224, 89, 91)	1.9949	2,2
Irf7	Mx1	0.84772	50.17	0.675	rgb(224, 88, 90)	1.9949	2,2
Irf7	Pydc4	0.84772	50.17	0.668	rgb(224, 89, 91)	1.9949	2,2
Sp4	Exoc6	0.84772	50.17	0.67	rgb(224, 89, 90)	1.9949	2,2
Ankzf1	Pdia2	0.84772	50.17	0.674	rgb(224, 88, 90)	1.9949	2,2
Foxp4	B4galnt1	0.84772	50.17	0.672	rgb(224, 89, 90)	1.9949	2,2
Foxs1	Vax2	0.84772	50.17	0.669	rgb(224, 89, 91)	1.9949	2,2
Sp100	Stat2	0.84772	50.17	0.665	rgb(224, 90, 91)	1.9949	2,2
Zfp473	Fkrp	-0.84772	50.17	-6.7E-01	rgb( 71,128,243)	1.9949	2,2
Zfp948	Ankrd23	0.84772	50.17	0.665	rgb(224, 90, 91)	1.9949	2,2
Cebpg	Pck2	0.84772	50.16	0.663	rgb(224, 90, 92)	1.9947	2,2
Etv6	Ncs1	0.84772	50.16	0.661	rgb(224, 91, 92)	1.9947	2,2
Irf4	Crtam	-0.84772	50.16	-6.6E-01	rgb( 73,129,242)	1.9947	2,2
Irf7	Gbp9	0.84772	50.16	0.664	rgb(224, 90, 92)	1.9947	2,2
Irf7	Mx2	0.84772	50.16	0.661	rgb(224, 91, 92)	1.9947	2,2
Stat4	Dock11	0.84772	50.16	0.664	rgb(224, 90, 92)	1.9947	2,2
Whsc1	Fancm	0.84772	50.16	0.665	rgb(224, 90, 91)	1.9947	2,2
Ahrr	Pdpn	0.84772	50.16	0.661	rgb(224, 91, 92)	1.9947	2,2
Atf6b	Crip1	-0.84772	50.16	-6.6E-01	rgb( 74,130,242)	1.9947	2,2
Phf1	Kcnq5	-0.84772	50.16	-6.6E-01	rgb( 73,130,242)	1.9947	2,2
Sp110	Ly6c1	0.84772	50.16	0.655	rgb(224, 92, 93)	1.9947	2,2
Sp110	Max	0.84772	50.16	0.661	rgb(224, 91, 92)	1.9947	2,2
Tigd2	Utf1	-0.84772	50.16	-6.6E-01	rgb( 73,129,242)	1.9947	2,2
Vax2	Il17re	0.84772	50.16	0.658	rgb(224, 91, 93)	1.9947	2,2
Zfp750	Pvrl4	0.84772	50.16	0.656	rgb(224, 92, 93)	1.9947	2,2
Cebpg	Psph	0.84772	50.15	0.649	rgb(224, 93, 94)	1.9945	2,2
Irf1	Gbp7	0.84772	50.15	0.65	rgb(224, 93, 94)	1.9945	2,2
Klf10	Gca	-0.84772	50.15	-6.5E-01	rgb( 76,131,242)	1.9945	2,2
Zfp202	Dusp12	0.84772	50.15	0.647	rgb(224, 93, 95)	1.9945	2,2
Kdm2b	Slco4a1	0.84772	50.15	0.647	rgb(224, 93, 95)	1.9945	2,2
