TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Rorc	Lingo4	0.99998	50.325	0.824	rgb(226, 60, 61)	2	2,2
Sp110	Cdkn2d	0.99996	50.32	0.824	rgb(226, 60, 61)	1.9999	2,2
Zfp182	Fyco1	0.99994	50.315	0.818	rgb(226, 61, 62)	1.9998	2,2
Zfp536	Lpin3	0.99993	50.29	0.79	rgb(226, 66, 68)	1.9993	2,2
Zfp385a	Zmat3	0.99991	50.275	0.778	rgb(226, 68, 70)	1.999	2,2
Elk3	Capg	0.99989	50.255	0.755	rgb(225, 73, 74)	1.9986	2,2
Srebf1	Fads2	0.99987	50.26	0.758	rgb(225, 72, 74)	1.9987	2,2
Zfp367	Dtl	0.99985	50.255	0.757	rgb(225, 72, 74)	1.9986	2,2
Zfp467	Sspo	0.99983	50.235	0.733	rgb(225, 77, 79)	1.9982	2,2
Whsc1	Fancm	0.9998	50.21	0.71	rgb(225, 81, 83)	1.9977	2,2
Zfp385a	Abhd4	0.9998	50.215	0.713	rgb(225, 81, 82)	1.9978	2,2
Zfp367	Exo1	0.99978	50.22	0.716	rgb(225, 80, 82)	1.9979	2,2
Atf6b	Crip1	-0.99976	50.21	-7.1E-01	rgb( 63,124,244)	1.9977	2,2
Klf2	Sell	0.99974	50.2	0.7	rgb(225, 83, 85)	1.9975	None
Zfp948	Ankrd23	0.99972	50.19	0.688	rgb(225, 86, 87)	1.9973	2,2
Ikzf4	Treml2	0.9997	50.19	0.691	rgb(225, 85, 86)	1.9973	2,2
Zfp629	Ttbk2	0.99968	50.19	0.689	rgb(225, 85, 87)	1.9973	2,2
Prdm2	Dock4	0.99966	50.18	0.684	rgb(225, 86, 88)	1.9971	2,2
Cebpg	Psph	0.99965	50.19	0.69	rgb(225, 85, 87)	1.9973	2,2
Zfp473	Fkrp	-0.99963	50.19	-6.9E-01	rgb( 67,126,243)	1.9973	2,2
Irf7	Ccl5	0.99961	50.215	0.717	rgb(225, 80, 81)	1.9978	None
Foxs1	Mylk2	0.99959	50.195	0.694	rgb(225, 84, 86)	1.9974	2,2
Sp110	Max	0.99957	50.17	0.672	rgb(224, 89, 90)	1.9969	2,2
Tfdp2	Oxct1	0.99955	50.165	0.665	rgb(224, 90, 91)	1.9968	2,2
C030039L03Rik	Per2	0.99952	50.16	0.658	rgb(224, 91, 93)	1.9967	2,2
Jdp2	Pck2	0.99952	50.16	0.661	rgb(224, 91, 92)	1.9967	2,2
Gm14420	Gm2011	0.99948	50.155	0.659	rgb(224, 91, 93)	1.9966	2,2
Sp110	Ly6c1	0.99948	50.155	0.651	rgb(224, 93, 94)	1.9966	2,2
Zfp429	Apold1	-0.99946	50.155	-6.6E-01	rgb( 75,131,242)	1.9966	2,2
Prrx1	Cav1	0.99944	50.155	0.657	rgb(224, 91, 93)	1.9966	2,2
Zfp429	Megf8	-0.99942	50.17	-6.7E-01	rgb( 71,128,242)	1.9969	2,2
Rorc	C2cd4d	0.9994	50.15	0.651	rgb(224, 93, 94)	1.9965	2,2
Tcf12	Mycbp2	0.99939	50.145	0.644	rgb(224, 94, 95)	1.9964	2,2
Adnp	Hist1h1a	-0.99935	50.145	-6.4E-01	rgb( 78,132,241)	1.9964	2,2
Irf5	Gna15	0.99935	50.145	0.647	rgb(224, 94, 95)	1.9964	2,2
Kdm2b	Slco4a1	0.99933	50.14	0.639	rgb(224, 95, 96)	1.9963	2,2
Cebpg	Slc7a3	0.99931	50.13	0.635	rgb(224, 96, 97)	1.9961	2,2
Sgsm2	Tert	0.99929	50.14	0.638	rgb(224, 95, 96)	1.9963	2,2
Zfp948	Slc9a8	0.99927	50.13	0.631	rgb(224, 96, 98)	1.9961	2,2
Foxs1	S100a4	0.99925	50.14	0.64	rgb(224, 95, 96)	1.9963	2,2
Foxp4	B4galnt1	0.99924	50.13	0.629	rgb(224, 97, 98)	1.9961	2,2
Arid5a	Sbno2	0.99922	50.135	0.638	rgb(224, 95, 96)	1.9962	2,2
Cux1	Epb4.1l2	0.99916	50.12	0.621	rgb(224, 98,100)	1.9959	2,2
Pou2af1	Kcna3	0.99916	50.12	0.624	rgb(224, 98, 99)	1.9959	2,2
Zfp750	Robo3	0.99916	50.12	0.624	rgb(224, 98, 99)	1.9959	2,2
Bcl6b	Kctd7	0.99914	50.115	0.612	rgb(224,100,101)	1.9958	2,2
Klf13	Prr7	0.99911	50.125	0.628	rgb(224, 97, 98)	1.996	2,2
Zfp787	Ocrl	-0.99911	50.135	-6.4E-01	rgb( 79,133,241)	1.9962	2,2
Zfp202	Dusp12	0.99909	50.12	0.619	rgb(224, 99,100)	1.9959	2,2
Vax2	Il17re	0.99907	50.125	0.624	rgb(224, 98, 99)	1.996	2,2
Ahr	Ahrr	0.99905	50.115	0.614	rgb(224,100,101)	1.9958	None
Zfp467	Wnt10a	0.99903	50.12	0.622	rgb(224, 98, 99)	1.9959	2,2
Mxd4	Ypel3	0.99901	50.115	0.615	rgb(224,100,101)	1.9958	2,2
Zfp808	Rfwd3	0.99899	50.11	0.609	rgb(224,101,102)	1.9957	2,2
Zfp169	Inpp4a	0.99898	50.135	0.638	rgb(224, 95, 96)	1.9962	2,2
Sp110	Bcl2a1b	0.99894	50.105	0.6	rgb(224,102,104)	1.9956	2,2
Zfp385a	Rnf169	0.99894	50.105	0.602	rgb(224,102,103)	1.9956	2,2
Zfp365	Psrc1	0.99892	50.105	0.605	rgb(224,101,103)	1.9956	2,2
Zbtb4	Zswim4	0.9989	50.105	0.604	rgb(224,102,103)	1.9956	2,2
Drap1	Syf2	0.99888	50.11	0.612	rgb(224,100,101)	1.9957	2,2
Zfp629	Trpv2	-0.99886	50.095	-6.0E-01	rgb( 88,138,240)	1.9954	2,2
Zfp386	Emb	0.99884	50.115	0.615	rgb(224,100,101)	1.9958	2,2
Rfx3	Vav1	-0.99879	50.105	-6.0E-01	rgb( 86,137,240)	1.9956	2,2
Vax2	Myo1f	0.99879	50.105	0.604	rgb(224,102,103)	1.9956	2,2
Zfp956	Ankrd23	0.99879	50.105	0.602	rgb(224,102,103)	1.9956	2,2
Patz1	Mboat7	0.99877	50.095	0.597	rgb(224,103,104)	1.9954	2,2
Irf5	Dazap2	-0.99875	50.095	-6.0E-01	rgb( 88,138,240)	1.9954	2,2
Ski	Slc43a2	0.99873	50.105	0.606	rgb(224,101,103)	1.9956	2,2
Tal2	Tmem38b	0.99871	50.095	0.595	rgb(224,103,105)	1.9954	2,2
Zfp951	Guca1b	0.9987	50.09	0.588	rgb(223,105,106)	1.9953	2,2
Zhx2	Sema6b	-0.99868	50.095	-5.9E-01	rgb( 88,139,240)	1.9954	2,2
Mxi1	Clybl	0.99866	50.16	0.659	rgb(224, 91, 92)	1.9967	2,2
Cebpg	Gpt2	0.99864	50.1	0.6	rgb(224,102,104)	1.9955	2,2
Zfp367	Rpa2	0.99862	50.12	0.621	rgb(224, 98,100)	1.9959	2,2
Zfp277	Tmem35	0.9986	50.09	0.587	rgb(223,105,106)	1.9953	2,2
Cebpg	Aldh1l2	0.99858	50.085	0.584	rgb(223,106,107)	1.9952	2,2
Ikzf4	Bcl3	0.99855	50.085	0.585	rgb(223,105,106)	1.9952	2,2
Mxd4	Tcp11l2	0.99855	50.085	0.585	rgb(223,105,106)	1.9952	2,2
Mxd4	Urb1	-0.99853	50.09	-5.9E-01	rgb( 89,139,239)	1.9953	2,2
Plagl1	Cd180	0.99851	50.085	0.585	rgb(223,105,106)	1.9952	2,2
Sox5	Akr1b8	0.99849	50.095	0.596	rgb(224,103,104)	1.9954	2,2
Plagl1	Actn1	0.99845	50.08	0.577	rgb(223,107,108)	1.9951	2,2
Rbpj	Id2	0.99845	50.08	0.579	rgb(223,106,108)	1.9951	2,2
Elk4	Tacc1	0.99843	50.08	0.577	rgb(223,107,108)	1.9951	2,2
Atf6b	Syf2	-0.9984	50.08	-5.8E-01	rgb( 91,141,239)	1.9951	2,2
Kdm5b	Pfkp	0.9984	50.08	0.58	rgb(223,106,107)	1.9951	2,2
Zfp329	Gripap1	0.99838	50.11	0.607	rgb(224,101,102)	1.9957	2,2
Egr4	Fam20c	0.99832	50.075	0.576	rgb(223,107,108)	1.995	2,2
Zfp385a	Ptp4a3	0.99832	50.075	0.574	rgb(223,107,109)	1.995	2,2
Zfp777	Cnnm3	0.99832	50.075	0.576	rgb(223,107,108)	1.995	2,2
Son	Zfp592	0.99827	50.075	0.575	rgb(223,107,108)	1.995	2,2
Sox5	Gem	0.99827	50.075	0.573	rgb(223,108,109)	1.995	2,2
Zfp467	Wisp1	0.99827	50.075	0.579	rgb(223,106,108)	1.995	2,2
Zfp536	Tekt2	0.99825	50.17	0.67	rgb(224, 89, 90)	1.9969	2,2
Mybl1	Gtse1	0.99823	50.08	0.58	rgb(223,106,107)	1.9951	2,2
Zfp385a	Eng	0.99821	50.15	0.648	rgb(224, 93, 94)	1.9965	2,2
C030039L03Rik	Ankzf1	0.99817	50.07	0.568	rgb(223,108,110)	1.9949	2,2
Zfp281	Samsn1	0.99817	50.07	0.568	rgb(223,108,110)	1.9949	2,2
Nr4a3	Nr4a1	0.99816	50.125	0.625	rgb(224, 98, 99)	1.996	2,2
Thap3	Dpm3	0.99812	50.07	0.572	rgb(223,108,109)	1.9949	2,2
Zfp367	Pknox1	-0.99812	50.07	-5.7E-01	rgb( 94,142,239)	1.9949	2,2
Foxs1	Vax2	0.9981	50.12	0.622	rgb(224, 98, 99)	1.9959	2,2
Ikzf4	Mllt6	0.99808	50.08	0.583	rgb(223,106,107)	1.9951	2,2
Adnp	Dcxr	-0.99806	50.07	-5.7E-01	rgb( 94,142,239)	1.9949	2,2
Csrnp1	Mxd1	0.99802	50.07	0.571	rgb(223,108,109)	1.9949	2,2
Tcf12	Pafah1b3	-0.99802	50.07	-5.7E-01	rgb( 94,142,238)	1.9949	2,2
