TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Rarg	Il17a	1	50.95	0.947	rgb(227, 36, 38)	2	None
Hsf2	Tnfsf11	0.99823	50.91	0.913	rgb(227, 43, 44)	1.9992	None
Rarg	Il17f	0.99645	50.89	0.887	rgb(227, 48, 49)	1.9988	2,2
Nfkb2	Selp	0.99468	50.87	0.87	rgb(227, 51, 53)	1.9984	None
Relb	Pigr	0.99468	50.87	0.869	rgb(227, 51, 53)	1.9984	None
Trerf1	Cd86	-0.99291	50.85	-8.5E-01	rgb( 33,105,249)	1.998	None
Zfp191	Pdgfrb	-0.99291	50.85	-8.5E-01	rgb( 32,105,249)	1.998	None
Klf8	Fn1	-0.99113	50.84	-8.4E-01	rgb( 35,106,249)	1.9978	None
Spib	Irf7	-0.99113	50.84	-8.4E-01	rgb( 35,106,249)	1.9978	None
Irf4	Irf7	-0.98936	50.83	-8.3E-01	rgb( 36,107,249)	1.9976	None
Irf7	Cd80	0.98936	50.83	0.826	rgb(226, 59, 61)	1.9976	None
Trerf1	Cd80	-0.98759	50.82	-8.2E-01	rgb( 39,109,248)	1.9974	None
Rorc	Lingo4	0.98759	50.82	0.822	rgb(226, 60, 62)	1.9974	2,2
Sp110	Cdkn2d	0.98759	50.82	0.818	rgb(226, 61, 62)	1.9974	2,2
Tbx21	Il23r	0.98581	50.81	0.815	rgb(226, 61, 63)	1.9972	None
Zfp182	Fyco1	0.98581	50.81	0.813	rgb(226, 62, 63)	1.9972	2,2
Egr2	Fasl	-0.98404	50.8	-8.0E-01	rgb( 42,111,248)	1.997	None
Nfe2	Tbxa2r	0.98404	50.8	0.805	rgb(226, 63, 65)	1.997	None
Satb1	Gata3	0.98404	50.8	0.8	rgb(226, 64, 66)	1.997	None
Tbx21	Il12rb2	0.98404	50.8	0.799	rgb(226, 64, 66)	1.997	None
Zfhx3	Afp	-0.98404	50.8	-8.0E-01	rgb( 44,112,247)	1.997	None
Atf6b	Crip1	-0.98404	50.8	-8.0E-01	rgb( 44,112,247)	1.997	2,2
Cebpg	Psph	0.98404	50.8	0.8	rgb(226, 64, 66)	1.997	2,2
Zfp536	Lpin3	0.98404	50.8	0.796	rgb(226, 65, 67)	1.997	2,2
Foxo3	Bcl2l11	0.98227	50.79	0.786	rgb(226, 67, 68)	1.9968	None
Klf3	Six4	0.98227	50.79	0.793	rgb(226, 66, 67)	1.9968	None
Ppara	Tbx21	-0.98227	50.79	-7.9E-01	rgb( 46,113,247)	1.9968	None
Trp73	Aqp3	0.98227	50.79	0.786	rgb(226, 67, 68)	1.9968	None
Zfp367	Dtl	0.98227	50.79	0.788	rgb(226, 66, 68)	1.9968	2,2
E2f1	Tyms	0.98049	50.78	0.78	rgb(226, 68, 70)	1.9966	None
Prdm1	Lmo2	-0.98049	50.78	-7.8E-01	rgb( 47,114,247)	1.9966	None
Klf2	Ccr5	0.97872	50.77	0.772	rgb(225, 70, 71)	1.9964	None
Npas2	Per2	0.97872	50.77	0.769	rgb(225, 70, 72)	1.9964	None
Stat4	Tbx21	0.97872	50.77	0.766	rgb(225, 71, 72)	1.9964	None
Ar	Mndal	0.97695	50.76	0.759	rgb(225, 72, 74)	1.9962	None
Ddit3	Trf	0.97695	50.76	0.758	rgb(225, 72, 74)	1.9962	None
Klf8	Vim	-0.97695	50.76	-7.6E-01	rgb( 52,116,246)	1.9962	None
Ncoa3	Mmp10	0.97695	50.76	0.758	rgb(225, 72, 74)	1.9962	None
Zfp385a	Zmat3	0.97695	50.76	0.764	rgb(225, 71, 73)	1.9962	2,2
Irf1	Tapbp	0.97517	50.75	0.747	rgb(225, 74, 76)	1.996	None
Ikzf4	Treml2	0.97517	50.75	0.754	rgb(225, 73, 75)	1.996	2,2
Ar	Ifi203	0.9734	50.74	0.739	rgb(225, 76, 77)	1.9958	None
Hsf2	Cd9	0.9734	50.74	0.745	rgb(225, 75, 76)	1.9958	2,2
Zfp385a	Abhd4	0.9734	50.74	0.736	rgb(225, 76, 78)	1.9958	2,2
Gabpa	Chrne	0.97163	50.73	0.729	rgb(225, 78, 79)	1.9956	None
Hif1a	Plod2	0.97163	50.73	0.726	rgb(225, 78, 80)	1.9956	2,2
Irf7	Ccl5	0.97163	50.73	0.733	rgb(225, 77, 79)	1.9956	None
Rarg	Il23r	0.97163	50.73	0.73	rgb(225, 78, 79)	1.9956	2,2
Sall4	Sall4	0.97163	50.73	0.727	rgb(225, 78, 80)	1.9956	None
Ahrr	Cyp1b1	0.97163	50.73	0.727	rgb(225, 78, 80)	1.9956	2,2
Dach2	Vwa5a	0.97163	50.73	0.734	rgb(225, 77, 78)	1.9956	2,2
Mxi1	Clybl	0.97163	50.73	0.725	rgb(225, 78, 80)	1.9956	2,2
Sox5	Akr1b8	0.97163	50.73	0.732	rgb(225, 77, 79)	1.9956	2,2
Whsc1	Fancm	0.97163	50.73	0.733	rgb(225, 77, 79)	1.9956	2,2
Foxa1	Loxl2	0.96985	50.72	0.718	rgb(225, 80, 81)	1.9954	None
Irf4	Il10	0.96985	50.72	0.718	rgb(225, 80, 81)	1.9954	None
Nfatc1	Id3	0.96985	50.72	0.717	rgb(225, 80, 82)	1.9954	None
Zfp382	Id1	-0.96985	50.72	-7.2E-01	rgb( 60,122,244)	1.9954	None
Hif1a	Egln1	0.96808	50.71	0.714	rgb(225, 81, 82)	1.9952	None
Trp53	Pyhin1	0.96808	50.71	0.713	rgb(225, 81, 82)	1.9952	None
Elk3	Capg	0.96808	50.71	0.711	rgb(225, 81, 83)	1.9952	2,2
Zfp367	Exo1	0.96808	50.71	0.711	rgb(225, 81, 83)	1.9952	2,2
Fosl1	Itgb3	-0.96631	50.7	-7.0E-01	rgb( 65,124,244)	1.995	None
Foxo3	Tnfsf10	0.96631	50.7	0.704	rgb(225, 83, 84)	1.995	None
Zbtb7a	Nfatc1	-0.96631	50.7	-7.0E-01	rgb( 64,124,244)	1.995	None
Foxs1	Mylk2	0.96631	50.7	0.696	rgb(225, 84, 86)	1.995	2,2
Klf13	Prr7	0.96631	50.7	0.696	rgb(225, 84, 86)	1.995	2,2
Nr4a3	Nr4a1	0.96631	50.7	0.703	rgb(225, 83, 84)	1.995	2,2
Zfp629	Ttbk2	0.96631	50.7	0.705	rgb(225, 82, 84)	1.995	2,2
Zfp948	Ankrd23	0.96631	50.7	0.697	rgb(225, 84, 85)	1.995	2,2
Fosl2	Timp1	-0.96453	50.69	-6.9E-01	rgb( 67,126,243)	1.9948	None
Hif1a	Aldoa	0.96453	50.69	0.695	rgb(225, 84, 86)	1.9948	None
Hif1a	Slc2a1	0.96453	50.69	0.688	rgb(225, 86, 87)	1.9948	None
Irf4	I830012O16Rik	-0.96453	50.69	-6.9E-01	rgb( 68,126,243)	1.9948	2,2
Cxxc5	Nod1	0.96453	50.69	0.686	rgb(225, 86, 87)	1.9948	2,2
Tcf12	Mycbp2	0.96453	50.69	0.687	rgb(225, 86, 87)	1.9948	2,2
Foxp3	Ctla4	0.96276	50.68	0.682	rgb(225, 87, 88)	1.9946	None
Rora	Nr1d1	0.96276	50.68	0.675	rgb(224, 88, 89)	1.9946	None
Runx3	Hes1	-0.96276	50.68	-6.8E-01	rgb( 70,128,243)	1.9946	None
Sp2	Papss2	0.96276	50.68	0.678	rgb(224, 87, 89)	1.9946	None
Tbx21	Il10	0.96276	50.68	0.682	rgb(225, 87, 88)	1.9946	None
Zeb2	Vim	0.96276	50.68	0.677	rgb(224, 88, 89)	1.9946	None
Fosb	Neat1	0.96276	50.68	0.679	rgb(224, 87, 89)	1.9946	2,2
Klf13	Acp5	0.96276	50.68	0.676	rgb(224, 88, 89)	1.9946	2,2
Tal2	Tmem38b	0.96276	50.68	0.682	rgb(225, 87, 88)	1.9946	2,2
Zfp146	Mpv17l	-0.96276	50.68	-6.8E-01	rgb( 69,127,243)	1.9946	2,2
Zfp386	Emb	0.96276	50.68	0.68	rgb(224, 87, 88)	1.9946	2,2
Zfp750	Robo3	0.96276	50.68	0.676	rgb(224, 88, 89)	1.9946	2,2
Gli1	Fam102a	-0.96099	50.67	-6.7E-01	rgb( 72,129,242)	1.9944	2,2
Irf2	Cxcr4	-0.96099	50.67	-6.7E-01	rgb( 71,128,242)	1.9944	None
Nr2f1	Serpinc1	-0.96099	50.67	-6.7E-01	rgb( 72,129,242)	1.9944	None
Spib	Rtp4	-0.96099	50.67	-6.7E-01	rgb( 73,129,242)	1.9944	2,2
Srebf1	Fads2	0.96099	50.67	0.666	rgb(224, 90, 91)	1.9944	2,2
Stat2	Igtp	0.96099	50.67	0.671	rgb(224, 89, 90)	1.9944	2,2
Stat3	Fam129a	-0.96099	50.67	-6.7E-01	rgb( 71,128,243)	1.9944	2,2
Stat3	Timp1	0.96099	50.67	0.673	rgb(224, 88, 90)	1.9944	None
Twist1	Fgf2	0.96099	50.67	0.671	rgb(224, 89, 90)	1.9944	None
Sgsm2	Tert	0.96099	50.67	0.674	rgb(224, 88, 90)	1.9944	2,2
Sp110	Ly6c1	0.96099	50.67	0.668	rgb(224, 89, 91)	1.9944	2,2
Zfp202	Dusp12	0.96099	50.67	0.67	rgb(224, 89, 90)	1.9944	2,2
Zfp467	Wnt10a	0.96099	50.67	0.668	rgb(224, 89, 91)	1.9944	2,2
Zfp956	Ppcdc	0.96099	50.67	0.672	rgb(224, 89, 90)	1.9944	2,2
Gli1	Cyr61	0.95921	50.66	0.664	rgb(224, 90, 91)	1.9942	None
Hsf2	Trim12c	0.95921	50.66	0.664	rgb(224, 90, 91)	1.9942	2,2
Ncoa3	Npas2	0.95921	50.66	0.664	rgb(224, 90, 92)	1.9942	None
Srebf1	Hmgcr	0.95921	50.66	0.66	rgb(224, 91, 92)	1.9942	2,2
Srf	Mmp14	0.95921	50.66	0.661	rgb(224, 91, 92)	1.9942	None
Bach1	Zfp239	-0.95921	50.66	-6.6E-01	rgb( 73,130,242)	1.9942	2,2
C030039L03Rik	Per2	0.95921	50.66	0.658	rgb(224, 91, 93)	1.9942	2,2
Cebpg	Slc7a3	0.95921	50.66	0.658	rgb(224, 91, 93)	1.9942	2,2
Cebpg	Trib3	0.95921	50.66	0.655	rgb(224, 92, 93)	1.9942	2,2
Creb3l2	Gatsl2	0.95921	50.66	0.665	rgb(224, 90, 91)	1.9942	2,2
Creb3l2	Syn1	0.95921	50.66	0.658	rgb(224, 91, 93)	1.9942	2,2
