TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Batf	Abcb9	0.99504	1	0.198	rgb(219,179,179)	2	None
Batf	Adam19	0.99504	1	0.343	rgb(221,151,152)	2	None
Batf	Alpk2	-0.99504	1	-1.0E-01	rgb(195,204,221)	2	None
Batf	Anxa3	-0.99504	1	-8.7E-02	rgb(198,205,220)	2	None
Batf	Armcx2	0.99504	1	0.43	rgb(222,135,136)	2	None
Batf	Aste1	-0.99504	1	-6.1E-02	rgb(204,209,219)	2	None
Batf	Avpr1a	0.99504	1	0.342	rgb(221,152,152)	2	None
Batf	Bcl2l11	-0.99504	1	-5.6E-02	rgb(205,210,219)	2	None
Batf	Btk	-0.99504	1	-2.6E-01	rgb(162,183,227)	2	None
Batf	Calhm2	-0.99504	1	-1.2E-01	rgb(190,201,222)	2	None
Batf	Car2	-0.99504	1	-6.2E-03	rgb(216,216,217)	2	None
Batf	Ccdc50	-0.99504	1	-4.9E-01	rgb(110,152,236)	2	None
Batf	Ccr7	-0.99504	1	-2.1E-01	rgb(171,189,225)	2	None
Batf	Ccr8	0.99504	1	0.235	rgb(220,172,173)	2	None
Batf	Cd1d2	-0.99504	1	-3.4E-01	rgb(142,172,230)	2	None
Batf	Cd84	0.99504	1	0.035	rgb(217,210,210)	2	None
Batf	Cdc42ep3	0.99504	1	0.462	rgb(222,129,130)	2	None
Batf	Cdyl2	-0.99504	1	-6.9E-02	rgb(202,208,220)	2	None
Batf	Chit1	-0.99504	1	-3.2E-01	rgb(147,175,229)	2	None
Batf	Clec2g	0.99504	1	0.051	rgb(218,207,207)	2	None
Batf	Cnih3	-0.99504	1	-2.5E-01	rgb(162,183,227)	2	None
Batf	Cntnap1	-0.99504	1	-4.8E-01	rgb(113,154,235)	2	None
Batf	Col18a1	0.99504	1	0.157	rgb(219,187,187)	2	None
Batf	Csgalnact1	0.99504	1	0.17	rgb(219,185,185)	2	None
Batf	Ctss	-0.99504	1	-2.5E-01	rgb(163,184,226)	2	None
Batf	Dnm1	-0.99504	1	-1.4E-02	rgb(214,215,218)	2	None
Batf	Dsp	-0.99504	1	-4.0E-02	rgb(208,212,219)	2	None
Batf	Endod1	-0.99504	1	-3.1E-01	rgb(150,176,229)	2	None
Batf	Etv6	-0.99504	1	-1.8E-01	rgb(178,193,224)	2	None
Batf	F3	0.99504	1	0.087	rgb(218,200,201)	2	None
Batf	Fam83g	-0.99504	1	-2.7E-02	rgb(211,213,218)	2	None
Batf	Fut7	0.99504	1	0.04	rgb(217,209,209)	2	None
Batf	Gbp4	-0.99504	1	-1.4E-01	rgb(187,199,222)	2	None
Batf	Gbp5	-0.99504	1	-4.1E-01	rgb(129,163,232)	2	None
Batf	Gbp9	-0.99504	1	-1.8E-01	rgb(178,193,224)	2	None
Batf	Gnpda1	-0.99504	1	-6.2E-02	rgb(204,209,219)	2	None
Batf	Gpr176	-0.99504	1	-2.5E-01	rgb(163,184,226)	2	None
Batf	Gpr68	0.99504	1	0.289	rgb(220,162,162)	2	None
Batf	Gsn	0.99504	1	0.19	rgb(219,181,181)	2	None
Batf	Gucy2e	0.99504	1	0.248	rgb(220,170,170)	2	None
