TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Batf	Arrb1	0.99776	1	0.147	rgb(219,189,189)	2	None
Batf	Bace2	-0.99776	1	-1.5E-01	rgb(184,197,223)	2	None
Batf	Boc	0.99776	1	0.318	rgb(220,156,157)	2	None
Batf	Ms4a4b	0.99776	1	0.056	rgb(218,206,206)	2	None
Batf	Myo1e	0.99776	1	0.024	rgb(217,212,212)	2	None
Batf	Nav2	-0.99776	1	-2.7E-01	rgb(158,181,227)	2	None
Batf	Pank1	0.99776	1	0.282	rgb(220,163,164)	2	None
Batf	St6galnac1	0.99776	1	0.013	rgb(217,214,215)	2	None
Batf	Zdhhc2	-0.99776	1	-2.6E-01	rgb(160,182,227)	2	None
Etv6	Exosc8	0.99776	1	0.187	rgb(219,181,182)	2	None
Etv6	Hist1h1a	0.99776	1	0.576	rgb(223,107,108)	2	None
Etv6	Hist1h1c	0.99776	1	0.43	rgb(222,135,136)	2	None
Etv6	Hist1h1d	0.99776	1	0.648	rgb(224, 93, 94)	2	None
Etv6	Hist2h2bb	0.99776	1	0.451	rgb(222,131,132)	2	None
Etv6	Hist4h4	0.99776	1	0.671	rgb(224, 89, 90)	2	None
Fosl2	Bace2	0.99776	1	0.159	rgb(219,187,187)	2	None
Fosl2	Boc	-0.99776	1	-2.7E-01	rgb(159,182,227)	2	None
Fosl2	Clip3	0.99776	1	0.319	rgb(221,156,157)	2	None
Fosl2	Cntnap2	-0.99776	1	-5.8E-02	rgb(204,209,219)	2	None
Fosl2	Fcgbp	0.99776	1	0.238	rgb(220,172,172)	2	None
Fosl2	Mapkbp1	-0.99776	1	-1.4E-01	rgb(187,199,222)	2	None
Fosl2	Myo1e	0.99776	1	0.189	rgb(219,181,181)	2	None
Fosl2	Pank1	-0.99776	1	-1.2E-01	rgb(192,202,221)	2	None
Fosl2	Zdhhc2	0.99776	1	0.255	rgb(220,168,169)	2	None
Hif1a	Aldoa	0.99776	1	0.074	rgb(218,203,203)	2	None
Hif1a	Aldoc	0.99776	1	0.097	rgb(218,199,199)	2	None
Hif1a	Ankzf1	0.99776	1	0.157	rgb(219,187,187)	2	None
Hif1a	Arrb1	0.99776	1	0.257	rgb(220,168,168)	2	None
Hif1a	Atp7b	-0.99776	1	-5.3E-02	rgb(205,210,219)	2	None
Hif1a	Bend5	0.99776	1	0.056	rgb(218,206,206)	2	None
Hif1a	Bnip3	0.99776	1	0.075	rgb(218,203,203)	2	None
Hif1a	Egln1	0.99776	1	0.011	rgb(217,215,215)	2	None
Hif1a	Eif4ebp1	0.99776	1	0.274	rgb(220,165,165)	2	None
Hif1a	Ero1l	0.99776	1	0.141	rgb(219,190,190)	2	None
Hif1a	Exosc8	0.99776	1	0.547	rgb(223,113,114)	2	None
Hif1a	Fam71f2	0.99776	1	0.489	rgb(222,124,125)	2	None
Hif1a	Fbxo10	0.99776	1	0.168	rgb(219,185,185)	2	None
Hif1a	Fzd7	-0.99776	1	-1.4E-01	rgb(187,199,222)	2	None
Hif1a	Galk1	0.99776	1	0.313	rgb(220,157,158)	2	None
Hif1a	Gys1	-0.99776	1	-7.7E-03	rgb(215,216,217)	2	None
Hif1a	Higd1a	0.99776	1	0.183	rgb(219,182,182)	2	None
Hif1a	Hist1h1a	0.99776	1	0.002	rgb(217,217,217)	2	None
Hif1a	Hist1h1c	-0.99776	1	-2.6E-01	rgb(161,183,227)	2	None
Hif1a	Hist2h2bb	-0.99776	1	-3.1E-01	rgb(150,176,229)	2	None
Hif1a	Hist4h4	-0.99776	1	-1.7E-01	rgb(180,195,223)	2	None
Hif1a	Hk2	0.99776	1	0.023	rgb(217,213,213)	2	None
Hif1a	Ier3	0.99776	1	0.293	rgb(220,161,162)	2	None
Hif1a	Jag2	0.99776	1	0.119	rgb(218,194,195)	2	None
Hif1a	Jmjd6	0.99776	1	0.48	rgb(222,125,126)	2	None
Hif1a	Kremen2	0.99776	1	0.191	rgb(219,180,181)	2	None
Hif1a	Mboat2	0.99776	1	0.224	rgb(219,174,175)	2	None
Hif1a	Muc2	0.99776	1	0.131	rgb(218,192,192)	2	None
Hif1a	Ndrg1	-0.99776	1	-2.9E-01	rgb(154,178,228)	2	None
Hif1a	Ndufv3	0.99776	1	0.119	rgb(218,194,194)	2	None
Hif1a	P4hb	0.99776	1	0.273	rgb(220,165,165)	2	None
Hif1a	Pafah1b3	-0.99776	1	-4.7E-02	rgb(207,211,219)	2	None
Hif1a	Pdxp	-0.99776	1	-1.2E-02	rgb(214,215,217)	2	None
Hif1a	Pfkp	-0.99776	1	-1.5E-01	rgb(185,197,223)	2	None
Hif1a	Pgam1	0.99776	1	0.145	rgb(219,189,190)	2	None
Hif1a	Piga	-0.99776	1	-6.7E-02	rgb(202,208,220)	2	None
Hif1a	Plcxd1	0.99776	1	0.13	rgb(218,192,192)	2	None
Hif1a	Plekha2	-0.99776	1	-1.3E-02	rgb(214,215,217)	2	None
Hif1a	Ppme1	0.99776	1	0.204	rgb(219,178,178)	2	None
Hif1a	Ppp1r13l	0.99776	1	0.358	rgb(221,149,149)	2	None
Hif1a	Rassf1	0.99776	1	0.293	rgb(220,161,162)	2	None
Hif1a	Rgs11	0.99776	1	0.243	rgb(220,171,171)	2	None
Hif1a	Rnf113a1	0.99776	1	0.094	rgb(218,199,199)	2	None
Hif1a	Rnf181	-0.99776	1	-8.8E-02	rgb(198,205,220)	2	None
Hif1a	Sap30	0.99776	1	0.577	rgb(223,107,108)	2	None
Hif1a	Sertad1	0.99776	1	0.235	rgb(220,172,173)	2	None
Hif1a	Slc2a1	0.99776	1	0.25	rgb(220,169,170)	2	None
Hif1a	Smtnl2	0.99776	1	0.192	rgb(219,180,181)	2	None
Hif1a	Sra1	-0.99776	1	-5.2E-02	rgb(206,210,219)	2	None
Hif1a	Stc1	0.99776	1	0.441	rgb(222,133,134)	2	None
Hif1a	Syce2	-0.99776	1	-1.5E-01	rgb(184,197,223)	2	None
Hif1a	Tnfrsf18	0.99776	1	0.362	rgb(221,148,149)	2	None
Hif1a	Vegfa	0.99776	1	0.063	rgb(218,205,205)	2	None
