TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
E2f1	Dtl	0.99979	1	0.083	rgb(218,201,201)	2	None
Irf1	Gbp2	0.99979	1	0.287	rgb(220,162,163)	2	None
Irf1	Gbp6	0.99979	1	0.393	rgb(221,142,143)	2	None
Irf1	Gbp7	0.99979	1	0.404	rgb(221,140,141)	2	None
Irf1	Igtp	0.99979	1	0.187	rgb(219,181,182)	2	None
Irf1	Nlrc5	0.99979	1	0.668	rgb(224, 89, 91)	2	None
Irf1	Tgtp2	0.99979	1	0.32	rgb(221,156,157)	2	None
Irf5	Lyn	0.99979	1	0.565	rgb(223,109,110)	2	None
Maf	Aqp3	0.99979	1	0.698	rgb(225, 84, 85)	2	None
Maf	Stab1	0.99979	1	0.443	rgb(222,132,133)	2	None
Rest	Rbm15	0.99979	1	0.661	rgb(224, 91, 92)	2	None
Ahr	Cd274	-0.99202	0.99	-5.0E-02	rgb(206,210,219)	1.98	None
Ahr	Dkkl1	0.99202	0.99	0.109	rgb(218,196,196)	1.98	None
Ar	Zfp831	0.99202	0.99	0.166	rgb(219,185,186)	1.98	None
Atf2	Egr4	0.99202	0.99	0.114	rgb(218,195,195)	1.98	None
Atf3	Abi3	0.99202	0.99	0.059	rgb(218,206,206)	1.98	None
Atf3	Ahr	-0.99202	0.99	-2.9E-01	rgb(155,179,228)	1.98	None
Atf3	Chac1	-0.99202	0.99	-5.2E-02	rgb(206,210,219)	1.98	None
Atf3	Trib3	0.99202	0.99	0.146	rgb(219,189,189)	1.98	None
Atf5	Slc3a2	0.99202	0.99	0.321	rgb(221,156,156)	1.98	None
Atf6	Dusp3	0.99202	0.99	0.598	rgb(224,103,104)	1.98	None
Atf6	Il22	0.99202	0.99	0.348	rgb(221,151,151)	1.98	None
Atf6	Slc7a3	0.99202	0.99	0.043	rgb(217,209,209)	1.98	None
Atf6	Yy2	-0.99202	0.99	-1.5E-01	rgb(185,198,223)	1.98	None
Batf	Acox1	-0.99202	0.99	-6.9E-02	rgb(202,208,220)	1.98	None
