TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Maf	Aqp3	0.99998	0.995	0.166	rgb(219,185,186)	2	None
Arrb1	3110057O12Rik	0.99905	0.99	0.228	rgb(220,173,174)	1.9933	2,2
Arrb1	Bcar1	0.99905	0.99	0.297	rgb(220,160,161)	1.9933	2,2
Arrb1	Bnip3	0.99905	0.99	0.063	rgb(218,205,205)	1.9933	2,2
Arrb1	Egln1	0.99905	0.99	0.356	rgb(221,149,150)	1.9933	2,2
Arrb1	H2-Ab1	0.99905	0.99	0.048	rgb(218,208,208)	1.9933	2,2
Arrb1	Smtnl2	0.99905	0.99	0.197	rgb(219,179,180)	1.9933	2,2
Batf	Tnfrsf13c	-0.99905	0.99	-1.1E-01	rgb(193,203,221)	1.9933	None
C030039L03Rik	Ankzf1	0.99905	0.99	0.37	rgb(221,146,147)	1.9933	2,2
Dhx58	Irf7	0.99905	0.99	0.588	rgb(223,105,106)	1.9933	2,2
Gata3	Itgb3	0.99905	0.99	0.292	rgb(220,161,162)	1.9933	None
Irf7	Gbp9	-0.99905	0.99	-2.1E-02	rgb(213,214,218)	1.9933	None
Irf7	Rtp4	0.99905	0.99	0.188	rgb(219,181,181)	1.9933	None
Irf9	Cmpk2	0.99905	0.99	0.005	rgb(217,216,216)	1.9933	None
Irf9	Gbp6	0.99905	0.99	0.129	rgb(218,192,193)	1.9933	None
Irf9	Irf7	0.99905	0.99	0.166	rgb(219,185,186)	1.9933	None
Irf9	Rtp4	0.99905	0.99	0.187	rgb(219,181,182)	1.9933	None
Irf9	Xaf1	-0.99905	0.99	-7.7E-02	rgb(200,207,220)	1.9933	None
Irf9	Zbp1	-0.99905	0.99	-1.1E-02	rgb(215,216,217)	1.9933	None
Stat1	Parp9	0.99905	0.99	0.189	rgb(219,181,181)	1.9933	None
Stat1	Pml	0.99905	0.99	0.18	rgb(219,183,183)	1.9933	None
Stat2	Dtx3l	0.99905	0.99	0.012	rgb(217,215,215)	1.9933	None
Trim30a	Irf7	0.99905	0.99	0.227	rgb(219,174,174)	1.9933	2,2
Trim30a	Xaf1	0.99905	0.99	0.391	rgb(221,142,143)	1.9933	2,2
Zfp365	4632434I11Rik	0.99905	0.99	0.236	rgb(220,172,172)	1.9933	2,2
Zfp365	9030617O03Rik	0.99905	0.99	0.368	rgb(221,147,147)	1.9933	2,2
Zfp365	Ccng1	0.99905	0.99	0.237	rgb(220,172,172)	1.9933	2,2
Zfp365	Phlda3	0.99905	0.99	0.136	rgb(218,191,191)	1.9933	2,2
Zfp365	Psrc1	0.99905	0.99	0.43	rgb(222,135,136)	1.9933	2,2
Zfp365	Slc19a2	0.99905	0.99	0.267	rgb(220,166,166)	1.9933	2,2
Zfp365	Sulf2	0.99905	0.99	0.431	rgb(222,135,136)	1.9933	2,2
Zfp365	Zmat3	0.99905	0.99	0.287	rgb(220,162,163)	1.9933	2,2
Zfp367	Dtl	0.99905	0.99	0.274	rgb(220,165,165)	1.9933	2,2
Zfp367	Exo1	0.99905	0.99	0.145	rgb(219,189,190)	1.9933	2,2
Zfp367	Wdr76	0.99905	0.99	0.014	rgb(217,214,214)	1.9933	2,2
Zfp385a	4632434I11Rik	0.99905	0.99	0.131	rgb(218,192,192)	1.9933	2,2
Zfp385a	9030617O03Rik	0.99905	0.99	0.362	rgb(221,148,149)	1.9933	2,2
Zfp385a	9230114K14Rik	0.99905	0.99	0.24	rgb(220,171,172)	1.9933	2,2
Zfp385a	Ccng1	0.99905	0.99	0.338	rgb(221,152,153)	1.9933	2,2
Zfp385a	Ercc5	0.99905	0.99	0.265	rgb(220,166,167)	1.9933	2,2
Zfp385a	Phlda3	0.99905	0.99	0.384	rgb(221,144,144)	1.9933	2,2
Zfp385a	Plxna1	0.99905	0.99	0.294	rgb(220,161,162)	1.9933	2,2
Zfp385a	Psrc1	0.99905	0.99	0.389	rgb(221,143,143)	1.9933	2,2
Zfp385a	Ptp4a3	0.99905	0.99	0.243	rgb(220,171,171)	1.9933	2,2
Zfp385a	Rnf169	0.99905	0.99	0.348	rgb(221,151,151)	1.9933	2,2
Zfp385a	Slc19a2	0.99905	0.99	0.362	rgb(221,148,149)	1.9933	2,2
Zfp385a	Sulf2	0.99905	0.99	0.168	rgb(219,185,185)	1.9933	2,2
Zfp385a	Zfp365	0.99905	0.99	0.42	rgb(222,137,138)	1.9933	2,2
Zfp385a	Zmat3	0.99905	0.99	0.429	rgb(222,135,136)	1.9933	2,2
Zfp629	Zkscan17	0.99905	0.99	0.392	rgb(221,142,143)	1.9933	2,2
Zfp750	Sulf2	0.99905	0.99	0.267	rgb(220,166,167)	1.9933	2,2
Arrb1	Gys1	0.99866	0.985	0.287	rgb(220,162,163)	1.9866	2,2
Arrb1	Mboat2	0.99866	0.985	0.374	rgb(221,146,146)	1.9866	2,2
E2f1	Dtl	0.99866	0.985	0.076	rgb(218,203,203)	1.9866	None
Gm13212	Bcl2a1b	0.99866	0.985	0.125	rgb(218,193,193)	1.9866	2,2
Gm14420	Bcl2a1b	0.99866	0.985	0.166	rgb(219,185,186)	1.9866	2,2
Gm14420	Cdkn2d	0.99866	0.985	0.383	rgb(221,144,145)	1.9866	2,2
Irf7	Gbp6	0.99866	0.985	0.118	rgb(218,195,195)	1.9866	None
Irf7	Parp9	0.99866	0.985	0.062	rgb(218,205,205)	1.9866	None
Irf7	Zbp1	0.99866	0.985	0.037	rgb(217,210,210)	1.9866	None
Irf9	Stat2	0.99866	0.985	0.075	rgb(218,203,203)	1.9866	None
Oasl1	Ifit1	0.99866	0.985	0.497	rgb(222,122,123)	1.9866	2,2
Oasl1	Rtp4	0.99866	0.985	0.283	rgb(220,163,163)	1.9866	2,2
Rorc	Ccdc63	0.99866	0.985	0.21	rgb(219,177,177)	1.9866	None
Stat1	Dtx3l	0.99866	0.985	0.196	rgb(219,180,180)	1.9866	None
Stat1	Tbkbp1	-0.99866	0.985	-1.0E-01	rgb(194,203,221)	1.9866	None
Stat1	Zbp1	0.99866	0.985	0.208	rgb(219,177,178)	1.9866	None
Stat2	Parp9	0.99866	0.985	0.03	rgb(217,211,211)	1.9866	None
Trim30a	Trim12c	0.99866	0.985	0.408	rgb(221,139,140)	1.9866	2,2
Zfp365	Plxna1	0.99866	0.985	0.347	rgb(221,151,151)	1.9866	2,2
Zfp385a	Bbc3	0.99866	0.985	0.365	rgb(221,147,148)	1.9866	2,2
Zfp750	Psrc1	0.99866	0.985	0.159	rgb(219,187,187)	1.9866	2,2
Dr1	Smek2	0.9984	0.985	0.282	rgb(220,163,164)	1.9866	2,2
Gtf2a1	Nucks1	0.9984	0.985	0.428	rgb(222,135,136)	1.9866	2,2
Irf9	Dtx3l	0.9984	0.985	0.059	rgb(218,206,206)	1.9866	None
Irf9	Parp9	0.9984	0.985	0.012	rgb(217,215,215)	1.9866	None
Kdm5d	Ppic	-0.9984	0.985	-1.6E-01	rgb(182,196,223)	1.9866	2,2
Nfkbie	Nfkb2	0.9984	0.985	0.296	rgb(220,160,161)	1.9866	2,2
Nupr1	Aldh1l2	0.9984	0.985	0.352	rgb(221,150,150)	1.9866	2,2
Nupr1	Eif4ebp1	0.9984	0.985	0.282	rgb(220,163,164)	1.9866	2,2
Nupr1	Slc6a9	0.9984	0.985	0.368	rgb(221,147,147)	1.9866	2,2
Nupr1	Trib3	0.9984	0.985	0.284	rgb(220,163,163)	1.9866	2,2
Xrn1	Zkscan17	0.9984	0.985	0.059	rgb(218,206,206)	1.9866	2,2
Zfp365	Eng	0.9984	0.985	0.17	rgb(219,185,185)	1.9866	2,2
Zfp365	Rnf169	0.9984	0.985	0.076	rgb(218,203,203)	1.9866	2,2
Zfp385a	Abhd4	0.9984	0.985	0.198	rgb(219,179,180)	1.9866	2,2
Batf	Cacna1s	-0.99823	0.98	-2.0E-01	rgb(175,191,224)	1.9799	None
E2f1	Exo1	-0.99823	0.98	-4.9E-02	rgb(206,211,219)	1.9799	None
Gm13212	Cdkn2d	0.99823	0.98	0.07	rgb(218,204,204)	1.9799	2,2
Irf4	Abcd3	-0.99823	0.98	-2.5E-01	rgb(163,184,226)	1.9799	None
Irf4	Stra6	0.99823	0.98	0.258	rgb(220,168,168)	1.9799	None
Irf7	Dtx3l	0.99823	0.98	0.013	rgb(217,215,215)	1.9799	None
Irf9	Ifit1	-0.99823	0.98	-2.3E-02	rgb(212,214,218)	1.9799	None
Rorc	Tnfrsf25	0.99823	0.98	0.205	rgb(219,178,178)	1.9799	None
Stat2	Zbp1	0.99823	0.98	0.245	rgb(220,170,171)	1.9799	None
Arrb1	Ero1l	0.99788	0.98	0.166	rgb(219,185,186)	1.9799	2,2
Arrb1	P4ha2	0.99788	0.98	0.251	rgb(220,169,170)	1.9799	2,2
Arrb1	Slc2a1	0.99788	0.98	0.293	rgb(220,161,162)	1.9799	2,2
Batf	Zfp467	-0.99788	0.98	-1.9E-01	rgb(176,192,224)	1.9799	None
Hells	Dtl	0.99788	0.98	0.077	rgb(218,202,203)	1.9799	2,2
Irf7	Gbp10	0.99788	0.98	0.276	rgb(220,164,165)	1.9799	None
Irf9	Gbp10	0.99788	0.98	0.009	rgb(217,215,215)	1.9799	None
Nfkbib	Nfkb2	0.99788	0.98	0.523	rgb(223,117,118)	1.9799	2,2
Nupr1	Psph	0.99788	0.98	0.066	rgb(218,204,205)	1.9799	2,2
Orc1	Dtl	0.99788	0.98	0.268	rgb(220,166,166)	1.9799	2,2
Rorc	Vdr	0.99788	0.98	0.108	rgb(218,196,197)	1.9799	None
Smad3	Mpzl2	-0.99788	0.98	-7.4E-02	rgb(201,207,220)	1.9799	None
Stat2	Mx1	0.99788	0.98	0.026	rgb(217,212,212)	1.9799	None
Stat2	Xaf1	0.99788	0.98	0.107	rgb(218,197,197)	1.9799	None
Trim21	Parp9	0.99788	0.98	0.132	rgb(218,192,192)	1.9799	2,2
Xrn1	Ocrl	0.99788	0.98	0.601	rgb(224,102,103)	1.9799	2,2
Zbp1	Parp9	0.99788	0.98	0.254	rgb(220,169,169)	1.9799	2,2
Zfp365	Ptp4a3	0.99788	0.98	0.085	rgb(218,201,201)	1.9799	2,2
Zfp385a	Zfp750	0.99788	0.98	0.011	rgb(217,215,215)	1.9799	2,2
Irf4	Myo1e	-0.99782	0.98	-1.3E-01	rgb(190,200,222)	1.9799	None
Nupr1	Slc7a3	0.99782	0.98	0.205	rgb(219,178,178)	1.9799	2,2
Zfp385a	St14	0.99782	0.98	0.149	rgb(219,188,189)	1.9799	2,2
Arrb1	Aldoc	0.99765	0.975	0.125	rgb(218,193,193)	1.9732	2,2
Batf	Cd74	-0.99765	0.975	-2.0E-01	rgb(174,191,225)	1.9732	None
E2f1	Wdr76	-0.99765	0.975	-2.3E-02	rgb(212,214,218)	1.9732	None
Gata3	Ccr8	0.99765	0.975	0.169	rgb(219,185,185)	1.9732	None
Irf4	Atp2b4	0.99765	0.975	0.338	rgb(221,153,153)	1.9732	None
Irf4	Hdac9	-0.99765	0.975	-7.7E-02	rgb(200,207,220)	1.9732	None
Irf4	Srgap3	-0.99765	0.975	-1.4E-01	rgb(187,199,222)	1.9732	None
