TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Egr2	Pck2	0.99996	1	0.271	rgb(220,165,166)	2	None
Hif1a	Ero1l	0.99996	1	0.082	rgb(218,201,201)	2	None
Ahr	Ahrr	0.99467	0.99	0.267	rgb(220,166,167)	1.98	None
Ahr	Cyp1b1	0.99467	0.99	0.238	rgb(220,171,172)	1.98	None
Ar	Bcl2a1b	0.99467	0.99	0.131	rgb(218,192,192)	1.98	None
Arid2	Foxp3	0.99467	0.99	0.185	rgb(219,182,182)	1.98	None
Arid3a	Cdkn2d	0.99467	0.99	0.331	rgb(221,154,154)	1.98	None
Ascl2	Dip2b	0.99467	0.99	0.427	rgb(222,135,136)	1.98	None
Ascl2	Sdc3	0.99467	0.99	0.327	rgb(221,155,155)	1.98	None
Atf3	Ets2	0.99467	0.99	0.235	rgb(220,172,172)	1.98	None
Batf	Batf	0.99467	0.99	0.375	rgb(221,145,146)	1.98	None
Batf	Cd24a	0.99467	0.99	0.199	rgb(219,179,179)	1.98	None
Batf	Tnfrsf13c	-0.99467	0.99	-1.7E-01	rgb(181,195,223)	1.98	None
Bbx	Tiparp	0.99467	0.99	0.183	rgb(219,182,182)	1.98	None
Bcl11b	Aldh1l2	0.99467	0.99	0.336	rgb(221,153,154)	1.98	None
Bcl11b	Asns	0.99467	0.99	0.044	rgb(217,209,209)	1.98	None
Bcl11b	Chac1	0.99467	0.99	0.32	rgb(221,156,157)	1.98	None
Bcl11b	Gpt2	0.99467	0.99	0.074	rgb(218,203,203)	1.98	None
Bcl11b	Irf5	-0.99467	0.99	-2.9E-01	rgb(154,179,228)	1.98	None
Bcl11b	Nfkbie	-0.99467	0.99	-2.8E-01	rgb(157,180,228)	1.98	None
Bcl11b	Sars	-0.99467	0.99	-6.9E-02	rgb(202,208,220)	1.98	None
Bcl11b	Slc6a9	-0.99467	0.99	-8.3E-02	rgb(199,206,220)	1.98	None
Bcl11b	Slc7a3	0.99467	0.99	0.076	rgb(218,202,203)	1.98	None
Bcl11b	Trib3	0.99467	0.99	0.034	rgb(217,211,211)	1.98	None
Bcl3	Cenpm	0.99467	0.99	0.311	rgb(220,158,158)	1.98	None
Bhlha15	Klri2	0.99467	0.99	0.114	rgb(218,195,196)	1.98	None
Cic	Il17f	0.99467	0.99	0.298	rgb(220,160,161)	1.98	None
Crem	B4galnt4	0.99467	0.99	0.064	rgb(218,205,205)	1.98	None
Crem	Kctd17	0.99467	0.99	0.162	rgb(219,186,186)	1.98	None
Crem	Palm	0.99467	0.99	0.214	rgb(219,176,176)	1.98	None
Egr2	Aldh1l2	-0.99467	0.99	-5.6E-02	rgb(205,210,219)	1.98	None
Egr2	Angptl4	0.99467	0.99	0.236	rgb(220,172,172)	1.98	None
Egr2	Arhgdig	0.99467	0.99	0.131	rgb(218,192,192)	1.98	None
Egr2	Asns	0.99467	0.99	0.205	rgb(219,178,178)	1.98	None
Egr2	Chac1	0.99467	0.99	0.241	rgb(220,171,171)	1.98	None
Egr2	Col5a3	0.99467	0.99	0.219	rgb(219,175,176)	1.98	None
Egr2	Csnk1e	0.99467	0.99	0.469	rgb(222,127,128)	1.98	None
Egr2	Eif4ebp1	0.99467	0.99	0.116	rgb(218,195,195)	1.98	None
Egr2	Gpt2	0.99467	0.99	0.169	rgb(219,185,185)	1.98	None
Egr2	Hmox1	0.99467	0.99	0.082	rgb(218,201,202)	1.98	None
Egr2	Phlda3	-0.99467	0.99	-2.8E-01	rgb(156,180,228)	1.98	None
Egr2	Pycr1	-0.99467	0.99	-3.2E-02	rgb(210,213,218)	1.98	None
Egr2	Ric8	-0.99467	0.99	-5.2E-02	rgb(206,210,219)	1.98	None
Egr2	Sars	0.99467	0.99	0.201	rgb(219,179,179)	1.98	None
Egr2	Slc1a4	0.99467	0.99	0.11	rgb(218,196,196)	1.98	None
Egr2	Slc6a9	0.99467	0.99	0.165	rgb(219,185,186)	1.98	None
Egr2	Slc7a1	0.99467	0.99	0.047	rgb(218,208,208)	1.98	None
Egr2	Slc7a3	0.99467	0.99	0.176	rgb(219,183,184)	1.98	None
Egr2	Spin4	-0.99467	0.99	-4.0E-02	rgb(208,212,219)	1.98	None
Egr2	Trib3	0.99467	0.99	0.129	rgb(218,192,193)	1.98	None
Egr2	Yy2	0.99467	0.99	0.245	rgb(220,170,171)	1.98	None
Fosb	Cltb	-0.99467	0.99	-4.2E-01	rgb(126,162,233)	1.98	None
Gata1	Itgb3	0.99467	0.99	0.371	rgb(221,146,147)	1.98	None
Gata3	Gnpda1	0.99467	0.99	0.092	rgb(218,199,200)	1.98	None
Gata3	Itgb3	0.99467	0.99	0.459	rgb(222,129,130)	1.98	None
Gata3	Rasgrp1	0.99467	0.99	0.192	rgb(219,180,181)	1.98	None
Gata3	Smpdl3b	0.99467	0.99	0.254	rgb(220,168,169)	1.98	None
Gli1	Batf	0.99467	0.99	0.2	rgb(219,179,179)	1.98	None
Glis1	Trim9	0.99467	0.99	0.215	rgb(219,176,176)	1.98	None
Glis3	Higd1a	0.99467	0.99	0.258	rgb(220,168,168)	1.98	None
Hhex	Trpm6	0.99467	0.99	0.47	rgb(222,127,128)	1.98	None
Hif1a	Acp5	0.99467	0.99	0.211	rgb(219,177,177)	1.98	None
Hif1a	Aldoa	0.99467	0.99	0.516	rgb(223,118,119)	1.98	None
Hif1a	Aldoc	0.99467	0.99	0.457	rgb(222,130,131)	1.98	None
Hif1a	Arrb1	0.99467	0.99	0.396	rgb(221,141,142)	1.98	None
Hif1a	Bcar1	0.99467	0.99	0.389	rgb(221,143,144)	1.98	None
Hif1a	Bnip3	0.99467	0.99	0.512	rgb(223,119,120)	1.98	None
Hif1a	Cep170	-0.99467	0.99	-1.2E-02	rgb(214,215,217)	1.98	None
Hif1a	Cyp2s1	0.99467	0.99	0.056	rgb(218,206,206)	1.98	None
Hif1a	Egln1	0.99467	0.99	0.398	rgb(221,141,142)	1.98	None
Hif1a	Egln3	0.99467	0.99	0.397	rgb(221,141,142)	1.98	None
Hif1a	Fam114a2	0.99467	0.99	0.354	rgb(221,149,150)	1.98	None
Hif1a	Fzd7	0.99467	0.99	0.08	rgb(218,202,202)	1.98	None
Hif1a	Galk1	0.99467	0.99	0.49	rgb(222,123,124)	1.98	None
Hif1a	Gys1	-0.99467	0.99	-6.7E-02	rgb(202,208,220)	1.98	None
Hif1a	Helb	-0.99467	0.99	-8.7E-02	rgb(198,206,220)	1.98	None
Hif1a	Higd1a	0.99467	0.99	0.257	rgb(220,168,169)	1.98	None
Hif1a	Hk1	0.99467	0.99	0.303	rgb(220,159,160)	1.98	None
Hif1a	Ier3	0.99467	0.99	0.213	rgb(219,176,177)	1.98	None
Hif1a	Itga7	0.99467	0.99	0.171	rgb(219,184,185)	1.98	None
Hif1a	Jmjd6	-0.99467	0.99	-6.1E-02	rgb(204,209,219)	1.98	None
Hif1a	Kbtbd13	0.99467	0.99	0.346	rgb(221,151,152)	1.98	None
Hif1a	Mboat2	0.99467	0.99	0.237	rgb(220,172,172)	1.98	None
Hif1a	Muc2	0.99467	0.99	0.188	rgb(219,181,182)	1.98	None
Hif1a	Ndrg2	0.99467	0.99	0.168	rgb(219,185,185)	1.98	None
Hif1a	Ndufv3	0.99467	0.99	0.31	rgb(220,158,158)	1.98	None
Hif1a	P4ha2	0.99467	0.99	0.294	rgb(220,161,161)	1.98	None
Hif1a	P4hb	0.99467	0.99	0.334	rgb(221,153,154)	1.98	None
Hif1a	Pafah1b3	0.99467	0.99	0.392	rgb(221,142,143)	1.98	None
Hif1a	Pdxp	0.99467	0.99	0.223	rgb(219,174,175)	1.98	None
Hif1a	Pfkp	0.99467	0.99	0.078	rgb(218,202,202)	1.98	None
Hif1a	Pgm2	0.99467	0.99	0.298	rgb(220,160,161)	1.98	None
Hif1a	Plcxd1	-0.99467	0.99	-6.9E-02	rgb(202,208,220)	1.98	None
Hif1a	Plod2	0.99467	0.99	0.382	rgb(221,144,145)	1.98	None
Hif1a	Ppap2c	0.99467	0.99	0.181	rgb(219,182,183)	1.98	None
Hif1a	Ppme1	0.99467	0.99	0.521	rgb(223,117,118)	1.98	None
Hif1a	Ppp1r3b	-0.99467	0.99	-5.0E-02	rgb(206,210,219)	1.98	None
Hif1a	Pygl	0.99467	0.99	0.34	rgb(221,152,153)	1.98	None
Hif1a	Rassf1	-0.99467	0.99	-1.2E-02	rgb(214,215,217)	1.98	None
Hif1a	Rgs11	0.99467	0.99	0.29	rgb(220,162,162)	1.98	None
Hif1a	Sertad1	0.99467	0.99	0.431	rgb(222,135,136)	1.98	None
Hif1a	Slc2a1	0.99467	0.99	0.422	rgb(222,136,137)	1.98	None
Hif1a	Slc2a3	0.99467	0.99	0.374	rgb(221,146,146)	1.98	None
Hif1a	Smtnl2	0.99467	0.99	0.4	rgb(221,141,141)	1.98	None
Hif1a	Xpnpep1	0.99467	0.99	0.513	rgb(223,119,120)	1.98	None
Hif3a	Cldn4	0.99467	0.99	0.052	rgb(218,207,207)	1.98	None
Hlf	Pde7a	0.99467	0.99	0.177	rgb(219,183,184)	1.98	None
Hoxb1	Trib2	0.99467	0.99	0.347	rgb(221,151,151)	1.98	None
Id2	Ccng2	0.99467	0.99	0.365	rgb(221,147,148)	1.98	None
Id2	Gys1	0.99467	0.99	0.156	rgb(219,187,187)	1.98	None
Id2	Kbtbd11	0.99467	0.99	0.286	rgb(220,162,163)	1.98	None
Id2	Rasa4	0.99467	0.99	0.316	rgb(220,157,157)	1.98	None
Irf4	Myo1e	-0.99467	0.99	-4.2E-02	rgb(208,212,219)	1.98	None
Irf7	Gbp9	-0.99467	0.99	-2.7E-02	rgb(211,213,218)	1.98	None
Irf7	Rtp4	-0.99467	0.99	-5.2E-02	rgb(206,210,219)	1.98	None
Irf8	Phf6	0.99467	0.99	0.055	rgb(218,207,207)	1.98	None
Irf9	Cmpk2	0.99467	0.99	0.065	rgb(218,205,205)	1.98	None
Irf9	Dtx3l	0.99467	0.99	0.196	rgb(219,180,180)	1.98	None
Irf9	Gbp6	0.99467	0.99	0.184	rgb(219,182,182)	1.98	None
Irf9	Gbp7	0.99467	0.99	0.192	rgb(219,180,181)	1.98	None
Irf9	Gbp9	0.99467	0.99	0.339	rgb(221,152,153)	1.98	None
Irf9	Irf7	0.99467	0.99	0.097	rgb(218,198,199)	1.98	None
Irf9	Lgals3bp	-0.99467	0.99	-8.2E-02	rgb(199,206,220)	1.98	None
Irf9	Parp9	0.99467	0.99	0.171	rgb(219,184,185)	1.98	None
Irf9	Pyhin1	0.99467	0.99	0.3	rgb(220,160,160)	1.98	None
Irf9	Rbm43	0.99467	0.99	0.144	rgb(219,190,190)	1.98	None
Irf9	Rtp4	0.99467	0.99	0.304	rgb(220,159,160)	1.98	None
Irf9	Trim12c	0.99467	0.99	0.136	rgb(218,191,191)	1.98	None
Irf9	Xaf1	0.99467	0.99	0.106	rgb(218,197,197)	1.98	None
Irf9	Zbp1	-0.99467	0.99	-6.3E-02	rgb(203,209,219)	1.98	None
Jun	Syn1	0.99467	0.99	0.493	rgb(222,123,124)	1.98	None
Lin54	Hist1h1b	0.99467	0.99	0.142	rgb(219,190,190)	1.98	None
Lin54	Hist1h1c	0.99467	0.99	0.412	rgb(222,138,139)	1.98	None
Lin54	Hist1h1e	0.99467	0.99	0.269	rgb(220,166,166)	1.98	None
Maf	Aqp3	0.99467	0.99	0.169	rgb(219,185,185)	1.98	None
Maf	Ifih1	-0.99467	0.99	-2.4E-01	rgb(165,185,226)	1.98	None
Mef2b	Acsl6	0.99467	0.99	0.125	rgb(218,193,193)	1.98	None
Mga	Tgm2	0.99467	0.99	0.412	rgb(222,138,139)	1.98	None
Nfat5	Rassf8	0.99467	0.99	0.27	rgb(220,165,166)	1.98	None
Nfe2l2	Fzd7	-0.99467	0.99	-2.8E-01	rgb(157,181,227)	1.98	None
Nfe2l2	Gprc5a	0.99467	0.99	0.118	rgb(218,194,195)	1.98	None
Nfe2l2	Kctd12	0.99467	0.99	0.084	rgb(218,201,201)	1.98	None
Nfe2l2	Lgr4	0.99467	0.99	0.241	rgb(220,171,172)	1.98	None
Nfe2l2	Nrn1	-0.99467	0.99	-2.0E-01	rgb(173,190,225)	1.98	None
Nfe2l2	Pygl	-0.99467	0.99	-4.9E-01	rgb(111,152,236)	1.98	None
Nfe2l2	Smtnl2	-0.99467	0.99	-3.8E-01	rgb(135,167,231)	1.98	None
Nfkb1	Phldb1	0.99467	0.99	0.23	rgb(220,173,174)	1.98	None
Nr1d2	Il1r1	0.99467	0.99	0.341	rgb(221,152,152)	1.98	None
Nr1d2	Slc4a11	0.99467	0.99	0.013	rgb(217,215,215)	1.98	None
Osr2	S100a3	-0.99467	0.99	-1.3E-01	rgb(189,200,222)	1.98	None
Osr2	S100a6	0.99467	0.99	0.412	rgb(222,138,139)	1.98	None
Plagl2	Lad1	0.99467	0.99	0.247	rgb(220,170,170)	1.98	None
Ppard	Psph	0.99467	0.99	0.218	rgb(219,175,176)	1.98	None
Pparg	Erap1	0.99467	0.99	0.366	rgb(221,147,148)	1.98	None
Prdm16	Endod1	0.99467	0.99	0.227	rgb(219,174,174)	1.98	None
Rarg	Il21	0.99467	0.99	0.23	rgb(220,173,174)	1.98	None
Rora	Ndst1	-0.99467	0.99	-5.0E-02	rgb(206,210,219)	1.98	None
Rora	Vax2	0.99467	0.99	0.089	rgb(218,200,200)	1.98	None
Rorc	Chd7	-0.99467	0.99	-2.3E-01	rgb(167,186,226)	1.98	None
Rorc	Fes	0.99467	0.99	0.233	rgb(220,173,173)	1.98	None
Rorc	Flot1	-0.99467	0.99	-1.1E-01	rgb(194,203,221)	1.98	None
Rorc	Foxb1	-0.99467	0.99	-3.0E-01	rgb(153,178,228)	1.98	None
Rorc	Furin	0.99467	0.99	0.254	rgb(220,168,169)	1.98	None
Rorc	Galnt12	0.99467	0.99	0.404	rgb(221,140,141)	1.98	None
Rorc	Gja1	-0.99467	0.99	-5.8E-01	rgb( 90,140,239)	1.98	None
Rorc	Gpr18	0.99467	0.99	0.015	rgb(217,214,214)	1.98	None
Rorc	Grina	-0.99467	0.99	-3.1E-01	rgb(149,175,229)	1.98	None
Rorc	Igfbp4	-0.99467	0.99	-1.9E-01	rgb(176,192,224)	1.98	None
Rorc	Il12rb2	-0.99467	0.99	-3.9E-01	rgb(132,165,232)	1.98	None
Rorc	Il17a	0.99467	0.99	0.481	rgb(222,125,126)	1.98	None
Rorc	Il17re	0.99467	0.99	0.391	rgb(221,142,143)	1.98	None
Rorc	Il22	0.99467	0.99	0.151	rgb(219,188,188)	1.98	None
Rorc	Lama5	-0.99467	0.99	-2.8E-02	rgb(211,213,218)	1.98	None
Rorc	Lgr4	-0.99467	0.99	-1.1E-01	rgb(194,203,221)	1.98	None
Rorc	Ltb4r1	0.99467	0.99	0.278	rgb(220,164,164)	1.98	None
Rorc	Marveld1	0.99467	0.99	0.071	rgb(218,203,204)	1.98	None
Rorc	Npc2	-0.99467	0.99	-2.0E-01	rgb(173,190,225)	1.98	None
Rorc	Nucb2	-0.99467	0.99	-4.2E-01	rgb(125,161,233)	1.98	None
Rorc	Plac8	-0.99467	0.99	-2.8E-01	rgb(156,180,228)	1.98	None
Rorc	Plxnd1	0.99467	0.99	0.124	rgb(218,193,194)	1.98	None
Rorc	Ppm1j	-0.99467	0.99	-3.2E-01	rgb(148,175,229)	1.98	None
Rorc	Runx1	0.99467	0.99	0.242	rgb(220,171,171)	1.98	None
Rorc	Sesn3	-0.99467	0.99	-5.1E-01	rgb(107,150,236)	1.98	None
Rorc	Socs3	-0.99467	0.99	-1.1E-01	rgb(194,203,221)	1.98	None
Rorc	Tex2	0.99467	0.99	0.171	rgb(219,184,185)	1.98	None
Rorc	Timp1	-0.99467	0.99	-2.9E-01	rgb(154,179,228)	1.98	None
Rorc	Unc119b	0.99467	0.99	0.253	rgb(220,169,169)	1.98	None
Rorc	Vax2	0.99467	0.99	0.265	rgb(220,166,167)	1.98	None
Rorc	Xkrx	0.99467	0.99	0.309	rgb(220,158,159)	1.98	None
Runx1	Endod1	0.99467	0.99	0.236	rgb(220,172,172)	1.98	None
Sall4	Foxp3	0.99467	0.99	0.49	rgb(222,123,124)	1.98	None
Satb1	Angptl4	0.99467	0.99	0.307	rgb(220,158,159)	1.98	None
Satb1	Btla	0.99467	0.99	0.223	rgb(219,174,175)	1.98	None
Satb1	Dab2ip	0.99467	0.99	0.512	rgb(223,119,120)	1.98	None
Satb1	Dnmt3a	0.99467	0.99	0.095	rgb(218,199,199)	1.98	None
Satb1	Galk1	0.99467	0.99	0.09	rgb(218,200,200)	1.98	None
Satb1	Kctd17	0.99467	0.99	0.38	rgb(221,144,145)	1.98	None
Satb1	Nrn1	0.99467	0.99	0.159	rgb(219,187,187)	1.98	None
Satb1	Plk2	0.99467	0.99	0.106	rgb(218,197,197)	1.98	None
Satb1	Rhoq	-0.99467	0.99	-2.2E-01	rgb(169,188,225)	1.98	None
Satb1	Serpinf1	0.99467	0.99	0.291	rgb(220,161,162)	1.98	None
Satb1	Stc2	0.99467	0.99	0.351	rgb(221,150,151)	1.98	None
Satb1	Vldlr	0.99467	0.99	0.201	rgb(219,179,179)	1.98	None
Satb1	Zfp90	0.99467	0.99	0.267	rgb(220,166,166)	1.98	None
Six1	Capn5	0.99467	0.99	0.482	rgb(222,125,126)	1.98	None
Smad3	Acsbg1	0.99467	0.99	0.304	rgb(220,159,160)	1.98	None
Smad3	Ctsw	0.99467	0.99	0.392	rgb(221,142,143)	1.98	None
Smad3	Olfm2	0.99467	0.99	0.252	rgb(220,169,169)	1.98	None
Smad3	Skil	0.99467	0.99	0.467	rgb(222,128,129)	1.98	None
Smad3	Tgfbr1	0.99467	0.99	0.075	rgb(218,203,203)	1.98	2,2
Smad6	Hist1h1d	0.99467	0.99	0.212	rgb(219,177,177)	1.98	None
Sox6	Bdh2	0.99467	0.99	0.177	rgb(219,183,184)	1.98	None
Sp3	Abhd4	0.99467	0.99	0.253	rgb(220,169,169)	1.98	None
Stat1	Parp9	0.99467	0.99	0.112	rgb(218,196,196)	1.98	None
Stat1	Pml	0.99467	0.99	0.233	rgb(220,173,173)	1.98	None
Stat2	Dtx3l	0.99467	0.99	0.007	rgb(217,216,216)	1.98	None
Stat3	Serpinf1	0.99467	0.99	0.548	rgb(223,112,113)	1.98	None
Stat3	Timp1	0.99467	0.99	0.414	rgb(222,138,139)	1.98	None
Stat4	Pla2g12a	0.99467	0.99	0.225	rgb(219,174,174)	1.98	None
Stat4	Ptpn1	0.99467	0.99	0.143	rgb(219,190,190)	1.98	None
Trp53	Ccng1	0.99467	0.99	0.194	rgb(219,180,180)	1.98	None
Trp53	Phlda3	0.99467	0.99	0.267	rgb(220,166,167)	1.98	None
Trp53	Zmat3	-0.99467	0.99	-1.7E-02	rgb(213,215,218)	1.98	None
Trp73	4632434I11Rik	0.99467	0.99	0.055	rgb(218,206,207)	1.98	2,2
Trp73	Agap1	0.99467	0.99	0.367	rgb(221,147,148)	1.98	None
