TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Batf	Armcx2	0.99978	1	0.141	rgb(219,190,190)	2	None
Batf	Tal2	-0.99978	1	-1.5E-01	rgb(185,197,223)	2	None
E2f1	Dtl	0.99978	1	0.003	rgb(217,216,216)	2	None
Irf1	Nlrc5	0.99978	1	0.694	rgb(225, 84, 86)	2	None
Irf1	Tgtp2	0.99978	1	0.325	rgb(221,155,156)	2	None
Irf4	Armcx2	-0.99978	1	-1.5E-01	rgb(185,198,223)	2	None
Irf4	Srgap3	-0.99978	1	-3.3E-01	rgb(145,173,230)	2	None
Maf	Aqp3	0.99978	1	0.462	rgb(222,129,130)	2	None
Nfkb2	Nfkbie	0.99978	1	0.417	rgb(222,137,138)	2	None
Nfkb2	Psd	0.99978	1	0.362	rgb(221,148,149)	2	None
Rest	Rbm15	0.99978	1	0.565	rgb(223,109,110)	2	None
Stat1	Nlrc5	-0.99978	1	-1.2E-01	rgb(191,201,222)	2	None
Ahr	Dkkl1	-0.98843	0.99	-9.1E-02	rgb(197,205,220)	1.98	None
Ar	Cmya5	0.98843	0.99	0.054	rgb(218,207,207)	1.98	None
Ar	Zfp831	-0.98843	0.99	-1.6E-02	rgb(214,215,218)	1.98	None
Atf3	Chac1	-0.98843	0.99	-2.6E-03	rgb(216,217,217)	1.98	None
Atf3	Dst	-0.98843	0.99	-6.0E-02	rgb(204,209,219)	1.98	None
Atf3	Gpt2	0.98843	0.99	0.074	rgb(218,203,203)	1.98	None
Atf3	Nfil3	0.98843	0.99	0.386	rgb(221,143,144)	1.98	None
Atf3	Slc3a2	0.98843	0.99	0.05	rgb(218,207,208)	1.98	None
Atf3	Tnfrsf21	-0.98843	0.99	-4.6E-01	rgb(118,157,234)	1.98	None
Atf3	Vldlr	0.98843	0.99	0.397	rgb(221,141,142)	1.98	None
Atf5	Slc3a2	0.98843	0.99	0.304	rgb(220,159,160)	1.98	None
Bach1	Syn1	-0.98843	0.99	-1.8E-01	rgb(178,193,224)	1.98	None
Batf	Abcb9	0.98843	0.99	0.162	rgb(219,186,186)	1.98	None
Batf	Acox1	-0.98843	0.99	-2.0E-01	rgb(173,190,225)	1.98	None
Batf	Acsbg1	0.98843	0.99	0.284	rgb(220,163,163)	1.98	None
Batf	Acsl5	-0.98843	0.99	-7.7E-02	rgb(200,207,220)	1.98	None
Batf	Ahr	0.98843	0.99	0.332	rgb(221,153,154)	1.98	None
Batf	Amica1	0.98843	0.99	0.131	rgb(218,192,192)	1.98	None
Batf	Amigo2	-0.98843	0.99	-2.4E-01	rgb(166,186,226)	1.98	None
Batf	Amz2	-0.98843	0.99	-1.8E-01	rgb(179,194,224)	1.98	None
Batf	Aqp9	-0.98843	0.99	-3.1E-03	rgb(216,217,217)	1.98	None
Batf	Asap1	0.98843	0.99	0.157	rgb(219,187,187)	1.98	None
Batf	Avpr1a	0.98843	0.99	0.329	rgb(221,154,155)	1.98	None
Batf	Bcl2l11	-0.98843	0.99	-3.6E-01	rgb(139,170,231)	1.98	None
Batf	Bmyc	0.98843	0.99	0.267	rgb(220,166,167)	1.98	None
Batf	Cacna1s	-0.98843	0.99	-3.7E-01	rgb(138,169,231)	1.98	None
Batf	Calhm2	0.98843	0.99	0.084	rgb(218,201,201)	1.98	None
Batf	Ccl4	-0.98843	0.99	-1.8E-01	rgb(177,193,224)	1.98	None
Batf	Ccr7	-0.98843	0.99	-5.6E-02	rgb(205,210,219)	1.98	None
Batf	Ccr8	0.98843	0.99	0.229	rgb(220,173,174)	1.98	None
Batf	Ccrl2	-0.98843	0.99	-2.1E-01	rgb(172,190,225)	1.98	None
