TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Batf	Ch25h	0.9995	1	0.051	rgb(218,207,207)	2	None
Batf	Fcgbp	0.9995	1	0.155	rgb(219,187,188)	2	None
Batf	Gja5	0.9995	1	0.038	rgb(217,210,210)	2	None
Batf	Itm2a	0.9995	1	0.016	rgb(217,214,214)	2	None
Batf	Kcnmb1	0.9995	1	0.386	rgb(221,143,144)	2	None
Batf	Mpzl2	0.9995	1	0.028	rgb(217,212,212)	2	None
Batf	Plac8	0.9995	1	0.266	rgb(220,166,167)	2	None
Batf	Slc14a1	0.9995	1	0.291	rgb(220,161,162)	2	None
Fosl2	Fcgbp	0.9995	1	0.024	rgb(217,212,212)	2	None
Hif1a	Ankzf1	0.9995	1	0.076	rgb(218,202,203)	2	None
Hif1a	Arhgdig	0.9995	1	0.457	rgb(222,130,131)	2	None
Hif1a	Egln1	0.9995	1	0.02	rgb(217,213,213)	2	None
Hif1a	Ero1l	0.9995	1	0.258	rgb(220,168,168)	2	None
Hif1a	Jag2	0.9995	1	0.355	rgb(221,149,150)	2	None
Hif1a	Kbtbd13	0.9995	1	0.328	rgb(221,154,155)	2	None
Hif1a	Muc2	0.9995	1	0.196	rgb(219,180,180)	2	None
Hif1a	Nrn1	0.9995	1	0.312	rgb(220,157,158)	2	None
Hif1a	Rgs11	0.9995	1	0.061	rgb(218,205,205)	2	None
Hif1a	Slc2a1	0.9995	1	0.498	rgb(222,122,123)	2	None
Hif1a	Smtnl2	0.9995	1	0.196	rgb(219,180,180)	2	None
Osr2	S100a3	0.9995	1	0.197	rgb(219,179,180)	2	None
Rorc	Cd24a	-0.9995	1	-1.3E-01	rgb(189,200,222)	2	None
Rorc	Il17re	0.9995	1	0.338	rgb(221,152,153)	2	None
Sall4	Foxp3	0.9995	1	0.563	rgb(223,109,111)	2	None
Stat3	Ly6a	0.9995	1	0.364	rgb(221,147,148)	2	None
Stat3	Plac8	0.9995	1	0.459	rgb(222,129,130)	2	None
Stat3	Timp1	0.9995	1	0.501	rgb(223,121,122)	2	None
Ahr	Dkkl1	0.9879	0.99	0.244	rgb(220,170,171)	1.98	None
Arid3a	Bcl2a1b	0.9879	0.99	0.028	rgb(217,212,212)	1.98	None
Arid3a	Lum	0.9879	0.99	0.279	rgb(220,164,164)	1.98	None
Arnt2	Mcoln3	-0.9879	0.99	-4.0E-01	rgb(131,165,232)	1.98	None
Arntl2	B9d1	0.9879	0.99	0.294	rgb(220,161,161)	1.98	None
Ascl2	Col2a1	-0.9879	0.99	-9.0E-02	rgb(198,205,220)	1.98	None
Ascl2	Slc23a2	0.9879	0.99	0.242	rgb(220,171,171)	1.98	None
Atf2	Egr3	0.9879	0.99	0.16	rgb(219,186,187)	1.98	None
Atf3	2900011O08Rik	-0.9879	0.99	-2.0E-01	rgb(174,191,224)	1.98	None
Atf3	Lypd6b	0.9879	0.99	0.198	rgb(219,179,180)	1.98	None
Atf3	Mpp3	0.9879	0.99	0.34	rgb(221,152,153)	1.98	None
Atf3	Ptgs2	0.9879	0.99	0.052	rgb(218,207,207)	1.98	None
Atf5	Ppard	0.9879	0.99	0.321	rgb(221,156,156)	1.98	None
Bach1	Sp6	0.9879	0.99	0.104	rgb(218,197,197)	1.98	None
Batf	Adcy4	-0.9879	0.99	-3.8E-01	rgb(134,167,231)	1.98	None
Batf	Akap2	0.9879	0.99	0.32	rgb(221,156,156)	1.98	None
Batf	Amica1	0.9879	0.99	0.037	rgb(217,210,210)	1.98	None
Batf	B3gnt3	0.9879	0.99	0.004	rgb(217,216,216)	1.98	None
Batf	Bmyc	0.9879	0.99	0.234	rgb(220,172,173)	1.98	None
Batf	Cachd1	0.9879	0.99	0.275	rgb(220,165,165)	1.98	None
Batf	Clec2l	0.9879	0.99	0.361	rgb(221,148,149)	1.98	None
Batf	Cpne6	0.9879	0.99	0.324	rgb(221,155,156)	1.98	None
Batf	Enah	0.9879	0.99	0.21	rgb(219,177,177)	1.98	None
Batf	Entpd2	0.9879	0.99	0.066	rgb(218,204,205)	1.98	None
Batf	Evi2a	0.9879	0.99	0.621	rgb(224, 98,100)	1.98	None
Batf	Fzd3	0.9879	0.99	0.074	rgb(218,203,203)	1.98	None
Batf	Grp	0.9879	0.99	0.269	rgb(220,166,166)	1.98	None
Batf	Gsn	0.9879	0.99	0.266	rgb(220,166,167)	1.98	None
Batf	Gstt1	0.9879	0.99	0.535	rgb(223,115,116)	1.98	None
Batf	Igfbp4	-0.9879	0.99	-1.8E-02	rgb(213,215,218)	1.98	None
Batf	Itih5	0.9879	0.99	0.233	rgb(220,172,173)	1.98	None
Batf	Klrk1	-0.9879	0.99	-1.7E-01	rgb(179,194,224)	1.98	None
Batf	Krt86	0.9879	0.99	0.122	rgb(218,194,194)	1.98	None
Batf	Lrrc16b	-0.9879	0.99	-6.7E-02	rgb(202,208,220)	1.98	None
Batf	Macc1	0.9879	0.99	0.266	rgb(220,166,167)	1.98	None
Batf	Npdc1	0.9879	0.99	0.388	rgb(221,143,144)	1.98	None
Batf	Npl	0.9879	0.99	0.159	rgb(219,187,187)	1.98	None
Batf	Rai14	-0.9879	0.99	-2.9E-01	rgb(154,179,228)	1.98	None
Batf	Rexo4	-0.9879	0.99	-2.0E-01	rgb(173,190,225)	1.98	None
Batf	Rxra	-0.9879	0.99	-2.3E-01	rgb(167,187,226)	1.98	None
Batf	Sepp1	0.9879	0.99	0.344	rgb(221,151,152)	1.98	None
Batf	Slamf6	0.9879	0.99	0.096	rgb(218,199,199)	1.98	None
Batf	Svep1	0.9879	0.99	0.118	rgb(218,194,195)	1.98	None
Batf	Syt11	0.9879	0.99	0.115	rgb(218,195,195)	1.98	None
Batf	Tgfb3	0.9879	0.99	0.607	rgb(224,101,102)	1.98	None
Batf	Tlr9	0.9879	0.99	0.363	rgb(221,148,148)	1.98	None
Batf	Tmigd1	-0.9879	0.99	-2.2E-01	rgb(170,188,225)	1.98	None
Bcl3	Cd70	0.9879	0.99	0.182	rgb(219,182,183)	1.98	None
Bcl3	Cenpm	0.9879	0.99	0.11	rgb(218,196,196)	1.98	None
Bcl3	Il17f	0.9879	0.99	0.28	rgb(220,164,164)	1.98	None
Bcl6	Il24	-0.9879	0.99	-6.2E-04	rgb(217,217,217)	1.98	None
Bcl6	Rims2	0.9879	0.99	0.125	rgb(218,193,193)	1.98	None
Bdp1	Sema6b	-0.9879	0.99	-3.4E-01	rgb(143,172,230)	1.98	None
Bhlhe40	Aldoc	-0.9879	0.99	-5.9E-01	rgb( 89,139,239)	1.98	None
Cebpb	Fam198b	0.9879	0.99	0.461	rgb(222,129,130)	1.98	None
Cebpb	Nfil3	-0.9879	0.99	-1.1E-01	rgb(193,202,221)	1.98	None
Cenpb	Gm11992	0.9879	0.99	0.122	rgb(218,194,194)	1.98	None
Cenpb	Robo3	0.9879	0.99	0.382	rgb(221,144,145)	1.98	None
Cic	Emp1	0.9879	0.99	0.216	rgb(219,176,176)	1.98	None
Cic	Il17f	0.9879	0.99	0.073	rgb(218,203,203)	1.98	None
Cic	Socs3	0.9879	0.99	0.027	rgb(217,212,212)	1.98	None
Cic	Tgm2	0.9879	0.99	0.223	rgb(219,174,175)	1.98	None
Creb1	Spib	-0.9879	0.99	-2.3E-01	rgb(167,187,226)	1.98	None
Dlx3	Kif3a	0.9879	0.99	0.142	rgb(219,190,190)	1.98	None
E2f1	Ctnna1	0.9879	0.99	0.442	rgb(222,133,134)	1.98	None
E2f1	Dtl	0.9879	0.99	0.085	rgb(218,201,201)	1.98	None
E2f1	Exo1	0.9879	0.99	0.065	rgb(218,205,205)	1.98	None
E2f4	Cdc25b	0.9879	0.99	0.32	rgb(221,156,156)	1.98	None
E2f4	Dtl	-0.9879	0.99	-4.5E-02	rgb(207,211,219)	1.98	None
E2f4	Rfwd3	0.9879	0.99	0.357	rgb(221,149,150)	1.98	None
E2f4	Rpa2	0.9879	0.99	0.091	rgb(218,200,200)	1.98	None
Ebf1	Syde2	0.9879	0.99	0.232	rgb(220,173,173)	1.98	None
Egr1	Clip3	0.9879	0.99	0.141	rgb(219,190,190)	1.98	None
Egr1	Dusp18	0.9879	0.99	0.638	rgb(224, 95, 96)	1.98	None
Egr1	Fam19a3	0.9879	0.99	0.243	rgb(220,171,171)	1.98	None
Egr2	Arrb1	0.9879	0.99	0.307	rgb(220,158,159)	1.98	None
Egr2	Bdh2	0.9879	0.99	0.481	rgb(222,125,126)	1.98	None
Egr2	Dntt	0.9879	0.99	0.173	rgb(219,184,184)	1.98	None
Egr2	F3	0.9879	0.99	0.335	rgb(221,153,154)	1.98	None
Egr2	Lhx6	0.9879	0.99	0.383	rgb(221,144,145)	1.98	None
Egr2	Nt5e	0.9879	0.99	0.083	rgb(218,201,201)	1.98	None
Egr2	Stard8	0.9879	0.99	0.359	rgb(221,148,149)	1.98	None
Ets1	Wdr76	0.9879	0.99	0.278	rgb(220,164,164)	1.98	None
Ets2	Acpp	0.9879	0.99	0.215	rgb(219,176,176)	1.98	None
Etv6	Dpm3	0.9879	0.99	0.651	rgb(224, 93, 94)	1.98	None
Etv6	Rexo4	0.9879	0.99	0.049	rgb(218,208,208)	1.98	None
Etv6	Ulk2	-0.9879	0.99	-7.2E-01	rgb( 60,122,244)	1.98	None
Fosb	Xaf1	0.9879	0.99	0.093	rgb(218,199,199)	1.98	None
Fosl1	Olfm2	0.9879	0.99	0.531	rgb(223,116,117)	1.98	None
Fosl1	Pml	0.9879	0.99	0.342	rgb(221,152,152)	1.98	None
Fosl1	Stoml1	0.9879	0.99	0.141	rgb(219,190,190)	1.98	None
Fosl2	Abcc3	0.9879	0.99	0.232	rgb(220,173,173)	1.98	None
Fosl2	Acsbg1	-0.9879	0.99	-4.9E-01	rgb(111,153,236)	1.98	None
Fosl2	Ahdc1	-0.9879	0.99	-3.9E-01	rgb(132,166,232)	1.98	None
Fosl2	Boc	0.9879	0.99	0.032	rgb(217,211,211)	1.98	None
