TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Irf1	Erap1	0.99987	1	0.254	rgb(220,169,169)	2	None
Irf1	Gbp6	0.99987	1	0.386	rgb(221,143,144)	2	None
Irf1	Gbp7	0.99987	1	0.316	rgb(220,157,157)	2	None
Irf1	Tbx21	0.99987	1	0.505	rgb(223,120,121)	2	2,2
Irf1	Tgtp2	0.99987	1	0.323	rgb(221,155,156)	2	None
Rest	Rbm15	0.99987	1	0.21	rgb(219,177,177)	2	None
Stat1	Tgtp2	0.99987	1	0.158	rgb(219,187,187)	2	None
Ahr	Ahrr	0.99463	0.99	0.356	rgb(221,149,150)	1.98	None
Ahr	Malt1	0.99463	0.99	0.182	rgb(219,182,183)	1.98	None
Ahrr	Cyp1b1	0.99463	0.99	0.596	rgb(224,103,104)	1.98	None
Ahrr	Ddx11	0.99463	0.99	0.179	rgb(219,183,183)	1.98	None
Atf5	Pycr1	0.99463	0.99	0.088	rgb(218,200,200)	1.98	None
Bcl6b	Bdh2	-0.99463	0.99	-1.6E-01	rgb(182,196,223)	1.98	None
Bcl6b	Zfp467	0.99463	0.99	0.134	rgb(218,191,192)	1.98	None
Bhlhe40	Fam129a	0.99463	0.99	0.311	rgb(220,158,158)	1.98	None
Cebpg	Gpt2	0.99463	0.99	0.356	rgb(221,149,150)	1.98	None
Cebpg	Psph	0.99463	0.99	0.211	rgb(219,177,177)	1.98	2,2
Cebpg	Slc1a4	0.99463	0.99	0.245	rgb(220,170,171)	1.98	None
Cebpg	Slc3a2	0.99463	0.99	0.066	rgb(218,204,205)	1.98	None
Cebpg	Slc7a3	0.99463	0.99	0.394	rgb(221,142,142)	1.98	None
Cebpg	Sqstm1	-0.99463	0.99	-2.1E-01	rgb(171,189,225)	1.98	None
Cebpg	Trib3	0.99463	0.99	0.223	rgb(219,174,175)	1.98	None
Ddit3	Aldh1l2	0.99463	0.99	0.08	rgb(218,202,202)	1.98	None
Ddit3	Gpt2	-0.99463	0.99	-4.4E-02	rgb(207,211,219)	1.98	None
Ddit3	Sars	0.99463	0.99	0.217	rgb(219,176,176)	1.98	2,2
Ddit3	Trib3	0.99463	0.99	0.217	rgb(219,176,176)	1.98	None
E2f1	Dtl	-0.99463	0.99	-6.2E-02	rgb(204,209,219)	1.98	None
E2f1	Exo1	-0.99463	0.99	-3.6E-02	rgb(209,212,218)	1.98	None
E2f1	Rpa2	-0.99463	0.99	-3.5E-02	rgb(209,212,218)	1.98	None
E2f1	Tyms	0.99463	0.99	0.109	rgb(218,196,196)	1.98	None
E2f1	Wdr76	0.99463	0.99	0.029	rgb(217,211,211)	1.98	None
Egr1	Dusp2	0.99463	0.99	0.242	rgb(220,171,171)	1.98	None
Egr1	Egr2	0.99463	0.99	0.339	rgb(221,152,153)	1.98	None
Egr1	Egr3	0.99463	0.99	0.328	rgb(221,154,155)	1.98	None
Egr2	Pten	-0.99463	0.99	-1.3E-01	rgb(188,199,222)	1.98	None
Egr2	Tnf	0.99463	0.99	0.361	rgb(221,148,149)	1.98	None
Egr3	Nr4a1	-0.99463	0.99	-6.0E-02	rgb(204,209,219)	1.98	None
Egr3	Nr4a3	0.99463	0.99	0.35	rgb(221,150,151)	1.98	None
Egr4	9430020K01Rik	0.99463	0.99	0.126	rgb(218,193,193)	1.98	None
Egr4	Icam5	0.99463	0.99	0.142	rgb(219,190,190)	1.98	None
Egr4	Ssbp4	0.99463	0.99	0.169	rgb(219,185,185)	1.98	None
Elf1	Il2ra	0.99463	0.99	0.073	rgb(218,203,203)	1.98	None
Elk3	Capg	0.99463	0.99	0.48	rgb(222,125,126)	1.98	2,2
Elk4	Klf13	0.99463	0.99	0.136	rgb(218,191,191)	1.98	None
Erg	B4galt5	0.99463	0.99	0.307	rgb(220,158,159)	1.98	None
Etv5	Trim24	-0.99463	0.99	-1.0E-01	rgb(195,204,221)	1.98	None
Fosl2	Sbno2	0.99463	0.99	0.177	rgb(219,183,183)	1.98	None
Foxf2	Lgr4	0.99463	0.99	0.423	rgb(222,136,137)	1.98	None
Foxf2	Rai14	0.99463	0.99	0.261	rgb(220,167,168)	1.98	None
Foxo1	Cog6	0.99463	0.99	0.361	rgb(221,148,149)	1.98	None
Foxo3	Ercc5	0.99463	0.99	0.008	rgb(217,215,215)	1.98	None
Foxo3	Narf	0.99463	0.99	0.24	rgb(220,171,172)	1.98	None
Gabpa	Chm	0.99463	0.99	0.262	rgb(220,167,167)	1.98	None
Gata3	Ccr8	0.99463	0.99	0.143	rgb(219,190,190)	1.98	None
Gfi1	Bpnt1	-0.99463	0.99	-5.5E-02	rgb(205,210,219)	1.98	None
Gli3	Dzip1	-0.99463	0.99	-2.7E-01	rgb(159,181,227)	1.98	None
Gli3	Mbtd1	-0.99463	0.99	-4.2E-01	rgb(127,162,233)	1.98	None
Hic1	Gfi1	0.99463	0.99	0.349	rgb(221,150,151)	1.98	None
Hic1	Itga4	0.99463	0.99	0.396	rgb(221,141,142)	1.98	None
Ikzf2	Ccr5	-0.99463	0.99	-1.8E-01	rgb(178,193,224)	1.98	None
Ikzf2	Plagl1	0.99463	0.99	0.17	rgb(219,184,185)	1.98	None
Ikzf2	Trpm1	0.99463	0.99	0.086	rgb(218,201,201)	1.98	None
Irf1	Dtx3l	-0.99463	0.99	-1.1E-01	rgb(194,203,221)	1.98	None
Irf1	Fam26f	0.99463	0.99	0.46	rgb(222,129,130)	1.98	None
Irf1	Gbp10	0.99463	0.99	0.414	rgb(222,138,139)	1.98	None
Irf1	Gbp11	0.99463	0.99	0.623	rgb(224, 98, 99)	1.98	None
Irf1	Gbp2	0.99463	0.99	0.298	rgb(220,160,161)	1.98	None
Irf1	Gbp4	0.99463	0.99	0.429	rgb(222,135,136)	1.98	None
Irf1	Gbp5	0.99463	0.99	0.36	rgb(221,148,149)	1.98	None
Irf1	Gbp8	0.99463	0.99	0.31	rgb(220,158,158)	1.98	None
Irf1	Gbp9	0.99463	0.99	0.337	rgb(221,153,153)	1.98	None
Irf1	Gimap4	0.99463	0.99	0.207	rgb(219,178,178)	1.98	None
Irf1	Gm4841	0.99463	0.99	0.38	rgb(221,144,145)	1.98	None
Irf1	Gpr18	0.99463	0.99	0.181	rgb(219,182,183)	1.98	None
Irf1	Igtp	0.99463	0.99	0.339	rgb(221,152,153)	1.98	None
Irf1	Itgb7	-0.99463	0.99	-3.7E-02	rgb(209,212,218)	1.98	None
Irf1	Lgals3bp	-0.99463	0.99	-1.4E-02	rgb(214,215,218)	1.98	None
Irf1	Nlrc5	0.99463	0.99	0.405	rgb(221,140,141)	1.98	2,2
Irf1	Parp9	-0.99463	0.99	-7.7E-02	rgb(200,207,220)	1.98	None
Irf1	Psme1	0.99463	0.99	0.357	rgb(221,149,150)	1.98	None
Irf1	Tapbp	0.99463	0.99	0.239	rgb(220,171,172)	1.98	None
Irf1	Tapbpl	0.99463	0.99	0.116	rgb(218,195,195)	1.98	None
Irf1	Tbkbp1	0.99463	0.99	0.326	rgb(221,155,155)	1.98	None
Irf1	Zbp1	0.99463	0.99	0.136	rgb(218,191,191)	1.98	None
Irf4	Atp8b4	-0.99463	0.99	-4.3E-01	rgb(124,161,233)	1.98	None
Irf4	Ikzf2	-0.99463	0.99	-2.8E-02	rgb(211,213,218)	1.98	None
Irf4	Lrrn3	-0.99463	0.99	-3.0E-01	rgb(152,177,228)	1.98	None
Irf4	Ptk2	-0.99463	0.99	-3.3E-01	rgb(145,173,230)	1.98	None
