TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Batf	Abcb9	0.99653	1	0.281	rgb(220,163,164)	2	None
Batf	Acsl5	-0.99653	1	-2.4E-01	rgb(166,186,226)	2	None
Batf	Amigo2	-0.99653	1	-3.5E-01	rgb(141,171,230)	2	None
Batf	Arhgap17	0.99653	1	0.304	rgb(220,159,159)	2	None
Batf	Asf1a	-0.99653	1	-6.9E-02	rgb(202,208,220)	2	None
Batf	Bcl2l11	-0.99653	1	-1.3E-01	rgb(189,200,222)	2	None
Batf	Cd74	-0.99653	1	-2.0E-01	rgb(173,190,225)	2	None
Batf	Cdkn2c	-0.99653	1	-5.5E-01	rgb( 98,145,238)	2	None
Batf	Cmah	-0.99653	1	-2.4E-01	rgb(165,186,226)	2	None
Batf	Cox17	-0.99653	1	-3.6E-01	rgb(140,170,231)	2	None
Batf	Dlg2	-0.99653	1	-2.2E-01	rgb(169,188,225)	2	None
Batf	Endod1	-0.99653	1	-3.6E-01	rgb(138,169,231)	2	None
Batf	Exoc2	0.99653	1	0.041	rgb(217,209,209)	2	None
Batf	Gja1	-0.99653	1	-2.2E-01	rgb(169,188,225)	2	None
Batf	Gpr174	-0.99653	1	-3.4E-02	rgb(210,212,218)	2	None
Batf	Gyk	-0.99653	1	-3.3E-01	rgb(146,174,230)	2	None
Batf	Herc4	-0.99653	1	-1.2E-01	rgb(190,201,222)	2	None
Batf	Ifitm2	0.99653	1	0.316	rgb(220,157,157)	2	None
Batf	Ift57	-0.99653	1	-2.6E-01	rgb(162,183,227)	2	None
Batf	Igf2r	-0.99653	1	-2.4E-01	rgb(166,186,226)	2	None
Batf	Igfbp7	-0.99653	1	-3.0E-01	rgb(153,178,228)	2	None
Batf	Il1rn	-0.99653	1	-3.2E-01	rgb(147,174,229)	2	None
Batf	Il9	0.99653	1	0.276	rgb(220,164,165)	2	None
Batf	Inhba	0.99653	1	0.041	rgb(217,209,209)	2	None
Batf	M6pr	-0.99653	1	-8.6E-02	rgb(198,206,220)	2	None
Batf	Ncf1	-0.99653	1	-2.9E-01	rgb(153,178,228)	2	None
Batf	Nck2	0.99653	1	0.227	rgb(220,174,174)	2	None
Batf	Nckap1	-0.99653	1	-4.4E-03	rgb(216,216,217)	2	None
Batf	Pdzk1ip1	-0.99653	1	-4.1E-02	rgb(208,212,219)	2	None
Batf	Pter	0.99653	1	0.181	rgb(219,182,183)	2	None
Batf	Qser1	-0.99653	1	-1.0E-01	rgb(195,204,221)	2	None
Batf	Rabgap1l	0.99653	1	0.344	rgb(221,151,152)	2	None
Batf	Rorc	0.99653	1	0.248	rgb(220,170,170)	2	None
Batf	Serpine2	0.99653	1	0.226	rgb(219,174,174)	2	None
Batf	Slc25a45	-0.99653	1	-3.6E-01	rgb(138,169,231)	2	None
Batf	Srpk2	-0.99653	1	-1.9E-01	rgb(176,192,224)	2	None
Batf	St3gal1	0.99653	1	0.523	rgb(223,117,118)	2	None
Batf	St8sia6	-0.99653	1	-1.5E-01	rgb(184,197,223)	2	None
Batf	Stk38l	-0.99653	1	-2.3E-01	rgb(166,186,226)	2	None
Batf	Stk39	-0.99653	1	-1.0E-01	rgb(195,203,221)	2	None
Batf	Synpo	0.99653	1	0.06	rgb(218,206,206)	2	None
Batf	Tacc2	-0.99653	1	-1.1E-01	rgb(194,203,221)	2	None
Batf	Tal2	-0.99653	1	-3.6E-01	rgb(139,170,231)	2	None
Batf	Tex15	0.99653	1	0.108	rgb(218,196,197)	2	None
Batf	Tmem19	-0.99653	1	-1.2E-01	rgb(191,201,222)	2	None
Batf	Tmem38b	-0.99653	1	-9.6E-02	rgb(196,204,221)	2	None
Batf	Tspan6	0.99653	1	0.282	rgb(220,163,164)	2	None
Batf	Zfp467	-0.99653	1	-1.9E-01	rgb(175,191,224)	2	None
Etv6	Alpk2	0.99653	1	0.319	rgb(221,156,157)	2	None
Etv6	Ddr1	-0.99653	1	-1.0E-01	rgb(195,204,221)	2	None
Etv6	Rgs14	-0.99653	1	-1.7E-01	rgb(180,194,224)	2	None
Etv6	Socs3	0.99653	1	0.023	rgb(217,213,213)	2	None
Etv6	Tbkbp1	0.99653	1	0.134	rgb(218,191,192)	2	None
Etv6	Trpv2	-0.99653	1	-3.9E-01	rgb(133,166,232)	2	None
Fosl2	Abcb9	0.99653	1	0.08	rgb(218,202,202)	2	None
Fosl2	Aff3	-0.99653	1	-2.4E-01	rgb(165,186,226)	2	None
Fosl2	Cd44	-0.99653	1	-8.8E-02	rgb(198,205,220)	2	None
Fosl2	Cd96	0.99653	1	5.6E-04	rgb(217,217,217)	2	None
Fosl2	Il1r1	0.99653	1	0.045	rgb(217,208,209)	2	None
Fosl2	Inhba	-0.99653	1	-6.9E-02	rgb(202,208,220)	2	None
Fosl2	Inpp4b	-0.99653	1	-1.7E-01	rgb(180,195,223)	2	None
Fosl2	Ly6e	-0.99653	1	-1.1E-01	rgb(193,202,221)	2	None
Fosl2	Myo1e	-0.99653	1	-2.2E-01	rgb(169,188,225)	2	None
Fosl2	Nr4a1	-0.99653	1	-9.0E-02	rgb(197,205,220)	2	None
Fosl2	Rgs16	-0.99653	1	-3.6E-01	rgb(139,170,231)	2	None
Fosl2	Sema6b	-0.99653	1	-6.4E-02	rgb(203,209,219)	2	None
Fosl2	Slc39a8	-0.99653	1	-9.5E-03	rgb(215,216,217)	2	None
Fosl2	Snx10	-0.99653	1	-1.1E-01	rgb(193,202,221)	2	None
Fosl2	Socs3	0.99653	1	0.045	rgb(217,208,209)	2	None
Fosl2	Syde2	0.99653	1	0.133	rgb(218,192,192)	2	None
Fosl2	Tbxa2r	-0.99653	1	-1.5E-01	rgb(184,197,223)	2	None
Fosl2	Tgm2	0.99653	1	0.173	rgb(219,184,184)	2	None
Fosl2	Timp1	0.99653	1	0.027	rgb(217,212,212)	2	None
Fosl2	Vps37b	0.99653	1	0.002	rgb(217,217,217)	2	None
Hif1a	Chmp4b	-0.99653	1	-4.7E-02	rgb(207,211,219)	2	None
Hif1a	Fosl2	0.99653	1	0.184	rgb(219,182,182)	2	None
Hif1a	Frmd4b	0.99653	1	0.152	rgb(219,188,188)	2	None
Hif1a	Il12rb2	0.99653	1	0.054	rgb(218,207,207)	2	None
Hif1a	Jak3	0.99653	1	0.186	rgb(219,182,182)	2	None
Hif1a	Ralb	0.99653	1	0.289	rgb(220,162,162)	2	None
Hif1a	Socs3	0.99653	1	0.025	rgb(217,212,212)	2	None
Irf4	Abcb9	-0.99653	1	-3.2E-01	rgb(146,174,229)	2	None
Irf4	Abcd3	-0.99653	1	-2.3E-02	rgb(212,214,218)	2	None
Irf4	Acox1	0.99653	1	0.146	rgb(219,189,189)	2	None
Irf4	Agpat9	0.99653	1	0.389	rgb(221,143,144)	2	None
Irf4	Alpk2	0.99653	1	0.128	rgb(218,192,193)	2	None
Irf4	Anxa3	0.99653	1	0.036	rgb(217,210,210)	2	None
Irf4	Apobec1	-0.99653	1	-1.9E-01	rgb(176,192,224)	2	None
Irf4	Armcx6	0.99653	1	0.279	rgb(220,164,164)	2	None
Irf4	Arrb1	-0.99653	1	-1.7E-01	rgb(181,195,223)	2	None
Irf4	Bdh2	-0.99653	1	-9.2E-02	rgb(197,205,221)	2	None
Irf4	Bmyc	-0.99653	1	-2.7E-01	rgb(158,181,227)	2	None
Irf4	Ccr7	0.99653	1	0.044	rgb(217,209,209)	2	None
Irf4	Cd44	-0.99653	1	-1.2E-01	rgb(191,201,222)	2	None
Irf4	Chst15	0.99653	1	0.165	rgb(219,185,186)	2	None
Irf4	Crtam	-0.99653	1	-2.9E-01	rgb(153,178,228)	2	None
Irf4	Cxcr6	-0.99653	1	-1.3E-01	rgb(188,199,222)	2	None
Irf4	Cysltr1	0.99653	1	0.122	rgb(218,194,194)	2	None
Irf4	Ddr1	0.99653	1	0.259	rgb(220,167,168)	2	None
Irf4	Dhrs3	-0.99653	1	-2.8E-01	rgb(156,180,228)	2	None
Irf4	Dusp22	-0.99653	1	-3.8E-02	rgb(209,212,218)	2	None
Irf4	F730043M19Rik	0.99653	1	0.259	rgb(220,168,168)	2	None
Irf4	Gbp9	-0.99653	1	-2.4E-01	rgb(166,186,226)	2	None
Irf4	Gdpd5	-0.99653	1	-1.6E-01	rgb(181,195,223)	2	None
Irf4	Gnpda1	0.99653	1	0.097	rgb(218,198,199)	2	None
Irf4	Gprc5a	0.99653	1	0.389	rgb(221,143,144)	2	None
Irf4	Hdac9	-0.99653	1	-3.2E-01	rgb(148,175,229)	2	None
Irf4	Herc6	-0.99653	1	-9.1E-02	rgb(197,205,220)	2	None
Irf4	Hspa2	0.99653	1	0.359	rgb(221,148,149)	2	None
Irf4	Ifit2	-0.99653	1	-5.0E-01	rgb(109,151,236)	2	None
Irf4	Il12rb2	0.99653	1	0.068	rgb(218,204,204)	2	None
Irf4	Kcnk10	-0.99653	1	-3.1E-01	rgb(150,176,229)	2	None
Irf4	Lax1	-0.99653	1	-8.2E-02	rgb(199,206,220)	2	None
Irf4	Ly6e	-0.99653	1	-1.7E-01	rgb(179,194,224)	2	None
Irf4	Myo18a	0.99653	1	0.016	rgb(217,214,214)	2	None
Irf4	Myo1e	-0.99653	1	-2.2E-01	rgb(169,188,225)	2	None
Irf4	Nrgn	-0.99653	1	-2.7E-01	rgb(158,181,227)	2	None
