TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Batf	0610012G03Rik	0.9905	1	0.406	rgb(221,139,140)	2	None
Batf	Abcb1b	-0.9905	1	-2.9E-01	rgb(153,178,228)	2	None
Batf	Abcb9	0.9905	1	0.14	rgb(219,190,191)	2	None
Batf	Acp5	-0.9905	1	-1.5E-01	rgb(185,197,223)	2	None
Batf	Acsl4	0.9905	1	0.086	rgb(218,201,201)	2	None
Batf	Acsl5	-0.9905	1	-1.2E-01	rgb(191,201,222)	2	None
Batf	Amigo2	-0.9905	1	-2.1E-01	rgb(172,190,225)	2	None
Batf	Arhgap10	-0.9905	1	-3.5E-01	rgb(141,171,230)	2	None
Batf	Arrb1	0.9905	1	0.132	rgb(218,192,192)	2	None
Batf	Asf1a	0.9905	1	0.076	rgb(218,202,203)	2	None
Batf	Atp6v0d2	0.9905	1	0.385	rgb(221,143,144)	2	None
Batf	Batf	0.9905	1	0.214	rgb(219,176,177)	2	None
Batf	Cd200r1	-0.9905	1	-7.1E-02	rgb(202,208,220)	2	None
Batf	Cd24a	0.9905	1	0.186	rgb(219,182,182)	2	None
Batf	Cd274	0.9905	1	0.045	rgb(217,208,208)	2	None
Batf	Cd74	0.9905	1	0.276	rgb(220,164,165)	2	None
Batf	Cep170	-0.9905	1	-9.9E-03	rgb(215,216,217)	2	None
Batf	Crip1	0.9905	1	0.351	rgb(221,150,151)	2	None
Batf	Crtam	0.9905	1	0.154	rgb(219,188,188)	2	None
Batf	Cyth1	0.9905	1	0.395	rgb(221,141,142)	2	None
Batf	Dcakd	-0.9905	1	-6.1E-01	rgb( 84,136,240)	2	None
Batf	Dcp2	-0.9905	1	-5.1E-02	rgb(206,210,219)	2	None
Batf	Dctpp1	-0.9905	1	-4.9E-02	rgb(206,211,219)	2	None
Batf	Ddr1	-0.9905	1	-3.3E-01	rgb(146,174,229)	2	None
Batf	Dhrs4	-0.9905	1	-3.1E-01	rgb(150,176,229)	2	None
Batf	Dlg2	-0.9905	1	-3.5E-01	rgb(141,171,230)	2	None
