Regulator	Target	Weight	stroke
Irf4	0610007p14rik	0.35675	rgb(219,183,183)
Stat3	0610007p14rik	0.34938	rgb(219,184,184)
Id2	0610009b22rik	0.32131	rgb(219,186,187)
Nfe2l2	0610009b22rik	-0.34051	rgb(180,195,223)
Sp4	0610009b22rik	0.4323	rgb(219,176,176)
Zeb1	0610009b22rik	-1.0623	rgb(102,147,237)
Bcl11b	0610009o20rik	-0.32741	rgb(181,195,223)
Smarca4	0610010f05rik	-1.036	rgb(105,149,237)
Tsc22d3	0610010f05rik	-0.66522	rgb(145,173,230)
Crem	0610011f06rik	0.35338	rgb(219,183,184)
Egr2	0610011f06rik	0.34955	rgb(219,184,184)
Lef1	0610011f06rik	0.33644	rgb(219,185,185)
Smarca4	0610011f06rik	0.52727	rgb(220,167,167)
Zfp36l2	0610011f06rik	0.31106	rgb(219,187,188)
Atf6	0610012g03rik	0.31102	rgb(219,187,188)
Batf	0610012g03rik	0.34947	rgb(219,184,184)
Bcl11b	0610012g03rik	-0.34065	rgb(180,195,223)
Ddit3	0610012g03rik	-0.33777	rgb(180,195,223)
Egr2	0610012g03rik	-0.35225	rgb(179,194,224)
Hif1a	0610012g03rik	0.35118	rgb(219,183,184)
Satb1	0610012g03rik	-0.35339	rgb(179,194,224)
Sp4	0610037l13rik	-0.90577	rgb(119,157,234)
Zeb1	0610037l13rik	0.51754	rgb(220,168,168)
Bcl11b	1110004e09rik	0.33031	rgb(219,185,186)
Id2	1110004e09rik	-0.33065	rgb(181,195,223)
Zeb1	1110004e09rik	0.45191	rgb(219,174,174)
Atf6	1110004f10rik	0.35123	rgb(219,183,184)
Ikzf4	1110007c09rik	0.31803	rgb(219,187,187)
Tsc22d3	1110007c09rik	-1.0038	rgb(108,151,236)
Atf6	1110008f13rik	0.32548	rgb(219,186,186)
Hif1a	1110008f13rik	0.32941	rgb(219,186,186)
Bcl11b	1110008l16rik	-0.32359	rgb(182,196,223)
Ddit3	1110008l16rik	-0.32939	rgb(181,195,223)
Ikzf4	1110008p14rik	0.20853	rgb(218,197,197)
