TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Kdm5d	Ppic	-0.99993	1	-2.7E-01	rgb(158,181,227)	2	2,2
Rest	Rbm15	0.99993	1	0.405	rgb(221,140,141)	2	2,2
Zfp365	Ccng1	0.99993	1	0.324	rgb(221,155,156)	2	2,2
Zfp385a	Ccng1	0.99993	1	0.332	rgb(221,154,154)	2	2,2
Egr2	Gpt2	0.99614	0.99	0.1	rgb(218,198,198)	1.98	None
Hif1a	Smtnl2	0.99614	0.99	0.379	rgb(221,145,145)	1.98	None
Aff3	Gbp2	0.99614	0.99	0.329	rgb(221,154,155)	1.98	2,2
Aff3	Gbp5	0.99614	0.99	0.19	rgb(219,181,181)	1.98	2,2
Aff3	Mgat5	-0.99614	0.99	-2.9E-01	rgb(154,179,228)	1.98	2,2
Aff3	Serpine1	-0.99614	0.99	-2.4E-01	rgb(165,185,226)	1.98	2,2
Aff3	Slamf6	0.99614	0.99	0.265	rgb(220,166,167)	1.98	2,2
Aff3	Tbc1d4	0.99614	0.99	0.17	rgb(219,184,185)	1.98	2,2
Ahrr	Cyp1b1	0.99614	0.99	0.548	rgb(223,112,113)	1.98	2,2
Ahrr	Gpr15	0.99614	0.99	0.318	rgb(220,156,157)	1.98	2,2
Arrb1	3110057O12Rik	0.99614	0.99	0.242	rgb(220,171,171)	1.98	2,2
Arrb1	Acp5	0.99614	0.99	0.317	rgb(220,156,157)	1.98	2,2
Arrb1	Agl	0.99614	0.99	0.167	rgb(219,185,185)	1.98	2,2
Arrb1	Aldoc	-0.99614	0.99	-1.6E-01	rgb(183,196,223)	1.98	2,2
Arrb1	Bcar1	0.99614	0.99	0.075	rgb(218,203,203)	1.98	2,2
Arrb1	Bnip3	0.99614	0.99	0.072	rgb(218,203,203)	1.98	2,2
Arrb1	Egln1	0.99614	0.99	0.394	rgb(221,142,143)	1.98	2,2
Arrb1	Gys1	0.99614	0.99	0.326	rgb(221,155,155)	1.98	2,2
Arrb1	H2-Ab1	0.99614	0.99	0.013	rgb(217,215,215)	1.98	2,2
Arrb1	Mboat2	0.99614	0.99	0.332	rgb(221,154,154)	1.98	2,2
Arrb1	Muc2	0.99614	0.99	0.108	rgb(218,196,197)	1.98	2,2
Arrb1	Pfkp	0.99614	0.99	0.398	rgb(221,141,142)	1.98	2,2
Arrb1	Pgm2	0.99614	0.99	0.185	rgb(219,182,182)	1.98	2,2
Arrb1	Slc2a1	0.99614	0.99	0.277	rgb(220,164,165)	1.98	2,2
Arrb1	Smtnl2	0.99614	0.99	0.207	rgb(219,178,178)	1.98	2,2
Brip1	Fam111a	0.99614	0.99	0.491	rgb(222,123,124)	1.98	2,2
C030039L03Rik	Ankzf1	0.99614	0.99	0.298	rgb(220,160,161)	1.98	2,2
Cebpg	Psph	0.99614	0.99	0.25	rgb(220,169,170)	1.98	2,2
Dhx58	Dtx3l	0.99614	0.99	0.228	rgb(220,173,174)	1.98	2,2
Dhx58	Irf7	0.99614	0.99	0.587	rgb(223,105,106)	1.98	2,2
Dr1	Smek2	0.99614	0.99	0.415	rgb(222,138,139)	1.98	2,2
E2f1	Dtl	0.99614	0.99	0.033	rgb(217,211,211)	1.98	2,2
Eaf2	Cd86	0.99614	0.99	0.284	rgb(220,163,163)	1.98	2,2
Egr1	Egr2	0.99614	0.99	0.46	rgb(222,129,130)	1.98	2,2
Egr1	Egr3	0.99614	0.99	0.353	rgb(221,150,150)	1.98	2,2
Elk3	Capg	0.99614	0.99	0.501	rgb(223,121,122)	1.98	2,2
Elk3	Nt5e	0.99614	0.99	0.524	rgb(223,117,118)	1.98	2,2
Elk3	Ubash3b	0.99614	0.99	0.367	rgb(221,147,148)	1.98	2,2
Eno1	Higd1a	0.99614	0.99	0.5	rgb(222,122,123)	1.98	2,2
Epas1	Gata3	0.99614	0.99	0.31	rgb(220,158,158)	1.98	2,2
Epas1	Pparg	0.99614	0.99	0.08	rgb(218,202,202)	1.98	2,2
Erg	Zfp280b	0.99614	0.99	0.354	rgb(221,149,150)	1.98	2,2
Foxf2	Npr3	0.99614	0.99	0.228	rgb(220,173,174)	1.98	2,2
Foxo3	Slc19a2	0.99614	0.99	0.321	rgb(221,156,156)	1.98	2,2
Foxs1	Mylk2	0.99614	0.99	0.519	rgb(223,118,119)	1.98	2,2
Foxs1	S100a4	0.99614	0.99	0.336	rgb(221,153,153)	1.98	2,2
Foxs1	Vax2	0.99614	0.99	0.215	rgb(219,176,176)	1.98	2,2
Gfi1	Bpnt1	-0.99614	0.99	-1.2E-01	rgb(192,202,221)	1.98	2,2
Gfi1	Rgmb	-0.99614	0.99	-1.0E-01	rgb(194,203,221)	1.98	2,2
Gm13212	Bcl2a1b	0.99614	0.99	0.108	rgb(218,196,197)	1.98	2,2
Gm13212	Cdkn2d	-0.99614	0.99	-1.1E-01	rgb(194,203,221)	1.98	2,2
Gm13251	Bcl2a1b	0.99614	0.99	0.061	rgb(218,205,205)	1.98	2,2
Gm13251	Cdkn2d	0.99614	0.99	0.109	rgb(218,196,196)	1.98	2,2
Gm14420	Bcl2a1b	0.99614	0.99	0.08	rgb(218,202,202)	1.98	2,2
Gm14420	Cdkn2d	0.99614	0.99	0.36	rgb(221,148,149)	1.98	2,2
Gtf2a1	Nucks1	0.99614	0.99	0.581	rgb(223,106,107)	1.98	2,2
Hells	Dtl	0.99614	0.99	0.185	rgb(219,182,182)	1.98	2,2
Hic1	Gfi1	0.99614	0.99	0.144	rgb(219,189,190)	1.98	2,2
Ikzf2	Ddr1	-0.99614	0.99	-4.7E-01	rgb(116,156,235)	1.98	2,2
Ikzf2	Hvcn1	0.99614	0.99	0.303	rgb(220,159,160)	1.98	2,2
Ikzf2	Ikzf4	0.99614	0.99	0.343	rgb(221,151,152)	1.98	2,2
Ikzf2	Phtf2	0.99614	0.99	0.366	rgb(221,147,148)	1.98	2,2
Ikzf2	Trib1	0.99614	0.99	0.351	rgb(221,150,151)	1.98	2,2
Irf1	Dtx3l	-0.99614	0.99	-7.7E-02	rgb(200,207,220)	1.98	2,2
Irf1	Erap1	-0.99614	0.99	-1.6E-01	rgb(183,196,223)	1.98	2,2
