TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Batf	Amigo2	-0.99892	1	-2.6E-01	rgb(160,182,227)	2	None
Batf	Arhgap17	0.99892	1	0.296	rgb(220,161,161)	2	None
Batf	Asf1a	0.99892	1	0.102	rgb(218,197,198)	2	None
Batf	Herc4	-0.99892	1	-1.7E-01	rgb(180,195,223)	2	None
Batf	Igf2r	-0.99892	1	-3.0E-01	rgb(152,178,228)	2	None
Batf	Lrba	0.99892	1	0.206	rgb(219,178,178)	2	None
Batf	M6pr	-0.99892	1	-8.7E-02	rgb(198,205,220)	2	None
Batf	Mpp2	0.99892	1	0.262	rgb(220,167,167)	2	None
Batf	Nck2	0.99892	1	0.104	rgb(218,197,197)	2	None
Batf	Rabgap1l	0.99892	1	0.12	rgb(218,194,194)	2	None
Batf	Slc25a45	-0.99892	1	-4.5E-01	rgb(119,158,234)	2	None
Batf	Stk38l	-0.99892	1	-3.1E-01	rgb(151,177,229)	2	None
Batf	Synpo	0.99892	1	0.013	rgb(217,215,215)	2	None
Batf	Tnfrsf13c	0.99892	1	0.057	rgb(218,206,206)	2	None
Bcl11b	Tacc1	-0.99892	1	-2.6E-01	rgb(161,183,227)	2	None
Etv6	Rgs14	-0.99892	1	-7.8E-02	rgb(200,207,220)	2	None
Fosl2	Adora2a	0.99892	1	0.401	rgb(221,140,141)	2	None
Fosl2	Ly6e	-0.99892	1	-7.6E-02	rgb(200,207,220)	2	None
Fosl2	Tbxa2r	-0.99892	1	-2.8E-01	rgb(157,181,227)	2	None
Id2	Arhgef6	-0.99892	1	-1.4E-01	rgb(187,199,222)	2	None
Id2	Lyrm1	0.99892	1	0.144	rgb(219,189,190)	2	None
Ikzf3	Eea1	-0.99892	1	-1.3E-01	rgb(189,200,222)	2	None
Ikzf3	Il10	0.99892	1	0.395	rgb(221,141,142)	2	None
Ikzf3	Rfx7	-0.99892	1	-8.5E-02	rgb(199,206,220)	2	None
Irf4	Abcd3	-0.99892	1	-2.7E-02	rgb(211,213,218)	2	None
Irf4	Acox1	-0.99892	1	-9.8E-02	rgb(196,204,221)	2	None
Irf4	Arsb	-0.99892	1	-1.1E-01	rgb(193,202,221)	2	None
Irf4	Atmin	0.99892	1	0.2	rgb(219,179,179)	2	None
Irf4	Atp2b4	0.99892	1	0.428	rgb(222,135,136)	2	None
Irf4	Bmyc	-0.99892	1	-3.1E-03	rgb(216,217,217)	2	None
Irf4	Crtam	-0.99892	1	-3.0E-01	rgb(151,177,229)	2	None
Irf4	Cxcr6	-0.99892	1	-1.2E-01	rgb(191,201,222)	2	None
Irf4	Dusp22	-0.99892	1	-3.5E-02	rgb(209,212,218)	2	None
Irf4	Gdpd5	-0.99892	1	-1.3E-01	rgb(189,200,222)	2	None
Irf4	Hdac9	-0.99892	1	-3.5E-01	rgb(142,171,230)	2	None
Irf4	Ly6e	-0.99892	1	-2.4E-01	rgb(165,185,226)	2	None
Irf4	Mtss1	0.99892	1	0.081	rgb(218,201,202)	2	None
Irf4	Ptk2	-0.99892	1	-4.5E-01	rgb(119,157,234)	2	None
Irf4	Rcsd1	-0.99892	1	-3.5E-01	rgb(140,170,230)	2	None
Irf4	Skil	0.99892	1	0.1	rgb(218,198,198)	2	None
Irf4	Srgap3	-0.99892	1	-2.0E-01	rgb(173,191,225)	2	None
Irf4	Tmem229b	-0.99892	1	-9.7E-02	rgb(196,204,221)	2	None
Irf4	Wls	-0.99892	1	-6.1E-01	rgb( 85,137,240)	2	None
Lef1	Abcg1	0.99892	1	0.446	rgb(222,132,133)	2	None
Lef1	Lpcat1	-0.99892	1	-1.0E-02	rgb(215,216,217)	2	None
Lef1	Nck2	-0.99892	1	-6.7E-02	rgb(202,208,220)	2	None
Lef1	Zfp592	0.99892	1	0.214	rgb(219,176,177)	2	None
Maf	Aqp3	0.99892	1	0.217	rgb(219,176,176)	2	None
Maf	Emp1	0.99892	1	0.245	rgb(220,170,171)	2	None
Maf	Il21	0.99892	1	0.371	rgb(221,146,147)	2	None
Maf	Pdpn	0.99892	1	0.263	rgb(220,167,167)	2	None
Rorc	Pde1a	-0.99892	1	-1.7E-01	rgb(179,194,224)	2	None
Rorc	Sh3kbp1	-0.99892	1	-1.9E-01	rgb(175,192,224)	2	None
Rorc	Tdrkh	0.99892	1	0.149	rgb(219,188,189)	2	None
Satb1	BC026585	-0.99892	1	-9.7E-02	rgb(196,204,221)	2	None
Satb1	Filip1l	-0.99892	1	-2.2E-02	rgb(212,214,218)	2	None
Stat3	Cnnm4	0.99892	1	0.059	rgb(218,206,206)	2	None
Stat3	Ppap2a	-0.99892	1	-1.6E-01	rgb(183,196,223)	2	None
Atf6	Aldh1l2	0.97667	0.99	0.096	rgb(218,199,199)	1.98	None
Atf6	Atxn1	0.97667	0.99	0.052	rgb(218,207,207)	1.98	None
Atf6	Cd101	0.97667	0.99	0.177	rgb(219,183,184)	1.98	None
Atf6	Cdkn2d	0.97667	0.99	0.081	rgb(218,201,202)	1.98	None
Atf6	Chm	-0.97667	0.99	-7.0E-02	rgb(202,208,220)	1.98	None
Atf6	Dusp3	0.97667	0.99	0.166	rgb(219,185,186)	1.98	None
Atf6	Eif4ebp1	0.97667	0.99	0.225	rgb(219,174,174)	1.98	None
Atf6	Emb	0.97667	0.99	0.379	rgb(221,145,145)	1.98	None
Atf6	Foxo1	-0.97667	0.99	-1.0E-01	rgb(195,204,221)	1.98	None
Atf6	Furin	0.97667	0.99	0.193	rgb(219,180,181)	1.98	None
Atf6	Gfod1	-0.97667	0.99	-1.9E-01	rgb(176,192,224)	1.98	None
Atf6	Il12rb2	0.97667	0.99	0.003	rgb(217,216,216)	1.98	None
Atf6	Il1r1	0.97667	0.99	0.314	rgb(220,157,158)	1.98	None
Atf6	Il23r	0.97667	0.99	0.069	rgb(218,204,204)	1.98	None
Atf6	Il2ra	0.97667	0.99	0.041	rgb(217,209,209)	1.98	None
Atf6	Itga3	0.97667	0.99	0.11	rgb(218,196,196)	1.98	None
