TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Abl1	Csf1	0.99952	1	0.687	rgb(225, 86, 87)	2	None
Ctbp1	Krt18	0.99952	1	0.282	rgb(220,163,164)	2	None
Dek	H2-Ab1	0.99952	1	0.694	rgb(225, 84, 86)	2	None
Elf1	Tlr9	0.99952	1	0.565	rgb(223,109,110)	2	None
Fosl1	Itgb3	-0.99952	1	-6.1E-01	rgb( 84,136,240)	2	None
Foxa1	Ret	0.99952	1	0.497	rgb(222,122,123)	2	None
Hic1	Efna1	-0.99952	1	-6.3E-01	rgb( 80,134,241)	2	None
Irf9	Ifit3	0.99952	1	0.646	rgb(224, 94, 95)	2	None
Klf3	Six4	0.99952	1	0.603	rgb(224,102,103)	2	None
Klf8	Fn1	-0.99952	1	-6.2E-01	rgb( 83,135,241)	2	None
Lmo2	Fgf2	0.99952	1	0.484	rgb(222,124,125)	2	None
Lmo2	Lyl1	0.99952	1	0.572	rgb(223,108,109)	2	None
Men1	Cdkn2c	-0.99952	1	-3.6E-01	rgb(139,169,231)	2	None
Nfe2	Tbxa2r	0.99952	1	0.497	rgb(222,122,123)	2	None
Nfkb2	Selp	0.99952	1	0.836	rgb(226, 57, 59)	2	None
Nr2f1	Serpinc1	-0.99952	1	-7.8E-01	rgb( 48,114,247)	2	None
Rarg	Il17a	0.99952	1	0.865	rgb(227, 52, 53)	2	None
Rarg	Il17f	0.99952	1	0.671	rgb(224, 89, 90)	2	2,2
Rfx1	H2-DMb2	0.99952	1	0.532	rgb(223,115,117)	2	None
Sp2	Papss2	0.99952	1	0.578	rgb(223,107,108)	2	None
Spib	Irf7	-0.99952	1	-5.2E-01	rgb(103,148,237)	2	None
Taf1	Src	0.99952	1	0.754	rgb(225, 73, 75)	2	None
Tcf7l2	Acvrl1	0.99952	1	0.44	rgb(222,133,134)	2	None
Trerf1	Cd86	-0.99952	1	-7.8E-01	rgb( 49,115,246)	2	None
Zfhx3	Afp	-0.99952	1	-8.3E-01	rgb( 37,108,248)	2	None
Kdm5d	Ppic	-0.99952	1	-3.5E-01	rgb(141,171,230)	2	2,2
Ahr	Cyp1b1	0.99506	0.99	0.393	rgb(221,142,143)	1.98	None
Ahr	Il13	0.99506	0.99	0.41	rgb(222,139,140)	1.98	None
Ar	Ifi203	0.99506	0.99	0.368	rgb(221,147,147)	1.98	None
Atf2	Pck2	0.99506	0.99	0.317	rgb(220,157,157)	1.98	None
Atf5	Egr3	0.99506	0.99	0.347	rgb(221,151,151)	1.98	2,2
Atf6	Cebpb	0.99506	0.99	0.452	rgb(222,131,132)	1.98	None
Bcl6	Il17a	0.99506	0.99	0.339	rgb(221,152,153)	1.98	None
Bcl6	Il23r	0.99506	0.99	0.058	rgb(218,206,206)	1.98	2,2
Creb5	Lgals3bp	-0.99506	0.99	-2.6E-01	rgb(162,183,227)	1.98	None
Crem	Ccl4	-0.99506	0.99	-5.0E-01	rgb(109,151,236)	1.98	None
Ddit3	Trf	0.99506	0.99	0.643	rgb(224, 94, 95)	1.98	None
Dek	Aldoc	0.99506	0.99	0.046	rgb(218,208,208)	1.98	2,2
Dek	Arrb1	0.99506	0.99	0.171	rgb(219,184,185)	1.98	2,2
