TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Irf1	Nlrc5	0.99983	1	0.419	rgb(222,137,138)	2	2,2
Irf1	Tbkbp1	0.99983	1	0.341	rgb(221,152,153)	2	2,2
Irf1	Tbx21	0.99983	1	0.444	rgb(222,132,133)	2	2,2
Klf2	Sell	0.99983	1	0.204	rgb(219,178,178)	2	None
Srebf2	Hmgcr	0.99983	1	0.148	rgb(219,189,189)	2	None
Stat1	Tbx21	0.99983	1	0.228	rgb(220,173,174)	2	None
Stat3	Jak3	0.99983	1	0.419	rgb(222,137,138)	2	None
Tbx21	Il12rb2	0.99983	1	0.449	rgb(222,131,132)	2	None
Tbx21	Tbkbp1	0.99983	1	0.733	rgb(225, 77, 79)	2	2,2
Ahr	Ahrr	0.9964	0.99	0.501	rgb(223,121,122)	1.98	None
Ddit3	Asns	0.9964	0.99	0.2	rgb(219,179,179)	1.98	None
Ddit3	Sars	0.9964	0.99	0.33	rgb(221,154,155)	1.98	2,2
Ddit3	Trib3	0.9964	0.99	0.277	rgb(220,164,165)	1.98	None
E2f1	Rpa2	0.9964	0.99	0.167	rgb(219,185,185)	1.98	None
E2f1	Tyms	-0.9964	0.99	-4.8E-02	rgb(207,211,219)	1.98	None
Egr1	Egr3	0.9964	0.99	0.477	rgb(222,126,127)	1.98	2,2
Erg	Zfp280b	0.9964	0.99	0.274	rgb(220,165,165)	1.98	2,2
Foxo3	Bbc3	0.9964	0.99	0.411	rgb(222,138,139)	1.98	None
Foxo3	Slc19a2	0.9964	0.99	0.41	rgb(222,139,140)	1.98	2,2
Irf1	Ctss	0.9964	0.99	0.193	rgb(219,180,181)	1.98	2,2
Irf1	Dtx3l	0.9964	0.99	0.095	rgb(218,199,199)	1.98	2,2
Irf1	Erap1	0.9964	0.99	0.285	rgb(220,163,163)	1.98	2,2
Irf1	Fam26f	0.9964	0.99	0.51	rgb(223,120,121)	1.98	2,2
Irf1	Gbp10	0.9964	0.99	0.495	rgb(222,122,123)	1.98	2,2
Irf1	Gbp2	0.9964	0.99	0.13	rgb(218,192,192)	1.98	2,2
Irf1	Gbp4	0.9964	0.99	0.394	rgb(221,142,142)	1.98	2,2
Irf1	Gbp5	0.9964	0.99	0.376	rgb(221,145,146)	1.98	2,2
Irf1	Gbp6	0.9964	0.99	0.498	rgb(222,122,123)	1.98	2,2
Irf1	Gbp7	0.9964	0.99	0.451	rgb(222,131,132)	1.98	2,2
Irf1	Gbp9	0.9964	0.99	0.325	rgb(221,155,156)	1.98	2,2
Irf1	Gimap4	0.9964	0.99	0.06	rgb(218,205,206)	1.98	2,2
Irf1	Gm4841	0.9964	0.99	0.364	rgb(221,148,148)	1.98	2,2
Irf1	Igtp	0.9964	0.99	0.365	rgb(221,147,148)	1.98	2,2
Irf1	Psme1	0.9964	0.99	0.061	rgb(218,205,205)	1.98	2,2
Irf1	Socs1	-0.9964	0.99	-2.3E-02	rgb(212,214,218)	1.98	None
Irf1	Tapbp	0.9964	0.99	0.276	rgb(220,164,165)	1.98	None
Irf1	Tgtp2	0.9964	0.99	0.35	rgb(221,150,151)	1.98	2,2
Irf1	Zbp1	0.9964	0.99	0.075	rgb(218,203,203)	1.98	2,2
Irf9	Irf7	0.9964	0.99	0.271	rgb(220,165,166)	1.98	2,2
Irf9	Pml	0.9964	0.99	0.167	rgb(219,185,185)	1.98	None
Irf9	Stat2	0.9964	0.99	0.078	rgb(218,202,202)	1.98	2,2
Nr4a1	Nr4a3	0.9964	0.99	0.22	rgb(219,175,175)	1.98	2,2
Rest	Rbm15	0.9964	0.99	0.149	rgb(219,189,189)	1.98	2,2
Runx2	Lgals3	0.9964	0.99	0.07	rgb(218,204,204)	1.98	None
Runx2	Padi2	0.9964	0.99	0.093	rgb(218,199,200)	1.98	2,2
Srebf1	Fads2	0.9964	0.99	0.374	rgb(221,146,146)	1.98	2,2
Stat1	Dtx3l	0.9964	0.99	0.382	rgb(221,144,145)	1.98	2,2
Stat1	Erap1	0.9964	0.99	0.195	rgb(219,180,180)	1.98	2,2
Stat1	Gbp2	0.9964	0.99	0.218	rgb(219,175,176)	1.98	2,2
Stat1	Gbp4	0.9964	0.99	0.116	rgb(218,195,195)	1.98	2,2
Stat1	Gbp6	0.9964	0.99	0.477	rgb(222,126,127)	1.98	2,2
Stat1	Icam1	0.9964	0.99	0.133	rgb(218,192,192)	1.98	None
Stat1	Igtp	0.9964	0.99	0.106	rgb(218,197,197)	1.98	2,2
Stat1	Nlrc5	0.9964	0.99	0.018	rgb(217,214,214)	1.98	2,2
Stat1	Pml	0.9964	0.99	0.114	rgb(218,195,196)	1.98	None
Stat1	Stat2	-0.9964	0.99	-7.6E-02	rgb(201,207,220)	1.98	None
Stat1	Tbkbp1	-0.9964	0.99	-1.8E-01	rgb(179,194,224)	1.98	2,2
Stat1	Tgtp2	0.9964	0.99	0.172	rgb(219,184,184)	1.98	2,2
Stat1	Zbp1	0.9964	0.99	0.22	rgb(219,175,175)	1.98	2,2
Stat2	Pml	0.9964	0.99	0.375	rgb(221,145,146)	1.98	None
Stat3	Socs3	0.9964	0.99	0.291	rgb(220,161,162)	1.98	None
Tbx21	Gbp2	0.9964	0.99	0.196	rgb(219,180,180)	1.98	2,2
Tbx21	Gbp5	-0.9964	0.99	-1.0E-01	rgb(195,204,221)	1.98	2,2
Tbx21	Gbp6	-0.9964	0.99	-1.4E-01	rgb(187,199,222)	1.98	2,2
Tbx21	Gimap4	0.9964	0.99	0.385	rgb(221,144,144)	1.98	2,2
Tbx21	Icam1	0.9964	0.99	0.262	rgb(220,167,167)	1.98	2,2
Tbx21	Igtp	0.9964	0.99	0.248	rgb(220,170,170)	1.98	2,2
Tbx21	Ly6a	0.9964	0.99	0.258	rgb(220,168,168)	1.98	2,2
Tbx21	Nlrc5	0.9964	0.99	0.124	rgb(218,193,194)	1.98	2,2
Tbx21	Sema6d	0.9964	0.99	0.053	rgb(218,207,207)	1.98	2,2
Tbx21	Tgtp2	0.9964	0.99	0.006	rgb(217,216,216)	1.98	2,2
Aff3	Serpine1	-0.9964	0.99	-4.2E-01	rgb(127,162,233)	1.98	2,2
