TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Ero1l	0.99994	1	0.307	rgb(220,158,159)	2	None
Zfp365	Ccng1	0.99994	1	0.05	rgb(218,207,207)	2	2,2
Zfp385a	Ccng1	0.99994	1	0.27	rgb(220,166,166)	2	2,2
Clock	Itga3	0.99737	0.99	0.301	rgb(220,159,160)	1.98	None
Hif1a	3110057O12Rik	0.99737	0.99	0.151	rgb(219,188,188)	1.98	2,2
Hif1a	Aldoc	0.99737	0.99	0.303	rgb(220,159,160)	1.98	2,2
Hif1a	Arrb1	0.99737	0.99	0.269	rgb(220,166,166)	1.98	None
Hif1a	Atp7b	0.99737	0.99	0.228	rgb(220,174,174)	1.98	2,2
Hif1a	Bcar1	-0.99737	0.99	-2.1E-02	rgb(212,214,218)	1.98	2,2
Hif1a	Bnip3	0.99737	0.99	0.525	rgb(223,117,118)	1.98	None
Hif1a	Egln1	0.99737	0.99	0.366	rgb(221,147,148)	1.98	None
Hif1a	Fzd7	0.99737	0.99	0.212	rgb(219,176,177)	1.98	2,2
Hif1a	H2-Ab1	0.99737	0.99	0.403	rgb(221,140,141)	1.98	2,2
Hif1a	Hk1	0.99737	0.99	0.45	rgb(222,131,132)	1.98	None
Hif1a	Mboat2	0.99737	0.99	0.262	rgb(220,167,168)	1.98	2,2
Hif1a	P4ha2	0.99737	0.99	0.196	rgb(219,179,180)	1.98	2,2
Hif1a	P4hb	0.99737	0.99	0.348	rgb(221,150,151)	1.98	2,2
Hif1a	Pfkp	0.99737	0.99	0.135	rgb(218,191,191)	1.98	2,2
Hif1a	Pgm2	0.99737	0.99	0.269	rgb(220,166,166)	1.98	None
Hif1a	Ppme1	0.99737	0.99	0.561	rgb(223,110,111)	1.98	None
Hif1a	Ppp1r3b	0.99737	0.99	0.172	rgb(219,184,184)	1.98	2,2
Hif1a	Slc2a1	0.99737	0.99	0.325	rgb(221,155,156)	1.98	2,2
Hif1a	Slc2a3	0.99737	0.99	0.35	rgb(221,150,151)	1.98	2,2
Hif1a	Smtnl2	0.99737	0.99	0.446	rgb(222,132,133)	1.98	2,2
Ikzf5	Il17a	0.99737	0.99	0.509	rgb(223,120,121)	1.98	None
Ikzf5	Il17f	0.99737	0.99	0.257	rgb(220,168,168)	1.98	2,2
Mga	Tgm2	0.99737	0.99	0.325	rgb(221,155,156)	1.98	None
Mypop	Zfp36l1	0.99737	0.99	0.247	rgb(220,170,170)	1.98	None
Nfatc2	Spry1	0.99737	0.99	0.272	rgb(220,165,166)	1.98	None
Osr2	S100a6	0.99737	0.99	0.298	rgb(220,160,161)	1.98	None
Osr2	Serpine2	0.99737	0.99	0.154	rgb(219,188,188)	1.98	None
Rorc	Dpy19l3	0.99737	0.99	0.287	rgb(220,162,163)	1.98	None
Rorc	Il17a	0.99737	0.99	0.326	rgb(221,155,155)	1.98	None
Rorc	Il17f	0.99737	0.99	0.252	rgb(220,169,169)	1.98	2,2
Rorc	Il23r	0.99737	0.99	0.183	rgb(219,182,182)	1.98	None
Sall4	Foxp3	0.99737	0.99	0.401	rgb(221,140,141)	1.98	None
Six4	Gap43	0.99737	0.99	0.341	rgb(221,152,153)	1.98	None
Smad3	Ctla2b	0.99737	0.99	0.736	rgb(225, 76, 78)	1.98	None
Smad3	Mgat5	0.99737	0.99	0.361	rgb(221,148,149)	1.98	2,2
Topors	Cdkn2d	0.99737	0.99	0.292	rgb(220,161,162)	1.98	None
Zbtb1	Basp1	0.99737	0.99	0.273	rgb(220,165,165)	1.98	None
Aff3	Serpine1	-0.99737	0.99	-2.5E-01	rgb(163,184,226)	1.98	2,2
Aff3	Slamf6	0.99737	0.99	0.479	rgb(222,125,126)	1.98	2,2
Arrb1	Agl	0.99737	0.99	0.243	rgb(220,171,171)	1.98	2,2
Arrb1	Aldoc	-0.99737	0.99	-1.8E-01	rgb(178,193,224)	1.98	2,2
Arrb1	Atp7b	0.99737	0.99	0.059	rgb(218,206,206)	1.98	2,2
Arrb1	Bcar1	0.99737	0.99	0.411	rgb(222,139,139)	1.98	2,2
Arrb1	Bnip3	0.99737	0.99	0.299	rgb(220,160,160)	1.98	2,2
Arrb1	Egln1	0.99737	0.99	0.337	rgb(221,153,153)	1.98	2,2
Arrb1	Gys1	0.99737	0.99	0.171	rgb(219,184,185)	1.98	2,2
Arrb1	H2-Ab1	0.99737	0.99	0.456	rgb(222,130,131)	1.98	2,2
Arrb1	Mboat2	0.99737	0.99	0.315	rgb(220,157,157)	1.98	2,2
Arrb1	Muc2	0.99737	0.99	0.288	rgb(220,162,163)	1.98	2,2
Arrb1	P4ha2	0.99737	0.99	0.135	rgb(218,191,192)	1.98	2,2
Arrb1	Pfkp	0.99737	0.99	0.096	rgb(218,199,199)	1.98	2,2
Arrb1	Pgm2	0.99737	0.99	0.029	rgb(217,211,212)	1.98	2,2
Arrb1	Slc2a1	0.99737	0.99	0.158	rgb(219,187,187)	1.98	2,2
Arrb1	Smtnl2	0.99737	0.99	0.263	rgb(220,167,167)	1.98	2,2
Atxn1	Kcna3	0.99737	0.99	0.431	rgb(222,135,136)	1.98	2,2
