TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Irf1	Gbp2	0.99987	1	0.378	rgb(221,145,145)	2	None
Irf1	Gbp7	0.99987	1	0.362	rgb(221,148,149)	2	None
Irf1	Nlrc5	0.99987	1	0.535	rgb(223,115,116)	2	None
Irf1	Tbx21	0.99987	1	0.493	rgb(222,123,124)	2	2,2
Irf1	Tgtp2	0.99987	1	0.349	rgb(221,150,151)	2	None
Nfkb2	Psd	0.99987	1	0.337	rgb(221,153,153)	2	None
Rest	Rbm15	0.99987	1	0.558	rgb(223,110,111)	2	None
Ahrr	Cyp1b1	0.99435	0.99	0.583	rgb(223,106,107)	1.98	2,2
Atf3	Chac1	0.99435	0.99	0.008	rgb(217,215,215)	1.98	None
Atf3	Gpt2	0.99435	0.99	0.014	rgb(217,214,214)	1.98	None
Atf5	Slc3a2	0.99435	0.99	0.374	rgb(221,146,146)	1.98	None
Batf	Ccr7	-0.99435	0.99	-3.4E-01	rgb(144,172,230)	1.98	None
Batf	Cd74	-0.99435	0.99	-2.2E-03	rgb(217,217,217)	1.98	2,2
Batf	Dmxl2	-0.99435	0.99	-2.3E-01	rgb(168,187,226)	1.98	None
Batf	Gbp5	-0.99435	0.99	-5.0E-01	rgb(109,151,236)	1.98	None
Batf	Gsn	0.99435	0.99	0.175	rgb(219,183,184)	1.98	None
Batf	Hmcn1	-0.99435	0.99	-4.8E-01	rgb(113,154,235)	1.98	None
Batf	Igf2r	-0.99435	0.99	-1.9E-01	rgb(176,192,224)	1.98	None
Batf	Ikzf2	0.99435	0.99	0.105	rgb(218,197,197)	1.98	None
Batf	Irf4	-0.99435	0.99	-1.9E-01	rgb(176,192,224)	1.98	None
Batf	Kcnk10	0.99435	0.99	0.15	rgb(219,188,189)	1.98	None
Batf	Lgmn	-0.99435	0.99	-1.7E-01	rgb(180,194,224)	1.98	None
Batf	Lrba	0.99435	0.99	0.183	rgb(219,182,182)	1.98	None
Batf	Plcl1	-0.99435	0.99	-2.4E-01	rgb(165,185,226)	1.98	None
Batf	Ptger4	0.99435	0.99	0.516	rgb(223,118,119)	1.98	None
Batf	Rorc	0.99435	0.99	0.36	rgb(221,148,149)	1.98	None
Batf	Slamf6	0.99435	0.99	0.329	rgb(221,154,155)	1.98	None
Batf	St3gal1	0.99435	0.99	0.219	rgb(219,175,176)	1.98	None
Batf	Stk39	-0.99435	0.99	-2.3E-02	rgb(212,214,218)	1.98	None
Batf	Tmem19	-0.99435	0.99	-2.3E-01	rgb(168,187,226)	1.98	None
Batf	Tspan2	-0.99435	0.99	-3.6E-01	rgb(138,169,231)	1.98	None
Batf	Wnt10a	-0.99435	0.99	-1.6E-01	rgb(182,196,223)	1.98	None
Bcl6	Ddx11	0.99435	0.99	0.265	rgb(220,166,167)	1.98	None
Bcl6	Ikzf2	0.99435	0.99	0.155	rgb(219,187,188)	1.98	None
Cebpg	Ddit3	0.99435	0.99	0.118	rgb(218,195,195)	1.98	None
Cebpg	Psph	0.99435	0.99	0.196	rgb(219,180,180)	1.98	2,2
Crem	Galc	0.99435	0.99	0.34	rgb(221,152,153)	1.98	None
Crem	Pde4d	0.99435	0.99	0.316	rgb(220,157,157)	1.98	None
Ddit3	Sars	0.99435	0.99	0.231	rgb(220,173,173)	1.98	2,2
E2f1	Dtl	0.99435	0.99	0.119	rgb(218,194,195)	1.98	None
E2f1	Exo1	0.99435	0.99	0.187	rgb(219,181,182)	1.98	None
E2f1	Rpa2	0.99435	0.99	6.7E-05	rgb(217,217,217)	1.98	None
Egr1	Dusp2	0.99435	0.99	0.109	rgb(218,196,196)	1.98	None
Egr1	Egr2	0.99435	0.99	0.291	rgb(220,161,162)	1.98	None
Egr1	Nr4a1	0.99435	0.99	0.48	rgb(222,125,126)	1.98	None
Egr1	Zfp36	0.99435	0.99	0.404	rgb(221,140,141)	1.98	None
Egr2	Pten	-0.99435	0.99	-1.4E-01	rgb(188,199,222)	1.98	None
Egr2	Tnf	0.99435	0.99	0.368	rgb(221,147,147)	1.98	None
Elf1	Arhgef6	0.99435	0.99	0.317	rgb(220,156,157)	1.98	None
Elk3	Capg	0.99435	0.99	0.392	rgb(221,142,143)	1.98	2,2
Elk3	Slc4a8	0.99435	0.99	0.119	rgb(218,194,195)	1.98	None
Elk3	Stk38l	0.99435	0.99	0.059	rgb(218,206,206)	1.98	None
Epas1	Cnnm1	0.99435	0.99	0.192	rgb(219,180,181)	1.98	2,2
Epas1	Gata3	0.99435	0.99	0.228	rgb(220,173,174)	1.98	2,2
Epas1	Mllt3	0.99435	0.99	0.213	rgb(219,176,177)	1.98	None
Epas1	Satb1	0.99435	0.99	0.438	rgb(222,133,134)	1.98	None
Erg	Smox	-0.99435	0.99	-9.6E-02	rgb(196,204,221)	1.98	None
Fosl2	Chd7	0.99435	0.99	0.275	rgb(220,165,165)	1.98	None
Foxf2	Myo3b	0.99435	0.99	0.465	rgb(222,128,129)	1.98	None
Foxo1	Uba1	0.99435	0.99	0.058	rgb(218,206,206)	1.98	None
Foxo3	Bbc3	0.99435	0.99	0.164	rgb(219,186,186)	1.98	None
Foxo3	Psrc1	0.99435	0.99	0.324	rgb(221,155,156)	1.98	None
Foxp3	Nt5e	0.99435	0.99	0.168	rgb(219,185,185)	1.98	None
Foxs1	Mylk2	0.99435	0.99	0.594	rgb(224,103,105)	1.98	2,2
Gata1	Elovl7	-0.99435	0.99	-8.9E-02	rgb(198,205,220)	1.98	None
Gli3	Dzip1	-0.99435	0.99	-2.4E-01	rgb(166,186,226)	1.98	None
Hic1	Itga4	0.99435	0.99	0.402	rgb(221,140,141)	1.98	None
Hoxd11	Il21	-0.99435	0.99	-4.5E-02	rgb(207,211,219)	1.98	None
Ikzf2	Ddr1	-0.99435	0.99	-2.5E-01	rgb(163,184,226)	1.98	None
Irf1	Dtx3l	-0.99435	0.99	-8.9E-02	rgb(198,205,220)	1.98	None
Irf1	Erap1	0.99435	0.99	0.193	rgb(219,180,181)	1.98	None
Irf1	Fam26f	0.99435	0.99	0.462	rgb(222,129,130)	1.98	None
Irf1	Gbp10	0.99435	0.99	0.455	rgb(222,130,131)	1.98	2,2
Irf1	Gbp11	0.99435	0.99	0.62	rgb(224, 99,100)	1.98	None
Irf1	Gbp4	0.99435	0.99	0.291	rgb(220,161,162)	1.98	None
Irf1	Gbp5	0.99435	0.99	0.462	rgb(222,129,130)	1.98	None
Irf1	Gbp6	0.99435	0.99	0.399	rgb(221,141,142)	1.98	2,2
Irf1	Gbp8	0.99435	0.99	0.338	rgb(221,152,153)	1.98	None
Irf1	Gimap4	0.99435	0.99	0.084	rgb(218,201,201)	1.98	2,2
Irf1	Gm4841	0.99435	0.99	0.376	rgb(221,145,146)	1.98	2,2
Irf1	Gpr18	0.99435	0.99	0.046	rgb(218,208,208)	1.98	None
Irf1	Igtp	0.99435	0.99	0.382	rgb(221,144,145)	1.98	2,2
Irf1	Lgals3bp	-0.99435	0.99	-2.3E-01	rgb(167,187,226)	1.98	None
Irf1	Ly6a	0.99435	0.99	0.472	rgb(222,127,128)	1.98	2,2
Irf1	Notch1	-0.99435	0.99	-8.1E-02	rgb(199,206,220)	1.98	None
Irf1	Parp9	0.99435	0.99	0.122	rgb(218,194,194)	1.98	None
Irf1	Psme1	0.99435	0.99	0.038	rgb(217,210,210)	1.98	None
Irf1	Psme2	0.99435	0.99	0.102	rgb(218,197,198)	1.98	None
Irf1	Tapbp	0.99435	0.99	0.177	rgb(219,183,184)	1.98	None
Irf1	Tbkbp1	0.99435	0.99	0.38	rgb(221,144,145)	1.98	2,2
Irf1	Zbp1	0.99435	0.99	0.06	rgb(218,206,206)	1.98	None
Irf2	Rbms2	0.99435	0.99	0.531	rgb(223,116,117)	1.98	None
Irf4	Abcd3	-0.99435	0.99	-9.1E-02	rgb(197,205,220)	1.98	None
Irf4	Atp8b4	-0.99435	0.99	-4.3E-01	rgb(124,161,233)	1.98	None
Irf4	Batf	-0.99435	0.99	-3.4E-01	rgb(143,172,230)	1.98	None
Irf4	Cd74	0.99435	0.99	0.152	rgb(219,188,188)	1.98	None
Irf4	Hdac9	-0.99435	0.99	-1.2E-01	rgb(191,201,222)	1.98	None
Irf4	Ikzf2	-0.99435	0.99	-7.4E-02	rgb(201,207,220)	1.98	None
Irf4	Pgrmc1	-0.99435	0.99	-6.3E-02	rgb(203,209,219)	1.98	None
Irf4	Ptk2	-0.99435	0.99	-2.4E-01	rgb(166,186,226)	1.98	None
Irf4	Tmem229b	-0.99435	0.99	-1.8E-01	rgb(177,193,224)	1.98	None
Irf4	Tspan2	0.99435	0.99	0.056	rgb(218,206,207)	1.98	None
Irf7	BC094916	0.99435	0.99	0.416	rgb(222,138,138)	1.98	None
Irf7	Cmpk2	0.99435	0.99	0.131	rgb(218,192,192)	1.98	2,2
Irf7	Ddx60	0.99435	0.99	0.3	rgb(220,160,160)	1.98	None
Irf7	Dtx3l	-0.99435	0.99	-9.9E-02	rgb(196,204,221)	1.98	None
Irf7	Ifit1	0.99435	0.99	0.263	rgb(220,167,167)	1.98	None
Irf7	Isg20	0.99435	0.99	0.313	rgb(220,157,158)	1.98	None
Irf7	Lgals3bp	-0.99435	0.99	-3.3E-02	rgb(210,213,218)	1.98	None
Irf7	Mx2	0.99435	0.99	0.261	rgb(220,167,168)	1.98	None
Irf7	Oas1b	0.99435	0.99	0.285	rgb(220,163,163)	1.98	None
Irf7	Rsad2	0.99435	0.99	0.361	rgb(221,148,149)	1.98	None
Irf7	Rtp4	0.99435	0.99	0.446	rgb(222,132,133)	1.98	2,2
Irf7	Samd9l	-0.99435	0.99	-1.0E-01	rgb(194,203,221)	1.98	None
Irf7	Stat2	-0.99435	0.99	-9.7E-02	rgb(196,204,221)	1.98	None
Irf7	Trim12c	0.99435	0.99	0.165	rgb(219,186,186)	1.98	None
Irf7	Xaf1	0.99435	0.99	0.357	rgb(221,149,150)	1.98	None
Irf7	Zbp1	0.99435	0.99	0.185	rgb(219,182,182)	1.98	None
Irf8	Erap1	0.99435	0.99	0.072	rgb(218,203,203)	1.98	None
Irf8	Gbp2	-0.99435	0.99	-7.0E-03	rgb(215,216,217)	1.98	None
Irf8	Il2rb	0.99435	0.99	0.318	rgb(220,156,157)	1.98	None
Irf8	Satb1	-0.99435	0.99	-2.6E-01	rgb(161,183,227)	1.98	None
Irf8	Tbx21	0.99435	0.99	0.185	rgb(219,182,182)	1.98	2,2
Irf8	Ubash3b	0.99435	0.99	0.321	rgb(221,156,156)	1.98	None
Irf9	Ifit1	-0.99435	0.99	-8.7E-02	rgb(198,206,220)	1.98	None
Irf9	Irf7	0.99435	0.99	0.259	rgb(220,168,168)	1.98	2,2
Irf9	Mx2	-0.99435	0.99	-6.3E-02	rgb(203,209,219)	1.98	None
Irf9	Rsad2	-0.99435	0.99	-5.2E-02	rgb(206,210,219)	1.98	None
Irf9	Stat2	0.99435	0.99	0.137	rgb(219,191,191)	1.98	None
Irf9	Xaf1	-0.99435	0.99	-3.6E-01	rgb(139,170,231)	1.98	None
Irf9	Zbp1	0.99435	0.99	0.009	rgb(217,215,215)	1.98	None
Jdp2	Pck2	0.99435	0.99	0.465	rgb(222,128,129)	1.98	2,2
Jdp2	Slc7a3	0.99435	0.99	0.183	rgb(219,182,182)	1.98	2,2
Junb	Hook2	0.99435	0.99	0.488	rgb(222,124,125)	1.98	None
