TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Irf1	Erap1	0.99987	1	0.216	rgb(219,176,176)	2	None
Irf1	Gbp2	0.99987	1	0.266	rgb(220,166,167)	2	None
Irf1	Gbp6	0.99987	1	0.451	rgb(222,131,132)	2	None
Irf1	Igtp	0.99987	1	0.293	rgb(220,161,162)	2	None
Irf1	Tgtp2	0.99987	1	0.377	rgb(221,145,146)	2	None
Nfkb2	Psd	0.99987	1	0.432	rgb(222,135,135)	2	None
Rest	Rbm15	0.99987	1	0.584	rgb(223,105,107)	2	None
Ahr	Cd274	-0.99439	0.99	-8.0E-02	rgb(200,206,220)	1.98	None
Ahrr	Cyp1b1	0.99439	0.99	0.683	rgb(225, 86, 88)	1.98	2,2
Atf3	Ahr	-0.99439	0.99	-1.5E-01	rgb(185,198,223)	1.98	None
Atf3	Chac1	-0.99439	0.99	-2.9E-03	rgb(216,217,217)	1.98	None
Atf3	Trib3	0.99439	0.99	0.097	rgb(218,198,199)	1.98	None
Atf5	Slc3a2	0.99439	0.99	0.314	rgb(220,157,158)	1.98	None
Batf	Ccr7	-0.99439	0.99	-2.1E-01	rgb(170,189,225)	1.98	None
Batf	Cd74	-0.99439	0.99	-3.9E-01	rgb(132,165,232)	1.98	2,2
Batf	Col18a1	0.99439	0.99	0.255	rgb(220,168,169)	1.98	None
Batf	Eea1	0.99439	0.99	0.211	rgb(219,177,177)	1.98	None
Batf	Igfbp7	-0.99439	0.99	-2.3E-01	rgb(167,186,226)	1.98	None
Batf	Kcnk10	-0.99439	0.99	-5.8E-02	rgb(204,209,219)	1.98	None
Batf	Ptger4	0.99439	0.99	0.427	rgb(222,135,136)	1.98	None
Batf	Slamf9	-0.99439	0.99	-5.9E-01	rgb( 89,139,239)	1.98	None
Batf	Sspo	-0.99439	0.99	-1.6E-01	rgb(183,196,223)	1.98	None
Batf	St3gal1	0.99439	0.99	0.163	rgb(219,186,186)	1.98	None
Batf	Tspan2	-0.99439	0.99	-3.1E-01	rgb(149,176,229)	1.98	None
Bcl6	Ddx11	0.99439	0.99	0.295	rgb(220,161,161)	1.98	None
Cebpb	Gimap4	-0.99439	0.99	-1.9E-01	rgb(177,192,224)	1.98	None
Cebpg	Ddit3	0.99439	0.99	0.176	rgb(219,183,184)	1.98	None
Cebpg	Slc3a2	0.99439	0.99	0.122	rgb(218,194,194)	1.98	None
Creb3l2	Lpin2	-0.99439	0.99	-4.7E-01	rgb(115,155,235)	1.98	None
E2f1	Dtl	-0.99439	0.99	-4.3E-02	rgb(208,211,219)	1.98	None
E2f1	Exo1	-0.99439	0.99	-1.6E-03	rgb(217,217,217)	1.98	None
E2f1	Rpa2	-0.99439	0.99	-8.3E-02	rgb(199,206,220)	1.98	None
E2f1	Wdr76	-0.99439	0.99	-4.4E-02	rgb(207,211,219)	1.98	None
Egr1	Dusp2	0.99439	0.99	0.278	rgb(220,164,164)	1.98	None
Egr1	Egr2	0.99439	0.99	0.418	rgb(222,137,138)	1.98	None
Egr1	Egr3	0.99439	0.99	0.329	rgb(221,154,155)	1.98	None
Egr1	Egr4	0.99439	0.99	0.149	rgb(219,189,189)	1.98	None
Egr1	Nr4a1	0.99439	0.99	0.328	rgb(221,154,155)	1.98	None
Egr1	Zfp36	0.99439	0.99	0.434	rgb(222,134,135)	1.98	None
Egr2	Pten	-0.99439	0.99	-9.1E-02	rgb(197,205,220)	1.98	None
Egr2	Tnf	0.99439	0.99	0.305	rgb(220,159,159)	1.98	None
Egr4	Ssbp4	0.99439	0.99	0.091	rgb(218,200,200)	1.98	None
Elk3	Acsbg1	0.99439	0.99	0.14	rgb(219,190,191)	1.98	None
Elk3	Slc4a8	0.99439	0.99	0.272	rgb(220,165,166)	1.98	None
Elk3	Stk38l	0.99439	0.99	0.089	rgb(218,200,200)	1.98	None
Elk3	Ubash3b	0.99439	0.99	0.407	rgb(221,139,140)	1.98	None
Epas1	Itgb3	-0.99439	0.99	-1.5E-01	rgb(185,197,223)	1.98	None
Erg	B4galt5	0.99439	0.99	0.285	rgb(220,163,163)	1.98	None
Erg	Mllt3	0.99439	0.99	0.337	rgb(221,153,153)	1.98	None
Fosb	Neat1	0.99439	0.99	0.179	rgb(219,183,183)	1.98	None
Fosl2	Chd7	0.99439	0.99	0.177	rgb(219,183,184)	1.98	None
Foxb1	Cpox	0.99439	0.99	0.277	rgb(220,164,165)	1.98	None
Foxb1	Lum	0.99439	0.99	0.13	rgb(218,192,192)	1.98	None
Foxo3	Narf	0.99439	0.99	0.216	rgb(219,176,176)	1.98	None
Foxo3	Psrc1	0.99439	0.99	0.132	rgb(218,192,192)	1.98	None
Foxp3	Col15a1	0.99439	0.99	0.251	rgb(220,169,170)	1.98	None
Foxp3	Nt5e	0.99439	0.99	0.076	rgb(218,202,203)	1.98	None
Gata1	Elovl7	0.99439	0.99	0.22	rgb(219,175,175)	1.98	None
Gata3	Ccr8	0.99439	0.99	0.266	rgb(220,166,167)	1.98	None
Gata3	Itgb3	0.99439	0.99	0.161	rgb(219,186,187)	1.98	None
Gfi1	Rgmb	-0.99439	0.99	-2.3E-01	rgb(166,186,226)	1.98	None
Gli3	Mbtd1	0.99439	0.99	0.029	rgb(217,211,211)	1.98	None
Hey1	Me2	0.99439	0.99	0.449	rgb(222,131,132)	1.98	None
Hic1	Gfi1	0.99439	0.99	0.144	rgb(219,190,190)	1.98	None
Hic1	Ggta1	0.99439	0.99	0.288	rgb(220,162,163)	1.98	None
Hic1	Itga4	0.99439	0.99	0.44	rgb(222,133,134)	1.98	None
Ikzf2	Ddr1	-0.99439	0.99	-2.4E-01	rgb(165,185,226)	1.98	None
Ikzf2	Pdcd1	0.99439	0.99	0.331	rgb(221,154,154)	1.98	None
Ikzf2	Ptger4	0.99439	0.99	0.106	rgb(218,197,197)	1.98	None
Irf1	Ctss	0.99439	0.99	0.108	rgb(218,196,197)	1.98	None
Irf1	Dtx3l	0.99439	0.99	0.079	rgb(218,202,202)	1.98	None
Irf1	Fam26f	0.99439	0.99	0.376	rgb(221,145,146)	1.98	None
Irf1	Gbp10	0.99439	0.99	0.412	rgb(222,138,139)	1.98	None
Irf1	Gbp4	0.99439	0.99	0.213	rgb(219,176,177)	1.98	None
Irf1	Gbp5	0.99439	0.99	0.363	rgb(221,148,148)	1.98	None
Irf1	Gbp7	0.99439	0.99	0.467	rgb(222,128,129)	1.98	None
Irf1	Gbp8	0.99439	0.99	0.257	rgb(220,168,168)	1.98	None
Irf1	Gbp9	0.99439	0.99	0.259	rgb(220,168,168)	1.98	None
Irf1	Gimap4	-0.99439	0.99	-1.2E-01	rgb(192,202,221)	1.98	None
Irf1	Gm4841	0.99439	0.99	0.437	rgb(222,134,134)	1.98	2,2
Irf1	Gpr18	0.99439	0.99	0.057	rgb(218,206,206)	1.98	None
Irf1	Lgals3bp	-0.99439	0.99	-2.3E-01	rgb(167,187,226)	1.98	None
Irf1	Ly6a	0.99439	0.99	0.372	rgb(221,146,147)	1.98	None
Irf1	Ncf1	-0.99439	0.99	-1.6E-02	rgb(214,215,218)	1.98	None
Irf1	Nlrc5	0.99439	0.99	0.528	rgb(223,116,117)	1.98	2,2
Irf1	Parp9	0.99439	0.99	0.063	rgb(218,205,205)	1.98	None
Irf1	Psme1	0.99439	0.99	0.112	rgb(218,196,196)	1.98	None
Irf1	Sidt1	0.99439	0.99	0.38	rgb(221,144,145)	1.98	None
Irf1	Tapbp	0.99439	0.99	0.177	rgb(219,183,184)	1.98	None
Irf1	Tapbpl	0.99439	0.99	0.1	rgb(218,198,198)	1.98	None
Irf1	Tbkbp1	0.99439	0.99	0.321	rgb(221,156,156)	1.98	None
Irf1	Tbx21	0.99439	0.99	0.528	rgb(223,116,117)	1.98	2,2
Irf1	Vdr	-0.99439	0.99	-5.1E-02	rgb(206,210,219)	1.98	None
Irf1	Zbp1	0.99439	0.99	0.155	rgb(219,187,188)	1.98	None
Irf4	Abcd3	-0.99439	0.99	-7.2E-02	rgb(201,208,220)	1.98	None
Irf4	Atp2b4	0.99439	0.99	0.206	rgb(219,178,178)	1.98	None
Irf4	Crtam	-0.99439	0.99	-4.0E-01	rgb(130,164,232)	1.98	None
Irf4	Ikzf2	-0.99439	0.99	-1.3E-01	rgb(188,199,222)	1.98	None
Irf4	Nckap1	-0.99439	0.99	-1.4E-01	rgb(187,199,222)	1.98	None
Irf4	Pgrmc1	-0.99439	0.99	-2.1E-01	rgb(171,189,225)	1.98	None
Irf4	Ptk2	-0.99439	0.99	-4.1E-01	rgb(127,162,233)	1.98	None
Irf4	Sspo	0.99439	0.99	0.378	rgb(221,145,145)	1.98	None
Irf4	Stra6	0.99439	0.99	0.289	rgb(220,162,162)	1.98	None
Irf4	Tspan2	0.99439	0.99	0.156	rgb(219,187,188)	1.98	None
Irf4	Zfp280b	0.99439	0.99	0.237	rgb(220,172,172)	1.98	None
Irf4	Zfp467	0.99439	0.99	0.374	rgb(221,145,146)	1.98	None
Irf5	Gna15	0.99439	0.99	0.56	rgb(223,110,111)	1.98	None
Irf7	Ccl5	0.99439	0.99	0.273	rgb(220,165,165)	1.98	None
Irf7	Ccrl2	0.99439	0.99	0.211	rgb(219,177,177)	1.98	None
Irf7	Cmpk2	0.99439	0.99	0.133	rgb(218,192,192)	1.98	None
Irf7	Ddx60	0.99439	0.99	0.233	rgb(220,173,173)	1.98	None
Irf7	Dtx3l	-0.99439	0.99	-4.3E-02	rgb(208,211,219)	1.98	None
Irf7	Gbp6	0.99439	0.99	0.181	rgb(219,182,183)	1.98	None
Irf7	Ifit1	0.99439	0.99	0.39	rgb(221,143,143)	1.98	None
Irf7	Ifit3	0.99439	0.99	0.466	rgb(222,128,129)	1.98	None
Irf7	Lgals3bp	-0.99439	0.99	-3.5E-02	rgb(209,212,218)	1.98	None
Irf7	Mx1	0.99439	0.99	0.099	rgb(218,198,198)	1.98	None
Irf7	Mx2	0.99439	0.99	0.171	rgb(219,184,185)	1.98	None
Irf7	Oasl2	0.99439	0.99	0.343	rgb(221,151,152)	1.98	None
Irf7	Parp9	0.99439	0.99	0.162	rgb(219,186,186)	1.98	None
Irf7	Rsad2	0.99439	0.99	0.435	rgb(222,134,135)	1.98	None
Irf7	Rtp4	0.99439	0.99	0.445	rgb(222,132,133)	1.98	None
Irf7	Stat2	-0.99439	0.99	-1.1E-01	rgb(193,202,221)	1.98	None
Irf7	Tapbp	0.99439	0.99	0.038	rgb(217,210,210)	1.98	None
Irf7	Xaf1	0.99439	0.99	0.251	rgb(220,169,170)	1.98	None
Irf7	Zbp1	0.99439	0.99	0.176	rgb(219,183,184)	1.98	None
Irf8	Erap1	0.99439	0.99	0.397	rgb(221,141,142)	1.98	None
Irf8	Gbp10	0.99439	0.99	0.163	rgb(219,186,186)	1.98	None
Irf8	Gbp2	0.99439	0.99	0.113	rgb(218,195,196)	1.98	None
Irf8	Igtp	-0.99439	0.99	-1.4E-01	rgb(188,199,222)	1.98	None
Irf8	Il2rb	0.99439	0.99	0.158	rgb(219,187,187)	1.98	None
Irf8	Tbkbp1	0.99439	0.99	0.115	rgb(218,195,195)	1.98	None
Irf8	Tbx21	0.99439	0.99	0.212	rgb(219,177,177)	1.98	2,2
Irf9	Cmpk2	-0.99439	0.99	-8.3E-02	rgb(199,206,220)	1.98	None
Irf9	Dtx3l	-0.99439	0.99	-9.3E-02	rgb(197,205,221)	1.98	None
Irf9	Gbp6	0.99439	0.99	0.022	rgb(217,213,213)	1.98	None
