TF	Target	SignedQuantile	Stability	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Arrb1	0.99987	1	0.26	rgb(220,167,168)	2	None
Hif1a	Bnip3	0.99987	1	0.504	rgb(223,121,122)	2	None
Hif1a	Egln1	0.99987	1	0.344	rgb(221,151,152)	2	None
Hif1a	Ero1l	0.99987	1	0.585	rgb(223,105,106)	2	None
Hif1a	Hk1	0.99987	1	0.301	rgb(220,159,160)	2	None
Hif1a	Pgm2	0.99987	1	0.357	rgb(221,149,149)	2	None
Hif1a	Ppme1	0.99987	1	0.383	rgb(221,144,145)	2	None
Ahr	Cyp1b1	0.99735	0.99	0.357	rgb(221,149,150)	1.98	None
Atf3	Mmp14	0.99735	0.99	0.21	rgb(219,177,177)	1.98	None
Bach1	Gcnt1	0.99735	0.99	0.274	rgb(220,165,165)	1.98	None
Batf3	Tm9sf4	0.99735	0.99	0.256	rgb(220,168,169)	1.98	None
Cic	Il17f	0.99735	0.99	0.183	rgb(219,182,182)	1.98	None
E2f4	Dtl	-0.99735	0.99	-1.1E-02	rgb(215,216,217)	1.98	None
Etv4	Wdr76	0.99735	0.99	0.119	rgb(218,194,194)	1.98	None
Gata1	Inhba	0.99735	0.99	0.523	rgb(223,117,118)	1.98	None
Gata2	Itm2a	0.99735	0.99	0.396	rgb(221,141,142)	1.98	None
Gata3	Itgb3	0.99735	0.99	0.439	rgb(222,133,134)	1.98	None
Glis1	Trpm1	0.99735	0.99	0.531	rgb(223,116,117)	1.98	None
Hif1a	1190002N15Rik	0.99735	0.99	0.224	rgb(219,174,175)	1.98	None
Hif1a	3110057O12Rik	-0.99735	0.99	-1.2E-01	rgb(191,201,222)	1.98	2,2
Hif1a	Aldoa	0.99735	0.99	0.243	rgb(220,171,171)	1.98	2,2
Hif1a	Atp7b	0.99735	0.99	0.242	rgb(220,171,171)	1.98	2,2
Hif1a	Bcar1	0.99735	0.99	0.431	rgb(222,135,136)	1.98	2,2
Hif1a	Egln3	0.99735	0.99	0.363	rgb(221,148,148)	1.98	None
Hif1a	Fam114a2	0.99735	0.99	0.249	rgb(220,169,170)	1.98	None
Hif1a	Fam71f2	0.99735	0.99	0.37	rgb(221,146,147)	1.98	None
Hif1a	H2-Ab1	0.99735	0.99	0.112	rgb(218,196,196)	1.98	2,2
Hif1a	Jmjd6	0.99735	0.99	0.243	rgb(220,171,171)	1.98	None
Hif1a	Mboat2	0.99735	0.99	0.289	rgb(220,162,162)	1.98	2,2
Hif1a	Narf	-0.99735	0.99	-1.1E-01	rgb(192,202,221)	1.98	None
Hif1a	P4ha2	0.99735	0.99	0.151	rgb(219,188,188)	1.98	None
Hif1a	P4hb	0.99735	0.99	0.346	rgb(221,151,152)	1.98	2,2
Hif1a	Rab39	0.99735	0.99	0.526	rgb(223,117,118)	1.98	None
Hif1a	Slc2a1	0.99735	0.99	0.417	rgb(222,137,138)	1.98	2,2
Hif1a	Slc2a3	0.99735	0.99	0.43	rgb(222,135,136)	1.98	2,2
Hif1a	Smtnl2	0.99735	0.99	0.455	rgb(222,130,131)	1.98	2,2
Hif1a	Vegfa	0.99735	0.99	0.182	rgb(219,182,183)	1.98	None
Hif1a	Zfp395	0.99735	0.99	0.444	rgb(222,132,133)	1.98	None
Ikzf2	Lad1	0.99735	0.99	0.241	rgb(220,171,171)	1.98	None
Irf7	Parp9	-0.99735	0.99	-3.3E-02	rgb(210,213,218)	1.98	None
Irf7	Zbp1	0.99735	0.99	0.193	rgb(219,180,180)	1.98	None
Irf9	Dtx3l	0.99735	0.99	0.144	rgb(219,190,190)	1.98	None
Irf9	Gbp10	0.99735	0.99	0.262	rgb(220,167,167)	1.98	None
Irf9	Gbp9	0.99735	0.99	0.437	rgb(222,134,134)	1.98	None
Irf9	Herc6	0.99735	0.99	0.262	rgb(220,167,167)	1.98	None
Irf9	Lgals3bp	-0.99735	0.99	-1.1E-02	rgb(215,216,217)	1.98	None
Irf9	Parp9	0.99735	0.99	0.293	rgb(220,161,162)	1.98	None
Irf9	Rtp4	0.99735	0.99	0.244	rgb(220,170,171)	1.98	None
Irf9	Trim14	0.99735	0.99	0.3	rgb(220,160,160)	1.98	None
Irf9	Xaf1	0.99735	0.99	0.173	rgb(219,184,184)	1.98	None
Irf9	Zbp1	0.99735	0.99	0.042	rgb(217,209,209)	1.98	None
Isl2	Foxp2	0.99735	0.99	0.369	rgb(221,147,147)	1.98	None
Kdm2b	Hist1h1a	0.99735	0.99	0.313	rgb(220,157,158)	1.98	None
Lhx5	Ctla2b	-0.99735	0.99	-6.1E-02	rgb(204,209,219)	1.98	None
Lhx6	Ifi203	0.99735	0.99	0.161	rgb(219,186,187)	1.98	None
Nfe2l2	Tnfrsf8	0.99735	0.99	0.345	rgb(221,151,152)	1.98	None
Nfkb1	Heg1	0.99735	0.99	0.521	rgb(223,118,119)	1.98	None
Nfkb2	Adam8	0.99735	0.99	0.062	rgb(218,205,205)	1.98	None
Nr1d1	Dpy19l3	0.99735	0.99	0.209	rgb(219,177,178)	1.98	None
Nr1d1	Stab1	0.99735	0.99	0.42	rgb(222,137,138)	1.98	None
Nr1d2	Dpy19l3	-0.99735	0.99	-8.9E-02	rgb(198,205,220)	1.98	None
Nr4a2	Serpine2	0.99735	0.99	0.156	rgb(219,187,188)	1.98	None
Osr2	Serpine2	0.99735	0.99	0.151	rgb(219,188,188)	1.98	None
Ppara	Slc4a8	0.99735	0.99	0.293	rgb(220,161,162)	1.98	None
Pparg	Crtam	0.99735	0.99	0.311	rgb(220,158,158)	1.98	None
Pparg	Erap1	0.99735	0.99	0.484	rgb(222,125,126)	1.98	None
Rel	Stra6	0.99735	0.99	0.324	rgb(221,155,156)	1.98	None
Relb	Sp6	0.99735	0.99	0.333	rgb(221,153,154)	1.98	None
Rora	Adcy4	0.99735	0.99	0.124	rgb(218,193,194)	1.98	None
Rora	Vax2	0.99735	0.99	0.405	rgb(221,140,141)	1.98	None
Rorc	Ccdc63	0.99735	0.99	0.151	rgb(219,188,188)	1.98	None
Rorc	Dpy19l3	0.99735	0.99	0.344	rgb(221,151,152)	1.98	None
Rorc	Il17a	0.99735	0.99	0.159	rgb(219,187,187)	1.98	None
Rorc	Il1r1	0.99735	0.99	0.293	rgb(220,161,162)	1.98	None
Sall4	Foxp3	0.99735	0.99	0.297	rgb(220,160,161)	1.98	None
Smad3	Adam19	0.99735	0.99	0.088	rgb(218,200,200)	1.98	None
Smad3	Ankrd55	0.99735	0.99	0.385	rgb(221,144,144)	1.98	None
Smad3	Ctsw	0.99735	0.99	0.266	rgb(220,166,167)	1.98	None
Smad3	Skil	0.99735	0.99	0.165	rgb(219,186,186)	1.98	None
Sox21	Ctla2b	0.99735	0.99	0.377	rgb(221,145,146)	1.98	None
Sox5	Capg	-0.99735	0.99	-2.4E-01	rgb(164,185,226)	1.98	None
Stat1	Pyhin1	0.99735	0.99	0.088	rgb(218,200,200)	1.98	None
Stat3	Sbno2	0.99735	0.99	0.146	rgb(219,189,189)	1.98	None
Stat3	Tnip2	0.99735	0.99	0.36	rgb(221,148,149)	1.98	None
Stat5b	Arhgef10	0.99735	0.99	0.329	rgb(221,154,155)	1.98	None
