TF	Target	SignedQuantile	AveStability	AvePCorr	stroke	stroke-width	stroke-dasharray
Arrb1	Aldoc	0.99911	0.99	0.23	rgb(220,173,173)	2	2,2
Arrb1	Bcar1	0.99911	0.99	0.375	rgb(221,145,146)	2	2,2
Arrb1	Bnip3	0.99911	0.99	0.236	rgb(220,172,172)	2	2,2
Arrb1	Egln1	0.99911	0.99	0.499	rgb(222,122,123)	2	2,2
Arrb1	H2-Ab1	0.99911	0.99	0.27	rgb(220,166,166)	2	2,2
Arrb1	Mboat2	0.99911	0.99	0.348	rgb(221,151,151)	2	2,2
Arrb1	Pgm2	0.99911	0.99	0.18	rgb(219,183,183)	2	2,2
Arrb1	Smtnl2	0.99911	0.99	0.171	rgb(219,184,185)	2	2,2
Dhx58	Irf7	0.99911	0.99	0.649	rgb(224, 93, 94)	2	2,2
Gata3	Itgb3	0.99911	0.99	0.3	rgb(220,160,160)	2	None
Gm14420	Cdkn2d	0.99911	0.99	0.385	rgb(221,143,144)	2	2,2
Irf7	Parp9	0.99911	0.99	0.065	rgb(218,205,205)	2	None
Irf7	Zbp1	0.99911	0.99	0.185	rgb(219,182,182)	2	None
Irf9	Dtx3l	0.99911	0.99	0.025	rgb(217,212,212)	2	None
Irf9	Rtp4	0.99911	0.99	0.202	rgb(219,178,179)	2	None
Irf9	Xaf1	-0.99911	0.99	-1.8E-02	rgb(213,215,218)	2	None
Irf9	Zbp1	0.99911	0.99	0.011	rgb(217,215,215)	2	None
Nupr1	Aldh1l2	0.99911	0.99	0.446	rgb(222,132,133)	2	2,2
Nupr1	Slc7a3	0.99911	0.99	0.183	rgb(219,182,182)	2	2,2
Nupr1	Trib3	0.99911	0.99	0.269	rgb(220,166,166)	2	2,2
Rorc	Ccdc63	0.99911	0.99	0.17	rgb(219,185,185)	2	None
Rorc	Il1r1	0.99911	0.99	0.199	rgb(219,179,179)	2	None
Trim30a	Irf7	0.99911	0.99	0.207	rgb(219,178,178)	2	2,2
